"ProximitytoHolefrom_RANKTHISWEEK_2005","ProximitytoHolefrom_RANKLASTWEEK_2005","ProximitytoHolefrom_PLAYERNAME_2005","ProximitytoHolefrom_ROUNDS_2005","ProximitytoHolefrom_AVGDTP_2005","ProximitytoHolefrom_TOTALDISTANCEFEET_2005","ProximitytoHolefrom_OFSHOTS_2005","ProximitytoHolefrom_SCRAMBLINGRANK_2005","stat_name","year"
1,1,"Kirk Triplett",55,NA,167.583,60,50,"ProximitytoHolefrom",2005
2,2,"Glen Day",80,NA,405,138,45,"ProximitytoHolefrom",2005
2,2,"Mathias Gronberg",60,NA,345.583,119,1,"ProximitytoHolefrom",2005
2,2,"Thomas Levet",54,NA,171.333,59,195,"ProximitytoHolefrom",2005
5,5,"Jerry Kelly",101,NA,432.583,144,71,"ProximitytoHolefrom",2005
6,6,"Jeff Hart",63,NA,322,104,49,"ProximitytoHolefrom",2005
6,6,"Len Mattiace",86,NA,341,110,106,"ProximitytoHolefrom",2005
6,6,"Omar Uresti",84,NA,419.25,135,47,"ProximitytoHolefrom",2005
9,9,"Hideto Tanihara",50,NA,271,85,190,"ProximitytoHolefrom",2005
10,10,"Jeff Brehaut",71,NA,263,80,95,"ProximitytoHolefrom",2005
10,10,"Brian Davis",75,NA,336.75,104,17,"ProximitytoHolefrom",2005
10,10,"Dudley Hart",84,NA,413.083,126,10,"ProximitytoHolefrom",2005
10,10,"Tim Herron",100,NA,398.083,123,20,"ProximitytoHolefrom",2005
10,10,"Ryuji Imada",78,NA,369.583,114,32,"ProximitytoHolefrom",2005
10,10,"Richard Johnson",50,NA,237.583,73,21,"ProximitytoHolefrom",2005
10,10,"Dean Wilson",86,NA,421.833,129,62,"ProximitytoHolefrom",2005
17,17,"Marco Dawson",82,NA,438.667,131,60,"ProximitytoHolefrom",2005
17,17,"Todd Fischer",99,NA,519.583,156,82,"ProximitytoHolefrom",2005
17,17,"Dan Forsman",52,NA,240.75,73,46,"ProximitytoHolefrom",2005
17,17,"Scott Gutschewski",86,NA,400.333,119,160,"ProximitytoHolefrom",2005
17,17,"Padraig Harrington",50,NA,199.667,60,170,"ProximitytoHolefrom",2005
17,17,"Bob Heintz",67,NA,325.25,98,96,"ProximitytoHolefrom",2005
17,17,"Davis Love III",80,NA,298.833,90,48,"ProximitytoHolefrom",2005
17,17,"Geoff Ogilvy",97,NA,442.333,132,92,"ProximitytoHolefrom",2005
17,17,"Brett Quigley",96,NA,357.583,107,28,"ProximitytoHolefrom",2005
17,17,"Jeff Sluman",94,NA,467.583,142,44,"ProximitytoHolefrom",2005
27,27,"Daniel Chopra",108,NA,625.75,185,23,"ProximitytoHolefrom",2005
27,27,"Ben Curtis",65,NA,303.833,90,176,"ProximitytoHolefrom",2005
27,27,"Robert Damron",89,NA,483.75,141,93,"ProximitytoHolefrom",2005
27,27,"Steve Flesch",90,NA,403.25,117,159,"ProximitytoHolefrom",2005
27,27,"Jim Furyk",94,NA,363.667,107,3,"ProximitytoHolefrom",2005
27,27,"Paul Gow",78,NA,456.5,134,75,"ProximitytoHolefrom",2005
27,27,"Hank Kuehne",84,NA,451.833,131,182,"ProximitytoHolefrom",2005
27,27,"Michael Long",72,NA,388.083,113,179,"ProximitytoHolefrom",2005
27,27,"Kevin Na",88,NA,515.667,150,13,"ProximitytoHolefrom",2005
27,27,"Tom Pernice Jr",111,NA,582.667,172,8,"ProximitytoHolefrom",2005
27,27,"Rob Rashell",65,NA,410.167,119,166,"ProximitytoHolefrom",2005
27,27,"Steve Stricker",62,NA,346.167,101,16,"ProximitytoHolefrom",2005
39,39,"Mark Brooks",72,NA,335.75,96,79,"ProximitytoHolefrom",2005
39,39,"Fred Couples",72,NA,283.75,81,168,"ProximitytoHolefrom",2005
39,39,"Bill Glasson",54,NA,279.75,80,151,"ProximitytoHolefrom",2005
39,39,"Justin Leonard",78,NA,355.75,102,64,"ProximitytoHolefrom",2005
39,39,"Tim Petrovic",97,NA,461.667,133,87,"ProximitytoHolefrom",2005
39,39,"Vijay Singh",111,NA,527,151,2,"ProximitytoHolefrom",2005
39,39,"Duffy Waldorf",86,NA,512.25,146,148,"ProximitytoHolefrom",2005
46,46,"Alex Cejka",84,NA,520.25,146,142,"ProximitytoHolefrom",2005
46,46,"Lucas Glover",88,NA,541.667,152,129,"ProximitytoHolefrom",2005
46,46,"Kent Jones",99,NA,486.75,137,138,"ProximitytoHolefrom",2005
46,46,"Neal Lancaster",95,NA,562.083,157,90,"ProximitytoHolefrom",2005
46,46,"Bernhard Langer",67,NA,291,82,41,"ProximitytoHolefrom",2005
46,46,"Rod Pampling",89,NA,480.25,134,134,"ProximitytoHolefrom",2005
46,46,"Phillip Price",77,NA,464.917,129,22,"ProximitytoHolefrom",2005
46,46,"John Senden",101,NA,557.75,155,80,"ProximitytoHolefrom",2005
46,46,"Bob Tway",87,NA,361.667,100,67,"ProximitytoHolefrom",2005
46,46,"Tjaart van der Walt",56,NA,317.75,88,126,"ProximitytoHolefrom",2005
46,46,"Tiger Woods",76,NA,340.333,96,14,"ProximitytoHolefrom",2005
57,57,"Tommy Armour III",103,NA,544.167,150,113,"ProximitytoHolefrom",2005
57,57,"Jonathan Byrd",103,NA,507.5,139,99,"ProximitytoHolefrom",2005
57,57,"Stewart Cink",98,NA,418.5,113,53,"ProximitytoHolefrom",2005
57,57,"John Daly",78,NA,442.167,120,192,"ProximitytoHolefrom",2005
57,57,"Glen Hnatiuk",59,NA,269.417,73,173,"ProximitytoHolefrom",2005
57,57,"Peter Lonard",85,NA,451.25,123,152,"ProximitytoHolefrom",2005
57,57,"Brenden Pappas",51,NA,328.333,90,197,"ProximitytoHolefrom",2005
57,57,"Kenny Perry",82,NA,398,109,70,"ProximitytoHolefrom",2005
57,57,"Carl Pettersson",109,NA,547.083,149,25,"ProximitytoHolefrom",2005
57,57,"Adam Scott",72,NA,402,109,150,"ProximitytoHolefrom",2005
67,67,"Steve Allan",102,NA,592.917,158,117,"ProximitytoHolefrom",2005
67,67,"Jason Bohn",91,NA,502.5,135,69,"ProximitytoHolefrom",2005
67,67,"Tom Byrum",83,NA,485.667,130,94,"ProximitytoHolefrom",2005
67,67,"Brad Faxon",75,NA,367.5,99,97,"ProximitytoHolefrom",2005
67,67,"JP Hayes",63,NA,355.833,95,55,"ProximitytoHolefrom",2005
67,67,"Mark Hensby",70,NA,287.833,76,198,"ProximitytoHolefrom",2005
67,67,"Jeff Maggert",79,NA,434.583,115,167,"ProximitytoHolefrom",2005
67,67,"Rocco Mediate",73,NA,467.833,124,38,"ProximitytoHolefrom",2005
67,67,"Kevin Sutherland",89,NA,477.167,127,6,"ProximitytoHolefrom",2005
67,67,"Mike Weir",71,NA,332.917,89,81,"ProximitytoHolefrom",2005
77,77,"John Huston",90,NA,571.5,150,128,"ProximitytoHolefrom",2005
77,77,"Zach Johnson",96,NA,533.25,138,109,"ProximitytoHolefrom",2005
77,77,"JL Lewis",98,NA,548.667,143,87,"ProximitytoHolefrom",2005
77,77,"Arron Oberholser",65,NA,331,87,59,"ProximitytoHolefrom",2005
77,77,"Pat Perez",89,NA,619.417,160,12,"ProximitytoHolefrom",2005
77,77,"Loren Roberts",54,NA,286.833,75,7,"ProximitytoHolefrom",2005
77,77,"Justin Rose",99,NA,679.833,177,18,"ProximitytoHolefrom",2005
77,77,"Heath Slocum",103,NA,610.417,159,40,"ProximitytoHolefrom",2005
77,77,"Mark Wilson",74,NA,355.167,93,36,"ProximitytoHolefrom",2005
86,86,"Woody Austin",100,NA,639.5,165,119,"ProximitytoHolefrom",2005
86,86,"DJ Brigman",76,NA,427.333,110,193,"ProximitytoHolefrom",2005
86,86,"KJ Choi",78,NA,377.333,97,89,"ProximitytoHolefrom",2005
86,86,"John Elliott",58,NA,368.667,95,199,"ProximitytoHolefrom",2005
86,86,"Carlos Franco",78,NA,500.333,127,39,"ProximitytoHolefrom",2005
86,86,"Brian Gay",101,NA,683.583,173,15,"ProximitytoHolefrom",2005
86,86,"Hunter Haas",83,NA,522.167,133,112,"ProximitytoHolefrom",2005
86,86,"David Hearn",68,NA,360.5,93,188,"ProximitytoHolefrom",2005
86,86,"Scott Hend",75,NA,454,117,196,"ProximitytoHolefrom",2005
86,86,"Tom Lehman",69,NA,345.333,88,121,"ProximitytoHolefrom",2005
86,86,"Steve Lowery",100,NA,682.417,173,137,"ProximitytoHolefrom",2005
86,86,"Larry Mize",54,NA,283.25,73,72,"ProximitytoHolefrom",2005
86,86,"Dennis Paulson",63,NA,422.833,108,191,"ProximitytoHolefrom",2005
86,86,"Craig Perks",67,NA,360.583,93,202,"ProximitytoHolefrom",2005
