"ScramblingFringeRTPScore_RANKTHISWEEK_2015","ScramblingFringeRTPScore_RANKLASTWEEK_2015","ScramblingFringeRTPScore_PLAYERNAME_2015","ScramblingFringeRTPScore_ROUNDS_2015","ScramblingFringeRTPScore_AVGRTP_2015","ScramblingFringeRTPScore_TOTALHOLES_2015","ScramblingFringeRTPScore_TOTALRTP_2015","stat_name","year"
1,1,"Ryan Palmer",80,-0.12,50,-6,"ScramblingFringeRTPScore",2015
2,2,"Bill Lunde",50,-0.1,30,-3,"ScramblingFringeRTPScore",2015
3,3,"Ben Crane",62,-0.097,31,-3,"ScramblingFringeRTPScore",2015
4,4,"Vijay Singh",78,-0.082,61,-5,"ScramblingFringeRTPScore",2015
5,5,"Mark Wilson",89,-0.08,50,-4,"ScramblingFringeRTPScore",2015
6,6,"Russell Henley",87,-0.078,51,-4,"ScramblingFringeRTPScore",2015
7,7,"Angel Cabrera",53,-0.077,39,-3,"ScramblingFringeRTPScore",2015
8,8,"Brooks Koepka",84,-0.075,40,-3,"ScramblingFringeRTPScore",2015
9,9,"Stewart Cink",77,-0.07,43,-3,"ScramblingFringeRTPScore",2015
9,9,"Jason Day",75,-0.07,43,-3,"ScramblingFringeRTPScore",2015
11,11,"Rickie Fowler",76,-0.068,44,-3,"ScramblingFringeRTPScore",2015
11,11,"Bill Haas",89,-0.068,59,-4,"ScramblingFringeRTPScore",2015
13,13,"Jim Furyk",71,-0.067,45,-3,"ScramblingFringeRTPScore",2015
14,14,"Jordan Spieth",91,-0.056,54,-3,"ScramblingFringeRTPScore",2015
15,15,"Jim Herman",88,-0.055,55,-3,"ScramblingFringeRTPScore",2015
16,16,"Chris Kirk",76,-0.054,37,-2,"ScramblingFringeRTPScore",2015
17,17,"Chesson Hadley",101,-0.053,75,-4,"ScramblingFringeRTPScore",2015
17,17,"Martin Laird",77,-0.053,57,-3,"ScramblingFringeRTPScore",2015
19,19,"Patrick Rodgers",57,-0.051,39,-2,"ScramblingFringeRTPScore",2015
20,20,"Davis Love III",51,-0.045,44,-2,"ScramblingFringeRTPScore",2015
21,21,"Hunter Mahan",88,-0.041,74,-3,"ScramblingFringeRTPScore",2015
22,22,"Kevin Na",98,-0.04,50,-2,"ScramblingFringeRTPScore",2015
