"Scramblingfrom_RANKTHISWEEK_2012","Scramblingfrom_RANKLASTWEEK_2012","Scramblingfrom_PLAYERNAME_2012","Scramblingfrom_ROUNDS_2012","Scramblingfrom_Pct_2012","Scramblingfrom_SUCCESSES_2012","Scramblingfrom_ATTEMPTS_2012","stat_name","year"
1,1,"Brian Gay",91,96.7,88,91,"Scramblingfrom",2012
2,2,"Ian Poulter",57,94.87,37,39,"Scramblingfrom",2012
3,3,"Rocco Mediate",70,93.85,61,65,"Scramblingfrom",2012
4,4,"Aaron Baddeley",73,93.83,76,81,"Scramblingfrom",2012
5,5,"Troy Matteson",100,93.75,90,96,"Scramblingfrom",2012
6,6,"Stephen Ames",54,93.48,43,46,"Scramblingfrom",2012
7,7,"Jonas Blixt",72,93.44,57,61,"Scramblingfrom",2012
8,8,"Johnson Wagner",88,92.77,77,83,"Scramblingfrom",2012
9,9,"Brandt Snedeker",81,92.31,84,91,"Scramblingfrom",2012
10,10,"Webb Simpson",77,92.21,71,77,"Scramblingfrom",2012
11,11,"Vaughn Taylor",81,91.55,65,71,"Scramblingfrom",2012
12,12,"Stuart Appleby",75,91.46,75,82,"Scramblingfrom",2012
12,12,"Billy Hurley III",70,91.46,75,82,"Scramblingfrom",2012
14,14,"Steve Stricker",73,91.43,64,70,"Scramblingfrom",2012
15,15,"Derek Lamely",64,91.04,61,67,"Scramblingfrom",2012
16,16,"John Mallinger",74,91.03,71,78,"Scramblingfrom",2012
17,17,"Martin Flores",95,90.91,90,99,"Scramblingfrom",2012
18,18,"Tom Gillis",75,90.79,69,76,"Scramblingfrom",2012
19,19,"Mark Anderson",75,90.63,58,64,"Scramblingfrom",2012
20,20,"Dustin Johnson",70,90.59,77,85,"Scramblingfrom",2012
21,21,"Russell Knox",72,90.48,57,63,"Scramblingfrom",2012
22,22,"Greg Chalmers",88,90.22,83,92,"Scramblingfrom",2012
23,23,"Jason Day",57,90.16,55,61,"Scramblingfrom",2012
24,24,"Bob Estes",78,90.14,64,71,"Scramblingfrom",2012
25,25,"Davis Love III",64,90,72,80,"Scramblingfrom",2012
26,26,"Michael Thompson",80,89.89,80,89,"Scramblingfrom",2012
27,27,"Ryo Ishikawa",54,89.58,43,48,"Scramblingfrom",2012
28,28,"Nathan Green",73,89.47,51,57,"Scramblingfrom",2012
29,29,"Daniel Summerhays",81,89.16,74,83,"Scramblingfrom",2012
30,30,"Jhonattan Vegas",77,88.73,63,71,"Scramblingfrom",2012
31,31,"Kyle Reifers",86,88.61,70,79,"Scramblingfrom",2012
32,32,"David Mathis",83,88.37,76,86,"Scramblingfrom",2012
32,32,"Josh Teater",97,88.37,76,86,"Scramblingfrom",2012
34,34,"Hunter Haas",69,88.33,53,60,"Scramblingfrom",2012
