"BirdieorBetterPercentage_RANKTHISWEEK_2010","BirdieorBetterPercentage_RANKLASTWEEK_2010","BirdieorBetterPercentage_PLAYERNAME_2010","BirdieorBetterPercentage_ROUNDS_2010","BirdieorBetterPercentage_Pct_2010","BirdieorBetterPercentage_TOTALBIRDIES_2010","BirdieorBetterPercentage_TOTALHOLES_2010","BirdieorBetterPercentage_GIRRANK_2010","stat_name","year"
1,1,"Tom Gillis",97,23.08,403,1746,131,"BirdieorBetterPercentage",2010
2,2,"Dustin Johnson",83,22.97,339,1476,70,"BirdieorBetterPercentage",2010
3,3,"Nick Watney",91,22.92,363,1584,30,"BirdieorBetterPercentage",2010
4,4,"Chris Couch",66,22.9,272,1188,114,"BirdieorBetterPercentage",2010
5,5,"Bubba Watson",77,22.8,316,1386,55,"BirdieorBetterPercentage",2010
6,6,"Charley Hoffman",85,22.61,346,1530,112,"BirdieorBetterPercentage",2010
7,7,"Paul Stankowski",62,22.58,252,1116,9,"BirdieorBetterPercentage",2010
8,8,"Matt Kuchar",97,22.57,386,1710,34,"BirdieorBetterPercentage",2010
9,9,"Phil Mickelson",76,22.51,308,1368,155,"BirdieorBetterPercentage",2010
10,10,"Matt Every",60,22.5,243,1080,162,"BirdieorBetterPercentage",2010
11,11,"Paul Casey",64,22.22,232,1044,48,"BirdieorBetterPercentage",2010
11,11,"Kevin Streelman",90,22.22,360,1620,104,"BirdieorBetterPercentage",2010
13,13,"Ryan Palmer",84,22.16,335,1512,145,"BirdieorBetterPercentage",2010
14,14,"Rory Sabbatini",79,22.01,309,1404,101,"BirdieorBetterPercentage",2010
15,15,"Steve Stricker",73,21.99,285,1296,60,"BirdieorBetterPercentage",2010
16,16,"Scott Piercy",88,21.97,348,1584,82,"BirdieorBetterPercentage",2010
17,17,"JB Holmes",100,21.94,395,1800,144,"BirdieorBetterPercentage",2010
18,18,"Pat Perez",90,21.91,355,1620,42,"BirdieorBetterPercentage",2010
19,19,"Geoff Ogilvy",62,21.85,236,1080,83,"BirdieorBetterPercentage",2010
20,20,"DJ Trahan",92,21.8,361,1656,7,"BirdieorBetterPercentage",2010
21,21,"Graham DeLaet",88,21.78,345,1584,6,"BirdieorBetterPercentage",2010
22,22,"Bo Van Pelt",104,21.74,407,1872,37,"BirdieorBetterPercentage",2010
23,23,"Charles Warren",64,21.7,250,1152,4,"BirdieorBetterPercentage",2010
24,24,"Brandt Snedeker",89,21.66,347,1602,182,"BirdieorBetterPercentage",2010
25,25,"Justin Rose",78,21.65,304,1404,119,"BirdieorBetterPercentage",2010
26,26,"Kevin Stadler",86,21.64,335,1548,70,"BirdieorBetterPercentage",2010
27,27,"Aaron Baddeley",94,21.63,366,1692,164,"BirdieorBetterPercentage",2010
28,28,"Ben Crane",85,21.61,319,1476,63,"BirdieorBetterPercentage",2010
29,29,"Robert Garrigus",71,21.6,276,1278,86,"BirdieorBetterPercentage",2010
30,30,"Jeff Overton",89,21.47,344,1602,96,"BirdieorBetterPercentage",2010
31,31,"Brendon de Jonge",114,21.44,440,2052,17,"BirdieorBetterPercentage",2010
32,32,"Robert Allenby",76,21.4,285,1332,67,"BirdieorBetterPercentage",2010
32,32,"John Rollins",81,21.4,312,1458,66,"BirdieorBetterPercentage",2010
34,34,"Steve Marino",81,21.33,311,1458,88,"BirdieorBetterPercentage",2010
35,35,"Troy Merritt",86,21.32,330,1548,145,"BirdieorBetterPercentage",2010
36,36,"George McNeill",79,21.31,303,1422,128,"BirdieorBetterPercentage",2010
37,37,"Ernie Els",72,21.27,268,1260,75,"BirdieorBetterPercentage",2010
38,38,"John Daly",63,21.25,241,1134,142,"BirdieorBetterPercentage",2010
39,39,"Matt Jones",89,21.22,340,1602,151,"BirdieorBetterPercentage",2010
40,40,"Alex Prugh",88,21.21,336,1584,53,"BirdieorBetterPercentage",2010
41,41,"Bill Haas",87,21.2,332,1566,21,"BirdieorBetterPercentage",2010
42,42,"Zach Johnson",93,21.18,347,1638,111,"BirdieorBetterPercentage",2010
43,43,"Lucas Glover",75,21.17,282,1332,90,"BirdieorBetterPercentage",2010
44,44,"Kevin Na",94,21.15,354,1674,137,"BirdieorBetterPercentage",2010
45,45,"Vaughn Taylor",87,21.14,331,1566,59,"BirdieorBetterPercentage",2010
46,46,"Retief Goosen",75,21.13,270,1278,133,"BirdieorBetterPercentage",2010
47,47,"Adam Scott",70,21.08,258,1224,31,"BirdieorBetterPercentage",2010
48,48,"Jeff Quinney",91,21.06,345,1638,148,"BirdieorBetterPercentage",2010
49,49,"David Toms",86,21.05,322,1530,87,"BirdieorBetterPercentage",2010
50,50,"JP Hayes",79,21.03,299,1422,130,"BirdieorBetterPercentage",2010
50,50,"Michael Letzig",84,21.03,318,1512,72,"BirdieorBetterPercentage",2010
52,52,"Aron Price",70,20.95,264,1260,10,"BirdieorBetterPercentage",2010
52,52,"YE Yang",72,20.95,264,1260,134,"BirdieorBetterPercentage",2010
54,54,"Webb Simpson",98,20.92,369,1764,121,"BirdieorBetterPercentage",2010
55,55,"Garrett Willis",82,20.87,308,1476,24,"BirdieorBetterPercentage",2010
56,56,"Stewart Cink",84,20.83,300,1440,52,"BirdieorBetterPercentage",2010
57,57,"Ryan Moore",80,20.82,296,1422,104,"BirdieorBetterPercentage",2010
58,58,"Jason Day",82,20.73,306,1476,84,"BirdieorBetterPercentage",2010
59,59,"Jonathan Byrd",85,20.72,317,1530,20,"BirdieorBetterPercentage",2010
60,60,"Henrik Bjornstad",72,20.68,268,1296,38,"BirdieorBetterPercentage",2010
61,61,"Rickie Fowler",98,20.63,364,1764,22,"BirdieorBetterPercentage",2010
61,61,"Bryce Molder",84,20.63,312,1512,152,"BirdieorBetterPercentage",2010
63,63,"Spencer Levin",110,20.61,408,1980,23,"BirdieorBetterPercentage",2010
64,64,"Ricky Barnes",103,20.6,382,1854,62,"BirdieorBetterPercentage",2010
65,65,"Paul Goydos",78,20.58,289,1404,134,"BirdieorBetterPercentage",2010
66,66,"KJ Choi",82,20.53,303,1476,56,"BirdieorBetterPercentage",2010
66,66,"James Nitties",92,20.53,340,1656,116,"BirdieorBetterPercentage",2010
66,66,"Jimmy Walker",82,20.53,303,1476,138,"BirdieorBetterPercentage",2010
69,69,"Jason Bohn",84,20.5,310,1512,79,"BirdieorBetterPercentage",2010
69,69,"Vijay Singh",75,20.5,273,1332,51,"BirdieorBetterPercentage",2010
71,71,"Joe Durant",67,20.48,247,1206,3,"BirdieorBetterPercentage",2010
71,71,"Freddie Jacobson",83,20.48,306,1494,78,"BirdieorBetterPercentage",2010
73,73,"Brett Wetterich",54,20.47,199,972,68,"BirdieorBetterPercentage",2010
74,74,"Mark Calcavecchia",50,20.44,184,900,145,"BirdieorBetterPercentage",2010
74,74,"Martin Flores",75,20.44,276,1350,161,"BirdieorBetterPercentage",2010
76,76,"Jim Furyk",76,20.42,272,1332,93,"BirdieorBetterPercentage",2010
77,77,"Chris Stroud",90,20.37,330,1620,36,"BirdieorBetterPercentage",2010
78,78,"Charlie Wi",95,20.35,348,1710,110,"BirdieorBetterPercentage",2010
79,79,"Davis Love III",79,20.32,289,1422,13,"BirdieorBetterPercentage",2010
79,79,"Cameron Percy",73,20.32,267,1314,11,"BirdieorBetterPercentage",2010
81,81,"Hunter Mahan",85,20.3,307,1512,49,"BirdieorBetterPercentage",2010
82,82,"Martin Laird",91,20.27,332,1638,77,"BirdieorBetterPercentage",2010
83,83,"Marc Leishman",87,20.24,317,1566,104,"BirdieorBetterPercentage",2010
83,83,"Andres Romero",73,20.24,266,1314,157,"BirdieorBetterPercentage",2010
85,85,"Michael Connell",89,20.16,323,1602,95,"BirdieorBetterPercentage",2010
86,86,"Carl Pettersson",99,20.15,359,1782,169,"BirdieorBetterPercentage",2010
87,87,"Chris Tidland",77,20.13,279,1386,117,"BirdieorBetterPercentage",2010
88,88,"Charles Howell III",103,20.12,373,1854,54,"BirdieorBetterPercentage",2010
89,89,"Justin Leonard",89,20.08,318,1584,156,"BirdieorBetterPercentage",2010
90,90,"Johnson Wagner",85,20.07,307,1530,61,"BirdieorBetterPercentage",2010
91,91,"John Merrick",109,20.03,393,1962,14,"BirdieorBetterPercentage",2010
92,92,"John Senden",103,20.01,371,1854,1,"BirdieorBetterPercentage",2010
93,93,"Greg Chalmers",93,19.95,334,1674,129,"BirdieorBetterPercentage",2010
94,94,"Michael Sim",64,19.93,226,1134,149,"BirdieorBetterPercentage",2010
95,95,"Joe Ogilvie",99,19.92,355,1782,125,"BirdieorBetterPercentage",2010
96,96,"Blake Adams",84,19.91,301,1512,102,"BirdieorBetterPercentage",2010
96,96,"Camilo Villegas",78,19.91,258,1296,127,"BirdieorBetterPercentage",2010
98,98,"Stephen Ames",75,19.89,265,1332,79,"BirdieorBetterPercentage",2010
98,98,"Woody Austin",93,19.89,333,1674,72,"BirdieorBetterPercentage",2010
100,100,"Tim Clark",88,19.87,304,1530,102,"BirdieorBetterPercentage",2010
100,100,"David Duval",71,19.87,254,1278,124,"BirdieorBetterPercentage",2010
100,100,"Sergio Garcia",58,19.87,186,936,123,"BirdieorBetterPercentage",2010
103,103,"Dean Wilson",54,19.86,193,972,41,"BirdieorBetterPercentage",2010
104,104,"Angel Cabrera",64,19.84,225,1134,141,"BirdieorBetterPercentage",2010
105,105,"Steve Wheatcroft",74,19.82,264,1332,170,"BirdieorBetterPercentage",2010
106,106,"Chad Collins",87,19.8,310,1566,172,"BirdieorBetterPercentage",2010
106,106,"James Driscoll",78,19.8,278,1404,97,"BirdieorBetterPercentage",2010
108,108,"Matt Bettencourt",91,19.78,324,1638,189,"BirdieorBetterPercentage",2010
109,109,"Luke Donald",71,19.77,242,1224,152,"BirdieorBetterPercentage",2010
109,109,"Kevin Sutherland",86,19.77,306,1548,2,"BirdieorBetterPercentage",2010
111,111,"Rory McIlroy",54,19.76,185,936,120,"BirdieorBetterPercentage",2010
112,112,"Chad Campbell",95,19.74,334,1692,44,"BirdieorBetterPercentage",2010
113,113,"Brett Quigley",96,19.73,341,1728,16,"BirdieorBetterPercentage",2010
114,114,"Ryuji Imada",90,19.69,319,1620,165,"BirdieorBetterPercentage",2010
