"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2005","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2005","AveragePuttingDistanceAll1putts_PLAYERNAME_2005","AveragePuttingDistanceAll1putts_ROUNDS_2005","AveragePuttingDistanceAll1putts_AVG_2005","AveragePuttingDistanceAll1putts_DISTANCEFEET_2005","AveragePuttingDistanceAll1putts_TOTALPUTTS_2005","stat_name","year"
1,1,"Dan Forsman",52,NA,2928.25,329,"AveragePuttingDistanceAll1putts",2005
2,2,"Steve Elkington",67,NA,2991.083,354,"AveragePuttingDistanceAll1putts",2005
3,3,"Charles Howell III",95,NA,4123.75,493,"AveragePuttingDistanceAll1putts",2005
3,3,"Kent Jones",99,NA,5204.333,626,"AveragePuttingDistanceAll1putts",2005
3,3,"Brenden Pappas",51,NA,2984.167,358,"AveragePuttingDistanceAll1putts",2005
6,6,"Chad Campbell",95,NA,4207.5,509,"AveragePuttingDistanceAll1putts",2005
6,6,"Bob Tway",87,NA,3951.167,478,"AveragePuttingDistanceAll1putts",2005
8,8,"Briny Baird",98,NA,4785.333,585,"AveragePuttingDistanceAll1putts",2005
8,8,"Richard Johnson",50,NA,2729.25,333,"AveragePuttingDistanceAll1putts",2005
8,8,"Ryan Palmer",101,NA,4711.083,577,"AveragePuttingDistanceAll1putts",2005
8,8,"David Toms",87,NA,3718.75,455,"AveragePuttingDistanceAll1putts",2005
12,12,"Arjun Atwal",65,NA,3668.833,455,"AveragePuttingDistanceAll1putts",2005
12,12,"Matt Gogel",78,NA,3808.083,469,"AveragePuttingDistanceAll1putts",2005
12,12,"Scott McCarron",78,NA,3419.167,424,"AveragePuttingDistanceAll1putts",2005
15,15,"Bart Bryant",91,NA,4169.833,521,"AveragePuttingDistanceAll1putts",2005
15,15,"Gavin Coles",70,NA,3675.75,460,"AveragePuttingDistanceAll1putts",2005
15,15,"Freddie Jacobson",72,NA,3310.25,413,"AveragePuttingDistanceAll1putts",2005
15,15,"Shaun Micheel",81,NA,3462.417,434,"AveragePuttingDistanceAll1putts",2005
15,15,"Chris Smith",93,NA,4070.75,507,"AveragePuttingDistanceAll1putts",2005
15,15,"Joey Snyder III",102,NA,4508.333,564,"AveragePuttingDistanceAll1putts",2005
21,21,"Hunter Mahan",103,NA,5103.583,643,"AveragePuttingDistanceAll1putts",2005
21,21,"Sean OHair",103,NA,4746.75,597,"AveragePuttingDistanceAll1putts",2005
23,23,"Robert Allenby",95,NA,3675.75,467,"AveragePuttingDistanceAll1putts",2005
23,23,"Chris Anderson",66,NA,3306.333,421,"AveragePuttingDistanceAll1putts",2005
23,23,"Jeff Brehaut",71,NA,3217.583,409,"AveragePuttingDistanceAll1putts",2005
23,23,"Olin Browne",99,NA,4461.833,570,"AveragePuttingDistanceAll1putts",2005
23,23,"Tom Byrum",83,NA,3990.083,509,"AveragePuttingDistanceAll1putts",2005
23,23,"Stewart Cink",98,NA,4001.5,513,"AveragePuttingDistanceAll1putts",2005
23,23,"John Cook",72,NA,3193.667,408,"AveragePuttingDistanceAll1putts",2005
23,23,"JL Lewis",98,NA,4538.5,578,"AveragePuttingDistanceAll1putts",2005
23,23,"Kenny Perry",82,NA,3228,410,"AveragePuttingDistanceAll1putts",2005
23,23,"Loren Roberts",54,NA,2680.917,344,"AveragePuttingDistanceAll1putts",2005
23,23,"Mario Tiziani",67,NA,3262.5,417,"AveragePuttingDistanceAll1putts",2005
23,23,"Bo Van Pelt",112,NA,5115.25,653,"AveragePuttingDistanceAll1putts",2005
23,23,"Charles Warren",89,NA,4171.917,533,"AveragePuttingDistanceAll1putts",2005
36,36,"Brad Faxon",75,NA,3492.25,451,"AveragePuttingDistanceAll1putts",2005
36,36,"Dudley Hart",84,NA,4094.5,526,"AveragePuttingDistanceAll1putts",2005
36,36,"Tim Herron",100,NA,4727.75,607,"AveragePuttingDistanceAll1putts",2005
36,36,"Glen Hnatiuk",59,NA,2521,324,"AveragePuttingDistanceAll1putts",2005
36,36,"Len Mattiace",86,NA,4431.917,572,"AveragePuttingDistanceAll1putts",2005
36,36,"Larry Mize",54,NA,2637.25,340,"AveragePuttingDistanceAll1putts",2005
36,36,"Rory Sabbatini",81,NA,3358.5,434,"AveragePuttingDistanceAll1putts",2005
36,36,"Dean Wilson",86,NA,4335.417,559,"AveragePuttingDistanceAll1putts",2005
44,44,"Brian Bateman",98,NA,4298.25,562,"AveragePuttingDistanceAll1putts",2005
44,44,"Danny Briggs",70,NA,3160.083,412,"AveragePuttingDistanceAll1putts",2005
44,44,"Harrison Frazar",105,NA,5050.25,656,"AveragePuttingDistanceAll1putts",2005
