"MissedFairwayPercentOther_RANKTHISWEEK_2012","MissedFairwayPercentOther_RANKLASTWEEK_2012","MissedFairwayPercentOther_PLAYERNAME_2012","MissedFairwayPercentOther_ROUNDS_2012","MissedFairwayPercentOther_Pct_2012","MissedFairwayPercentOther_TOTALMISSED_2012","MissedFairwayPercentOther_TOTALFWYS_2012","MissedFairwayPercentOther_RELATIVETOPAR_2012","stat_name","year"
68,68,"Brandt Jobe",57,2.57,16,623,0.44,"MissedFairwayPercentOther",2012
69,69,"Ryan Moore",89,2.58,29,1126,0.69,"MissedFairwayPercentOther",2012
70,70,"Jonas Blixt",72,2.59,23,888,0.57,"MissedFairwayPercentOther",2012
71,71,"Tom Gillis",75,2.62,25,956,0.72,"MissedFairwayPercentOther",2012
72,72,"Hunter Haas",69,2.64,19,721,0.63,"MissedFairwayPercentOther",2012
72,72,"Davis Love III",64,2.64,19,719,0.68,"MissedFairwayPercentOther",2012
72,72,"Daniel Summerhays",81,2.64,25,946,0.72,"MissedFairwayPercentOther",2012
75,75,"Bubba Watson",68,2.68,19,709,0,"MissedFairwayPercentOther",2012
76,76,"Charlie Beljan",61,2.7,16,593,0.31,"MissedFairwayPercentOther",2012
77,77,"Jason Dufner",83,2.71,24,886,0.54,"MissedFairwayPercentOther",2012
78,78,"Steve Wheatcroft",56,2.73,16,586,0.63,"MissedFairwayPercentOther",2012
79,79,"Henrik Stenson",51,2.74,16,583,0.38,"MissedFairwayPercentOther",2012
80,80,"Kris Blanks",65,2.76,23,833,0.91,"MissedFairwayPercentOther",2012
81,81,"Stephen Ames",54,2.79,15,537,0.87,"MissedFairwayPercentOther",2012
81,81,"Bob Estes",78,2.79,25,897,0.52,"MissedFairwayPercentOther",2012
81,81,"Martin Laird",77,2.79,21,753,0.81,"MissedFairwayPercentOther",2012
81,81,"Charlie Wi",86,2.79,28,1004,0.82,"MissedFairwayPercentOther",2012
85,85,"John Merrick",83,2.81,28,995,0.57,"MissedFairwayPercentOther",2012
86,86,"Spencer Levin",81,2.83,26,919,0.58,"MissedFairwayPercentOther",2012
87,87,"Keegan Bradley",90,2.84,28,985,0.61,"MissedFairwayPercentOther",2012
87,87,"Bryce Molder",83,2.84,28,986,0.68,"MissedFairwayPercentOther",2012
89,89,"David Hearn",95,2.87,35,1219,0.49,"MissedFairwayPercentOther",2012
90,90,"Kevin Stadler",85,2.88,28,972,0.68,"MissedFairwayPercentOther",2012
91,91,"Brandt Snedeker",81,2.89,26,900,0.69,"MissedFairwayPercentOther",2012
92,92,"Trevor Immelman",76,2.9,23,793,0.61,"MissedFairwayPercentOther",2012
93,93,"Bill Lunde",83,2.91,27,927,0.41,"MissedFairwayPercentOther",2012
94,94,"Vijay Singh",99,2.93,33,1125,0.55,"MissedFairwayPercentOther",2012
95,95,"Chez Reavie",83,2.94,27,918,0.52,"MissedFairwayPercentOther",2012
96,96,"Bobby Gates",87,2.97,31,1043,0.32,"MissedFairwayPercentOther",2012
96,96,"Josh Teater",97,2.97,34,1146,0.59,"MissedFairwayPercentOther",2012
98,98,"Kyle Stanley",86,2.98,29,973,0.21,"MissedFairwayPercentOther",2012
99,99,"Luke Donald",63,3.02,20,663,0.25,"MissedFairwayPercentOther",2012
99,99,"Charles Howell III",98,3.02,32,1058,0.5,"MissedFairwayPercentOther",2012
101,101,"Dustin Johnson",70,3.03,22,725,0.59,"MissedFairwayPercentOther",2012
102,102,"Erik Compton",81,3.04,27,887,0.48,"MissedFairwayPercentOther",2012
