"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2016","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2016","GoingfortheGreenBirdieorBetter_PLAYERNAME_2016","GoingfortheGreenBirdieorBetter_ROUNDS_2016","GoingfortheGreenBirdieorBetter_Pct_2016","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2016","GoingfortheGreenBirdieorBetter_ATTEMPTS_2016","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2016","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2016","stat_name","year"
1,3,"Steve Stricker",25,71.43,15,21,-16,-9,"GoingfortheGreenBirdieorBetter",2016
2,7,"Jimmy Walker",43,69.15,65,94,-70,2,"GoingfortheGreenBirdieorBetter",2016
3,1,"Gary Woodland",45,68.75,66,96,-69,-11,"GoingfortheGreenBirdieorBetter",2016
4,10,"Ken Duke",26,68.42,13,19,-14,3,"GoingfortheGreenBirdieorBetter",2016
5,30,"David Toms",38,68.18,15,22,-15,-24,"GoingfortheGreenBirdieorBetter",2016
6,6,"Vaughn Taylor",30,67.65,23,34,-23,-5,"GoingfortheGreenBirdieorBetter",2016
7,5,"Michael Thompson",46,67.35,33,49,-36,-8,"GoingfortheGreenBirdieorBetter",2016
8,13,"Marc Leishman",41,67.24,39,58,-42,-2,"GoingfortheGreenBirdieorBetter",2016
9,9,"Ollie Schniederjans",23,66.67,38,57,-40,4,"GoingfortheGreenBirdieorBetter",2016
9,14,"Jordan Spieth",34,66.67,36,54,-39,-4,"GoingfortheGreenBirdieorBetter",2016
11,4,"Morgan Hoffmann",43,66.18,45,68,-50,-10,"GoingfortheGreenBirdieorBetter",2016
11,19,"Dustin Johnson",37,66.18,45,68,-47,-2,"GoingfortheGreenBirdieorBetter",2016
13,8,"Rickie Fowler",42,66.04,70,106,-74,-9,"GoingfortheGreenBirdieorBetter",2016
14,2,"Adam Scott",39,65.71,46,70,-50,-6,"GoingfortheGreenBirdieorBetter",2016
15,14,"Justin Rose",35,65.52,57,87,-60,-2,"GoingfortheGreenBirdieorBetter",2016
16,12,"Ben Martin",48,65.43,53,81,-64,-8,"GoingfortheGreenBirdieorBetter",2016
17,11,"Henrik Stenson",30,65.38,34,52,-35,-4,"GoingfortheGreenBirdieorBetter",2016
18,21,"Charles Howell III",63,64.86,72,111,-76,-8,"GoingfortheGreenBirdieorBetter",2016
19,25,"Bubba Watson",30,64.52,40,62,-43,-3,"GoingfortheGreenBirdieorBetter",2016
20,20,"Chad Collins",45,64.41,38,59,-39,2,"GoingfortheGreenBirdieorBetter",2016
21,24,"Spencer Levin",62,64.38,47,73,-51,-14,"GoingfortheGreenBirdieorBetter",2016
22,27,"KJ Choi",47,64.1,25,39,-27,-13,"GoingfortheGreenBirdieorBetter",2016
23,28,"Branden Grace",31,63.89,23,36,-24,-1,"GoingfortheGreenBirdieorBetter",2016
24,35,"Blayne Barber",44,63.64,42,66,-46,-8,"GoingfortheGreenBirdieorBetter",2016
24,23,"Danny Lee",53,63.64,56,88,-60,-7,"GoingfortheGreenBirdieorBetter",2016
26,58,"Robert Streb",51,63.33,38,60,-39,-2,"GoingfortheGreenBirdieorBetter",2016
27,30,"Smylie Kaufman",57,63.16,72,114,-76,-1,"GoingfortheGreenBirdieorBetter",2016
27,51,"Phil Mickelson",37,63.16,48,76,-50,2,"GoingfortheGreenBirdieorBetter",2016
29,88,"Rory McIlroy",37,62.82,49,78,-53,-3,"GoingfortheGreenBirdieorBetter",2016
30,34,"Jon Curran",55,62.5,20,32,-21,-17,"GoingfortheGreenBirdieorBetter",2016
31,36,"Jason Day",36,62.16,46,74,-48,-5,"GoingfortheGreenBirdieorBetter",2016
31,36,"Chris Kirk",51,62.16,46,74,-48,-19,"GoingfortheGreenBirdieorBetter",2016
33,46,"Kevin Kisner",49,62.03,49,79,-52,0,"GoingfortheGreenBirdieorBetter",2016
33,39,"Brooks Koepka",39,62.03,49,79,-51,4,"GoingfortheGreenBirdieorBetter",2016
35,29,"Camilo Villegas",50,61.64,45,73,-48,3,"GoingfortheGreenBirdieorBetter",2016
36,43,"Miguel Angel Carballo",24,61.54,16,26,-18,2,"GoingfortheGreenBirdieorBetter",2016
37,40,"Harold Varner III",58,61.48,75,122,-80,1,"GoingfortheGreenBirdieorBetter",2016
38,14,"Sung Kang",51,61.36,54,88,-63,3,"GoingfortheGreenBirdieorBetter",2016
39,50,"Matt Kuchar",46,60.78,31,51,-32,-16,"GoingfortheGreenBirdieorBetter",2016
40,54,"Luke List",51,60.71,68,112,-72,6,"GoingfortheGreenBirdieorBetter",2016
41,33,"Cameron Smith",45,60.61,20,33,-21,0,"GoingfortheGreenBirdieorBetter",2016
42,56,"Graeme McDowell",33,60.47,26,43,-27,-5,"GoingfortheGreenBirdieorBetter",2016
43,59,"Russell Knox",48,60.38,32,53,-33,-2,"GoingfortheGreenBirdieorBetter",2016
44,60,"Stewart Cink",45,60.32,38,63,-41,0,"GoingfortheGreenBirdieorBetter",2016
45,61,"Padraig Harrington",38,60.27,44,73,-46,-5,"GoingfortheGreenBirdieorBetter",2016
46,74,"Steven Bowditch",40,60,36,60,-36,15,"GoingfortheGreenBirdieorBetter",2016
46,45,"Chad Campbell",54,60,51,85,-52,-9,"GoingfortheGreenBirdieorBetter",2016
46,72,"DH Lee",35,60,21,35,-23,-7,"GoingfortheGreenBirdieorBetter",2016
46,22,"Francesco Molinari",36,60,36,60,-38,-7,"GoingfortheGreenBirdieorBetter",2016
46,63,"Dicky Pride",33,60,15,25,-17,-15,"GoingfortheGreenBirdieorBetter",2016
51,67,"Freddie Jacobson",54,59.68,37,62,-39,-1,"GoingfortheGreenBirdieorBetter",2016
52,52,"Tony Finau",49,59.65,68,114,-72,6,"GoingfortheGreenBirdieorBetter",2016
53,32,"Daniel Summerhays",55,59.6,59,99,-63,0,"GoingfortheGreenBirdieorBetter",2016
54,46,"Martin Laird",46,59.52,50,84,-50,6,"GoingfortheGreenBirdieorBetter",2016
54,68,"Seung Yul Noh",54,59.52,50,84,-55,-3,"GoingfortheGreenBirdieorBetter",2016
56,14,"Tim Wilkinson",40,59.26,16,27,-17,-17,"GoingfortheGreenBirdieorBetter",2016
57,53,"Harris English",51,59.21,45,76,-47,-9,"GoingfortheGreenBirdieorBetter",2016
58,38,"Patrick Rodgers",49,59.09,65,110,-71,7,"GoingfortheGreenBirdieorBetter",2016
59,14,"Byeong Hun An",23,58.82,20,34,-20,0,"GoingfortheGreenBirdieorBetter",2016
59,76,"Charl Schwartzel",29,58.82,30,51,-31,0,"GoingfortheGreenBirdieorBetter",2016
61,78,"Jason Kokrak",52,58.77,67,114,-71,4,"GoingfortheGreenBirdieorBetter",2016
62,68,"Colt Knost",56,58.7,27,46,-32,-24,"GoingfortheGreenBirdieorBetter",2016
63,90,"Jonas Blixt",46,58.67,44,75,-46,-6,"GoingfortheGreenBirdieorBetter",2016
64,46,"Patton Kizzire",57,58.62,51,87,-52,-19,"GoingfortheGreenBirdieorBetter",2016
65,75,"Matt Jones",45,58.57,41,70,-41,-2,"GoingfortheGreenBirdieorBetter",2016
66,114,"Erik Compton",45,58.33,35,60,-36,-5,"GoingfortheGreenBirdieorBetter",2016
66,80,"Justin Leonard",28,58.33,7,12,-7,-14,"GoingfortheGreenBirdieorBetter",2016
66,80,"Carl Pettersson",31,58.33,21,36,-23,7,"GoingfortheGreenBirdieorBetter",2016
66,80,"Andy Sullivan",25,58.33,21,36,-21,2,"GoingfortheGreenBirdieorBetter",2016
70,46,"Brendan Steele",48,58.24,53,91,-56,-6,"GoingfortheGreenBirdieorBetter",2016
71,42,"Cameron Tringale",47,58.21,39,67,-42,-19,"GoingfortheGreenBirdieorBetter",2016
