"GoodDrivePercentage_RANKTHISWEEK_2013","GoodDrivePercentage_RANKLASTWEEK_2013","GoodDrivePercentage_PLAYERNAME_2013","GoodDrivePercentage_ROUNDS_2013","GoodDrivePercentage_Pct_2013","GoodDrivePercentage_HIT_2013","GoodDrivePercentage_TOTALATTEMPTS_2013","stat_name","year"
1,1,"Steve Stricker",51,87.44,578,661,"GoodDrivePercentage",2013
2,2,"Mark Wilson",56,86.81,632,728,"GoodDrivePercentage",2013
3,3,"Henrik Stenson",65,86.61,776,896,"GoodDrivePercentage",2013
4,4,"Jerry Kelly",75,86.58,903,1043,"GoodDrivePercentage",2013
5,5,"Jim Furyk",80,86.29,938,1087,"GoodDrivePercentage",2013
6,6,"DJ Trahan",48,86.23,551,639,"GoodDrivePercentage",2013
7,7,"Graham DeLaet",94,86.18,1129,1310,"GoodDrivePercentage",2013
8,8,"Jordan Spieth",82,85.91,982,1143,"GoodDrivePercentage",2013
9,9,"Sergio Garcia",65,85.76,753,878,"GoodDrivePercentage",2013
10,10,"Justin Hicks",79,85.71,894,1043,"GoodDrivePercentage",2013
11,11,"Jason Dufner",78,85.52,921,1077,"GoodDrivePercentage",2013
12,12,"Ted Potter Jr",65,85.48,730,854,"GoodDrivePercentage",2013
13,13,"Chez Reavie",72,85.24,855,1003,"GoodDrivePercentage",2013
14,14,"Hunter Mahan",91,85.23,1016,1192,"GoodDrivePercentage",2013
15,15,"Brendon de Jonge",110,85.06,1304,1533,"GoodDrivePercentage",2013
16,16,"Vijay Singh",61,85.04,722,849,"GoodDrivePercentage",2013
17,17,"Zach Johnson",84,85.01,987,1161,"GoodDrivePercentage",2013
18,18,"John Huh",88,85,1048,1233,"GoodDrivePercentage",2013
19,19,"Nicholas Thompson",99,84.94,1173,1381,"GoodDrivePercentage",2013
20,20,"Boo Weekley",100,84.86,1183,1394,"GoodDrivePercentage",2013
21,21,"KJ Choi",85,84.81,994,1172,"GoodDrivePercentage",2013
22,22,"Nick Watney",88,84.69,1018,1202,"GoodDrivePercentage",2013
