"StrokesGainedTotal_RANKTHISWEEK_2008","StrokesGainedTotal_RANKLASTWEEK_2008","StrokesGainedTotal_PLAYERNAME_2008","StrokesGainedTotal_ROUNDS_2008","StrokesGainedTotal_AVERAGE_2008","StrokesGainedTotal_TOTALSGT_2008","StrokesGainedTotal_TOTALSGT2G_2008","StrokesGainedTotal_TOTALSGP_2008","StrokesGainedTotal_MEASUREDROUNDS_2008","stat_name","year"
1,1,"Phil Mickelson",80,1.788,105.521,93.202,12.319,59,"StrokesGainedTotal",2008
2,2,"Sergio Garcia",72,1.548,86.674,91.236,-4.562,56,"StrokesGainedTotal",2008
3,3,"Anthony Kim",81,1.446,93.966,70.239,23.727,65,"StrokesGainedTotal",2008
4,4,"Vijay Singh",82,1.439,90.63,116.398,-25.768,63,"StrokesGainedTotal",2008
5,5,"Robert Allenby",108,1.373,118.054,130.278,-12.224,86,"StrokesGainedTotal",2008
6,6,"Jim Furyk",95,1.246,93.444,63.295,30.149,75,"StrokesGainedTotal",2008
7,7,"Camilo Villegas",79,1.212,76.383,70.646,5.737,63,"StrokesGainedTotal",2008
8,8,"Justin Leonard",101,1.121,81.821,48.206,33.615,73,"StrokesGainedTotal",2008
9,9,"Kevin Sutherland",98,1.078,94.907,65.218,29.689,88,"StrokesGainedTotal",2008
10,10,"Stewart Cink",87,1.07,68.479,35.388,33.091,64,"StrokesGainedTotal",2008
11,11,"Kenny Perry",97,1.053,96.857,89.737,7.12,92,"StrokesGainedTotal",2008
12,12,"Pat Perez",93,1.046,82.611,65.697,16.914,79,"StrokesGainedTotal",2008
13,13,"Stuart Appleby",87,1.035,69.377,40.315,29.062,67,"StrokesGainedTotal",2008
14,14,"Stephen Ames",83,0.982,64.796,45.021,19.775,66,"StrokesGainedTotal",2008
15,15,"Hunter Mahan",87,0.981,70.597,46.3,24.297,72,"StrokesGainedTotal",2008
16,16,"Mike Weir",88,0.938,61.879,50.856,11.023,66,"StrokesGainedTotal",2008
17,17,"Padraig Harrington",52,0.921,29.486,31.645,-2.159,32,"StrokesGainedTotal",2008
18,18,"Steve Stricker",75,0.908,52.646,29.058,23.588,58,"StrokesGainedTotal",2008
19,19,"Chad Campbell",94,0.904,76.834,62.242,14.592,85,"StrokesGainedTotal",2008
20,20,"Adam Scott",51,0.859,30.064,45.271,-15.207,35,"StrokesGainedTotal",2008
21,21,"Bob Tway",70,0.853,48.649,1.597,47.052,57,"StrokesGainedTotal",2008
22,22,"Nick OHern",82,0.847,60.136,35.775,24.361,71,"StrokesGainedTotal",2008
23,23,"Aaron Baddeley",76,0.846,50.767,4.853,45.914,60,"StrokesGainedTotal",2008
24,24,"KJ Choi",74,0.839,47.811,19.986,27.825,57,"StrokesGainedTotal",2008
25,25,"Mathew Goggin",91,0.834,68.396,58.427,9.969,82,"StrokesGainedTotal",2008
26,26,"Ben Crane",86,0.832,62.374,7.037,55.337,75,"StrokesGainedTotal",2008
27,27,"Geoff Ogilvy",65,0.756,37.05,31.162,5.888,49,"StrokesGainedTotal",2008
28,28,"Steve Marino",119,0.736,76.533,60.725,15.808,104,"StrokesGainedTotal",2008
29,29,"Ben Curtis",80,0.724,45.625,25.251,20.374,63,"StrokesGainedTotal",2008
30,30,"Fred Couples",60,0.718,36.632,34.258,2.374,51,"StrokesGainedTotal",2008
31,31,"Carl Pettersson",110,0.717,69.569,17.539,52.03,97,"StrokesGainedTotal",2008
32,32,"Brian Gay",102,0.708,60.902,16.98,43.922,86,"StrokesGainedTotal",2008
33,33,"Ryan Palmer",69,0.68,40.77,14.705,26.065,60,"StrokesGainedTotal",2008
34,34,"Briny Baird",113,0.665,63.88,85.934,-22.054,96,"StrokesGainedTotal",2008
35,35,"Bart Bryant",81,0.656,43.957,44.009,-0.052,67,"StrokesGainedTotal",2008
36,36,"Steve Elkington",84,0.641,46.759,16.877,29.882,73,"StrokesGainedTotal",2008
37,37,"Davis Love III",78,0.636,41.342,46.769,-5.427,65,"StrokesGainedTotal",2008
38,38,"John Huston",56,0.633,31.033,22.029,9.004,49,"StrokesGainedTotal",2008
39,39,"Ernie Els",51,0.611,21.994,40.085,-18.091,36,"StrokesGainedTotal",2008
40,40,"Scott Verplank",82,0.609,39.573,57.74,-18.167,65,"StrokesGainedTotal",2008
41,41,"Ryuji Imada",80,0.608,41.327,9.303,32.024,68,"StrokesGainedTotal",2008
42,42,"Tim Clark",90,0.597,43.578,37.939,5.639,73,"StrokesGainedTotal",2008
43,43,"Zach Johnson",85,0.595,42.216,39.258,2.958,71,"StrokesGainedTotal",2008
44,44,"Mark Wilson",107,0.593,61.721,13.987,47.734,104,"StrokesGainedTotal",2008
45,45,"Woody Austin",109,0.591,52.035,50.691,1.344,88,"StrokesGainedTotal",2008
46,46,"John Senden",93,0.559,45.868,71.506,-25.638,82,"StrokesGainedTotal",2008
47,47,"Ken Duke",116,0.557,58.445,9.463,48.982,105,"StrokesGainedTotal",2008
48,48,"David Toms",70,0.548,30.686,41.236,-10.55,56,"StrokesGainedTotal",2008
49,49,"Matt Kuchar",88,0.535,37.468,25,12.468,70,"StrokesGainedTotal",2008
50,50,"Tom Pernice Jr",104,0.525,51.432,28.045,23.387,98,"StrokesGainedTotal",2008
51,51,"Freddie Jacobson",78,0.524,33.531,4.294,29.237,64,"StrokesGainedTotal",2008
52,52,"Dudley Hart",74,0.523,35.053,-9.579,44.632,67,"StrokesGainedTotal",2008
53,53,"DJ Trahan",94,0.506,39.503,71.522,-32.019,78,"StrokesGainedTotal",2008
54,54,"Charles Howell III",101,0.502,43.633,52.569,-8.936,87,"StrokesGainedTotal",2008
55,55,"Boo Weekley",86,0.496,31.733,63.214,-31.481,64,"StrokesGainedTotal",2008
56,56,"Bubba Watson",97,0.474,37.893,68.699,-30.806,80,"StrokesGainedTotal",2008
57,57,"Charlie Wi",97,0.463,40.783,39.399,1.384,88,"StrokesGainedTotal",2008
58,58,"JB Holmes",86,0.459,31.661,35.205,-3.544,69,"StrokesGainedTotal",2008
59,59,"Bob Estes",90,0.455,39.124,27.035,12.089,86,"StrokesGainedTotal",2008
60,60,"Michael Allen",91,0.423,32.984,32.932,0.052,78,"StrokesGainedTotal",2008
