"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2006","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2006","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2006","AveragePuttingDistanceGIR1Putts_ROUNDS_2006","AveragePuttingDistanceGIR1Putts_AVG_2006","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2006","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2006","stat_name","year"
1,1,"Corey Pavin",74,NA,1922.417,144,"AveragePuttingDistanceGIR1Putts",2006
2,2,"Brent Geiberger",99,NA,3438.167,267,"AveragePuttingDistanceGIR1Putts",2006
3,3,"Chris Smith",67,NA,2172.25,170,"AveragePuttingDistanceGIR1Putts",2006
4,4,"Richard Johnson",94,NA,3266.917,261,"AveragePuttingDistanceGIR1Putts",2006
4,4,"Chris Riley",86,NA,2669.917,214,"AveragePuttingDistanceGIR1Putts",2006
6,6,"Larry Mize",53,NA,1247.417,101,"AveragePuttingDistanceGIR1Putts",2006
6,6,"Mark OMeara",52,NA,1198.917,97,"AveragePuttingDistanceGIR1Putts",2006
6,6,"Hidemichi Tanaka",74,NA,1770.333,144,"AveragePuttingDistanceGIR1Putts",2006
9,9,"Tom Pernice Jr",108,NA,3665.333,301,"AveragePuttingDistanceGIR1Putts",2006
10,10,"David McKenzie",82,NA,2597.75,215,"AveragePuttingDistanceGIR1Putts",2006
11,11,"Aaron Baddeley",78,NA,2274.167,190,"AveragePuttingDistanceGIR1Putts",2006
11,11,"Ben Curtis",86,NA,2385.667,199,"AveragePuttingDistanceGIR1Putts",2006
13,13,"Brandt Jobe",91,NA,2470.167,208,"AveragePuttingDistanceGIR1Putts",2006
14,14,"Brett Quigley",109,NA,3714.167,313,"AveragePuttingDistanceGIR1Putts",2006
15,15,"Brad Faxon",78,NA,2298.25,195,"AveragePuttingDistanceGIR1Putts",2006
15,15,"Mark Wilson",79,NA,2898.917,246,"AveragePuttingDistanceGIR1Putts",2006
17,17,"David Duval",71,NA,1830.583,157,"AveragePuttingDistanceGIR1Putts",2006
17,17,"Ted Purdy",103,NA,2947.583,252,"AveragePuttingDistanceGIR1Putts",2006
19,19,"John Cook",67,NA,1900.333,164,"AveragePuttingDistanceGIR1Putts",2006
19,19,"Steve Elkington",52,NA,1477.667,128,"AveragePuttingDistanceGIR1Putts",2006
19,19,"Jason Schultz",77,NA,1898.917,164,"AveragePuttingDistanceGIR1Putts",2006
19,19,"Bob Tway",81,NA,2211.25,191,"AveragePuttingDistanceGIR1Putts",2006
23,23,"Ben Crane",85,NA,2305.5,200,"AveragePuttingDistanceGIR1Putts",2006
23,23,"Mathew Goggin",72,NA,1946.917,169,"AveragePuttingDistanceGIR1Putts",2006
23,23,"Dudley Hart",83,NA,2332.917,203,"AveragePuttingDistanceGIR1Putts",2006
26,26,"Davis Love III",85,NA,2136.333,187,"AveragePuttingDistanceGIR1Putts",2006
26,26,"Len Mattiace",59,NA,1746,153,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Craig Barlow",77,NA,2109.917,186,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Stewart Cink",93,NA,2750.333,243,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Charles Howell III",96,NA,2372.417,209,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Tom Lehman",70,NA,1442.667,127,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Paul Stankowski",70,NA,1984.083,175,"AveragePuttingDistanceGIR1Putts",2006
28,28,"Dean Wilson",115,NA,3419.833,301,"AveragePuttingDistanceGIR1Putts",2006
34,34,"James Driscoll",80,NA,2368.75,210,"AveragePuttingDistanceGIR1Putts",2006
34,34,"Jeff Maggert",81,NA,2133.333,189,"AveragePuttingDistanceGIR1Putts",2006
34,34,"Jose Maria Olazabal",62,NA,1361.083,121,"AveragePuttingDistanceGIR1Putts",2006
34,34,"Tim Petrovic",95,NA,2488.667,222,"AveragePuttingDistanceGIR1Putts",2006
38,38,"Chad Campbell",91,NA,2168.583,194,"AveragePuttingDistanceGIR1Putts",2006
38,38,"JJ Henry",96,NA,2606,233,"AveragePuttingDistanceGIR1Putts",2006
38,38,"Freddie Jacobson",56,NA,1910.833,171,"AveragePuttingDistanceGIR1Putts",2006
38,38,"Troy Matteson",101,NA,2665.25,238,"AveragePuttingDistanceGIR1Putts",2006
38,38,"Heath Slocum",96,NA,2723.083,243,"AveragePuttingDistanceGIR1Putts",2006
38,38,"Mike Sposa",68,NA,1835.333,164,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Jonathan Byrd",66,NA,2079,188,"AveragePuttingDistanceGIR1Putts",2006
44,44,"KJ Choi",93,NA,2580.5,233,"AveragePuttingDistanceGIR1Putts",2006
44,44,"John Engler Jr",69,NA,1768.75,159,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Brian Gay",107,NA,3581.333,324,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Kent Jones",103,NA,3279.583,295,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Ryan Palmer",101,NA,2642.5,239,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Vance Veazey",59,NA,1722.5,155,"AveragePuttingDistanceGIR1Putts",2006
44,44,"Duffy Waldorf",96,NA,2600.167,234,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Briny Baird",81,NA,2557.417,232,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Olin Browne",108,NA,2983.917,271,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Jim Furyk",89,NA,2765.833,251,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Nathan Green",108,NA,3377.583,308,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Jerry Kelly",100,NA,2839.333,258,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Geoff Ogilvy",76,NA,1760.333,160,"AveragePuttingDistanceGIR1Putts",2006
52,52,"DA Points",82,NA,2301.167,209,"AveragePuttingDistanceGIR1Putts",2006
52,52,"Kevin Sutherland",100,NA,2757,250,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Arjun Atwal",97,NA,2747.583,252,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Marco Dawson",87,NA,2709.833,249,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Todd Fischer",101,NA,3026,278,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Steve Flesch",119,NA,3387.083,310,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Mathias Gronberg",92,NA,2558.333,234,"AveragePuttingDistanceGIR1Putts",2006
60,60,"JL Lewis",57,NA,1345.583,123,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Jon Mills",68,NA,1294.917,119,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Arron Oberholser",82,NA,2265.083,207,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Jerry Smith",94,NA,2926.833,269,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Vaughn Taylor",88,NA,3121.083,285,"AveragePuttingDistanceGIR1Putts",2006
60,60,"Ron Whittaker",81,NA,2289.667,209,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Carlos Franco",86,NA,2450.25,226,"AveragePuttingDistanceGIR1Putts",2006
71,71,"John Huston",74,NA,2068.583,191,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Bernhard Langer",77,NA,2015.333,186,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Stephen Leaney",84,NA,2710.5,251,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Hunter Mahan",98,NA,3103.417,287,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Shigeki Maruyama",94,NA,2825.5,260,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Tjaart van der Walt",60,NA,1536.917,142,"AveragePuttingDistanceGIR1Putts",2006
71,71,"Tiger Woods",55,NA,1603.833,148,"AveragePuttingDistanceGIR1Putts",2006
79,79,"Zach Johnson",98,NA,2586.833,241,"AveragePuttingDistanceGIR1Putts",2006
79,79,"Steve Jones",83,NA,1971.167,183,"AveragePuttingDistanceGIR1Putts",2006
79,79,"Billy Mayfair",94,NA,2362.083,219,"AveragePuttingDistanceGIR1Putts",2006
79,79,"David Toms",76,NA,2310.833,215,"AveragePuttingDistanceGIR1Putts",2006
79,79,"DJ Trahan",92,NA,2449.5,227,"AveragePuttingDistanceGIR1Putts",2006
84,84,"Danny Ellis",68,NA,1899.333,178,"AveragePuttingDistanceGIR1Putts",2006
84,84,"Bob Estes",85,NA,2468.5,232,"AveragePuttingDistanceGIR1Putts",2006
84,84,"JB Holmes",81,NA,2149.917,201,"AveragePuttingDistanceGIR1Putts",2006
84,84,"Carl Pettersson",95,NA,2472.75,231,"AveragePuttingDistanceGIR1Putts",2006
84,84,"John Senden",96,NA,2599.083,243,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Billy Andrade",78,NA,1857.917,175,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Brian Bateman",69,NA,1698.083,160,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Todd Hamilton",72,NA,1466.417,139,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Thomas Levet",53,NA,1222.833,116,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Tag Ridings",103,NA,2726,258,"AveragePuttingDistanceGIR1Putts",2006
89,89,"Patrick Sheehan",104,NA,2406.583,227,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Tim Clark",80,NA,2003.917,191,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Michael Connell",51,NA,1225.917,117,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Jason Gore",86,NA,2249.917,215,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Tim Herron",82,NA,1788.917,170,"AveragePuttingDistanceGIR1Putts",2006
95,95,"David Howell",52,NA,1197.75,114,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Ian Poulter",53,NA,1477.75,141,"AveragePuttingDistanceGIR1Putts",2006
95,95,"Bo Van Pelt",102,NA,3006.75,287,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Alex Aragon",63,NA,1604.167,154,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Shane Bertsch",104,NA,2963.417,284,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Henrik Bjornstad",97,NA,2640.667,254,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Daniel Chopra",110,NA,3256.583,312,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Fred Funk",106,NA,2842.417,272,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Sergio Garcia",59,NA,1301.5,125,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Paul Goydos",72,NA,1992.833,192,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Ryan Hietala",61,NA,1324.5,127,"AveragePuttingDistanceGIR1Putts",2006
102,102,"Ryuji Imada",105,NA,2676.333,257,"AveragePuttingDistanceGIR1Putts",2006
111,111,"Robert Allenby",79,NA,2152.667,208,"AveragePuttingDistanceGIR1Putts",2006
111,111,"JP Hayes",55,NA,1865.917,180,"AveragePuttingDistanceGIR1Putts",2006
111,111,"Frank Lickliter II",99,NA,2939.583,285,"AveragePuttingDistanceGIR1Putts",2006
111,111,"Will Ma Kenzie",91,NA,2213.75,214,"AveragePuttingDistanceGIR1Putts",2006
111,111,"Ryan Moore",68,NA,1780.333,172,"AveragePuttingDistanceGIR1Putts",2006
111,111,"Kenny Perry",73,NA,1890,183,"AveragePuttingDistanceGIR1Putts",2006
117,117,"David Branshaw",98,NA,2693.5,263,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Jeff Brehaut",100,NA,2639.417,258,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Luke Donald",66,NA,1514.417,148,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Lee Janzen",79,NA,2136.75,209,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Rod Pampling",89,NA,2254.417,220,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Steve Stricker",64,NA,1877.167,183,"AveragePuttingDistanceGIR1Putts",2006
117,117,"Kirk Triplett",58,NA,1627.25,159,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Bart Bryant",87,NA,2097.917,207,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Robert Gamez",94,NA,2412.417,238,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Robert Garrigus",85,NA,2261,222,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Shaun Micheel",96,NA,2413.833,237,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Adam Scott",70,NA,1814.75,179,"AveragePuttingDistanceGIR1Putts",2006
124,124,"Vijay Singh",103,NA,3078.167,304,"AveragePuttingDistanceGIR1Putts",2006
130,130,"Stephen Ames",63,NA,1501.25,149,"AveragePuttingDistanceGIR1Putts",2006
130,130,"Rich Beem",85,NA,2104.333,209,"AveragePuttingDistanceGIR1Putts",2006
130,130,"Fred Couples",52,NA,975.75,97,"AveragePuttingDistanceGIR1Putts",2006
130,130,"Chris DiMarco",83,NA,1850.333,183,"AveragePuttingDistanceGIR1Putts",2006
130,130,"Joe Durant",101,NA,3016.917,300,"AveragePuttingDistanceGIR1Putts",2006
