"Scrambling_RANKTHISWEEK_2013","Scrambling_RANKLASTWEEK_2013","Scrambling_PLAYERNAME_2013","Scrambling_ROUNDS_2013","Scrambling_Pct_2013","Scrambling_PARORBETTER_2013","Scrambling_MISSEDGIR_2013","stat_name","year"
1,1,"Bob Estes",66,66.19,276,417,"Scrambling",2013
2,2,"Steve Stricker",51,65.57,160,244,"Scrambling",2013
3,3,"Chris Kirk",89,65.38,357,546,"Scrambling",2013
4,4,"Stuart Appleby",88,65.21,343,526,"Scrambling",2013
5,5,"Charles Howell III",87,64.83,330,509,"Scrambling",2013
6,6,"Chris Stroud",88,64.6,365,565,"Scrambling",2013
7,7,"Lee Williams",62,64.25,266,414,"Scrambling",2013
8,8,"Matt Jones",83,63.98,325,508,"Scrambling",2013
9,9,"Ben Crane",62,63.83,240,376,"Scrambling",2013
10,10,"Brian Gay",79,63.8,393,616,"Scrambling",2013
11,11,"Richard Lee",81,63.58,295,464,"Scrambling",2013
12,12,"Matt Kuchar",93,63.55,340,535,"Scrambling",2013
13,13,"KJ Choi",85,62.98,325,516,"Scrambling",2013
14,14,"Jerry Kelly",75,62.96,294,467,"Scrambling",2013
15,15,"Martin Flores",83,62.91,324,515,"Scrambling",2013
16,16,"Brendon de Jonge",110,62.56,386,617,"Scrambling",2013
17,17,"Steven Bowditch",67,62.47,278,445,"Scrambling",2013
18,18,"Bill Haas",85,62.01,302,487,"Scrambling",2013
19,19,"Bryce Molder",82,61.76,323,523,"Scrambling",2013
20,20,"Cameron Tringale",80,61.68,293,475,"Scrambling",2013
21,21,"Lee Westwood",70,61.57,266,432,"Scrambling",2013
22,22,"Luke Donald",60,61.52,243,395,"Scrambling",2013
23,23,"Erik Compton",74,61.51,286,465,"Scrambling",2013
24,24,"Jonas Blixt",76,61.5,329,535,"Scrambling",2013
25,25,"Ian Poulter",59,61.49,214,348,"Scrambling",2013
26,26,"Roberto Castro",97,61.47,351,571,"Scrambling",2013
27,27,"Jason Day",86,61.39,310,505,"Scrambling",2013
27,27,"Mark Wilson",56,61.39,194,316,"Scrambling",2013
29,29,"Darron Stiles",51,61.26,204,333,"Scrambling",2013
30,30,"Graeme McDowell",53,61.09,201,329,"Scrambling",2013
31,31,"Jordan Spieth",82,61.07,298,488,"Scrambling",2013
32,32,"Keegan Bradley",88,60.88,319,524,"Scrambling",2013
33,33,"Brandt Snedeker",79,60.86,297,488,"Scrambling",2013
