"PuttingAverage_RANKTHISWEEK_2012","PuttingAverage_RANKLASTWEEK_2012","PuttingAverage_PLAYERNAME_2012","PuttingAverage_ROUNDS_2012","PuttingAverage_AVG_2012","PuttingAverage_GIRPUTTS_2012","PuttingAverage_GREENSHIT_2012","PuttingAverage_BIRDIECONVERSION_2012","PuttingAverage_GIRRANK_2012","stat_name","year"
1,1,"Jonas Blixt",72,1.718,1378,802,32.91,134,"PuttingAverage",2012
2,2,"Brandt Snedeker",81,1.725,1544,895,33.67,132,"PuttingAverage",2012
3,3,"Zach Johnson",95,1.726,1897,1099,32,101,"PuttingAverage",2012
4,4,"Greg Chalmers",88,1.733,1624,937,29.9,181,"PuttingAverage",2012
5,5,"Webb Simpson",77,1.735,1601,923,32.72,32,"PuttingAverage",2012
6,6,"Rory McIlroy",60,1.738,1121,645,34.68,60,"PuttingAverage",2012
6,6,"Bo Van Pelt",84,1.738,1741,1002,32.46,40,"PuttingAverage",2012
8,8,"Graeme McDowell",55,1.739,1120,644,31.26,67,"PuttingAverage",2012
9,9,"Ben Crane",73,1.74,1462,840,33.29,105,"PuttingAverage",2012
9,9,"Carl Pettersson",92,1.74,1841,1058,31.47,128,"PuttingAverage",2012
11,11,"Ryan Moore",89,1.742,1852,1063,32.08,61,"PuttingAverage",2012
12,12,"John Daly",50,1.743,896,514,32.3,163,"PuttingAverage",2012
13,13,"Aaron Baddeley",73,1.744,1313,753,32.67,190,"PuttingAverage",2012
14,14,"Daniel Chopra",55,1.745,958,549,30.66,183,"PuttingAverage",2012
14,14,"Luke Donald",63,1.745,1265,725,29.17,100,"PuttingAverage",2012
14,14,"Jeff Overton",101,1.745,2021,1158,31.37,63,"PuttingAverage",2012
17,17,"Brian Davis",91,1.746,1736,994,29.64,138,"PuttingAverage",2012
18,18,"Phil Mickelson",79,1.747,1593,912,33.48,120,"PuttingAverage",2012
18,18,"Scott Piercy",95,1.747,1964,1124,32.2,82,"PuttingAverage",2012
18,18,"Steve Stricker",73,1.747,1504,861,30.46,19,"PuttingAverage",2012
21,21,"Ken Duke",104,1.748,2033,1163,30.97,111,"PuttingAverage",2012
22,22,"Sangmoon Bae",81,1.749,1450,829,32.37,182,"PuttingAverage",2012
22,22,"James Driscoll",83,1.749,1551,887,30.54,157,"PuttingAverage",2012
22,22,"Padraig Harrington",67,1.749,1233,705,30.16,161,"PuttingAverage",2012
22,22,"YE Yang",64,1.749,1142,653,30.32,189,"PuttingAverage",2012
26,26,"Tommy Gainey",98,1.75,1923,1099,30.78,158,"PuttingAverage",2012
27,27,"Matt Kuchar",86,1.752,1691,965,29.53,86,"PuttingAverage",2012
28,28,"Kevin Na",80,1.753,1546,882,29.89,165,"PuttingAverage",2012
28,28,"Ryan Palmer",81,1.753,1665,950,32.11,94,"PuttingAverage",2012
28,28,"Charlie Wi",86,1.753,1620,924,29.9,184,"PuttingAverage",2012
31,31,"Tom Gillis",75,1.754,1512,862,31.74,129,"PuttingAverage",2012
31,31,"Brian Harman",101,1.754,2038,1162,29.83,127,"PuttingAverage",2012
33,33,"Spencer Levin",81,1.755,1522,867,29.58,173,"PuttingAverage",2012
34,34,"Jason Day",57,1.756,1066,607,32.18,169,"PuttingAverage",2012
34,34,"Jason Dufner",83,1.756,1793,1021,31.4,8,"PuttingAverage",2012
34,34,"Louis Oosthuizen",65,1.756,1370,780,30.12,15,"PuttingAverage",2012
37,37,"Matt Every",80,1.757,1592,906,31.24,68,"PuttingAverage",2012
38,38,"Keegan Bradley",90,1.758,1853,1054,32.13,52,"PuttingAverage",2012
