"Last5EventsScoring_RANKTHISWEEK_2009","Last5EventsScoring_RANKLASTWEEK_2009","Last5EventsScoring_PLAYERNAME_2009","Last5EventsScoring_EVENTS_2009","Last5EventsScoring_RATING_2009","stat_name","year"
1,1,"George McNeill",2,9.1,"Last5EventsScoring",2009
2,2,"Miguel Angel Jimenez",1,9,"Last5EventsScoring",2009
2,2,"Jimmy Walker",2,9,"Last5EventsScoring",2009
2,2,"Tiger Woods",4,9,"Last5EventsScoring",2009
5,5,"Todd Hamilton",1,8.9,"Last5EventsScoring",2009
5,5,"Leif Olson",1,8.9,"Last5EventsScoring",2009
7,7,"Todd Fischer",1,8.8,"Last5EventsScoring",2009
7,7,"Padraig Harrington",3,8.8,"Last5EventsScoring",2009
7,7,"Greg Kraft",1,8.8,"Last5EventsScoring",2009
7,7,"Sean OHair",2,8.8,"Last5EventsScoring",2009
7,7,"Omar Uresti",1,8.8,"Last5EventsScoring",2009
12,12,"Mathias Gronberg",2,8.7,"Last5EventsScoring",2009
12,12,"Jeff Maggert",1,8.7,"Last5EventsScoring",2009
14,14,"Michael Allen",2,8.6,"Last5EventsScoring",2009
14,14,"Stephen Ames",4,8.6,"Last5EventsScoring",2009
14,14,"Chris Baryla",1,8.6,"Last5EventsScoring",2009
14,14,"Matt Kuchar",3,8.6,"Last5EventsScoring",2009
14,14,"Shigeki Maruyama",1,8.6,"Last5EventsScoring",2009
14,14,"Tim Petrovic",3,8.6,"Last5EventsScoring",2009
14,14,"Justin Rose",5,8.6,"Last5EventsScoring",2009
14,14,"Lee Westwood",1,8.6,"Last5EventsScoring",2009
22,22,"Jim Furyk",4,8.5,"Last5EventsScoring",2009
22,22,"Bill Haas",4,8.5,"Last5EventsScoring",2009
22,22,"Jamie Lovemark",2,8.5,"Last5EventsScoring",2009
22,22,"Arron Oberholser",2,8.5,"Last5EventsScoring",2009
22,22,"Oliver Wilson",1,8.5,"Last5EventsScoring",2009
27,27,"Thomas Aiken",1,8.4,"Last5EventsScoring",2009
27,27,"Wil Collins",1,8.4,"Last5EventsScoring",2009
27,27,"Lee Janzen",1,8.4,"Last5EventsScoring",2009
27,27,"Zach Johnson",3,8.4,"Last5EventsScoring",2009
27,27,"Jonathan Kaye",2,8.4,"Last5EventsScoring",2009
27,27,"Neal Lancaster",1,8.4,"Last5EventsScoring",2009
27,27,"Joe Ogilvie",1,8.4,"Last5EventsScoring",2009
27,27,"Jeff Sluman",1,8.4,"Last5EventsScoring",2009
27,27,"Kevin Stadler",3,8.4,"Last5EventsScoring",2009
36,36,"Scott Gutschewski",2,8.3,"Last5EventsScoring",2009
36,36,"JP Hayes",3,8.3,"Last5EventsScoring",2009
36,36,"Scott Hoch",1,8.3,"Last5EventsScoring",2009
36,36,"Brandt Jobe",3,8.3,"Last5EventsScoring",2009
36,36,"John Merrick",1,8.3,"Last5EventsScoring",2009
36,36,"Ryan Moore",3,8.3,"Last5EventsScoring",2009
36,36,"Ryan Palmer",3,8.3,"Last5EventsScoring",2009
36,36,"Scott Piercy",3,8.3,"Last5EventsScoring",2009
36,36,"DA Points",5,8.3,"Last5EventsScoring",2009
36,36,"Rory Sabbatini",2,8.3,"Last5EventsScoring",2009
36,36,"Charl Schwartzel",2,8.3,"Last5EventsScoring",2009
36,36,"Hideto Tanihara",1,8.3,"Last5EventsScoring",2009
36,36,"Nicholas Thompson",3,8.3,"Last5EventsScoring",2009
36,36,"Scott Verplank",4,8.3,"Last5EventsScoring",2009
36,36,"Matt Weibring",3,8.3,"Last5EventsScoring",2009
51,52,"Aaron Baddeley",2,8.2,"Last5EventsScoring",2009
51,67,"Chad Campbell",3,8.2,"Last5EventsScoring",2009
51,52,"Tim Clark",3,8.2,"Last5EventsScoring",2009
51,52,"Marco Dawson",1,8.2,"Last5EventsScoring",2009
51,52,"Rickie Fowler",3,8.2,"Last5EventsScoring",2009
51,52,"Robert Garrigus",3,8.2,"Last5EventsScoring",2009
51,52,"James Kingston",1,8.2,"Last5EventsScoring",2009
51,52,"Martin Laird",4,8.2,"Last5EventsScoring",2009
51,52,"Bill Lunde",3,8.2,"Last5EventsScoring",2009
51,52,"Shaun Micheel",1,8.2,"Last5EventsScoring",2009
51,52,"Francesco Molinari",1,8.2,"Last5EventsScoring",2009
51,52,"Nick OHern",4,8.2,"Last5EventsScoring",2009
51,52,"Bubba Watson",2,8.2,"Last5EventsScoring",2009
51,52,"Tim Wilkinson",1,8.2,"Last5EventsScoring",2009
51,52,"Garrett Willis",3,8.2,"Last5EventsScoring",2009
66,67,"Tom Byrum",1,8.1,"Last5EventsScoring",2009
66,67,"Chris Couch",2,8.1,"Last5EventsScoring",2009
66,67,"Graham DeLaet",1,8.1,"Last5EventsScoring",2009
66,67,"Sergio Garcia",3,8.1,"Last5EventsScoring",2009
66,67,"John Huston",2,8.1,"Last5EventsScoring",2009
66,36,"Justin Leonard",3,8.1,"Last5EventsScoring",2009
66,67,"Will Ma Kenzie",2,8.1,"Last5EventsScoring",2009
66,67,"Scott McCarron",3,8.1,"Last5EventsScoring",2009
