"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2012","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2012","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2012","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2012","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2012","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2012","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2012","stat_name","year"
1,1,"Bubba Watson",68,70.73,168694.9,238512,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
2,2,"JB Holmes",90,69.26,252293.9,364253,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
3,3,"Charlie Beljan",61,69.16,140132,202619,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
4,4,"John Daly",50,68.98,124991.6,181201,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
5,5,"Dustin Johnson",70,68.39,172761.2,252603,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
6,6,"Scott Stallings",78,68.11,216329.9,317620,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
7,7,"Harrison Frazar",56,67.99,154271.3,226916,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
8,8,"Edward Loar",59,67.95,139113.1,204732,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
9,9,"Robert Garrigus",89,67.85,232783.1,343081,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
10,10,"Gary Woodland",70,67.81,165909.5,244669,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
11,11,"Scott Piercy",95,67.8,272091.8,401342,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
12,12,"Josh Teater",97,67.76,259500.9,382981,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
13,13,"Ryan Palmer",81,67.72,224624.7,331672,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
14,14,"Rory McIlroy",60,67.67,129762.8,191752,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
15,15,"Keegan Bradley",90,67.58,228403.3,337972,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
16,16,"Kyle Stanley",86,67.45,223622.9,331524,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
17,17,"Jason Kokrak",79,67.4,216659.3,321474,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
18,18,"Jhonattan Vegas",77,67.35,218093.7,323822,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
19,19,"Martin Laird",77,67.3,165840.9,246429,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
20,20,"Sean OHair",84,67.23,240615.5,357915,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
21,21,"Troy Matteson",100,67.14,260137.5,387481,"PercentageofYardagecoveredbyTeeShotsPar4s",2012
