"3PuttAvoidance25_RANKTHISWEEK_2009","3PuttAvoidance25_RANKLASTWEEK_2009","3PuttAvoidance25_PLAYERNAME_2009","3PuttAvoidance25_ROUNDS_2009","3PuttAvoidance25_Pct_2009","3PuttAvoidance25_TOTAL3PUTTS_2009","3PuttAvoidance25_ATTEMPTS_2009","3PuttAvoidance25_2PUTTORBETTERPct_2009","stat_name","year"
1,1,"Brad Faxon",59,3.83,8,209,96.1,"3PuttAvoidance25",2009
2,2,"Bob Heintz",59,4.9,10,204,95.1,"3PuttAvoidance25",2009
3,3,"Charlie Wi",92,5.59,18,322,94.4,"3PuttAvoidance25",2009
4,4,"Chez Reavie",81,5.63,16,284,94.3,"3PuttAvoidance25",2009
5,5,"Tiger Woods",64,5.66,12,212,94.3,"3PuttAvoidance25",2009
6,6,"Brian Gay",96,5.9,19,322,94.1,"3PuttAvoidance25",2009
7,7,"Scott McCarron",91,5.91,24,406,94,"3PuttAvoidance25",2009
8,8,"John Merrick",91,5.94,18,303,94,"3PuttAvoidance25",2009
9,9,"Jeff Klauk",97,6.03,26,431,93.9,"3PuttAvoidance25",2009
10,10,"Stewart Cink",79,6.2,15,242,93.8,"3PuttAvoidance25",2009
10,10,"Justin Leonard",95,6.2,17,274,93.8,"3PuttAvoidance25",2009
12,12,"Spencer Levin",75,6.23,20,321,93.7,"3PuttAvoidance25",2009
13,13,"Sergio Garcia",59,6.25,12,192,93.7,"3PuttAvoidance25",2009
13,13,"Corey Pavin",73,6.25,15,240,93.7,"3PuttAvoidance25",2009
15,15,"Jarrod Lyle",65,6.31,14,222,93.6,"3PuttAvoidance25",2009
16,16,"Jim Furyk",86,6.39,17,266,93.6,"3PuttAvoidance25",2009
17,17,"John Senden",100,6.4,29,453,93.6,"3PuttAvoidance25",2009
18,18,"Vaughn Taylor",88,6.48,21,324,93.5,"3PuttAvoidance25",2009
19,19,"Carl Pettersson",86,6.6,21,318,93.4,"3PuttAvoidance25",2009
20,20,"Padraig Harrington",66,6.63,11,166,93.3,"3PuttAvoidance25",2009
21,21,"Luke Donald",79,6.64,15,226,93.3,"3PuttAvoidance25",2009
22,22,"Scott Verplank",88,6.67,21,315,93.3,"3PuttAvoidance25",2009
23,23,"Nick Watney",86,6.81,22,323,93.1,"3PuttAvoidance25",2009
24,24,"Tommy Armour III",58,6.93,14,202,93,"3PuttAvoidance25",2009
25,25,"Phil Mickelson",66,6.95,13,187,93,"3PuttAvoidance25",2009
26,26,"Ryuji Imada",85,7.04,20,284,92.9,"3PuttAvoidance25",2009
27,27,"Eric Axley",71,7.17,18,251,92.8,"3PuttAvoidance25",2009
28,28,"Brandt Snedeker",81,7.25,20,276,92.7,"3PuttAvoidance25",2009
