"VictoryLeaders_RANKTHISWEEK_2010","VictoryLeaders_RANKLASTWEEK_2010","VictoryLeaders_PLAYERNAME_2010","VictoryLeaders_EVENTS_2010","VictoryLeaders_VICTORIES_2010","stat_name","year"
1,1,"Jim Furyk",21,3,"VictoryLeaders",2010
2,2,"Ernie Els",20,2,"VictoryLeaders",2010
2,2,"Bill Haas",25,2,"VictoryLeaders",2010
2,2,"Dustin Johnson",23,2,"VictoryLeaders",2010
2,2,"Hunter Mahan",25,2,"VictoryLeaders",2010
2,2,"Justin Rose",22,2,"VictoryLeaders",2010
2,2,"Steve Stricker",19,2,"VictoryLeaders",2010
8,8,"Stuart Appleby",31,1,"VictoryLeaders",2010
8,8,"Arjun Atwal",13,1,"VictoryLeaders",2010
8,8,"Cameron Beckman",25,1,"VictoryLeaders",2010
8,8,"Matt Bettencourt",32,1,"VictoryLeaders",2010
8,8,"Jason Bohn",25,1,"VictoryLeaders",2010
8,8,"Jonathan Byrd",26,1,"VictoryLeaders",2010
8,8,"Tim Clark",24,1,"VictoryLeaders",2010
8,8,"Ben Crane",24,1,"VictoryLeaders",2010
8,8,"Jason Day",24,1,"VictoryLeaders",2010
8,8,"Robert Garrigus",22,1,"VictoryLeaders",2010
8,8,"Charley Hoffman",24,1,"VictoryLeaders",2010
8,8,"Zach Johnson",25,1,"VictoryLeaders",2010
8,8,"Martin Kaymer",10,1,"VictoryLeaders",2010
8,8,"Anthony Kim",14,1,"VictoryLeaders",2010
8,8,"Matt Kuchar",26,1,"VictoryLeaders",2010
8,8,"Derek Lamely",28,1,"VictoryLeaders",2010
8,8,"Bill Lunde",28,1,"VictoryLeaders",2010
8,8,"Graeme McDowell",10,1,"VictoryLeaders",2010
8,8,"Rory McIlroy",16,1,"VictoryLeaders",2010
8,8,"Rocco Mediate",25,1,"VictoryLeaders",2010
8,8,"Phil Mickelson",20,1,"VictoryLeaders",2010
8,8,"Geoff Ogilvy",19,1,"VictoryLeaders",2010
8,8,"Louis Oosthuizen",5,1,"VictoryLeaders",2010
8,8,"Ryan Palmer",27,1,"VictoryLeaders",2010
8,8,"Carl Pettersson",29,1,"VictoryLeaders",2010
8,8,"Ian Poulter",15,1,"VictoryLeaders",2010
8,8,"Adam Scott",20,1,"VictoryLeaders",2010
8,8,"Heath Slocum",25,1,"VictoryLeaders",2010
8,8,"Camilo Villegas",20,1,"VictoryLeaders",2010
8,8,"Bubba Watson",22,1,"VictoryLeaders",2010
8,8,"Lee Westwood",11,1,"VictoryLeaders",2010
39,39,"Jamie Abbott",1,NA,"VictoryLeaders",2010
39,39,"Pablo Acuna",0,NA,"VictoryLeaders",2010
39,39,"Brad Adamonis",4,NA,"VictoryLeaders",2010
39,39,"Blake Adams",26,NA,"VictoryLeaders",2010
39,39,"Joe Affrunti",1,NA,"VictoryLeaders",2010
39,39,"Thomas Aiken",1,NA,"VictoryLeaders",2010
39,39,"Steven Alker",0,NA,"VictoryLeaders",2010
39,39,"Steve Allan",2,NA,"VictoryLeaders",2010
39,39,"Michael Allen",17,NA,"VictoryLeaders",2010
39,39,"Robert Allenby",22,NA,"VictoryLeaders",2010
39,39,"Jason Allred",1,NA,"VictoryLeaders",2010
39,39,"Max Alverio",1,NA,"VictoryLeaders",2010
39,39,"Stephen Ames",23,NA,"VictoryLeaders",2010
39,39,"Byeong Hun An",8,NA,"VictoryLeaders",2010
39,39,"Fredrik Andersson Hed",2,NA,"VictoryLeaders",2010
39,39,"Mark Anderson",1,NA,"VictoryLeaders",2010
39,39,"Billy Andrade",1,NA,"VictoryLeaders",2010
39,39,"Darren Angel",0,NA,"VictoryLeaders",2010
39,39,"Kiradech Aphibarnrat",0,NA,"VictoryLeaders",2010
39,39,"Philip Archer",1,NA,"VictoryLeaders",2010
