"TotalBirdies_RANKTHISWEEK_2016","TotalBirdies_RANKLASTWEEK_2016","TotalBirdies_PLAYERNAME_2016","TotalBirdies_ROUNDS_2016","TotalBirdies_TOTAL_2016","stat_name","year"
1,1,"Mark Hubbard",73,248,"TotalBirdies",2016
2,2,"Charles Howell III",63,244,"TotalBirdies",2016
3,3,"Kyle Reifers",63,230,"TotalBirdies",2016
4,9,"Harold Varner III",58,222,"TotalBirdies",2016
5,7,"Jamie Lovemark",57,221,"TotalBirdies",2016
6,6,"Si Woo Kim",63,220,"TotalBirdies",2016
7,3,"Smylie Kaufman",57,219,"TotalBirdies",2016
7,5,"Spencer Levin",62,219,"TotalBirdies",2016
9,15,"Brian Harman",60,217,"TotalBirdies",2016
10,8,"Tyrone Van Aswegen",67,215,"TotalBirdies",2016
11,13,"Michael Kim",62,213,"TotalBirdies",2016
12,18,"Patton Kizzire",57,212,"TotalBirdies",2016
13,11,"Ricky Barnes",57,210,"TotalBirdies",2016
13,10,"Derek Fathauer",58,210,"TotalBirdies",2016
13,21,"William McGirt",54,210,"TotalBirdies",2016
16,26,"Roberto Castro",55,207,"TotalBirdies",2016
17,33,"Andrew Loupe",50,206,"TotalBirdies",2016
17,22,"Daniel Summerhays",55,206,"TotalBirdies",2016
19,15,"Scott Brown",59,204,"TotalBirdies",2016
19,11,"Jason Dufner",53,204,"TotalBirdies",2016
21,19,"Kyle Stanley",57,203,"TotalBirdies",2016
22,13,"Freddie Jacobson",54,201,"TotalBirdies",2016
23,15,"Seung Yul Noh",54,199,"TotalBirdies",2016
24,23,"Nick Taylor",57,197,"TotalBirdies",2016
25,19,"Kevin Na",52,196,"TotalBirdies",2016
26,39,"Graham DeLaet",50,193,"TotalBirdies",2016
26,38,"Lucas Glover",53,193,"TotalBirdies",2016
26,43,"David Lingmerth",54,193,"TotalBirdies",2016
26,33,"Greg Owen",56,193,"TotalBirdies",2016
26,36,"Brett Stegmaier",57,193,"TotalBirdies",2016
31,26,"Peter Malnati",53,192,"TotalBirdies",2016
31,25,"Justin Thomas",53,192,"TotalBirdies",2016
33,23,"Aaron Baddeley",51,191,"TotalBirdies",2016
