"DrivingPctMeasured_RANKTHISWEEK_2012","DrivingPctMeasured_RANKLASTWEEK_2012","DrivingPctMeasured_PLAYERNAME_2012","DrivingPctMeasured_ROUNDS_2012","DrivingPctMeasured_Pct_2012","DrivingPctMeasured_TOTALDRIVESFOR_2012","DrivingPctMeasured_TOTALDRVSOVERALL_2012","DrivingPctMeasured_RELATIVETOPAR_2012","stat_name","year"
1,1,"Nick OHern",78,6.08,9,148,0.44,"DrivingPctMeasured",2012
2,2,"Gavin Coles",72,5.3,7,132,0,"DrivingPctMeasured",2012
3,3,"Tom Pernice Jr",62,4.31,5,116,0.8,"DrivingPctMeasured",2012
4,4,"Stephen Gangluff",57,3.92,4,102,1.25,"DrivingPctMeasured",2012
5,5,"Cameron Beckman",81,3.9,6,154,0.67,"DrivingPctMeasured",2012
6,6,"Kevin Na",80,3.62,5,138,0.6,"DrivingPctMeasured",2012
7,7,"Jimmy Walker",101,3.61,7,194,0.71,"DrivingPctMeasured",2012
8,8,"Stuart Appleby",75,3.52,5,142,0.4,"DrivingPctMeasured",2012
8,8,"Sung Kang",75,3.52,5,142,0.4,"DrivingPctMeasured",2012
10,10,"Rory Sabbatini",84,3.13,5,160,1,"DrivingPctMeasured",2012
11,11,"Daniel Chopra",55,3.06,3,98,0.67,"DrivingPctMeasured",2012
12,12,"Steve Wheatcroft",56,3,3,100,0.33,"DrivingPctMeasured",2012
12,12,"YE Yang",64,3,3,100,0.33,"DrivingPctMeasured",2012
14,14,"DA Points",88,2.98,5,168,0.2,"DrivingPctMeasured",2012
15,15,"Tiger Woods",69,2.94,3,102,-0.33,"DrivingPctMeasured",2012
16,16,"Ben Curtis",62,2.88,3,104,1.33,"DrivingPctMeasured",2012
17,17,"Matt Bettencourt",80,2.86,4,140,1.5,"DrivingPctMeasured",2012
18,18,"Marco Dawson",60,2.78,3,108,0.33,"DrivingPctMeasured",2012
19,19,"KJ Choi",71,2.68,3,112,0,"DrivingPctMeasured",2012
20,20,"Aaron Baddeley",73,2.59,3,116,1.67,"DrivingPctMeasured",2012
21,21,"Marc Leishman",84,2.56,4,156,0,"DrivingPctMeasured",2012
22,22,"Michael Bradley",63,2.54,3,118,0,"DrivingPctMeasured",2012
22,22,"Chris Couch",61,2.54,3,118,-0.33,"DrivingPctMeasured",2012
24,24,"Kevin Chappell",91,2.53,4,158,0.25,"DrivingPctMeasured",2012
24,24,"Chris DiMarco",83,2.53,4,158,0.5,"DrivingPctMeasured",2012
26,26,"Sean OHair",84,2.5,4,160,0.25,"DrivingPctMeasured",2012
27,27,"Gary Christian",91,2.35,4,170,0.25,"DrivingPctMeasured",2012
28,28,"Nathan Green",73,2.31,3,130,1.33,"DrivingPctMeasured",2012
29,29,"Brian Gay",91,2.3,4,174,0.5,"DrivingPctMeasured",2012
29,29,"Ryan Moore",89,2.3,4,174,0.75,"DrivingPctMeasured",2012
31,31,"Ricky Barnes",92,2.27,4,176,0.5,"DrivingPctMeasured",2012
31,31,"Billy Hurley III",70,2.27,3,132,0,"DrivingPctMeasured",2012
31,31,"Freddie Jacobson",61,2.27,2,88,0,"DrivingPctMeasured",2012
34,34,"David Toms",60,2.17,2,92,1,"DrivingPctMeasured",2012
35,35,"Jonas Blixt",72,2.14,3,140,1,"DrivingPctMeasured",2012
35,35,"Bob Estes",78,2.14,3,140,0.33,"DrivingPctMeasured",2012
37,37,"Padraig Harrington",67,2.13,2,94,1,"DrivingPctMeasured",2012
38,38,"Ken Duke",104,2.08,4,192,0.25,"DrivingPctMeasured",2012
38,38,"Michael Thompson",80,2.08,3,144,0.67,"DrivingPctMeasured",2012
40,40,"Spencer Levin",81,2,3,150,0.67,"DrivingPctMeasured",2012
40,40,"David Mathis",83,2,3,150,0.33,"DrivingPctMeasured",2012
40,40,"Vaughn Taylor",81,2,3,150,0.33,"DrivingPctMeasured",2012
43,43,"Ryuji Imada",78,1.97,3,152,0.67,"DrivingPctMeasured",2012
44,44,"Scott Dunlap",57,1.96,2,102,0,"DrivingPctMeasured",2012
45,45,"Harrison Frazar",56,1.92,2,104,0.5,"DrivingPctMeasured",2012
46,46,"Jerry Kelly",84,1.88,3,160,0,"DrivingPctMeasured",2012
47,47,"Justin Rose",69,1.85,2,108,0.5,"DrivingPctMeasured",2012
47,47,"Steve Stricker",73,1.85,2,108,-0.5,"DrivingPctMeasured",2012
49,49,"JB Holmes",90,1.83,3,164,2.33,"DrivingPctMeasured",2012
49,49,"Johnson Wagner",88,1.83,3,164,-0.33,"DrivingPctMeasured",2012
51,51,"Cameron Tringale",88,1.79,3,168,0.67,"DrivingPctMeasured",2012
52,52,"Brian Davis",91,1.76,3,170,0.67,"DrivingPctMeasured",2012
52,52,"Heath Slocum",93,1.76,3,170,0,"DrivingPctMeasured",2012
54,54,"Tim Herron",88,1.74,3,172,0,"DrivingPctMeasured",2012
54,54,"Charles Howell III",98,1.74,3,172,0.67,"DrivingPctMeasured",2012
56,56,"William McGirt",96,1.67,3,180,1,"DrivingPctMeasured",2012
57,57,"Hunter Haas",69,1.64,2,122,1,"DrivingPctMeasured",2012
58,58,"John Huh",99,1.61,3,186,1,"DrivingPctMeasured",2012
58,58,"Derek Lamely",64,1.61,2,124,0.5,"DrivingPctMeasured",2012
60,60,"Sangmoon Bae",81,1.59,2,126,0.5,"DrivingPctMeasured",2012
61,61,"Kris Blanks",65,1.56,2,128,0,"DrivingPctMeasured",2012
61,61,"Rocco Mediate",70,1.56,2,128,0,"DrivingPctMeasured",2012
63,63,"Phil Mickelson",79,1.54,2,130,-0.5,"DrivingPctMeasured",2012
64,64,"Tommy Biershenk",74,1.52,2,132,-0.5,"DrivingPctMeasured",2012
64,64,"Russell Knox",72,1.52,2,132,0,"DrivingPctMeasured",2012
66,66,"Mark Anderson",75,1.45,2,138,1,"DrivingPctMeasured",2012
66,66,"DJ Trahan",73,1.45,2,138,0.5,"DrivingPctMeasured",2012
68,68,"Mark Wilson",84,1.43,2,140,0,"DrivingPctMeasured",2012
69,69,"Keegan Bradley",90,1.39,2,144,0,"DrivingPctMeasured",2012
70,70,"Erik Compton",81,1.37,2,146,1,"DrivingPctMeasured",2012
70,70,"Justin Leonard",79,1.37,2,146,1,"DrivingPctMeasured",2012
72,72,"Tom Gillis",75,1.33,2,150,0,"DrivingPctMeasured",2012
72,72,"Colt Knost",79,1.33,2,150,2.5,"DrivingPctMeasured",2012
72,72,"Pat Perez",81,1.33,2,150,0,"DrivingPctMeasured",2012
75,75,"Angel Cabrera",54,1.32,1,76,1,"DrivingPctMeasured",2012
75,75,"Ryo Ishikawa",54,1.32,1,76,1,"DrivingPctMeasured",2012
77,77,"George McNeill",85,1.3,2,154,-0.5,"DrivingPctMeasured",2012
77,77,"Bryce Molder",83,1.3,2,154,0,"DrivingPctMeasured",2012
77,77,"Camilo Villegas",79,1.3,2,154,1,"DrivingPctMeasured",2012
80,80,"John Merrick",83,1.27,2,158,0,"DrivingPctMeasured",2012
81,81,"Ian Poulter",57,1.25,1,80,0,"DrivingPctMeasured",2012
81,81,"Lee Westwood",60,1.25,1,80,0,"DrivingPctMeasured",2012
81,81,"Charlie Wi",86,1.25,2,160,-0.5,"DrivingPctMeasured",2012
84,84,"Robert Garrigus",89,1.23,2,162,1,"DrivingPctMeasured",2012
84,84,"JJ Henry",93,1.23,2,162,1,"DrivingPctMeasured",2012
86,86,"Kyle Reifers",86,1.22,2,164,-0.5,"DrivingPctMeasured",2012
87,87,"Jeff Maggert",83,1.2,2,166,1,"DrivingPctMeasured",2012
87,87,"Kevin Streelman",89,1.2,2,166,1,"DrivingPctMeasured",2012
89,89,"Adam Scott",59,1.19,1,84,0,"DrivingPctMeasured",2012
90,90,"Henrik Stenson",51,1.16,1,86,1,"DrivingPctMeasured",2012
91,91,"Sergio Garcia",57,1.14,1,88,0,"DrivingPctMeasured",2012
92,92,"Kyle Thompson",51,1.11,1,90,2,"DrivingPctMeasured",2012
93,93,"Martin Flores",95,1.1,2,182,1,"DrivingPctMeasured",2012
94,94,"Stephen Ames",54,1.09,1,92,0,"DrivingPctMeasured",2012
95,95,"JJ Killeen",101,1.08,2,186,1,"DrivingPctMeasured",2012
96,96,"Harris English",98,1.06,2,188,0,"DrivingPctMeasured",2012
97,97,"David Hearn",95,1.05,2,190,0.5,"DrivingPctMeasured",2012
97,97,"Jeff Overton",101,1.05,2,190,0,"DrivingPctMeasured",2012
99,99,"Luke Donald",63,1.04,1,96,1,"DrivingPctMeasured",2012
100,100,"Bud Cauley",99,1.03,2,194,-0.5,"DrivingPctMeasured",2012
101,101,"Edward Loar",59,0.98,1,102,1,"DrivingPctMeasured",2012
102,102,"Patrick Sheehan",58,0.96,1,104,1,"DrivingPctMeasured",2012
103,103,"Garth Mulroy",59,0.94,1,106,1,"DrivingPctMeasured",2012
104,104,"Billy Horschel",63,0.91,1,110,0,"DrivingPctMeasured",2012
105,105,"Jonathan Byrd",69,0.89,1,112,1,"DrivingPctMeasured",2012
105,105,"Alexandre Rocha",62,0.89,1,112,2,"DrivingPctMeasured",2012
107,107,"Stewart Cink",71,0.88,1,114,0,"DrivingPctMeasured",2012
108,108,"Geoff Ogilvy",73,0.86,1,116,0,"DrivingPctMeasured",2012
109,109,"Scott Brown",65,0.85,1,118,-1,"DrivingPctMeasured",2012
110,110,"Kevin Kisner",69,0.82,1,122,1,"DrivingPctMeasured",2012
111,111,"Trevor Immelman",76,0.78,1,128,0,"DrivingPctMeasured",2012
111,111,"John Senden",81,0.78,1,128,1,"DrivingPctMeasured",2012
113,113,"Miguel Angel Carballo",73,0.77,1,130,2,"DrivingPctMeasured",2012
114,114,"Danny Lee",74,0.76,1,132,0,"DrivingPctMeasured",2012
115,115,"Jim Furyk",85,0.74,1,136,1,"DrivingPctMeasured",2012
115,115,"Brandt Snedeker",81,0.74,1,136,0,"DrivingPctMeasured",2012
117,117,"John Mallinger",74,0.71,1,140,0,"DrivingPctMeasured",2012
117,117,"Brendon Todd",78,0.71,1,140,0,"DrivingPctMeasured",2012
119,119,"Jason Bohn",81,0.7,1,142,-1,"DrivingPctMeasured",2012
119,119,"Brendan Steele",77,0.7,1,142,2,"DrivingPctMeasured",2012
121,121,"Matt Every",80,0.69,1,144,1,"DrivingPctMeasured",2012
122,122,"Arjun Atwal",79,0.68,1,146,2,"DrivingPctMeasured",2012
122,122,"Chez Reavie",83,0.68,1,146,1,"DrivingPctMeasured",2012
124,124,"Graham DeLaet",79,0.67,1,150,0,"DrivingPctMeasured",2012
124,124,"Jhonattan Vegas",77,0.67,1,150,1,"DrivingPctMeasured",2012
126,126,"James Driscoll",83,0.65,1,154,3,"DrivingPctMeasured",2012
126,126,"Kevin Stadler",85,0.65,1,154,-1,"DrivingPctMeasured",2012
128,128,"Zach Johnson",95,0.64,1,156,0,"DrivingPctMeasured",2012
129,129,"Chad Campbell",84,0.63,1,160,0,"DrivingPctMeasured",2012
129,129,"Greg Chalmers",88,0.63,1,158,0,"DrivingPctMeasured",2012
129,129,"Nick Watney",97,0.63,1,160,1,"DrivingPctMeasured",2012
132,132,"Chris Stroud",86,0.6,1,168,1,"DrivingPctMeasured",2012
133,133,"Vijay Singh",99,0.59,1,170,0,"DrivingPctMeasured",2012
134,134,"Charley Hoffman",88,0.58,1,172,3,"DrivingPctMeasured",2012
134,134,"Greg Owen",90,0.58,1,172,0,"DrivingPctMeasured",2012
136,136,"Josh Teater",97,0.54,1,186,-1,"DrivingPctMeasured",2012
137,137,"Blake Adams",107,0.53,1,190,1,"DrivingPctMeasured",2012
138,138,"Tommy Gainey",98,0.52,1,192,-1,"DrivingPctMeasured",2012
139,139,"Brian Harman",101,0.51,1,198,0,"DrivingPctMeasured",2012
140,140,"Robert Allenby",76,0,NA,144,0,"DrivingPctMeasured",2012
140,140,"Charlie Beljan",61,0,NA,106,0,"DrivingPctMeasured",2012
140,140,"Roberto Castro",92,0,NA,168,0,"DrivingPctMeasured",2012
140,140,"Tim Clark",60,0,NA,100,0,"DrivingPctMeasured",2012
