"SmashFactor_RANKTHISWEEK_2015","SmashFactor_RANKLASTWEEK_2015","SmashFactor_PLAYERNAME_2015","SmashFactor_ROUNDS_2015","SmashFactor_AVG_2015","SmashFactor_TOTALSMASHFACTOR_2015","SmashFactor_TOTALATTEMPTS_2015","SmashFactor_HIGHESTVALUE_2015","SmashFactor_LOWESTVALUE_2015","stat_name","year"
1,1,"Ryan Palmer",80,1.501,99.064,66,1.529,1.446,"SmashFactor",2015
2,2,"David Toms",62,1.5,92.981,62,1.524,1.464,"SmashFactor",2015
3,3,"Harris English",105,1.499,148.439,99,1.532,1.474,"SmashFactor",2015
3,3,"Bill Lunde",50,1.499,59.954,40,1.52,1.472,"SmashFactor",2015
3,3,"Carl Pettersson",106,1.499,157.411,105,1.53,1.484,"SmashFactor",2015
3,3,"Camilo Villegas",83,1.499,127.396,85,1.526,1.48,"SmashFactor",2015
7,7,"Ernie Els",57,1.498,56.941,38,1.525,1.482,"SmashFactor",2015
7,7,"Brian Stuard",97,1.498,142.294,95,1.522,1.445,"SmashFactor",2015
9,9,"Ben Crane",62,1.497,80.839,54,1.526,1.47,"SmashFactor",2015
10,10,"Oscar Fraustro",58,1.496,64.321,43,1.524,1.471,"SmashFactor",2015
10,10,"Louis Oosthuizen",68,1.496,67.319,45,1.518,1.455,"SmashFactor",2015
10,10,"Jordan Spieth",91,1.496,103.233,69,1.522,1.467,"SmashFactor",2015
10,10,"Nick Taylor",91,1.496,137.607,92,1.525,1.454,"SmashFactor",2015
14,14,"Angel Cabrera",53,1.495,76.22,51,1.526,1.426,"SmashFactor",2015
14,14,"Robert Garrigus",70,1.495,79.225,53,1.527,1.442,"SmashFactor",2015
14,14,"Luke Guthrie",84,1.495,121.097,81,1.526,1.466,"SmashFactor",2015
14,14,"Jason Kokrak",88,1.495,127.078,85,1.521,1.455,"SmashFactor",2015
14,14,"David Lingmerth",90,1.495,128.534,86,1.526,1.449,"SmashFactor",2015
19,19,"Jamie Donaldson",50,1.494,67.232,45,1.52,1.477,"SmashFactor",2015
19,19,"Chesson Hadley",101,1.494,137.444,92,1.539,1.407,"SmashFactor",2015
19,19,"Justin Leonard",61,1.494,94.131,63,1.531,1.416,"SmashFactor",2015
19,19,"Hunter Mahan",88,1.494,109.028,73,1.519,1.462,"SmashFactor",2015
19,19,"Jeff Overton",94,1.494,128.47,86,1.519,1.439,"SmashFactor",2015
19,19,"Adam Scott",51,1.494,55.272,37,1.516,1.469,"SmashFactor",2015
19,19,"Brandt Snedeker",98,1.494,140.455,94,1.525,1.43,"SmashFactor",2015
19,19,"Nicholas Thompson",90,1.494,128.454,86,1.532,1.417,"SmashFactor",2015
19,19,"Bubba Watson",71,1.494,79.173,53,1.524,1.449,"SmashFactor",2015
28,28,"Jonas Blixt",78,1.493,86.605,58,1.539,1.456,"SmashFactor",2015
28,28,"Chad Campbell",97,1.493,150.833,101,1.522,1.453,"SmashFactor",2015
28,28,"Brice Garnett",81,1.493,109.001,73,1.52,1.461,"SmashFactor",2015
28,28,"Jim Herman",88,1.493,126.888,85,1.523,1.436,"SmashFactor",2015
28,28,"Dustin Johnson",75,1.493,73.167,49,1.528,1.455,"SmashFactor",2015
28,28,"Martin Laird",77,1.493,104.527,70,1.533,1.442,"SmashFactor",2015
28,28,"Scott Piercy",90,1.493,128.363,86,1.528,1.458,"SmashFactor",2015
35,35,"Zach Johnson",90,1.492,128.34,86,1.517,1.412,"SmashFactor",2015
35,35,"Chris Stroud",84,1.492,107.391,72,1.533,1.433,"SmashFactor",2015
35,35,"Michael Thompson",83,1.492,126.779,85,1.522,1.448,"SmashFactor",2015
35,35,"Bo Van Pelt",81,1.492,111.867,75,1.521,1.463,"SmashFactor",2015
39,39,"Robert Allenby",63,1.491,89.43,60,1.523,1.427,"SmashFactor",2015
39,39,"Blayne Barber",76,1.491,102.898,69,1.52,1.439,"SmashFactor",2015
39,39,"John Merrick",78,1.491,96.929,65,1.52,1.44,"SmashFactor",2015
39,39,"Carlos Ortiz",100,1.491,147.575,99,1.52,1.453,"SmashFactor",2015
39,39,"Scott Stallings",60,1.491,80.527,54,1.519,1.473,"SmashFactor",2015
39,39,"Justin Thomas",106,1.491,152.062,102,1.523,1.454,"SmashFactor",2015
39,39,"Jimmy Walker",89,1.491,108.833,73,1.521,1.418,"SmashFactor",2015
46,46,"KJ Choi",66,1.49,87.892,59,1.52,1.418,"SmashFactor",2015
46,46,"Charles Howell III",105,1.49,162.359,109,1.525,1.42,"SmashFactor",2015
46,46,"Hideki Matsuyama",95,1.49,128.142,86,1.522,1.45,"SmashFactor",2015
46,46,"SJ Park",79,1.49,99.81,67,1.534,1.444,"SmashFactor",2015
46,46,"Heath Slocum",57,1.49,65.569,44,1.523,1.455,"SmashFactor",2015
51,51,"Scott Brown",97,1.489,126.523,85,1.521,1.43,"SmashFactor",2015
51,51,"Roberto Castro",54,1.489,58.081,39,1.518,1.462,"SmashFactor",2015
51,51,"Brian Davis",86,1.489,126.577,85,1.517,1.43,"SmashFactor",2015
51,51,"Padraig Harrington",60,1.489,84.845,57,1.516,1.429,"SmashFactor",2015
51,51,"Charley Hoffman",97,1.489,126.607,85,1.521,1.459,"SmashFactor",2015
51,51,"JB Holmes",89,1.489,105.696,71,1.533,1.44,"SmashFactor",2015
