"Approach150175yardsRTPScore_RANKTHISWEEK_2009","Approach150175yardsRTPScore_RANKLASTWEEK_2009","Approach150175yardsRTPScore_PLAYERNAME_2009","Approach150175yardsRTPScore_ROUNDS_2009","Approach150175yardsRTPScore_AVGRTP_2009","stat_name","year"
1,1,"Luke Donald",79,-0.193,"Approach150175yardsRTPScore",2009
2,2,"Fred Couples",54,-0.147,"Approach150175yardsRTPScore",2009
2,2,"Matt Jones",56,-0.147,"Approach150175yardsRTPScore",2009
2,2,"Brandt Snedeker",81,-0.147,"Approach150175yardsRTPScore",2009
2,2,"Tiger Woods",64,-0.147,"Approach150175yardsRTPScore",2009
6,6,"Ernie Els",70,-0.146,"Approach150175yardsRTPScore",2009
7,7,"Andres Romero",58,-0.144,"Approach150175yardsRTPScore",2009
8,8,"Kevin Na",91,-0.141,"Approach150175yardsRTPScore",2009
9,9,"Brian Gay",96,-0.138,"Approach150175yardsRTPScore",2009
10,10,"Scott Sterling",51,-0.136,"Approach150175yardsRTPScore",2009
11,11,"Scott Verplank",88,-0.134,"Approach150175yardsRTPScore",2009
12,12,"Chris Riley",77,-0.132,"Approach150175yardsRTPScore",2009
13,13,"Tag Ridings",50,-0.128,"Approach150175yardsRTPScore",2009
14,14,"Cameron Beckman",87,-0.12,"Approach150175yardsRTPScore",2009
15,15,"JB Holmes",74,-0.115,"Approach150175yardsRTPScore",2009
16,16,"Padraig Harrington",66,-0.113,"Approach150175yardsRTPScore",2009
17,17,"Hunter Mahan",94,-0.111,"Approach150175yardsRTPScore",2009
17,17,"Rory Sabbatini",81,-0.111,"Approach150175yardsRTPScore",2009
19,19,"Sean OHair",80,-0.107,"Approach150175yardsRTPScore",2009
20,20,"Mike Weir",85,-0.106,"Approach150175yardsRTPScore",2009
21,21,"Harrison Frazar",93,-0.101,"Approach150175yardsRTPScore",2009
22,22,"Briny Baird",89,-0.098,"Approach150175yardsRTPScore",2009
23,23,"Michael Letzig",96,-0.097,"Approach150175yardsRTPScore",2009
24,24,"Matt Kuchar",82,-0.096,"Approach150175yardsRTPScore",2009
24,24,"Parker McLachlin",71,-0.096,"Approach150175yardsRTPScore",2009
24,24,"Darron Stiles",52,-0.096,"Approach150175yardsRTPScore",2009
27,27,"Bo Van Pelt",100,-0.095,"Approach150175yardsRTPScore",2009
28,28,"Jason Bohn",88,-0.094,"Approach150175yardsRTPScore",2009
28,28,"Bob Heintz",59,-0.094,"Approach150175yardsRTPScore",2009
28,28,"Geoff Ogilvy",78,-0.094,"Approach150175yardsRTPScore",2009
31,31,"Tim Clark",81,-0.089,"Approach150175yardsRTPScore",2009
31,31,"Steve Stricker",81,-0.089,"Approach150175yardsRTPScore",2009
33,33,"Chad Campbell",90,-0.088,"Approach150175yardsRTPScore",2009
33,33,"Justin Leonard",95,-0.088,"Approach150175yardsRTPScore",2009
35,35,"Zach Johnson",94,-0.087,"Approach150175yardsRTPScore",2009
35,35,"Ian Poulter",59,-0.087,"Approach150175yardsRTPScore",2009
37,37,"Alex Cejka",82,-0.086,"Approach150175yardsRTPScore",2009
38,38,"Jim Furyk",86,-0.085,"Approach150175yardsRTPScore",2009
39,39,"Freddie Jacobson",83,-0.084,"Approach150175yardsRTPScore",2009
40,40,"Dustin Johnson",85,-0.083,"Approach150175yardsRTPScore",2009
40,40,"Corey Pavin",73,-0.083,"Approach150175yardsRTPScore",2009
42,42,"Woody Austin",84,-0.082,"Approach150175yardsRTPScore",2009
42,42,"Matt Weibring",65,-0.082,"Approach150175yardsRTPScore",2009
44,44,"Ben Crane",93,-0.081,"Approach150175yardsRTPScore",2009
44,44,"Marc Leishman",91,-0.081,"Approach150175yardsRTPScore",2009
44,44,"Scott McCarron",91,-0.081,"Approach150175yardsRTPScore",2009
47,47,"Steve Elkington",70,-0.08,"Approach150175yardsRTPScore",2009
47,47,"Brett Quigley",92,-0.08,"Approach150175yardsRTPScore",2009
49,49,"Richard Johnson",85,-0.077,"Approach150175yardsRTPScore",2009
50,50,"Charlie Wi",92,-0.076,"Approach150175yardsRTPScore",2009
51,51,"Kevin Sutherland",96,-0.075,"Approach150175yardsRTPScore",2009
52,52,"John Merrick",91,-0.074,"Approach150175yardsRTPScore",2009
53,53,"Kevin Stadler",65,-0.073,"Approach150175yardsRTPScore",2009
53,53,"Casey Wittenberg",71,-0.073,"Approach150175yardsRTPScore",2009
55,55,"Bryce Molder",69,-0.071,"Approach150175yardsRTPScore",2009
56,56,"John Mallinger",90,-0.07,"Approach150175yardsRTPScore",2009
56,56,"Carl Pettersson",86,-0.07,"Approach150175yardsRTPScore",2009
56,56,"DJ Trahan",96,-0.07,"Approach150175yardsRTPScore",2009
59,59,"Lucas Glover",93,-0.068,"Approach150175yardsRTPScore",2009
60,60,"Brian Bateman",55,-0.067,"Approach150175yardsRTPScore",2009
60,60,"Chris DiMarco",97,-0.067,"Approach150175yardsRTPScore",2009
60,60,"Charley Hoffman",97,-0.067,"Approach150175yardsRTPScore",2009
63,63,"Greg Chalmers",85,-0.066,"Approach150175yardsRTPScore",2009
63,63,"Bob Estes",78,-0.066,"Approach150175yardsRTPScore",2009
63,63,"Kevin Streelman",97,-0.066,"Approach150175yardsRTPScore",2009
66,66,"Rich Beem",77,-0.065,"Approach150175yardsRTPScore",2009
66,66,"Dean Wilson",81,-0.065,"Approach150175yardsRTPScore",2009
68,68,"Derek Fathauer",63,-0.064,"Approach150175yardsRTPScore",2009
69,69,"Michael Allen",73,-0.063,"Approach150175yardsRTPScore",2009
69,69,"Stephen Ames",77,-0.063,"Approach150175yardsRTPScore",2009
69,69,"Lee Janzen",74,-0.063,"Approach150175yardsRTPScore",2009
69,69,"Spencer Levin",75,-0.063,"Approach150175yardsRTPScore",2009
73,73,"Brendon de Jonge",90,-0.061,"Approach150175yardsRTPScore",2009
74,74,"Jerry Kelly",90,-0.059,"Approach150175yardsRTPScore",2009
74,74,"David Toms",98,-0.059,"Approach150175yardsRTPScore",2009
76,76,"Sergio Garcia",59,-0.058,"Approach150175yardsRTPScore",2009
76,76,"Webb Simpson",94,-0.058,"Approach150175yardsRTPScore",2009
78,78,"Ryan Moore",89,-0.056,"Approach150175yardsRTPScore",2009
79,79,"Jonathan Byrd",89,-0.055,"Approach150175yardsRTPScore",2009
79,79,"Kenny Perry",92,-0.055,"Approach150175yardsRTPScore",2009
81,81,"Steve Marino",98,-0.052,"Approach150175yardsRTPScore",2009
81,81,"Chris Stroud",88,-0.052,"Approach150175yardsRTPScore",2009
83,83,"Tommy Armour III",58,-0.05,"Approach150175yardsRTPScore",2009
83,83,"Joe Durant",62,-0.05,"Approach150175yardsRTPScore",2009
83,83,"Greg Kraft",51,-0.05,"Approach150175yardsRTPScore",2009
83,83,"Pat Perez",74,-0.05,"Approach150175yardsRTPScore",2009
87,87,"Brian Davis",103,-0.049,"Approach150175yardsRTPScore",2009
88,88,"Ryuji Imada",85,-0.048,"Approach150175yardsRTPScore",2009
88,88,"Greg Owen",97,-0.048,"Approach150175yardsRTPScore",2009
90,90,"Tom Lehman",55,-0.047,"Approach150175yardsRTPScore",2009
90,90,"Jeff Quinney",78,-0.047,"Approach150175yardsRTPScore",2009
92,92,"Jeff Klauk",97,-0.046,"Approach150175yardsRTPScore",2009
92,92,"Cliff Kresge",78,-0.046,"Approach150175yardsRTPScore",2009
94,94,"Retief Goosen",74,-0.043,"Approach150175yardsRTPScore",2009
95,95,"Stewart Cink",79,-0.041,"Approach150175yardsRTPScore",2009
96,96,"Angel Cabrera",55,-0.04,"Approach150175yardsRTPScore",2009
96,96,"KJ Choi",65,-0.04,"Approach150175yardsRTPScore",2009
98,98,"Charles Howell III",99,-0.039,"Approach150175yardsRTPScore",2009
99,99,"Paul Goydos",79,-0.038,"Approach150175yardsRTPScore",2009
100,100,"Robert Allenby",71,-0.037,"Approach150175yardsRTPScore",2009
101,101,"Bill Lunde",83,-0.036,"Approach150175yardsRTPScore",2009
101,101,"Phil Mickelson",66,-0.036,"Approach150175yardsRTPScore",2009
101,101,"James Nitties",86,-0.036,"Approach150175yardsRTPScore",2009
104,104,"Mathew Goggin",76,-0.035,"Approach150175yardsRTPScore",2009
104,104,"Davis Love III",89,-0.035,"Approach150175yardsRTPScore",2009
106,106,"Joe Ogilvie",85,-0.034,"Approach150175yardsRTPScore",2009
