"ScoringAverageBeforeCut_RANKTHISWEEK_2010","ScoringAverageBeforeCut_RANKLASTWEEK_2010","ScoringAverageBeforeCut_PLAYERNAME_2010","ScoringAverageBeforeCut__2010","ScoringAverageBeforeCut_AVG_2010","ScoringAverageBeforeCut_TOTALSTROKES_2010","ScoringAverageBeforeCut_TOTALROUNDS_2010","stat_name","year"
1,1,"Joe Durant",NA,69.48,2779,40,"ScoringAverageBeforeCut",2010
2,2,"Matt Kuchar",NA,69.5,3614,52,"ScoringAverageBeforeCut",2010
3,3,"Charley Hoffman",NA,69.53,3546,51,"ScoringAverageBeforeCut",2010
4,4,"Steve Stricker",NA,69.64,2507,36,"ScoringAverageBeforeCut",2010
5,5,"Spencer Levin",NA,69.71,4392,63,"ScoringAverageBeforeCut",2010
6,6,"Chris DiMarco",NA,69.72,3486,50,"ScoringAverageBeforeCut",2010
7,7,"Charlie Wi",NA,69.75,3836,55,"ScoringAverageBeforeCut",2010
8,8,"Dustin Johnson",NA,69.76,3139,45,"ScoringAverageBeforeCut",2010
9,9,"Phil Mickelson",NA,69.8,2862,41,"ScoringAverageBeforeCut",2010
10,10,"Retief Goosen",NA,69.84,2584,37,"ScoringAverageBeforeCut",2010
11,11,"Steve Elkington",NA,69.87,3214,46,"ScoringAverageBeforeCut",2010
12,12,"Dean Wilson",NA,69.89,2516,36,"ScoringAverageBeforeCut",2010
13,13,"JB Holmes",NA,69.94,3707,53,"ScoringAverageBeforeCut",2010
14,14,"Tom Pernice Jr",NA,69.96,3148,45,"ScoringAverageBeforeCut",2010
14,14,"Justin Rose",NA,69.96,3218,46,"ScoringAverageBeforeCut",2010
16,16,"KJ Choi",NA,69.98,3149,45,"ScoringAverageBeforeCut",2010
16,16,"Charles Howell III",NA,69.98,4059,58,"ScoringAverageBeforeCut",2010
16,16,"Ryuji Imada",NA,69.98,4129,59,"ScoringAverageBeforeCut",2010
19,19,"Paul Casey",NA,70,2240,32,"ScoringAverageBeforeCut",2010
20,20,"Bo Van Pelt",NA,70.02,4131,59,"ScoringAverageBeforeCut",2010
21,21,"Jason Day",NA,70.06,3293,47,"ScoringAverageBeforeCut",2010
21,21,"Paul Stankowski",NA,70.06,2522,36,"ScoringAverageBeforeCut",2010
23,23,"Matt Jones",NA,70.07,3994,57,"ScoringAverageBeforeCut",2010
24,24,"Kevin Sutherland",NA,70.08,3714,53,"ScoringAverageBeforeCut",2010
25,25,"Tim Clark",NA,70.1,3435,49,"ScoringAverageBeforeCut",2010
26,26,"DJ Trahan",NA,70.11,3996,57,"ScoringAverageBeforeCut",2010
27,27,"David Toms",NA,70.12,3506,50,"ScoringAverageBeforeCut",2010
28,28,"Chad Campbell",NA,70.13,3857,55,"ScoringAverageBeforeCut",2010
28,28,"Kevin Na",NA,70.13,3717,53,"ScoringAverageBeforeCut",2010
28,28,"Jeff Overton",NA,70.13,3787,54,"ScoringAverageBeforeCut",2010
31,31,"Brendon de Jonge",NA,70.15,4700,67,"ScoringAverageBeforeCut",2010
32,32,"Tom Gillis",NA,70.16,3999,57,"ScoringAverageBeforeCut",2010
32,32,"Garrett Willis",NA,70.16,3578,51,"ScoringAverageBeforeCut",2010
34,34,"Bubba Watson",NA,70.17,3228,46,"ScoringAverageBeforeCut",2010
35,35,"Pat Perez",NA,70.18,3930,56,"ScoringAverageBeforeCut",2010
36,36,"Jonathan Byrd",NA,70.19,3720,53,"ScoringAverageBeforeCut",2010
36,36,"Chad Collins",NA,70.19,3790,54,"ScoringAverageBeforeCut",2010
36,36,"Bill Haas",NA,70.19,3650,52,"ScoringAverageBeforeCut",2010
36,36,"JP Hayes",NA,70.19,3720,53,"ScoringAverageBeforeCut",2010
40,40,"Greg Chalmers",NA,70.21,4002,57,"ScoringAverageBeforeCut",2010
41,41,"Robert Allenby",NA,70.23,2809,40,"ScoringAverageBeforeCut",2010
41,41,"Zach Johnson",NA,70.23,3371,48,"ScoringAverageBeforeCut",2010
43,43,"Shaun Micheel",NA,70.24,2950,42,"ScoringAverageBeforeCut",2010
44,44,"Carl Pettersson",NA,70.25,4215,60,"ScoringAverageBeforeCut",2010
