"Round2ScoringAverage_RANKTHISWEEK_2007","Round2ScoringAverage_RANKLASTWEEK_2007","Round2ScoringAverage_PLAYERNAME_2007","Round2ScoringAverage__2007","Round2ScoringAverage_AVG_2007","Round2ScoringAverage_TOTALSTROKES_2007","Round2ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",NA,69.27,1039,15,"Round2ScoringAverage",2007
2,2,"Vijay Singh",NA,69.42,1805,26,"Round2ScoringAverage",2007
3,3,"Freddie Jacobson",NA,69.75,1395,20,"Round2ScoringAverage",2007
4,4,"Jeff Gove",NA,69.77,2093,30,"Round2ScoringAverage",2007
5,5,"Stephen Ames",NA,69.95,1469,21,"Round2ScoringAverage",2007
6,6,"Craig Bowden",NA,70.04,1681,24,"Round2ScoringAverage",2007
7,7,"Phil Mickelson",NA,70.05,1401,20,"Round2ScoringAverage",2007
8,8,"Heath Slocum",NA,70.07,1962,28,"Round2ScoringAverage",2007
9,9,"Rich Barcelo",NA,70.08,1822,26,"Round2ScoringAverage",2007
9,9,"Alex Cejka",NA,70.08,1682,24,"Round2ScoringAverage",2007
11,11,"Mike Weir",NA,70.1,1472,21,"Round2ScoringAverage",2007
12,12,"Bill Haas",NA,70.17,2105,30,"Round2ScoringAverage",2007
13,13,"Charlie Wi",NA,70.19,1825,26,"Round2ScoringAverage",2007
14,14,"Sean OHair",NA,70.26,1897,27,"Round2ScoringAverage",2007
14,14,"Jeff Overton",NA,70.26,1335,19,"Round2ScoringAverage",2007
16,16,"Glen Day",NA,70.31,1828,26,"Round2ScoringAverage",2007
17,17,"Mathias Gronberg",NA,70.33,2110,30,"Round2ScoringAverage",2007
18,18,"Jay Williamson",NA,70.36,985,14,"Round2ScoringAverage",2007
19,19,"Tim Clark",NA,70.39,1267,18,"Round2ScoringAverage",2007
20,20,"Tag Ridings",NA,70.41,1197,17,"Round2ScoringAverage",2007
20,20,"Chris Riley",NA,70.41,1197,17,"Round2ScoringAverage",2007
22,22,"Tommy Armour III",NA,70.42,1690,24,"Round2ScoringAverage",2007
22,22,"Briny Baird",NA,70.42,2183,31,"Round2ScoringAverage",2007
24,24,"Kenny Perry",NA,70.43,1620,23,"Round2ScoringAverage",2007
25,25,"Michael Allen",NA,70.45,1550,22,"Round2ScoringAverage",2007
25,25,"Ken Duke",NA,70.45,2184,31,"Round2ScoringAverage",2007
25,25,"Steve Lowery",NA,70.45,1550,22,"Round2ScoringAverage",2007
28,28,"Ryan Armour",NA,70.47,2255,32,"Round2ScoringAverage",2007
28,28,"Brian Gay",NA,70.47,2255,32,"Round2ScoringAverage",2007
28,28,"Billy Mayfair",NA,70.47,2114,30,"Round2ScoringAverage",2007
31,31,"Nathan Green",NA,70.48,2044,29,"Round2ScoringAverage",2007
