"PuttingfromInside5_RANKTHISWEEK_2014","PuttingfromInside5_RANKLASTWEEK_2014","PuttingfromInside5_PLAYERNAME_2014","PuttingfromInside5_ROUNDS_2014","PuttingfromInside5_Pct_2014","PuttingfromInside5_ATTEMPTS_2014","PuttingfromInside5_PUTTSMADE_2014","stat_name","year"
1,1,"Jason Day",54,98.92,464,459,"PuttingfromInside5",2014
2,2,"Kevin Kisner",85,98.07,986,967,"PuttingfromInside5",2014
3,3,"Richard Lee",80,98,851,834,"PuttingfromInside5",2014
4,4,"Zach Johnson",97,97.93,1209,1184,"PuttingfromInside5",2014
4,4,"Justin Leonard",75,97.93,871,853,"PuttingfromInside5",2014
6,6,"JJ Henry",91,97.92,1155,1131,"PuttingfromInside5",2014
7,7,"Luke Donald",57,97.9,618,605,"PuttingfromInside5",2014
7,7,"David Lingmerth",80,97.9,954,934,"PuttingfromInside5",2014
9,9,"Jim Furyk",84,97.89,948,928,"PuttingfromInside5",2014
10,10,"John Senden",99,97.8,1135,1110,"PuttingfromInside5",2014
10,10,"Gary Woodland",93,97.8,1044,1021,"PuttingfromInside5",2014
12,12,"Graeme McDowell",66,97.77,627,613,"PuttingfromInside5",2014
13,13,"Freddie Jacobson",91,97.76,1117,1092,"PuttingfromInside5",2014
14,14,"Greg Chalmers",85,97.7,999,976,"PuttingfromInside5",2014
15,15,"Jason Bohn",81,97.69,1037,1013,"PuttingfromInside5",2014
16,16,"David Hearn",97,97.6,1126,1099,"PuttingfromInside5",2014
17,17,"Will Wilcox",51,97.54,568,554,"PuttingfromInside5",2014
18,18,"Jimmy Walker",98,97.53,1011,986,"PuttingfromInside5",2014
19,19,"Patrick Reed",92,97.51,1045,1019,"PuttingfromInside5",2014
20,20,"Bronson La Cassie",51,97.5,519,506,"PuttingfromInside5",2014
21,21,"Hunter Mahan",88,97.49,1037,1011,"PuttingfromInside5",2014
22,22,"Brooks Koepka",56,97.48,595,580,"PuttingfromInside5",2014
23,23,"Sean OHair",77,97.47,950,926,"PuttingfromInside5",2014
24,24,"Kevin Na",94,97.4,1075,1047,"PuttingfromInside5",2014
25,25,"Ben Martin",80,97.39,880,857,"PuttingfromInside5",2014
26,26,"Mike Weir",69,97.37,760,740,"PuttingfromInside5",2014
27,27,"Sergio Garcia",61,97.34,564,549,"PuttingfromInside5",2014
28,28,"Morgan Hoffmann",103,97.33,1238,1205,"PuttingfromInside5",2014
29,29,"Brian Harman",111,97.32,1416,1378,"PuttingfromInside5",2014
29,29,"Troy Matteson",62,97.32,708,689,"PuttingfromInside5",2014
29,29,"William McGirt",96,97.32,1193,1161,"PuttingfromInside5",2014
32,32,"Russell Henley",92,97.29,1034,1006,"PuttingfromInside5",2014
32,32,"Bryce Molder",77,97.29,924,899,"PuttingfromInside5",2014
34,34,"Johnson Wagner",69,97.28,845,822,"PuttingfromInside5",2014
34,34,"Bubba Watson",76,97.28,808,786,"PuttingfromInside5",2014
36,36,"Keegan Bradley",89,97.26,949,923,"PuttingfromInside5",2014
37,37,"Harris English",95,97.24,1051,1022,"PuttingfromInside5",2014
38,38,"Retief Goosen",94,97.22,1114,1083,"PuttingfromInside5",2014
39,39,"Tommy Gainey",73,97.2,856,832,"PuttingfromInside5",2014
39,39,"Tyrone Van Aswegen",79,97.2,929,903,"PuttingfromInside5",2014
41,41,"Chad Collins",78,97.19,853,829,"PuttingfromInside5",2014
42,42,"Josh Teater",90,97.18,1100,1069,"PuttingfromInside5",2014
43,43,"James Hahn",82,97.15,1086,1055,"PuttingfromInside5",2014
43,43,"Jeff Overton",80,97.15,911,885,"PuttingfromInside5",2014
45,45,"Danny Lee",84,97.13,940,913,"PuttingfromInside5",2014
46,46,"Billy Horschel",92,97.1,964,936,"PuttingfromInside5",2014
46,46,"Troy Merritt",62,97.1,794,771,"PuttingfromInside5",2014
48,48,"Brice Garnett",92,97.09,1098,1066,"PuttingfromInside5",2014
49,49,"Jonas Blixt",64,97.08,617,599,"PuttingfromInside5",2014
50,50,"Marc Leishman",81,97.07,991,962,"PuttingfromInside5",2014
51,51,"Chris Stroud",88,97.04,1015,985,"PuttingfromInside5",2014
52,52,"Ryan Palmer",85,97,934,906,"PuttingfromInside5",2014
52,52,"Andrew Svoboda",77,97,934,906,"PuttingfromInside5",2014
54,54,"Ben Crane",81,96.99,1097,1064,"PuttingfromInside5",2014
54,54,"Ben Curtis",77,96.99,897,870,"PuttingfromInside5",2014
56,56,"Jim Herman",62,96.98,696,675,"PuttingfromInside5",2014
56,56,"Spencer Levin",59,96.98,728,706,"PuttingfromInside5",2014
56,56,"YE Yang",79,96.98,894,867,"PuttingfromInside5",2014
59,59,"Brendon Todd",108,96.96,1252,1214,"PuttingfromInside5",2014
60,60,"Erik Compton",88,96.93,1044,1012,"PuttingfromInside5",2014
60,60,"Cameron Tringale",111,96.93,1400,1357,"PuttingfromInside5",2014
62,62,"Brandt Snedeker",89,96.89,932,903,"PuttingfromInside5",2014
63,63,"Stuart Appleby",92,96.87,1150,1114,"PuttingfromInside5",2014
63,63,"Scott Langley",95,96.87,1149,1113,"PuttingfromInside5",2014
65,65,"Tim Clark",75,96.84,885,857,"PuttingfromInside5",2014
65,65,"Daniel Summerhays",98,96.84,1265,1225,"PuttingfromInside5",2014
67,67,"Adam Scott",68,96.81,784,759,"PuttingfromInside5",2014
68,68,"Billy Hurley III",86,96.8,1031,998,"PuttingfromInside5",2014
69,69,"Scott Brown",100,96.75,1168,1130,"PuttingfromInside5",2014
70,70,"Chris Kirk",105,96.73,1192,1153,"PuttingfromInside5",2014
71,71,"George McNeill",79,96.72,976,944,"PuttingfromInside5",2014
71,71,"Bo Van Pelt",83,96.72,944,913,"PuttingfromInside5",2014
73,73,"Rickie Fowler",91,96.69,876,847,"PuttingfromInside5",2014
73,73,"Brian Gay",81,96.69,906,876,"PuttingfromInside5",2014
73,73,"Carl Pettersson",91,96.69,1240,1199,"PuttingfromInside5",2014
76,76,"Justin Hicks",103,96.67,1291,1248,"PuttingfromInside5",2014
76,76,"Andrew Loupe",65,96.67,690,667,"PuttingfromInside5",2014
78,78,"Jerry Kelly",80,96.66,928,897,"PuttingfromInside5",2014
79,79,"Bill Haas",107,96.65,1195,1155,"PuttingfromInside5",2014
79,79,"Martin Laird",66,96.65,805,778,"PuttingfromInside5",2014
81,81,"Jason Kokrak",65,96.64,862,833,"PuttingfromInside5",2014
81,81,"Brian Stuard",91,96.64,1043,1008,"PuttingfromInside5",2014
83,83,"Brendon de Jonge",109,96.62,1333,1288,"PuttingfromInside5",2014
83,83,"Derek Ernst",80,96.62,918,887,"PuttingfromInside5",2014
85,85,"Aaron Baddeley",74,96.59,821,793,"PuttingfromInside5",2014
85,85,"Matt Every",85,96.59,880,850,"PuttingfromInside5",2014
87,87,"KJ Choi",80,96.57,962,929,"PuttingfromInside5",2014
88,88,"Briny Baird",50,96.56,669,646,"PuttingfromInside5",2014
89,89,"Woody Austin",63,96.54,810,782,"PuttingfromInside5",2014
89,89,"Angel Cabrera",69,96.54,866,836,"PuttingfromInside5",2014
89,89,"Charley Hoffman",93,96.54,1069,1032,"PuttingfromInside5",2014
89,89,"Webb Simpson",87,96.54,1041,1005,"PuttingfromInside5",2014
89,89,"Brendan Steele",89,96.54,1013,978,"PuttingfromInside5",2014
94,94,"Tim Wilkinson",86,96.51,1002,967,"PuttingfromInside5",2014
95,95,"Mark Wilson",69,96.5,856,826,"PuttingfromInside5",2014
96,96,"Brad Fritsch",50,96.49,569,549,"PuttingfromInside5",2014
97,97,"Will Ma Kenzie",82,96.48,1051,1014,"PuttingfromInside5",2014
97,97,"Scott Stallings",77,96.48,910,878,"PuttingfromInside5",2014
99,99,"John Peterson",62,96.47,821,792,"PuttingfromInside5",2014
99,99,"Jordan Spieth",102,96.47,1104,1065,"PuttingfromInside5",2014
101,101,"Rory McIlroy",66,96.43,673,649,"PuttingfromInside5",2014
101,101,"Michael Putnam",106,96.43,1372,1323,"PuttingfromInside5",2014
103,103,"John Huh",87,96.42,1006,970,"PuttingfromInside5",2014
104,104,"Charles Howell III",106,96.4,1387,1337,"PuttingfromInside5",2014
105,105,"Matt Kuchar",91,96.39,1079,1040,"PuttingfromInside5",2014
106,106,"Robert Garrigus",80,96.38,1023,986,"PuttingfromInside5",2014
107,107,"Ryan Moore",86,96.36,879,847,"PuttingfromInside5",2014
108,108,"John Rollins",84,96.35,986,950,"PuttingfromInside5",2014
109,109,"David Toms",64,96.34,764,736,"PuttingfromInside5",2014
110,110,"James Driscoll",71,96.33,844,813,"PuttingfromInside5",2014
111,111,"Dustin Johnson",58,96.3,594,572,"PuttingfromInside5",2014
112,112,"Ted Potter Jr",68,96.28,861,829,"PuttingfromInside5",2014
113,113,"Bud Cauley",56,96.27,697,671,"PuttingfromInside5",2014
113,113,"Justin Rose",70,96.27,751,723,"PuttingfromInside5",2014
115,115,"Martin Kaymer",65,96.23,690,664,"PuttingfromInside5",2014
116,116,"Hudson Swafford",75,96.22,847,815,"PuttingfromInside5",2014
117,117,"Kevin Streelman",79,96.18,864,831,"PuttingfromInside5",2014
118,118,"Pat Perez",84,96.17,1071,1030,"PuttingfromInside5",2014
119,119,"DH Lee",54,96.15,650,625,"PuttingfromInside5",2014
120,120,"Andres Romero",81,96.14,1011,972,"PuttingfromInside5",2014
121,121,"Graham DeLaet",80,96.13,931,895,"PuttingfromInside5",2014
122,122,"Ian Poulter",57,96.12,593,570,"PuttingfromInside5",2014
122,122,"Kevin Stadler",90,96.12,979,941,"PuttingfromInside5",2014
124,124,"Jonathan Byrd",76,96.07,968,930,"PuttingfromInside5",2014
124,124,"Stewart Cink",91,96.07,1070,1028,"PuttingfromInside5",2014
126,126,"Kevin Tway",64,96.02,704,676,"PuttingfromInside5",2014
127,127,"Russell Knox",92,96,1200,1152,"PuttingfromInside5",2014
128,128,"Ernie Els",85,95.99,923,886,"PuttingfromInside5",2014
129,129,"Luke Guthrie",85,95.91,1076,1032,"PuttingfromInside5",2014
129,129,"Chesson Hadley",84,95.91,1027,985,"PuttingfromInside5",2014
131,131,"Brian Davis",93,95.88,1142,1095,"PuttingfromInside5",2014
132,132,"Heath Slocum",71,95.86,894,857,"PuttingfromInside5",2014
133,133,"Jeff Maggert",54,95.83,648,621,"PuttingfromInside5",2014
134,134,"Charlie Beljan",76,95.79,974,933,"PuttingfromInside5",2014
134,134,"Charlie Wi",72,95.79,949,909,"PuttingfromInside5",2014
136,136,"Martin Flores",85,95.74,986,944,"PuttingfromInside5",2014
136,136,"Shawn Stefani",60,95.74,845,809,"PuttingfromInside5",2014
138,138,"Jim Renner",61,95.73,772,739,"PuttingfromInside5",2014
139,139,"Robert Allenby",83,95.69,1021,977,"PuttingfromInside5",2014
140,140,"Kevin Chappell",100,95.68,1274,1219,"PuttingfromInside5",2014
140,140,"Wes Roach",67,95.68,718,687,"PuttingfromInside5",2014
142,142,"Michael Thompson",74,95.65,828,792,"PuttingfromInside5",2014
143,143,"Trevor Immelman",84,95.64,1010,966,"PuttingfromInside5",2014
143,143,"Ryo Ishikawa",75,95.64,872,834,"PuttingfromInside5",2014
143,143,"Charl Schwartzel",64,95.64,779,745,"PuttingfromInside5",2014
146,146,"Boo Weekley",73,95.6,863,825,"PuttingfromInside5",2014
147,147,"Sangmoon Bae",76,95.58,905,865,"PuttingfromInside5",2014
148,148,"JB Holmes",86,95.56,1125,1075,"PuttingfromInside5",2014
149,149,"Camilo Villegas",95,95.53,1207,1153,"PuttingfromInside5",2014
149,149,"Nick Watney",80,95.53,806,770,"PuttingfromInside5",2014
151,151,"Matt Jones",83,95.49,842,804,"PuttingfromInside5",2014
152,152,"DA Points",75,95.44,811,774,"PuttingfromInside5",2014
153,153,"Hideki Matsuyama",82,95.42,917,875,"PuttingfromInside5",2014
154,154,"Gonzalo Fdez Castano",83,95.4,1001,955,"PuttingfromInside5",2014
155,155,"Ricky Barnes",92,95.33,1136,1083,"PuttingfromInside5",2014
156,156,"Henrik Stenson",56,95.3,553,527,"PuttingfromInside5",2014
157,157,"Phil Mickelson",71,95.29,700,667,"PuttingfromInside5",2014
158,158,"Chad Campbell",57,95.2,687,654,"PuttingfromInside5",2014
158,158,"Seung Yul Noh",92,95.2,1083,1031,"PuttingfromInside5",2014
160,160,"Robert Streb",75,95.13,924,879,"PuttingfromInside5",2014
161,161,"Steven Bowditch",93,95.09,1162,1105,"PuttingfromInside5",2014
162,162,"Ken Duke",80,95.03,965,917,"PuttingfromInside5",2014
163,163,"Paul Casey",56,94.98,617,586,"PuttingfromInside5",2014
164,164,"Rory Sabbatini",82,94.87,936,888,"PuttingfromInside5",2014
165,165,"Davis Love III",74,94.68,939,889,"PuttingfromInside5",2014
166,166,"Nicholas Thompson",85,94.47,1048,990,"PuttingfromInside5",2014
167,167,"Vijay Singh",83,94.46,1155,1091,"PuttingfromInside5",2014
168,168,"Kyle Stanley",87,94.45,1099,1038,"PuttingfromInside5",2014
169,169,"John Merrick",87,94.37,1084,1023,"PuttingfromInside5",2014
170,170,"Geoff Ogilvy",84,94.35,1080,1019,"PuttingfromInside5",2014
171,171,"Lee Westwood",57,94.29,613,578,"PuttingfromInside5",2014
