"FinalRoundPerformance_RANKTHISWEEK_2015","FinalRoundPerformance_RANKLASTWEEK_2015","FinalRoundPerformance_PLAYERNAME_2015","FinalRoundPerformance_EVENTS_2015","FinalRoundPerformance_Pct_2015","stat_name","year"
154,154,"Steven Alker",22,37.5,"FinalRoundPerformance",2015
154,154,"Robert Allenby",25,37.5,"FinalRoundPerformance",2015
154,154,"Padraig Harrington",21,37.5,"FinalRoundPerformance",2015
154,154,"Jason Kokrak",28,37.5,"FinalRoundPerformance",2015
154,154,"Justin Leonard",22,37.5,"FinalRoundPerformance",2015
159,159,"Max Homa",27,36.36,"FinalRoundPerformance",2015
159,159,"Seung Yul Noh",21,36.36,"FinalRoundPerformance",2015
161,161,"Russell Knox",28,35,"FinalRoundPerformance",2015
162,162,"Justin Thomas",30,34.78,"FinalRoundPerformance",2015
163,163,"Jason Gore",26,33.33,"FinalRoundPerformance",2015
164,164,"Ryo Ishikawa",28,31.25,"FinalRoundPerformance",2015
165,165,"Graham DeLaet",22,30.77,"FinalRoundPerformance",2015
165,165,"Derek Fathauer",27,30.77,"FinalRoundPerformance",2015
167,167,"Adam Scott",15,30,"FinalRoundPerformance",2015
167,167,"Kevin Streelman",27,30,"FinalRoundPerformance",2015
167,167,"Andrew Svoboda",30,30,"FinalRoundPerformance",2015
170,170,"Bill Lunde",18,28.57,"FinalRoundPerformance",2015
171,171,"Brendon de Jonge",31,27.27,"FinalRoundPerformance",2015
171,171,"John Merrick",27,27.27,"FinalRoundPerformance",2015
173,173,"Erik Compton",28,25,"FinalRoundPerformance",2015
173,173,"Jason Dufner",21,25,"FinalRoundPerformance",2015
173,173,"Gonzalo Fdez Castano",28,25,"FinalRoundPerformance",2015
173,173,"Byron Smith",21,25,"FinalRoundPerformance",2015
173,173,"Tyrone Van Aswegen",20,25,"FinalRoundPerformance",2015
178,178,"Spencer Levin",31,22.22,"FinalRoundPerformance",2015
179,179,"Luke Guthrie",27,21.43,"FinalRoundPerformance",2015
180,180,"Andrew Putnam",23,20,"FinalRoundPerformance",2015
181,181,"Scott Pinckney",27,18.75,"FinalRoundPerformance",2015
182,182,"Jhonattan Vegas",27,17.65,"FinalRoundPerformance",2015
183,183,"Heath Slocum",22,16.67,"FinalRoundPerformance",2015
184,184,"Roger Sloan",20,14.29,"FinalRoundPerformance",2015
