"LateRound2ScoringAverage_RANKTHISWEEK_2008","LateRound2ScoringAverage_RANKLASTWEEK_2008","LateRound2ScoringAverage_PLAYERNAME_2008","LateRound2ScoringAverage__2008","LateRound2ScoringAverage_AVG_2008","LateRound2ScoringAverage_TOTALSTROKES_2008","LateRound2ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Brian Gay",NA,69,1173,17,"LateRound2ScoringAverage",2008
2,2,"Stephen Ames",NA,69.11,622,9,"LateRound2ScoringAverage",2008
3,3,"Gavin Coles",NA,69.25,554,8,"LateRound2ScoringAverage",2008
3,3,"John Huston",NA,69.25,554,8,"LateRound2ScoringAverage",2008
5,5,"Frank Lickliter II",NA,69.3,693,10,"LateRound2ScoringAverage",2008
6,6,"Vijay Singh",NA,69.33,624,9,"LateRound2ScoringAverage",2008
7,7,"Kenny Perry",NA,69.43,972,14,"LateRound2ScoringAverage",2008
8,8,"Tim Clark",NA,69.53,1043,15,"LateRound2ScoringAverage",2008
9,9,"Kevin Na",NA,69.57,974,14,"LateRound2ScoringAverage",2008
10,10,"Camilo Villegas",NA,69.6,696,10,"LateRound2ScoringAverage",2008
11,11,"Kevin Sutherland",NA,69.67,627,9,"LateRound2ScoringAverage",2008
12,12,"Ben Curtis",NA,69.7,697,10,"LateRound2ScoringAverage",2008
13,13,"Brad Elder",NA,69.82,768,11,"LateRound2ScoringAverage",2008
14,14,"Matt Jones",NA,69.87,1048,15,"LateRound2ScoringAverage",2008
15,15,"Steve Elkington",NA,69.89,629,9,"LateRound2ScoringAverage",2008
16,16,"Sergio Garcia",NA,69.9,699,10,"LateRound2ScoringAverage",2008
17,17,"Lucas Glover",NA,70,700,10,"LateRound2ScoringAverage",2008
17,17,"Tim Herron",NA,70,1050,15,"LateRound2ScoringAverage",2008
17,17,"Billy Mayfair",NA,70,1120,16,"LateRound2ScoringAverage",2008
17,17,"Nick Watney",NA,70,1190,17,"LateRound2ScoringAverage",2008
21,21,"Bob Estes",NA,70.07,981,14,"LateRound2ScoringAverage",2008
22,22,"Stewart Cink",NA,70.08,841,12,"LateRound2ScoringAverage",2008
23,23,"Ben Crane",NA,70.09,771,11,"LateRound2ScoringAverage",2008
24,24,"David Toms",NA,70.14,491,7,"LateRound2ScoringAverage",2008
25,25,"Anthony Kim",NA,70.17,842,12,"LateRound2ScoringAverage",2008
26,26,"Woody Austin",NA,70.2,1053,15,"LateRound2ScoringAverage",2008
26,26,"Sean OHair",NA,70.2,702,10,"LateRound2ScoringAverage",2008
28,28,"Martin Laird",NA,70.25,843,12,"LateRound2ScoringAverage",2008
