"RoughTendency_RANKTHISWEEK_2007","RoughTendency_RANKLASTWEEK_2007","RoughTendency_PLAYERNAME_2007","RoughTendency_ROUNDS_2007","RoughTendency_Pct_2007","RoughTendency_TOTALROUGH_2007","RoughTendency_POSSIBLEFWYS_2007","RoughTendency_RELATIVETOPAR_2007","stat_name","year"
1,1,"Michael Boyd",61,18.15,145,799,1.17,"RoughTendency",2007
2,2,"Jose Coceres",50,18.34,113,616,2.57,"RoughTendency",2007
3,3,"Mark Brooks",53,18.6,122,656,2.87,"RoughTendency",2007
4,4,"Jim Rutledge",59,18.96,146,770,1.58,"RoughTendency",2007
5,5,"Doug LaBelle II",104,19.05,266,1396,2.26,"RoughTendency",2007
6,6,"Brian Davis",101,19.1,259,1356,1,"RoughTendency",2007
7,7,"Craig Bowden",78,19.11,203,1062,0.69,"RoughTendency",2007
8,8,"Tommy Armour III",81,19.42,209,1076,1.39,"RoughTendency",2007
9,9,"Joe Durant",88,19.67,213,1083,1.41,"RoughTendency",2007
10,10,"Brian Gay",107,20.01,288,1439,1.63,"RoughTendency",2007
11,11,"Tom Byrum",50,20.12,129,641,2.25,"RoughTendency",2007
11,11,"Darron Stiles",65,20.12,166,825,2.05,"RoughTendency",2007
13,13,"Scott Verplank",82,20.24,184,909,1.58,"RoughTendency",2007
14,14,"Fred Funk",65,20.38,151,741,2.91,"RoughTendency",2007
15,15,"Steve Elkington",87,20.4,224,1098,1.34,"RoughTendency",2007
16,16,"Heath Slocum",101,20.5,277,1351,0.72,"RoughTendency",2007
17,17,"Jaco Van Zyl",51,20.58,141,685,1.99,"RoughTendency",2007
18,18,"Zach Johnson",76,20.59,175,850,2.11,"RoughTendency",2007
18,18,"Billy Mayfair",98,20.59,258,1253,1.4,"RoughTendency",2007
20,20,"Glen Day",85,20.64,233,1129,1.42,"RoughTendency",2007
21,21,"Kirk Triplett",77,20.65,216,1046,2.59,"RoughTendency",2007
22,22,"Jim Furyk",84,20.84,199,955,0.7,"RoughTendency",2007
23,23,"Cameron Beckman",96,21.09,271,1285,0.92,"RoughTendency",2007
24,24,"Bart Bryant",87,21.18,237,1119,1.52,"RoughTendency",2007
25,25,"Chris Riley",59,21.33,164,769,1.4,"RoughTendency",2007
26,26,"Gavin Coles",87,21.35,247,1157,1.46,"RoughTendency",2007
27,27,"John Mallinger",96,21.41,286,1336,1.47,"RoughTendency",2007
28,28,"Jerry Kelly",101,21.43,249,1162,1.2,"RoughTendency",2007
28,28,"Jay Williamson",50,21.43,150,700,1.33,"RoughTendency",2007
30,30,"Robert Gamez",88,21.5,252,1172,1.83,"RoughTendency",2007
31,31,"Steve Wheatcroft",73,21.58,208,964,1.35,"RoughTendency",2007
32,32,"Kent Jones",97,21.71,294,1354,1.97,"RoughTendency",2007
33,33,"Shaun Micheel",91,21.77,231,1061,1.3,"RoughTendency",2007
33,33,"Charles Warren",101,21.77,307,1410,1.66,"RoughTendency",2007
35,35,"Corey Pavin",81,21.84,235,1076,1.7,"RoughTendency",2007
36,36,"Bob Heintz",85,21.94,247,1126,0.97,"RoughTendency",2007
37,37,"Duffy Waldorf",69,21.96,206,938,1.21,"RoughTendency",2007
38,38,"Ryan Armour",107,21.97,316,1438,1.74,"RoughTendency",2007
39,39,"Joey Sindelar",75,22.17,225,1015,0.93,"RoughTendency",2007
40,40,"Justin Leonard",95,22.23,277,1246,1.95,"RoughTendency",2007
41,41,"Anders Hansen",55,22.39,122,545,2.13,"RoughTendency",2007
42,42,"David Branshaw",83,22.49,260,1156,1.88,"RoughTendency",2007
43,43,"Rocco Mediate",72,22.5,223,991,1.75,"RoughTendency",2007
44,44,"Ken Duke",112,22.56,328,1454,-0.15,"RoughTendency",2007
45,45,"Jeff Brehaut",59,22.6,167,739,1.08,"RoughTendency",2007
46,46,"Paul Goydos",60,22.62,166,734,2.59,"RoughTendency",2007
47,47,"Tom Lehman",62,22.64,170,751,1.59,"RoughTendency",2007
48,48,"Paul Gow",70,22.67,209,922,1.39,"RoughTendency",2007
49,49,"Tom Pernice Jr",104,22.71,292,1286,1.3,"RoughTendency",2007
50,50,"Briny Baird",115,22.72,352,1549,1.28,"RoughTendency",2007
51,51,"Tom Johnson",74,22.75,228,1002,1.67,"RoughTendency",2007
52,52,"Hunter Mahan",91,22.87,252,1102,1.83,"RoughTendency",2007
53,53,"Frank Lickliter II",95,22.97,292,1271,1.2,"RoughTendency",2007
54,54,"Alex Cejka",80,23,250,1087,0.76,"RoughTendency",2007
55,55,"Tim Clark",66,23.01,173,752,0.92,"RoughTendency",2007
56,56,"Mathew Goggin",97,23.17,300,1295,1.2,"RoughTendency",2007
57,57,"Peter Lonard",85,23.23,262,1128,1.07,"RoughTendency",2007
58,58,"Jason Gore",86,23.25,279,1200,1.22,"RoughTendency",2007
58,58,"Chris Stroud",66,23.25,202,869,1.68,"RoughTendency",2007
60,60,"Matt Kuchar",85,23.33,258,1106,1.51,"RoughTendency",2007
61,61,"Ryan Moore",92,23.42,274,1170,0.77,"RoughTendency",2007
62,62,"Chris Tidland",59,23.47,180,767,0.72,"RoughTendency",2007
63,63,"Mark Wilson",87,23.58,265,1124,1.85,"RoughTendency",2007
64,64,"Mike Weir",82,23.61,221,936,1.63,"RoughTendency",2007
65,65,"Greg Owen",81,23.65,262,1108,1.45,"RoughTendency",2007
66,66,"Charlie Wi",90,23.72,291,1227,1,"RoughTendency",2007
67,67,"Lucas Glover",98,23.77,276,1161,1.09,"RoughTendency",2007
68,68,"Michael Allen",74,23.79,232,975,1.85,"RoughTendency",2007
69,69,"Ted Purdy",102,23.85,320,1342,1.72,"RoughTendency",2007
70,70,"Craig Kanada",109,23.92,344,1438,1.54,"RoughTendency",2007
71,71,"Jeff Quinney",95,23.98,312,1301,2.18,"RoughTendency",2007
72,72,"Daisuke Maruyama",86,24.02,275,1145,2,"RoughTendency",2007
73,73,"Jeff Gove",103,24.03,345,1436,1.45,"RoughTendency",2007
74,74,"Richard Johnson",93,24.33,308,1266,1.85,"RoughTendency",2007
75,75,"Bill Haas",93,24.34,302,1241,0.96,"RoughTendency",2007
76,76,"Matt Hendrix",63,24.44,208,851,2.12,"RoughTendency",2007
76,76,"Stephen Leaney",82,24.44,272,1113,1.14,"RoughTendency",2007
76,76,"Dicky Pride",71,24.44,229,937,2.1,"RoughTendency",2007
79,79,"DJ Trahan",99,24.48,331,1352,1.09,"RoughTendency",2007
80,80,"John Senden",97,24.5,305,1245,0.46,"RoughTendency",2007
81,81,"Dean Wilson",92,24.52,281,1146,1.25,"RoughTendency",2007
82,82,"Paul Stankowski",52,24.55,164,668,1.22,"RoughTendency",2007
83,83,"Mark Calcavecchia",93,24.68,272,1102,1.4,"RoughTendency",2007
84,84,"Ben Curtis",80,24.71,237,959,2.83,"RoughTendency",2007
85,85,"Johnson Wagner",97,24.74,328,1326,1.55,"RoughTendency",2007
86,86,"Tripp Isenhour",86,24.8,277,1117,1.95,"RoughTendency",2007
87,87,"Bob Estes",88,24.87,292,1174,1.3,"RoughTendency",2007
88,88,"Ian Poulter",63,24.88,153,615,0.33,"RoughTendency",2007
89,89,"Jarrod Lyle",77,25.02,255,1019,0.94,"RoughTendency",2007
90,90,"Jesper Parnevik",88,25.04,293,1170,-0.07,"RoughTendency",2007
91,91,"Stephen Ames",81,25.06,222,886,1.44,"RoughTendency",2007
91,91,"Sean OHair",98,25.06,309,1233,0.58,"RoughTendency",2007
93,93,"Joe Ogilvie",102,25.11,335,1334,0.87,"RoughTendency",2007
94,94,"Jeff Maggert",79,25.14,278,1106,1.37,"RoughTendency",2007
95,95,"Rich Beem",89,25.16,271,1077,1.29,"RoughTendency",2007
96,96,"DJ Brigman",67,25.21,208,825,2.31,"RoughTendency",2007
96,96,"Jason Schultz",63,25.21,208,825,1.44,"RoughTendency",2007
98,98,"John Rollins",102,25.22,314,1245,1.24,"RoughTendency",2007
99,99,"Luke Donald",69,25.23,188,745,1.81,"RoughTendency",2007
100,100,"Mark Hensby",81,25.36,279,1100,1.61,"RoughTendency",2007
101,101,"Jonathan Byrd",73,25.51,238,933,1.89,"RoughTendency",2007
102,102,"Craig Barlow",52,25.52,185,725,0.97,"RoughTendency",2007
103,103,"Kevin Na",84,25.53,300,1175,1.1,"RoughTendency",2007
104,104,"Lee Janzen",66,25.66,215,838,1.91,"RoughTendency",2007
105,105,"Craig Lile",77,25.69,270,1051,1.74,"RoughTendency",2007
106,106,"Kevin Sutherland",85,25.79,277,1074,1.12,"RoughTendency",2007
107,107,"Steve Flesch",100,25.88,347,1341,1.21,"RoughTendency",2007
108,108,"Kenny Perry",83,25.89,284,1097,0.92,"RoughTendency",2007
109,109,"Justin Rose",63,25.96,156,601,1.92,"RoughTendency",2007
109,109,"David Toms",80,25.96,230,886,1.22,"RoughTendency",2007
111,111,"Bo Van Pelt",104,25.97,369,1421,0.49,"RoughTendency",2007
112,112,"Jason Bohn",57,25.98,206,793,1.8,"RoughTendency",2007
113,113,"Boo Weekley",101,26.05,309,1186,1.65,"RoughTendency",2007
114,114,"Steve Lowery",74,26.08,271,1039,1.33,"RoughTendency",2007
115,115,"Woody Austin",95,26.19,325,1241,1.2,"RoughTendency",2007
116,116,"Nathan Green",103,26.22,339,1293,0.83,"RoughTendency",2007
117,117,"Kyle Reifers",71,26.27,254,967,1.61,"RoughTendency",2007
118,118,"Shigeki Maruyama",84,26.29,305,1160,1.8,"RoughTendency",2007
119,119,"Bubba Dickerson",51,26.41,173,655,1.97,"RoughTendency",2007
120,120,"Nick Watney",87,26.45,291,1100,1.13,"RoughTendency",2007
121,121,"George McNeill",95,26.47,320,1209,0.81,"RoughTendency",2007
122,122,"Todd Hamilton",76,26.52,244,920,1.72,"RoughTendency",2007
123,123,"Brian Bateman",55,26.56,175,659,1.6,"RoughTendency",2007
123,123,"Vaughn Taylor",91,26.56,285,1073,1.51,"RoughTendency",2007
125,125,"Tim Herron",98,26.61,319,1199,1.35,"RoughTendency",2007
