"PGAChampionshipPoints_RANKTHISWEEK_2012","PGAChampionshipPoints_RANKLASTWEEK_2012","PGAChampionshipPoints_PLAYERNAME_2012","PGAChampionshipPoints_EVENTS_2012","PGAChampionshipPoints_POINTS_2012","stat_name","year"
1,1,"Rory McIlroy",6,4863960,"PGAChampionshipPoints",2012
2,2,"Brandt Snedeker",7,2714720,"PGAChampionshipPoints",2012
3,3,"Keegan Bradley",6,2088500,"PGAChampionshipPoints",2012
4,4,"Nick Watney",8,1905407,"PGAChampionshipPoints",2012
5,5,"Louis Oosthuizen",6,1832067,"PGAChampionshipPoints",2012
6,6,"Ryan Moore",7,1772020,"PGAChampionshipPoints",2012
7,7,"Sergio Garcia",6,1708800,"PGAChampionshipPoints",2012
8,8,"Justin Rose",6,1654680,"PGAChampionshipPoints",2012
9,9,"Jim Furyk",7,1612350,"PGAChampionshipPoints",2012
10,10,"Tiger Woods",6,1448036,"PGAChampionshipPoints",2012
11,11,"Dustin Johnson",6,1400385,"PGAChampionshipPoints",2012
12,12,"Jonas Blixt",7,1381897,"PGAChampionshipPoints",2012
13,13,"Phil Mickelson",6,1346450,"PGAChampionshipPoints",2012
14,14,"Lee Westwood",6,1300600,"PGAChampionshipPoints",2012
15,15,"Steve Stricker",6,1264600,"PGAChampionshipPoints",2012
16,16,"Robert Garrigus",7,1127274,"PGAChampionshipPoints",2012
17,17,"Charlie Beljan",6,956790,"PGAChampionshipPoints",2012
18,18,"Carl Pettersson",7,914293,"PGAChampionshipPoints",2012
19,19,"Luke Donald",6,907908,"PGAChampionshipPoints",2012
20,20,"Adam Scott",6,906366,"PGAChampionshipPoints",2012
21,21,"Tim Clark",6,883375,"PGAChampionshipPoints",2012
22,22,"Brendon de Jonge",8,876558,"PGAChampionshipPoints",2012
23,23,"David Lynn",1,865000,"PGAChampionshipPoints",2012
24,24,"Bubba Watson",6,852175,"PGAChampionshipPoints",2012
25,25,"Tommy Gainey",7,797068,"PGAChampionshipPoints",2012
26,26,"Bo Van Pelt",6,753321,"PGAChampionshipPoints",2012
27,27,"Jason Dufner",6,745167,"PGAChampionshipPoints",2012
28,28,"Ian Poulter",5,676220,"PGAChampionshipPoints",2012
29,29,"Jimmy Walker",7,664762,"PGAChampionshipPoints",2012
30,30,"Bud Cauley",7,603533,"PGAChampionshipPoints",2012
31,31,"Vijay Singh",7,596622,"PGAChampionshipPoints",2012
32,32,"David Toms",5,586500,"PGAChampionshipPoints",2012
33,33,"Matt Every",8,585373,"PGAChampionshipPoints",2012
34,34,"JJ Henry",4,583110,"PGAChampionshipPoints",2012
35,35,"John Senden",6,566065,"PGAChampionshipPoints",2012
36,36,"Alexandre Rocha",6,551598,"PGAChampionshipPoints",2012
37,37,"Jeff Overton",8,535487,"PGAChampionshipPoints",2012
38,38,"Kevin Stadler",6,510761,"PGAChampionshipPoints",2012
39,39,"Jason Kokrak",6,490466,"PGAChampionshipPoints",2012
40,40,"Webb Simpson",6,487527,"PGAChampionshipPoints",2012
41,41,"Scott Piercy",7,477880,"PGAChampionshipPoints",2012
42,42,"Blake Adams",7,470520,"PGAChampionshipPoints",2012
43,43,"Zach Johnson",7,466960,"PGAChampionshipPoints",2012
44,44,"Greg Chalmers",5,464125,"PGAChampionshipPoints",2012
45,45,"John Huh",7,452477,"PGAChampionshipPoints",2012
46,46,"Josh Teater",7,440715,"PGAChampionshipPoints",2012
47,47,"Tim Petrovic",4,440000,"PGAChampionshipPoints",2012
48,48,"Tom Gillis",5,436733,"PGAChampionshipPoints",2012
49,49,"Matt Kuchar",6,425290,"PGAChampionshipPoints",2012
50,50,"Ernie Els",7,402569,"PGAChampionshipPoints",2012
51,51,"Scott Stallings",7,390668,"PGAChampionshipPoints",2012
52,52,"Geoff Ogilvy",5,386772,"PGAChampionshipPoints",2012
53,53,"Bryce Molder",8,381620,"PGAChampionshipPoints",2012
54,54,"John Mallinger",6,380363,"PGAChampionshipPoints",2012
55,55,"Russell Knox",6,379070,"PGAChampionshipPoints",2012
56,56,"Jason Day",6,368447,"PGAChampionshipPoints",2012
57,57,"Graham DeLaet",4,366073,"PGAChampionshipPoints",2012
58,58,"Padraig Harrington",5,363487,"PGAChampionshipPoints",2012
59,59,"Seung Yul Noh",5,360507,"PGAChampionshipPoints",2012
60,60,"Brian Harman",7,359772,"PGAChampionshipPoints",2012
61,61,"Charles Howell III",8,356377,"PGAChampionshipPoints",2012
