"AllAroundRanking_RANKTHISWEEK_2008","AllAroundRanking_RANKLASTWEEK_2008","AllAroundRanking_PLAYERNAME_2008","AllAroundRanking_EVENTS_2008","AllAroundRanking_TOTAL_2008","stat_name","year"
1,1,"Pat Perez",27,323,"AllAroundRanking",2008
2,2,"Anthony Kim",22,394,"AllAroundRanking",2008
3,3,"Phil Mickelson",21,399,"AllAroundRanking",2008
4,4,"Bob Tway",20,402,"AllAroundRanking",2008
5,5,"Stewart Cink",23,406,"AllAroundRanking",2008
6,6,"Chad Campbell",28,420,"AllAroundRanking",2008
7,7,"Mathew Goggin",27,427,"AllAroundRanking",2008
8,8,"Camilo Villegas",22,440,"AllAroundRanking",2008
9,9,"Mark Wilson",29,444,"AllAroundRanking",2008
10,10,"Justin Leonard",25,467,"AllAroundRanking",2008
11,11,"Kevin Streelman",32,468,"AllAroundRanking",2008
12,12,"Ben Crane",25,478,"AllAroundRanking",2008
13,13,"Kevin Sutherland",26,480,"AllAroundRanking",2008
14,14,"Kenny Perry",26,489,"AllAroundRanking",2008
15,15,"John Huston",18,498,"AllAroundRanking",2008
16,16,"Bill Haas",31,500,"AllAroundRanking",2008
17,17,"Jason Gore",33,502,"AllAroundRanking",2008
18,18,"Charlie Wi",27,503,"AllAroundRanking",2008
19,19,"Padraig Harrington",15,505,"AllAroundRanking",2008
20,20,"Robert Allenby",28,508,"AllAroundRanking",2008
20,20,"Steve Marino",32,508,"AllAroundRanking",2008
22,22,"Michael Allen",28,518,"AllAroundRanking",2008
23,23,"George McNeill",29,523,"AllAroundRanking",2008
24,24,"Brenden Pappas",24,526,"AllAroundRanking",2008
25,25,"Martin Laird",29,535,"AllAroundRanking",2008
26,26,"Kevin Na",29,543,"AllAroundRanking",2008
27,27,"Mike Weir",26,545,"AllAroundRanking",2008
28,28,"Sergio Garcia",19,547,"AllAroundRanking",2008
28,28,"Adam Scott",15,547,"AllAroundRanking",2008
30,30,"Ryan Palmer",22,551,"AllAroundRanking",2008
31,31,"Vijay Singh",23,558,"AllAroundRanking",2008
32,32,"Brian Davis",34,571,"AllAroundRanking",2008
33,33,"Hunter Mahan",27,574,"AllAroundRanking",2008
34,34,"Aaron Baddeley",22,593,"AllAroundRanking",2008
35,35,"Joe Ogilvie",29,594,"AllAroundRanking",2008
36,36,"Nick Watney",27,595,"AllAroundRanking",2008
37,37,"Brian Gay",31,605,"AllAroundRanking",2008
38,38,"Tommy Gainey",24,608,"AllAroundRanking",2008
39,39,"Rory Sabbatini",23,617,"AllAroundRanking",2008
40,40,"Briny Baird",30,625,"AllAroundRanking",2008
41,41,"Jim Furyk",26,628,"AllAroundRanking",2008
42,42,"Rich Beem",29,633,"AllAroundRanking",2008
43,43,"Vaughn Taylor",32,636,"AllAroundRanking",2008
44,44,"Ken Duke",33,637,"AllAroundRanking",2008
45,45,"Scott Verplank",24,638,"AllAroundRanking",2008
46,46,"Tim Clark",27,639,"AllAroundRanking",2008
47,47,"Ben Curtis",22,641,"AllAroundRanking",2008
48,48,"DJ Trahan",27,645,"AllAroundRanking",2008
49,49,"Carl Pettersson",29,646,"AllAroundRanking",2008
50,50,"Michael Letzig",29,651,"AllAroundRanking",2008
51,51,"Jason Day",28,655,"AllAroundRanking",2008
52,52,"John Merrick",28,662,"AllAroundRanking",2008
53,53,"Gavin Coles",16,663,"AllAroundRanking",2008
53,53,"John Senden",28,663,"AllAroundRanking",2008
55,55,"Steve Elkington",25,664,"AllAroundRanking",2008
56,56,"Stephen Ames",24,665,"AllAroundRanking",2008
57,57,"Nicholas Thompson",36,667,"AllAroundRanking",2008
58,58,"Daniel Chopra",27,671,"AllAroundRanking",2008
59,59,"Kent Jones",23,675,"AllAroundRanking",2008
60,60,"Robert Garrigus",29,677,"AllAroundRanking",2008
60,60,"Bo Van Pelt",32,677,"AllAroundRanking",2008
62,62,"Frank Lickliter II",32,679,"AllAroundRanking",2008
62,62,"Rod Pampling",28,679,"AllAroundRanking",2008
64,64,"Cameron Beckman",29,682,"AllAroundRanking",2008
65,65,"Billy Mayfair",29,683,"AllAroundRanking",2008
66,66,"Dudley Hart",22,688,"AllAroundRanking",2008
67,67,"Carlos Franco",25,691,"AllAroundRanking",2008
67,67,"John Riegger",24,691,"AllAroundRanking",2008
69,69,"Boo Weekley",24,694,"AllAroundRanking",2008
70,70,"Stuart Appleby",23,702,"AllAroundRanking",2008
71,71,"JB Holmes",26,703,"AllAroundRanking",2008
72,72,"Jonathan Byrd",27,705,"AllAroundRanking",2008
73,73,"Davis Love III",23,706,"AllAroundRanking",2008
74,74,"Parker McLachlin",27,712,"AllAroundRanking",2008
75,75,"Fred Couples",18,715,"AllAroundRanking",2008
75,75,"Tom Pernice Jr",30,715,"AllAroundRanking",2008
77,77,"Lucas Glover",26,723,"AllAroundRanking",2008
77,77,"Charley Hoffman",29,723,"AllAroundRanking",2008
79,79,"David Toms",20,729,"AllAroundRanking",2008
80,80,"Tag Ridings",29,730,"AllAroundRanking",2008
81,81,"Marc Turnesa",29,741,"AllAroundRanking",2008
82,82,"Shane Bertsch",29,748,"AllAroundRanking",2008
83,83,"Kevin Stadler",30,749,"AllAroundRanking",2008
84,84,"Charles Howell III",31,751,"AllAroundRanking",2008
85,85,"Bubba Watson",29,755,"AllAroundRanking",2008
86,86,"Todd Demsey",25,756,"AllAroundRanking",2008
87,87,"Bob Estes",28,757,"AllAroundRanking",2008
88,88,"Zach Johnson",25,759,"AllAroundRanking",2008
89,89,"Nick OHern",26,763,"AllAroundRanking",2008
89,89,"Corey Pavin",20,763,"AllAroundRanking",2008
91,91,"Tim Herron",28,764,"AllAroundRanking",2008
92,92,"Brad Adamonis",29,769,"AllAroundRanking",2008
93,93,"Steve Flesch",29,777,"AllAroundRanking",2008
94,94,"KJ Choi",21,779,"AllAroundRanking",2008
95,95,"Troy Matteson",30,781,"AllAroundRanking",2008
96,96,"Woody Austin",30,782,"AllAroundRanking",2008
97,97,"John Mallinger",29,783,"AllAroundRanking",2008
98,98,"Heath Slocum",29,788,"AllAroundRanking",2008
99,99,"Steve Allan",21,791,"AllAroundRanking",2008
99,99,"Jeff Maggert",28,791,"AllAroundRanking",2008
101,101,"Freddie Jacobson",24,792,"AllAroundRanking",2008
102,102,"Mark Hensby",26,794,"AllAroundRanking",2008
103,103,"Tommy Armour III",25,795,"AllAroundRanking",2008
104,104,"Dustin Johnson",30,796,"AllAroundRanking",2008
105,105,"Brett Quigley",25,797,"AllAroundRanking",2008
106,106,"Tim Petrovic",32,799,"AllAroundRanking",2008
107,107,"Nathan Green",30,803,"AllAroundRanking",2008
108,108,"Steve Stricker",22,804,"AllAroundRanking",2008
109,109,"Joe Durant",28,805,"AllAroundRanking",2008
109,109,"Matt Kuchar",27,805,"AllAroundRanking",2008
111,111,"Tim Wilkinson",29,813,"AllAroundRanking",2008
112,112,"John Rollins",28,814,"AllAroundRanking",2008
113,113,"Ryan Armour",32,819,"AllAroundRanking",2008
113,113,"Sean OHair",25,819,"AllAroundRanking",2008
115,115,"Tom Scherrer",20,830,"AllAroundRanking",2008
116,116,"Glen Day",19,831,"AllAroundRanking",2008
117,117,"Bart Bryant",23,832,"AllAroundRanking",2008
118,118,"Charles Warren",29,836,"AllAroundRanking",2008
119,119,"Craig Kanada",23,838,"AllAroundRanking",2008
120,120,"Chez Reavie",30,841,"AllAroundRanking",2008
120,120,"YE Yang",29,841,"AllAroundRanking",2008
122,122,"Jeff Overton",32,845,"AllAroundRanking",2008
123,123,"Brandt Snedeker",26,846,"AllAroundRanking",2008
124,124,"Mathias Gronberg",30,847,"AllAroundRanking",2008
124,124,"Ryuji Imada",25,847,"AllAroundRanking",2008
126,126,"Omar Uresti",24,853,"AllAroundRanking",2008
127,127,"Marco Dawson",21,857,"AllAroundRanking",2008
128,128,"Ryan Moore",24,860,"AllAroundRanking",2008
129,129,"Matt Jones",31,862,"AllAroundRanking",2008
129,129,"Chris Riley",17,862,"AllAroundRanking",2008
131,131,"Patrick Sheehan",35,866,"AllAroundRanking",2008
132,132,"Paul Casey",16,867,"AllAroundRanking",2008
133,133,"Ernie Els",16,868,"AllAroundRanking",2008
133,133,"Harrison Frazar",23,868,"AllAroundRanking",2008
135,135,"James Driscoll",28,869,"AllAroundRanking",2008
136,136,"Alejandro Canizares",16,871,"AllAroundRanking",2008
