"ScramblingfromtheFringe_RANKTHISWEEK_2011","ScramblingfromtheFringe_RANKLASTWEEK_2011","ScramblingfromtheFringe_PLAYERNAME_2011","ScramblingfromtheFringe_ROUNDS_2011","ScramblingfromtheFringe_Pct_2011","ScramblingfromtheFringe_SUCCESSES_2011","ScramblingfromtheFringe_ATTEMPTS_2011","stat_name","year"
1,1,"Ben Crane",76,100,44,44,"ScramblingfromtheFringe",2011
1,1,"Padraig Harrington",60,100,54,54,"ScramblingfromtheFringe",2011
3,3,"Nathan Green",81,98.31,58,59,"ScramblingfromtheFringe",2011
4,4,"Robert Allenby",84,98.04,50,51,"ScramblingfromtheFringe",2011
5,5,"Angel Cabrera",50,96.97,32,33,"ScramblingfromtheFringe",2011
6,6,"Ryan Palmer",82,96.43,81,84,"ScramblingfromtheFringe",2011
7,7,"Zach Johnson",79,96.36,53,55,"ScramblingfromtheFringe",2011
8,8,"Charles Howell III",108,96.05,73,76,"ScramblingfromtheFringe",2011
9,9,"Bryce Molder",82,95.71,67,70,"ScramblingfromtheFringe",2011
10,10,"Brian Gay",90,95.38,62,65,"ScramblingfromtheFringe",2011
11,11,"Aaron Baddeley",77,94.74,54,57,"ScramblingfromtheFringe",2011
12,12,"Anthony Kim",72,94.55,52,55,"ScramblingfromtheFringe",2011
12,12,"Chez Reavie",92,94.55,52,55,"ScramblingfromtheFringe",2011
14,14,"Robert Karlsson",61,94.34,50,53,"ScramblingfromtheFringe",2011
15,15,"Kevin Kisner",70,94.23,49,52,"ScramblingfromtheFringe",2011
16,16,"Ernie Els",71,94.12,48,51,"ScramblingfromtheFringe",2011
17,17,"Garrett Willis",71,93.85,61,65,"ScramblingfromtheFringe",2011
18,18,"Stephen Ames",69,93.75,45,48,"ScramblingfromtheFringe",2011
18,18,"Derek Lamely",65,93.75,45,48,"ScramblingfromtheFringe",2011
20,20,"Stuart Appleby",65,93.62,44,47,"ScramblingfromtheFringe",2011
21,21,"Luke Donald",73,93.55,29,31,"ScramblingfromtheFringe",2011
22,22,"Josh Teater",104,93.51,72,77,"ScramblingfromtheFringe",2011
23,23,"Jason Bohn",74,93.33,56,60,"ScramblingfromtheFringe",2011
24,24,"JJ Henry",96,93.24,69,74,"ScramblingfromtheFringe",2011
25,25,"Ben Martin",74,92.98,53,57,"ScramblingfromtheFringe",2011
26,26,"Rickie Fowler",84,92.86,52,56,"ScramblingfromtheFringe",2011
26,26,"Kevin Na",84,92.86,65,70,"ScramblingfromtheFringe",2011
28,28,"Vaughn Taylor",89,92.77,77,83,"ScramblingfromtheFringe",2011
29,29,"Justin Leonard",82,92.75,64,69,"ScramblingfromtheFringe",2011
30,30,"Charlie Wi",83,92.73,51,55,"ScramblingfromtheFringe",2011
31,31,"Steve Elkington",50,92.68,38,41,"ScramblingfromtheFringe",2011
32,32,"Hunter Haas",96,92.65,63,68,"ScramblingfromtheFringe",2011
33,33,"Gary Woodland",93,92.59,50,54,"ScramblingfromtheFringe",2011
34,34,"Shaun Micheel",77,92.54,62,67,"ScramblingfromtheFringe",2011
34,34,"Kyle Stanley",98,92.54,62,67,"ScramblingfromtheFringe",2011
36,36,"Chris Couch",73,92.45,49,53,"ScramblingfromtheFringe",2011
36,36,"Jerry Kelly",85,92.45,49,53,"ScramblingfromtheFringe",2011
38,38,"Troy Merritt",63,92.31,48,52,"ScramblingfromtheFringe",2011
39,39,"YE Yang",63,92.11,35,38,"ScramblingfromtheFringe",2011
40,40,"Chris DiMarco",93,91.76,78,85,"ScramblingfromtheFringe",2011
41,41,"Bill Haas",93,91.67,44,48,"ScramblingfromtheFringe",2011
41,41,"Richard Johnson",64,91.67,33,36,"ScramblingfromtheFringe",2011
43,43,"KJ Choi",77,91.53,54,59,"ScramblingfromtheFringe",2011
44,44,"Bobby Gates",82,91.49,43,47,"ScramblingfromtheFringe",2011
45,45,"Greg Chalmers",88,91.3,63,69,"ScramblingfromtheFringe",2011
45,45,"Ryuji Imada",83,91.3,63,69,"ScramblingfromtheFringe",2011
45,45,"Chris Stroud",88,91.3,63,69,"ScramblingfromtheFringe",2011
45,45,"Daniel Summerhays",75,91.3,63,69,"ScramblingfromtheFringe",2011
49,49,"Ryan Moore",79,91.23,52,57,"ScramblingfromtheFringe",2011
50,50,"Sergio Garcia",61,91.18,31,34,"ScramblingfromtheFringe",2011
50,50,"Adam Scott",60,91.18,31,34,"ScramblingfromtheFringe",2011
52,52,"Sung Kang",63,91.07,51,56,"ScramblingfromtheFringe",2011
53,53,"Jhonattan Vegas",84,91.04,61,67,"ScramblingfromtheFringe",2011
53,53,"Johnson Wagner",81,91.04,61,67,"ScramblingfromtheFringe",2011
55,55,"Jonathan Byrd",83,90.91,50,55,"ScramblingfromtheFringe",2011
55,55,"JB Holmes",57,90.91,40,44,"ScramblingfromtheFringe",2011
55,55,"Alexandre Rocha",65,90.91,40,44,"ScramblingfromtheFringe",2011
58,58,"Scott Piercy",78,90.74,49,54,"ScramblingfromtheFringe",2011
59,59,"Steve Stricker",70,90.7,39,43,"ScramblingfromtheFringe",2011
60,60,"DA Points",89,90.67,68,75,"ScramblingfromtheFringe",2011
61,61,"Nate Smith",66,90.57,48,53,"ScramblingfromtheFringe",2011
61,61,"Dean Wilson",62,90.57,48,53,"ScramblingfromtheFringe",2011
63,63,"Jason Day",76,90.48,38,42,"ScramblingfromtheFringe",2011
63,63,"Billy Mayfair",94,90.48,76,84,"ScramblingfromtheFringe",2011
65,65,"David Hearn",88,90.32,56,62,"ScramblingfromtheFringe",2011
65,65,"John Rollins",85,90.32,56,62,"ScramblingfromtheFringe",2011
67,67,"Nick OHern",89,90.28,65,72,"ScramblingfromtheFringe",2011
68,68,"Camilo Villegas",69,90.2,46,51,"ScramblingfromtheFringe",2011
69,69,"Mark Wilson",89,90.16,55,61,"ScramblingfromtheFringe",2011
70,70,"Jarrod Lyle",83,90.14,64,71,"ScramblingfromtheFringe",2011
71,71,"Martin Laird",77,90,54,60,"ScramblingfromtheFringe",2011
71,71,"Hunter Mahan",92,90,54,60,"ScramblingfromtheFringe",2011
73,73,"Davis Love III",70,89.8,44,49,"ScramblingfromtheFringe",2011
73,73,"Michael Putnam",67,89.8,44,49,"ScramblingfromtheFringe",2011
75,75,"Martin Piller",63,89.74,35,39,"ScramblingfromtheFringe",2011
76,76,"Jimmy Walker",79,89.55,60,67,"ScramblingfromtheFringe",2011
77,77,"DJ Trahan",91,89.47,68,76,"ScramblingfromtheFringe",2011
78,78,"Robert Garrigus",83,89.39,59,66,"ScramblingfromtheFringe",2011
78,78,"Nick Watney",80,89.39,59,66,"ScramblingfromtheFringe",2011
80,80,"Troy Matteson",91,89.29,75,84,"ScramblingfromtheFringe",2011
81,81,"Kevin Chappell",78,89.23,58,65,"ScramblingfromtheFringe",2011
82,82,"Retief Goosen",50,89.19,33,37,"ScramblingfromtheFringe",2011
83,83,"Ben Curtis",66,89.13,41,46,"ScramblingfromtheFringe",2011
84,84,"Joe Ogilvie",75,89.09,49,55,"ScramblingfromtheFringe",2011
84,84,"Heath Slocum",89,89.09,49,55,"ScramblingfromtheFringe",2011
86,86,"Kevin Stadler",88,89.06,57,64,"ScramblingfromtheFringe",2011
87,87,"Rich Beem",53,88.89,40,45,"ScramblingfromtheFringe",2011
87,87,"Tim Herron",85,88.89,64,72,"ScramblingfromtheFringe",2011
87,87,"Marc Turnesa",54,88.89,32,36,"ScramblingfromtheFringe",2011
90,90,"Brendon de Jonge",105,88.79,95,107,"ScramblingfromtheFringe",2011
91,91,"Tim Petrovic",88,88.73,63,71,"ScramblingfromtheFringe",2011
91,91,"Carl Pettersson",95,88.73,63,71,"ScramblingfromtheFringe",2011
93,93,"Will Strickler",51,88.68,47,53,"ScramblingfromtheFringe",2011
94,94,"Joseph Bramlett",73,88.46,46,52,"ScramblingfromtheFringe",2011
94,94,"Jim Herman",69,88.46,46,52,"ScramblingfromtheFringe",2011
96,96,"Steven Bowditch",86,88.41,61,69,"ScramblingfromtheFringe",2011
97,97,"Charl Schwartzel",58,88.37,38,43,"ScramblingfromtheFringe",2011
97,97,"David Toms",78,88.37,38,43,"ScramblingfromtheFringe",2011
99,99,"Scott McCarron",65,88.24,45,51,"ScramblingfromtheFringe",2011
99,99,"Paul Stankowski",78,88.24,60,68,"ScramblingfromtheFringe",2011
101,101,"Tag Ridings",87,88.16,67,76,"ScramblingfromtheFringe",2011
102,102,"Jim Renner",65,88.06,59,67,"ScramblingfromtheFringe",2011
102,102,"Michael Thompson",79,88.06,59,67,"ScramblingfromtheFringe",2011
104,104,"Stewart Cink",72,88,44,50,"ScramblingfromtheFringe",2011
104,104,"Steve Flesch",88,88,66,75,"ScramblingfromtheFringe",2011
104,104,"Harrison Frazar",58,88,44,50,"ScramblingfromtheFringe",2011
104,104,"Tommy Gainey",104,88,66,75,"ScramblingfromtheFringe",2011
108,108,"Woody Austin",59,87.93,51,58,"ScramblingfromtheFringe",2011
108,108,"Chad Campbell",99,87.93,51,58,"ScramblingfromtheFringe",2011
108,108,"Pat Perez",76,87.93,51,58,"ScramblingfromtheFringe",2011
111,111,"Ricky Barnes",78,87.76,43,49,"ScramblingfromtheFringe",2011
111,111,"JP Hayes",56,87.76,43,49,"ScramblingfromtheFringe",2011
111,111,"Geoff Ogilvy",69,87.76,43,49,"ScramblingfromtheFringe",2011
114,114,"Charley Hoffman",93,87.72,50,57,"ScramblingfromtheFringe",2011
114,114,"Bill Lunde",92,87.72,50,57,"ScramblingfromtheFringe",2011
114,114,"Rod Pampling",72,87.72,50,57,"ScramblingfromtheFringe",2011
117,117,"Arjun Atwal",91,87.69,57,65,"ScramblingfromtheFringe",2011
118,118,"Cameron Beckman",71,87.5,56,64,"ScramblingfromtheFringe",2011
118,118,"Marc Leishman",87,87.5,56,64,"ScramblingfromtheFringe",2011
118,118,"Steve Marino",76,87.5,56,64,"ScramblingfromtheFringe",2011
118,118,"Phil Mickelson",79,87.5,49,56,"ScramblingfromtheFringe",2011
122,122,"Brian Davis",105,87.36,76,87,"ScramblingfromtheFringe",2011
123,123,"Billy Horschel",75,87.27,48,55,"ScramblingfromtheFringe",2011
124,124,"Alex Cejka",59,87.23,41,47,"ScramblingfromtheFringe",2011
124,124,"Bubba Watson",85,87.23,41,47,"ScramblingfromtheFringe",2011
126,126,"George McNeill",69,87.18,34,39,"ScramblingfromtheFringe",2011
127,127,"Jim Furyk",87,87.04,47,54,"ScramblingfromtheFringe",2011
128,128,"Scott Stallings",84,87.01,67,77,"ScramblingfromtheFringe",2011
129,129,"Michael Bradley",74,86.76,59,68,"ScramblingfromtheFringe",2011
130,130,"Matt Kuchar",94,86.67,65,75,"ScramblingfromtheFringe",2011
131,131,"Andres Romero",77,86.57,58,67,"ScramblingfromtheFringe",2011
132,132,"Joe Durant",71,86.36,38,44,"ScramblingfromtheFringe",2011
132,132,"Alex Prugh",82,86.36,57,66,"ScramblingfromtheFringe",2011
132,132,"Rory Sabbatini",85,86.36,57,66,"ScramblingfromtheFringe",2011
135,135,"Michael Connell",76,86.25,69,80,"ScramblingfromtheFringe",2011
136,136,"Lucas Glover",74,86.21,50,58,"ScramblingfromtheFringe",2011
137,137,"Ian Poulter",52,86.11,31,36,"ScramblingfromtheFringe",2011
137,137,"John Senden",94,86.11,62,72,"ScramblingfromtheFringe",2011
139,139,"Jeff Overton",92,86.08,68,79,"ScramblingfromtheFringe",2011
140,140,"William McGirt",103,86.05,74,86,"ScramblingfromtheFringe",2011
141,141,"Bio Kim",71,86,43,50,"ScramblingfromtheFringe",2011
142,142,"Kevin Streelman",90,85.71,60,70,"ScramblingfromtheFringe",2011
143,143,"Briny Baird",60,85.42,41,48,"ScramblingfromtheFringe",2011
144,144,"Kris Blanks",92,85.39,76,89,"ScramblingfromtheFringe",2011
144,144,"Cameron Tringale",110,85.39,76,89,"ScramblingfromtheFringe",2011
146,146,"Kent Jones",76,85.19,46,54,"ScramblingfromtheFringe",2011
147,147,"Dustin Johnson",72,85.11,40,47,"ScramblingfromtheFringe",2011
148,148,"Jason Dufner",78,85,51,60,"ScramblingfromtheFringe",2011
149,149,"Brendan Steele",89,84.93,62,73,"ScramblingfromtheFringe",2011
150,150,"Colt Knost",80,84.81,67,79,"ScramblingfromtheFringe",2011
151,151,"David Mathis",83,84.72,61,72,"ScramblingfromtheFringe",2011
151,151,"Bo Van Pelt",92,84.72,61,72,"ScramblingfromtheFringe",2011
153,153,"Keegan Bradley",91,84.62,55,65,"ScramblingfromtheFringe",2011
153,153,"DJ Brigman",67,84.62,44,52,"ScramblingfromtheFringe",2011
155,155,"Brandt Jobe",100,84.52,71,84,"ScramblingfromtheFringe",2011
156,156,"Sean OHair",71,84.48,49,58,"ScramblingfromtheFringe",2011
157,157,"Spencer Levin",113,84.44,76,90,"ScramblingfromtheFringe",2011
158,158,"Matt Bettencourt",84,84.38,54,64,"ScramblingfromtheFringe",2011
159,159,"Blake Adams",116,84.26,91,108,"ScramblingfromtheFringe",2011
160,160,"Paul Goydos",81,84.06,58,69,"ScramblingfromtheFringe",2011
161,161,"Scott Gutschewski",67,84,42,50,"ScramblingfromtheFringe",2011
161,161,"Freddie Jacobson",92,84,63,75,"ScramblingfromtheFringe",2011
163,163,"James Driscoll",71,83.93,47,56,"ScramblingfromtheFringe",2011
164,164,"Graeme McDowell",50,83.87,26,31,"ScramblingfromtheFringe",2011
165,165,"Chris Riley",76,83.82,57,68,"ScramblingfromtheFringe",2011
166,166,"Aron Price",58,83.72,36,43,"ScramblingfromtheFringe",2011
167,167,"Chris Kirk",87,83.56,61,73,"ScramblingfromtheFringe",2011
168,168,"Fabian Gomez",84,83.33,40,48,"ScramblingfromtheFringe",2011
