"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2010","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2010","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2010","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2010","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2010","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2010","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2010","stat_name","year"
1,1,"Robert Garrigus",71,55.88,56288.6,100723,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
2,2,"Dustin Johnson",83,55.72,61954.9,111189,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
3,3,"JB Holmes",100,55.5,83515.6,150486,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
4,4,"Bubba Watson",77,54.95,64542.3,117462,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
5,5,"John Daly",63,54.81,40975.9,74757,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
6,6,"Graham DeLaet",88,54.46,68809.8,126344,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
7,7,"Brett Wetterich",54,54.26,48646.3,89652,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
8,8,"DJ Trahan",92,54.2,77958.2,143832,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
9,9,"Angel Cabrera",64,54.08,47453.4,87741,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
10,10,"Phil Mickelson",76,54.03,57251,105955,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
11,11,"Charley Hoffman",85,53.76,71916.6,133776,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
12,12,"Martin Flores",75,53.66,61248.3,114142,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
12,12,"Marc Leishman",87,53.66,62702.8,116846,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
14,14,"Charles Warren",64,53.59,51079.1,95319,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
15,15,"Aaron Baddeley",94,53.55,82657.5,154355,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
16,16,"Daniel Chopra",74,53.54,62650.7,117008,"PercentageofYardagecoveredbyTeeShotsPar5s",2010
