"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2011","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2011","GoingfortheGreenHitGreenPct_PLAYERNAME_2011","GoingfortheGreenHitGreenPct_ROUNDS_2011","GoingfortheGreenHitGreenPct_Pct_2011","GoingfortheGreenHitGreenPct_SUCCESSES_2011","GoingfortheGreenHitGreenPct_ATTEMPTS_2011","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2011","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2011","stat_name","year"
1,1,"Vijay Singh",79,37.31,50,134,-49,NA,"GoingfortheGreenHitGreenPct",2011
2,2,"Davis Love III",70,35,35,100,-33,NA,"GoingfortheGreenHitGreenPct",2011
3,3,"Alex Prugh",82,34.85,46,132,-46,NA,"GoingfortheGreenHitGreenPct",2011
4,4,"Justin Hicks",60,34.55,19,55,-15,NA,"GoingfortheGreenHitGreenPct",2011
5,5,"Boo Weekley",66,34.27,49,143,-46,NA,"GoingfortheGreenHitGreenPct",2011
6,6,"Gary Woodland",93,33.15,60,181,-61,NA,"GoingfortheGreenHitGreenPct",2011
7,7,"Brendan Steele",89,33.11,50,151,-52,NA,"GoingfortheGreenHitGreenPct",2011
8,8,"Jhonattan Vegas",84,32.07,59,184,-56,NA,"GoingfortheGreenHitGreenPct",2011
9,9,"Brandt Jobe",100,31.97,47,147,-44,NA,"GoingfortheGreenHitGreenPct",2011
10,10,"Retief Goosen",50,31.88,22,69,-22,NA,"GoingfortheGreenHitGreenPct",2011
11,11,"Scott Stallings",84,31.2,39,125,-36,NA,"GoingfortheGreenHitGreenPct",2011
12,12,"Zack Miller",86,31.13,47,151,-48,NA,"GoingfortheGreenHitGreenPct",2011
13,13,"JB Holmes",57,30.6,41,134,-44,NA,"GoingfortheGreenHitGreenPct",2011
14,14,"Jason Dufner",78,30.39,31,102,-31,NA,"GoingfortheGreenHitGreenPct",2011
15,15,"Stewart Cink",72,30.21,29,96,-29,NA,"GoingfortheGreenHitGreenPct",2011
16,16,"Stuart Appleby",65,30.11,28,93,-27,NA,"GoingfortheGreenHitGreenPct",2011
17,17,"Bubba Watson",85,29.41,55,187,-62,NA,"GoingfortheGreenHitGreenPct",2011
18,18,"John Senden",94,29.19,54,185,-59,NA,"GoingfortheGreenHitGreenPct",2011
19,19,"Robert Karlsson",61,29.17,28,96,-29,NA,"GoingfortheGreenHitGreenPct",2011
20,20,"Lee Janzen",62,29.11,23,79,-24,NA,"GoingfortheGreenHitGreenPct",2011
21,21,"Scott Gutschewski",67,28.97,31,107,-29,NA,"GoingfortheGreenHitGreenPct",2011
22,22,"Robert Garrigus",83,28.92,59,204,-59,NA,"GoingfortheGreenHitGreenPct",2011
23,23,"Charley Hoffman",93,28.91,61,211,-61,NA,"GoingfortheGreenHitGreenPct",2011
24,24,"Angel Cabrera",50,28.41,25,88,-29,NA,"GoingfortheGreenHitGreenPct",2011
25,25,"Jonathan Byrd",83,28.3,45,159,-48,NA,"GoingfortheGreenHitGreenPct",2011
26,26,"Phil Mickelson",79,28.19,42,149,-40,NA,"GoingfortheGreenHitGreenPct",2011
27,27,"Briny Baird",60,28.17,20,71,-17,NA,"GoingfortheGreenHitGreenPct",2011
28,28,"Chad Campbell",99,27.89,41,147,-38,NA,"GoingfortheGreenHitGreenPct",2011
29,29,"Webb Simpson",98,27.87,51,183,-59,NA,"GoingfortheGreenHitGreenPct",2011
30,30,"Steve Marino",76,27.78,35,126,-38,NA,"GoingfortheGreenHitGreenPct",2011
31,31,"Dustin Johnson",72,27.74,43,155,-45,NA,"GoingfortheGreenHitGreenPct",2011
32,32,"DA Points",89,27.7,41,148,-46,NA,"GoingfortheGreenHitGreenPct",2011
33,33,"Steve Stricker",70,27.66,26,94,-28,NA,"GoingfortheGreenHitGreenPct",2011
34,34,"John Rollins",85,27.45,42,153,-42,NA,"GoingfortheGreenHitGreenPct",2011
35,35,"Kevin Streelman",90,27.4,40,146,-42,NA,"GoingfortheGreenHitGreenPct",2011
36,36,"Chris Couch",73,27.33,47,172,-47,NA,"GoingfortheGreenHitGreenPct",2011
37,37,"Troy Merritt",63,27.18,28,103,-23,NA,"GoingfortheGreenHitGreenPct",2011
38,38,"James Driscoll",71,27.01,37,137,-35,NA,"GoingfortheGreenHitGreenPct",2011
39,39,"Geoff Ogilvy",69,26.97,24,89,-25,NA,"GoingfortheGreenHitGreenPct",2011
40,40,"Michael Connell",76,26.88,25,93,-24,NA,"GoingfortheGreenHitGreenPct",2011
41,41,"Charl Schwartzel",58,26.74,23,86,-22,NA,"GoingfortheGreenHitGreenPct",2011
42,42,"Kris Blanks",92,26.47,36,136,-33,NA,"GoingfortheGreenHitGreenPct",2011
42,42,"Jim Renner",65,26.47,27,102,-25,NA,"GoingfortheGreenHitGreenPct",2011
44,44,"YE Yang",63,26.25,21,80,-22,NA,"GoingfortheGreenHitGreenPct",2011
45,45,"Jarrod Lyle",83,26.02,32,123,-35,NA,"GoingfortheGreenHitGreenPct",2011
46,46,"Heath Slocum",89,26,26,100,-28,NA,"GoingfortheGreenHitGreenPct",2011
47,47,"Martin Laird",77,25.95,41,158,-44,NA,"GoingfortheGreenHitGreenPct",2011
48,48,"John Merrick",71,25.93,28,108,-28,NA,"GoingfortheGreenHitGreenPct",2011
48,48,"Adam Scott",60,25.93,28,108,-28,NA,"GoingfortheGreenHitGreenPct",2011
50,50,"Sean OHair",71,25.71,27,105,-30,NA,"GoingfortheGreenHitGreenPct",2011
51,51,"Tommy Gainey",104,25.54,47,184,-43,NA,"GoingfortheGreenHitGreenPct",2011
52,52,"Joe Durant",71,25.53,24,94,-21,NA,"GoingfortheGreenHitGreenPct",2011
53,53,"DJ Trahan",91,25.38,50,197,-48,NA,"GoingfortheGreenHitGreenPct",2011
54,54,"Chris Stroud",88,25.34,37,146,-33,NA,"GoingfortheGreenHitGreenPct",2011
55,55,"Harrison Frazar",58,25.32,20,79,-20,NA,"GoingfortheGreenHitGreenPct",2011
56,56,"George McNeill",69,25.22,29,115,-31,NA,"GoingfortheGreenHitGreenPct",2011
57,57,"Spencer Levin",113,25,40,160,-40,NA,"GoingfortheGreenHitGreenPct",2011
57,57,"Troy Matteson",91,25,43,172,-40,NA,"GoingfortheGreenHitGreenPct",2011
59,59,"Nick Watney",80,24.84,38,153,-43,NA,"GoingfortheGreenHitGreenPct",2011
60,60,"Trevor Immelman",84,24.76,26,105,-24,NA,"GoingfortheGreenHitGreenPct",2011
61,61,"Will Strickler",51,24.72,22,89,-25,NA,"GoingfortheGreenHitGreenPct",2011
62,62,"Carl Pettersson",95,24.71,42,170,-46,NA,"GoingfortheGreenHitGreenPct",2011
63,63,"Bill Lunde",92,24.68,39,158,-40,NA,"GoingfortheGreenHitGreenPct",2011
63,63,"Alexandre Rocha",65,24.68,19,77,-20,NA,"GoingfortheGreenHitGreenPct",2011
65,65,"Lucas Glover",74,24.58,29,118,-35,NA,"GoingfortheGreenHitGreenPct",2011
66,66,"Daniel Summerhays",75,24.53,26,106,-31,NA,"GoingfortheGreenHitGreenPct",2011
67,67,"Bryce Molder",82,24.47,23,94,-22,NA,"GoingfortheGreenHitGreenPct",2011
68,68,"Dean Wilson",62,24.32,18,74,-14,NA,"GoingfortheGreenHitGreenPct",2011
69,69,"Ian Poulter",52,24.19,15,62,-16,NA,"GoingfortheGreenHitGreenPct",2011
70,70,"Tag Ridings",87,24.14,42,174,-48,NA,"GoingfortheGreenHitGreenPct",2011
71,71,"JJ Henry",96,24.12,41,170,-39,NA,"GoingfortheGreenHitGreenPct",2011
72,72,"Jim Herman",69,24.11,27,112,-27,NA,"GoingfortheGreenHitGreenPct",2011
73,73,"Kevin Stadler",88,24.05,38,158,-35,NA,"GoingfortheGreenHitGreenPct",2011
74,74,"Keegan Bradley",91,24.03,37,154,-39,NA,"GoingfortheGreenHitGreenPct",2011
75,75,"Joe Ogilvie",75,23.76,24,101,-26,NA,"GoingfortheGreenHitGreenPct",2011
76,76,"JP Hayes",56,23.75,19,80,-20,NA,"GoingfortheGreenHitGreenPct",2011
77,77,"Brian Gay",90,23.73,14,59,-14,NA,"GoingfortheGreenHitGreenPct",2011
77,77,"Nate Smith",66,23.73,14,59,-16,NA,"GoingfortheGreenHitGreenPct",2011
79,79,"Bobby Gates",82,23.61,34,144,-42,NA,"GoingfortheGreenHitGreenPct",2011
80,80,"Jerry Kelly",85,23.6,21,89,-20,NA,"GoingfortheGreenHitGreenPct",2011
80,80,"Scott Piercy",78,23.6,38,161,-39,NA,"GoingfortheGreenHitGreenPct",2011
82,82,"Scott McCarron",65,23.58,25,106,-29,NA,"GoingfortheGreenHitGreenPct",2011
83,83,"Steven Bowditch",86,23.44,45,192,-46,NA,"GoingfortheGreenHitGreenPct",2011
84,84,"Derek Lamely",65,23.39,29,124,-31,NA,"GoingfortheGreenHitGreenPct",2011
85,85,"David Hearn",88,23.36,25,107,-27,NA,"GoingfortheGreenHitGreenPct",2011
86,86,"Hunter Haas",96,23.21,39,168,-37,NA,"GoingfortheGreenHitGreenPct",2011
87,87,"Justin Rose",79,23.19,32,138,-31,NA,"GoingfortheGreenHitGreenPct",2011
88,88,"Kevin Kisner",70,23.17,19,82,-23,NA,"GoingfortheGreenHitGreenPct",2011
89,89,"Ben Martin",74,23.14,28,121,-31,NA,"GoingfortheGreenHitGreenPct",2011
90,90,"Charles Howell III",108,23.08,42,182,-43,NA,"GoingfortheGreenHitGreenPct",2011
90,90,"Bo Van Pelt",92,23.08,39,169,-37,NA,"GoingfortheGreenHitGreenPct",2011
