"MoneyperEventLeaders_RANKTHISWEEK_2016","MoneyperEventLeaders_RANKLASTWEEK_2016","MoneyperEventLeaders_PLAYERNAME_2016","MoneyperEventLeaders_EVENTS_2016","MoneyperEventLeaders_MONEYPEREVENT_2016","MoneyperEventLeaders_TOTALMONEY_2016","stat_name","year"
1,1,"Adam Scott",10,445772,4457723,"MoneyperEventLeaders",2016
2,2,"Jason Day",9,407969,3671728,"MoneyperEventLeaders",2016
3,3,"Danny Willett",5,370591,1852959,"MoneyperEventLeaders",2016
4,4,"Bubba Watson",8,338506,2708050,"MoneyperEventLeaders",2016
5,5,"Jordan Spieth",9,308102,2772926,"MoneyperEventLeaders",2016
6,6,"Louis Oosthuizen",6,260997,1565987,"MoneyperEventLeaders",2016
7,7,"Dustin Johnson",9,237599,2138399,"MoneyperEventLeaders",2016
8,8,"Lee Westwood",4,220000,880000,"MoneyperEventLeaders",2016
9,11,"Charl Schwartzel",8,211392,1691136,"MoneyperEventLeaders",2016
10,10,"Hideki Matsuyama",12,210125,2521510,"MoneyperEventLeaders",2016
11,12,"Russell Knox",14,203671,2851401,"MoneyperEventLeaders",2016
12,13,"Branden Grace",9,201314,1811831,"MoneyperEventLeaders",2016
13,18,"Rory McIlroy",9,199722,1797505,"MoneyperEventLeaders",2016
14,14,"Brandt Snedeker",14,198686,2781610,"MoneyperEventLeaders",2016
15,9,"Henrik Stenson",8,190416,1523332,"MoneyperEventLeaders",2016
16,19,"Phil Mickelson",11,188912,2078037,"MoneyperEventLeaders",2016
17,16,"Patrick Reed",14,186177,2606490,"MoneyperEventLeaders",2016
18,15,"Kevin Kisner",14,184162,2578280,"MoneyperEventLeaders",2016
19,20,"Graeme McDowell",11,177411,1951528,"MoneyperEventLeaders",2016
20,24,"Rickie Fowler",12,175387,2104653,"MoneyperEventLeaders",2016
21,23,"Kevin Na",14,169065,2366915,"MoneyperEventLeaders",2016
22,17,"Brian Stuard",8,166261,1330095,"MoneyperEventLeaders",2016
23,35,"Justin Rose",10,161606,1616066,"MoneyperEventLeaders",2016
24,22,"Justin Thomas",15,158005,2370087,"MoneyperEventLeaders",2016
25,25,"JB Holmes",10,144548,1445482,"MoneyperEventLeaders",2016
26,26,"Sergio Garcia",8,141502,1132022,"MoneyperEventLeaders",2016
27,28,"Kevin Chappell",14,130498,1826976,"MoneyperEventLeaders",2016
28,32,"Smylie Kaufman",16,129746,2075937,"MoneyperEventLeaders",2016
29,33,"Charley Hoffman",14,129277,1809883,"MoneyperEventLeaders",2016
30,29,"Emiliano Grillo",13,128667,1672678,"MoneyperEventLeaders",2016
31,27,"Bill Haas",12,127573,1530880,"MoneyperEventLeaders",2016
32,30,"Ryan Moore",11,124247,1366724,"MoneyperEventLeaders",2016
33,31,"Vaughn Taylor",11,122639,1349030,"MoneyperEventLeaders",2016
34,131,"James Hahn",15,119024,1785362,"MoneyperEventLeaders",2016
35,36,"Rafa Cabrera Bello",4,117850,471400,"MoneyperEventLeaders",2016
36,38,"Fabian Gomez",15,117635,1764526,"MoneyperEventLeaders",2016
37,34,"Jason Bohn",11,116827,1285104,"MoneyperEventLeaders",2016
38,21,"Bobby Wyatt",3,115496,346488,"MoneyperEventLeaders",2016
39,37,"Jason Dufner",15,113173,1697599,"MoneyperEventLeaders",2016
40,42,"Brooks Koepka",11,106046,1166516,"MoneyperEventLeaders",2016
41,39,"Jim Herman",17,101524,1725923,"MoneyperEventLeaders",2016
42,41,"Jamie Lovemark",17,101452,1724684,"MoneyperEventLeaders",2016
43,43,"Paul Casey",11,98290,1081199,"MoneyperEventLeaders",2016
44,44,"Jimmy Walker",12,97828,1173945,"MoneyperEventLeaders",2016
45,40,"Byeong Hun An",7,92249,645745,"MoneyperEventLeaders",2016
46,45,"Charles Howell III",17,90805,1543694,"MoneyperEventLeaders",2016
47,46,"Bernhard Langer",1,89000,89000,"MoneyperEventLeaders",2016
48,47,"Billy Horschel",12,86759,1041108,"MoneyperEventLeaders",2016
49,48,"Martin Flores",1,86100,86100,"MoneyperEventLeaders",2016
50,112,"Roberto Castro",16,84877,1358047,"MoneyperEventLeaders",2016
51,50,"William McGirt",15,83970,1259553,"MoneyperEventLeaders",2016
52,51,"David Lingmerth",15,83870,1258057,"MoneyperEventLeaders",2016
53,49,"Patton Kizzire",16,83125,1330013,"MoneyperEventLeaders",2016
54,52,"KJ Choi",14,81451,1140314,"MoneyperEventLeaders",2016
55,53,"Matt Kuchar",12,80669,968034,"MoneyperEventLeaders",2016
56,54,"Kiradech Aphibarnrat",5,77210,386050,"MoneyperEventLeaders",2016
57,57,"Daniel Berger",15,75600,1134014,"MoneyperEventLeaders",2016
58,56,"Zach Johnson",12,74336,892035,"MoneyperEventLeaders",2016
59,60,"Chris Kirk",15,70757,1061364,"MoneyperEventLeaders",2016
60,61,"Scott Piercy",12,70676,848117,"MoneyperEventLeaders",2016
61,64,"Brendan Steele",14,70327,984591,"MoneyperEventLeaders",2016
62,55,"Luke Donald",13,69794,907334,"MoneyperEventLeaders",2016
63,59,"Tony Finau",15,69592,1043893,"MoneyperEventLeaders",2016
64,62,"Freddie Jacobson",16,69033,1104532,"MoneyperEventLeaders",2016
65,58,"Jason Kokrak",17,68712,1168113,"MoneyperEventLeaders",2016
66,66,"Marc Leishman",12,64882,778587,"MoneyperEventLeaders",2016
67,63,"Peter Malnati",19,64767,1230589,"MoneyperEventLeaders",2016
68,81,"Danny Lee",16,64734,1035745,"MoneyperEventLeaders",2016
69,70,"Harris English",15,64592,968884,"MoneyperEventLeaders",2016
70,71,"Soren Kjeldsen",5,62333,311667,"MoneyperEventLeaders",2016
71,94,"Andrew Loupe",16,62056,992900,"MoneyperEventLeaders",2016
72,72,"Rodolfo Cazaubon",3,61968,185904,"MoneyperEventLeaders",2016
73,69,"Alex Cejka",15,60958,914371,"MoneyperEventLeaders",2016
74,68,"Kevin Streelman",15,59940,899110,"MoneyperEventLeaders",2016
75,67,"Shane Lowry",10,57850,578505,"MoneyperEventLeaders",2016
76,73,"Jhonattan Vegas",14,57692,807701,"MoneyperEventLeaders",2016
77,78,"Rafael Campos",2,57100,114200,"MoneyperEventLeaders",2016
78,82,"Bryce Molder",16,55302,884844,"MoneyperEventLeaders",2016
79,77,"Graham DeLaet",14,54981,769741,"MoneyperEventLeaders",2016
80,76,"Jonas Blixt",16,54724,875586,"MoneyperEventLeaders",2016
81,83,"Ryan Palmer",12,54578,654946,"MoneyperEventLeaders",2016
82,75,"David Toms",11,54363,598002,"MoneyperEventLeaders",2016
83,79,"Si Woo Kim",19,53540,1017262,"MoneyperEventLeaders",2016
84,74,"Jamie Donaldson",8,53204,425638,"MoneyperEventLeaders",2016
85,85,"Greg Yates",1,52959,52959,"MoneyperEventLeaders",2016
86,80,"Scott Brown",17,52751,896767,"MoneyperEventLeaders",2016
87,86,"Russell Henley",14,52497,734960,"MoneyperEventLeaders",2016
