"AllAroundRanking_RANKTHISWEEK_2007","AllAroundRanking_RANKLASTWEEK_2007","AllAroundRanking_PLAYERNAME_2007","AllAroundRanking_EVENTS_2007","AllAroundRanking_TOTAL_2007","stat_name","year"
1,1,"Tiger Woods",16,240,"AllAroundRanking",2007
2,2,"Justin Rose",16,344,"AllAroundRanking",2007
3,3,"Jeff Overton",19,365,"AllAroundRanking",2007
4,4,"Alex Cejka",25,372,"AllAroundRanking",2007
5,5,"Vijay Singh",27,412,"AllAroundRanking",2007
6,6,"Sean OHair",28,416,"AllAroundRanking",2007
7,7,"Phil Mickelson",22,418,"AllAroundRanking",2007
8,8,"Hunter Mahan",27,426,"AllAroundRanking",2007
9,9,"Ernie Els",16,445,"AllAroundRanking",2007
10,10,"Charles Warren",29,453,"AllAroundRanking",2007
11,11,"Adam Scott",19,463,"AllAroundRanking",2007
12,12,"Lucas Glover",29,464,"AllAroundRanking",2007
13,13,"Pat Perez",27,477,"AllAroundRanking",2007
14,14,"Heath Slocum",28,480,"AllAroundRanking",2007
15,15,"Anthony Kim",26,482,"AllAroundRanking",2007
16,16,"Charlie Wi",27,488,"AllAroundRanking",2007
17,17,"Jonathan Byrd",23,491,"AllAroundRanking",2007
18,18,"Jason Gore",27,495,"AllAroundRanking",2007
19,19,"Tim Clark",19,515,"AllAroundRanking",2007
20,20,"Sergio Garcia",19,518,"AllAroundRanking",2007
21,21,"Ken Duke",31,531,"AllAroundRanking",2007
22,22,"Jim Furyk",23,535,"AllAroundRanking",2007
23,23,"Steve Allan",18,539,"AllAroundRanking",2007
24,24,"Geoff Ogilvy",22,542,"AllAroundRanking",2007
25,25,"Brian Davis",28,545,"AllAroundRanking",2007
26,26,"Bubba Watson",26,547,"AllAroundRanking",2007
27,27,"Kevin Na",27,553,"AllAroundRanking",2007
28,28,"Jay Williamson",14,557,"AllAroundRanking",2007
29,29,"Michael Allen",22,558,"AllAroundRanking",2007
29,29,"Bo Van Pelt",30,558,"AllAroundRanking",2007
31,31,"KJ Choi",25,560,"AllAroundRanking",2007
32,32,"Briny Baird",31,564,"AllAroundRanking",2007
32,32,"Bill Haas",30,564,"AllAroundRanking",2007
34,34,"Mark Calcavecchia",28,572,"AllAroundRanking",2007
