"OverallPuttingAverage_RANKTHISWEEK_2013","OverallPuttingAverage_RANKLASTWEEK_2013","OverallPuttingAverage_PLAYERNAME_2013","OverallPuttingAverage_ROUNDS_2013","OverallPuttingAverage_AVG_2013","OverallPuttingAverage_OFPUTTS_2013","OverallPuttingAverage_OFHOLES_2013","stat_name","year"
1,1,"Brian Gay",79,1.528,2173,1422,"OverallPuttingAverage",2013
2,2,"Aaron Baddeley",68,1.545,1835,1188,"OverallPuttingAverage",2013
3,3,"Greg Chalmers",77,1.556,2045,1314,"OverallPuttingAverage",2013
4,4,"Mike Weir",60,1.559,1628,1044,"OverallPuttingAverage",2013
5,5,"Luke Donald",60,1.567,1636,1044,"OverallPuttingAverage",2013
6,6,"Chris Kirk",89,1.57,2515,1602,"OverallPuttingAverage",2013
7,7,"Charlie Wi",75,1.574,2012,1278,"OverallPuttingAverage",2013
8,8,"Jonas Blixt",76,1.577,2158,1368,"OverallPuttingAverage",2013
8,8,"Brian Davis",91,1.577,2583,1638,"OverallPuttingAverage",2013
8,8,"Justin Leonard",86,1.577,2441,1548,"OverallPuttingAverage",2013
8,8,"Brandt Snedeker",79,1.577,2242,1422,"OverallPuttingAverage",2013
12,12,"Bob Estes",66,1.578,1875,1188,"OverallPuttingAverage",2013
12,12,"Bryce Molder",82,1.578,2272,1440,"OverallPuttingAverage",2013
12,12,"Chris Stroud",88,1.578,2499,1584,"OverallPuttingAverage",2013
15,15,"Steven Bowditch",67,1.582,1851,1170,"OverallPuttingAverage",2013
15,15,"David Hearn",88,1.582,2506,1584,"OverallPuttingAverage",2013
17,17,"Freddie Jacobson",63,1.583,1710,1080,"OverallPuttingAverage",2013
18,18,"James Driscoll",76,1.584,2053,1296,"OverallPuttingAverage",2013
19,19,"Stephen Ames",49,1.585,1398,882,"OverallPuttingAverage",2013
20,20,"Brian Harman",89,1.586,2426,1530,"OverallPuttingAverage",2013
21,21,"Phil Mickelson",78,1.587,2228,1404,"OverallPuttingAverage",2013
22,22,"Andres Romero",63,1.588,1686,1062,"OverallPuttingAverage",2013
23,23,"Patrick Reed",83,1.589,2374,1494,"OverallPuttingAverage",2013
23,23,"Vaughn Taylor",50,1.589,1316,828,"OverallPuttingAverage",2013
25,25,"Jason Day",86,1.59,2290,1440,"OverallPuttingAverage",2013
26,26,"Matt Kuchar",93,1.591,2492,1566,"OverallPuttingAverage",2013
27,27,"Rickie Fowler",75,1.592,2120,1332,"OverallPuttingAverage",2013
27,27,"Charles Howell III",87,1.592,2436,1530,"OverallPuttingAverage",2013
29,29,"Peter Hanson",45,1.593,1233,774,"OverallPuttingAverage",2013
29,29,"Morgan Hoffmann",64,1.593,1835,1152,"OverallPuttingAverage",2013
29,29,"Jordan Spieth",82,1.593,2352,1476,"OverallPuttingAverage",2013
29,29,"Steve Stricker",51,1.593,1348,846,"OverallPuttingAverage",2013
33,33,"David Lynn",70,1.594,1980,1242,"OverallPuttingAverage",2013
34,34,"Stuart Appleby",88,1.595,2412,1512,"OverallPuttingAverage",2013
35,35,"Daniel Summerhays",83,1.596,2384,1494,"OverallPuttingAverage",2013
36,36,"Aaron Watkins",46,1.597,1265,792,"OverallPuttingAverage",2013
37,37,"Jeff Overton",78,1.598,2244,1404,"OverallPuttingAverage",2013
38,38,"Jason Bohn",70,1.599,2015,1260,"OverallPuttingAverage",2013
38,38,"Colt Knost",69,1.599,1871,1170,"OverallPuttingAverage",2013
40,40,"Sangmoon Bae",83,1.6,2390,1494,"OverallPuttingAverage",2013
40,40,"James Hahn",78,1.6,2131,1332,"OverallPuttingAverage",2013
42,42,"Tim Herron",45,1.601,1297,810,"OverallPuttingAverage",2013
42,42,"Lee Williams",62,1.601,1729,1080,"OverallPuttingAverage",2013
