"PuttsperRoundRound4_RANKTHISWEEK_2006","PuttsperRoundRound4_RANKLASTWEEK_2006","PuttsperRoundRound4_PLAYERNAME_2006","PuttsperRoundRound4__2006","PuttsperRoundRound4_AVG_2006","PuttsperRoundRound4_TOTALPUTTS_2006","PuttsperRoundRound4_TOTALROUNDS_2006","stat_name","year"
1,1,"Omar Uresti",NA,26.25,210,8,"PuttsperRoundRound4",2006
2,2,"Stuart Appleby",NA,27.39,493,18,"PuttsperRoundRound4",2006
3,3,"Greg Chalmers",NA,27.5,165,6,"PuttsperRoundRound4",2006
4,4,"Aaron Baddeley",NA,27.64,387,14,"PuttsperRoundRound4",2006
5,5,"Brad Faxon",NA,27.69,360,13,"PuttsperRoundRound4",2006
6,6,"Doug Barron",NA,27.7,277,10,"PuttsperRoundRound4",2006
7,7,"Dudley Hart",NA,27.8,417,15,"PuttsperRoundRound4",2006
8,8,"Paul Azinger",NA,27.81,445,16,"PuttsperRoundRound4",2006
9,9,"Brian Gay",NA,27.86,613,22,"PuttsperRoundRound4",2006
10,10,"Joe Ogilvie",NA,27.88,474,17,"PuttsperRoundRound4",2006
11,11,"Shigeki Maruyama",NA,27.89,502,18,"PuttsperRoundRound4",2006
12,12,"Woody Austin",NA,27.95,615,22,"PuttsperRoundRound4",2006
13,13,"DA Points",NA,28,336,12,"PuttsperRoundRound4",2006
14,14,"Carl Pettersson",NA,28.05,533,19,"PuttsperRoundRound4",2006
15,15,"Michael Allen",NA,28.06,477,17,"PuttsperRoundRound4",2006
16,16,"Skip Kendall",NA,28.07,393,14,"PuttsperRoundRound4",2006
17,17,"Bernhard Langer",NA,28.08,365,13,"PuttsperRoundRound4",2006
18,18,"David Howell",NA,28.1,281,10,"PuttsperRoundRound4",2006
19,19,"Eric Axley",NA,28.13,450,16,"PuttsperRoundRound4",2006
19,19,"Steve Stricker",NA,28.13,422,15,"PuttsperRoundRound4",2006
21,21,"Scott Gutschewski",NA,28.14,197,7,"PuttsperRoundRound4",2006
22,22,"Stephen Ames",NA,28.17,338,12,"PuttsperRoundRound4",2006
22,22,"Alex Aragon",NA,28.17,169,6,"PuttsperRoundRound4",2006
24,24,"Paul Goydos",NA,28.27,311,11,"PuttsperRoundRound4",2006
24,24,"Bob Tway",NA,28.27,424,15,"PuttsperRoundRound4",2006
26,26,"Vaughn Taylor",NA,28.28,509,18,"PuttsperRoundRound4",2006
27,27,"Brian Bateman",NA,28.33,255,9,"PuttsperRoundRound4",2006
27,27,"Todd Hamilton",NA,28.33,255,9,"PuttsperRoundRound4",2006
29,29,"Brent Geiberger",NA,28.35,567,20,"PuttsperRoundRound4",2006
30,30,"Todd Fischer",NA,28.38,454,16,"PuttsperRoundRound4",2006
30,30,"Tjaart van der Walt",NA,28.38,227,8,"PuttsperRoundRound4",2006
32,32,"Ian Leggatt",NA,28.4,284,10,"PuttsperRoundRound4",2006
33,33,"Jeff Overton",NA,28.42,540,19,"PuttsperRoundRound4",2006
34,34,"John Engler Jr",NA,28.43,199,7,"PuttsperRoundRound4",2006
35,35,"Harrison Frazar",NA,28.44,512,18,"PuttsperRoundRound4",2006
36,36,"Kirk Triplett",NA,28.45,313,11,"PuttsperRoundRound4",2006
