"PuttsperRoundRound4_RANKTHISWEEK_2007","PuttsperRoundRound4_RANKLASTWEEK_2007","PuttsperRoundRound4_PLAYERNAME_2007","PuttsperRoundRound4__2007","PuttsperRoundRound4_AVG_2007","PuttsperRoundRound4_TOTALPUTTS_2007","PuttsperRoundRound4_TOTALROUNDS_2007","stat_name","year"
1,1,"Rich Barcelo",NA,27.54,358,13,"PuttsperRoundRound4",2007
2,2,"Nathan Green",NA,27.71,582,21,"PuttsperRoundRound4",2007
3,3,"Tag Ridings",NA,27.75,222,8,"PuttsperRoundRound4",2007
4,4,"Ryan Palmer",NA,27.8,417,15,"PuttsperRoundRound4",2007
5,5,"Daniel Chopra",NA,27.95,559,20,"PuttsperRoundRound4",2007
6,6,"Bob Heintz",NA,28,392,14,"PuttsperRoundRound4",2007
6,6,"Kevin Na",NA,28,448,16,"PuttsperRoundRound4",2007
8,8,"Anthony Kim",NA,28.05,561,20,"PuttsperRoundRound4",2007
9,9,"Luke Donald",NA,28.07,393,14,"PuttsperRoundRound4",2007
10,10,"Marco Dawson",NA,28.08,365,13,"PuttsperRoundRound4",2007
11,11,"Brian Gay",NA,28.1,562,20,"PuttsperRoundRound4",2007
12,12,"Rory Sabbatini",NA,28.18,479,17,"PuttsperRoundRound4",2007
13,13,"Mark Wilson",NA,28.24,480,17,"PuttsperRoundRound4",2007
14,14,"Craig Bowden",NA,28.29,396,14,"PuttsperRoundRound4",2007
15,15,"Todd Hamilton",NA,28.3,283,10,"PuttsperRoundRound4",2007
16,16,"Brandt Snedeker",NA,28.32,623,22,"PuttsperRoundRound4",2007
17,17,"Gavin Coles",NA,28.33,425,15,"PuttsperRoundRound4",2007
17,17,"Phil Mickelson",NA,28.33,425,15,"PuttsperRoundRound4",2007
17,17,"Scott Verplank",NA,28.33,510,18,"PuttsperRoundRound4",2007
20,20,"Harrison Frazar",NA,28.36,312,11,"PuttsperRoundRound4",2007
20,20,"Rocco Mediate",NA,28.36,397,14,"PuttsperRoundRound4",2007
22,22,"Brian Bateman",NA,28.38,227,8,"PuttsperRoundRound4",2007
23,23,"Jose Maria Olazabal",NA,28.4,284,10,"PuttsperRoundRound4",2007
24,24,"Ernie Els",NA,28.43,398,14,"PuttsperRoundRound4",2007
25,25,"Mark Calcavecchia",NA,28.44,512,18,"PuttsperRoundRound4",2007
25,25,"Charley Hoffman",NA,28.44,512,18,"PuttsperRoundRound4",2007
27,27,"Glen Day",NA,28.47,427,15,"PuttsperRoundRound4",2007
27,27,"Freddie Jacobson",NA,28.47,427,15,"PuttsperRoundRound4",2007
29,29,"Michael Boyd",NA,28.5,228,8,"PuttsperRoundRound4",2007
30,30,"Zach Johnson",NA,28.53,485,17,"PuttsperRoundRound4",2007
30,30,"Tiger Woods",NA,28.53,428,15,"PuttsperRoundRound4",2007
32,32,"Paul Goydos",NA,28.55,314,11,"PuttsperRoundRound4",2007
33,33,"Tim Petrovic",NA,28.57,600,21,"PuttsperRoundRound4",2007
34,34,"John Rollins",NA,28.59,629,22,"PuttsperRoundRound4",2007
35,35,"KJ Choi",NA,28.61,515,18,"PuttsperRoundRound4",2007
35,35,"Dean Wilson",NA,28.61,515,18,"PuttsperRoundRound4",2007
37,37,"Jarrod Lyle",NA,28.62,372,13,"PuttsperRoundRound4",2007
37,37,"Ian Poulter",NA,28.62,372,13,"PuttsperRoundRound4",2007
39,39,"Jason Schultz",NA,28.63,229,8,"PuttsperRoundRound4",2007
40,40,"Peter Lonard",NA,28.64,401,14,"PuttsperRoundRound4",2007
41,41,"Camilo Villegas",NA,28.65,487,17,"PuttsperRoundRound4",2007
42,42,"Andrew Buckle",NA,28.67,344,12,"PuttsperRoundRound4",2007
42,42,"Dicky Pride",NA,28.67,258,9,"PuttsperRoundRound4",2007
44,44,"Bo Van Pelt",NA,28.68,631,22,"PuttsperRoundRound4",2007
45,45,"JP Hayes",NA,28.69,459,16,"PuttsperRoundRound4",2007
45,45,"Tripp Isenhour",NA,28.69,373,13,"PuttsperRoundRound4",2007
47,47,"Scott Gutschewski",NA,28.7,287,10,"PuttsperRoundRound4",2007
48,48,"Tim Clark",NA,28.71,402,14,"PuttsperRoundRound4",2007
48,48,"Steve Elkington",NA,28.71,488,17,"PuttsperRoundRound4",2007
50,50,"Frank Lickliter II",NA,28.72,517,18,"PuttsperRoundRound4",2007
