"3PuttAvoidance_RANKTHISWEEK_2008","3PuttAvoidance_RANKLASTWEEK_2008","3PuttAvoidance_PLAYERNAME_2008","3PuttAvoidance_ROUNDS_2008","3PuttAvoidance_Pct_2008","3PuttAvoidance_TOTAL3PUTTS_2008","3PuttAvoidance_TOTALHOLESOVERALL_2008","stat_name","year"
170,170,"Jeff Maggert",86,3.88,60,1548,"3PuttAvoidance",2008
171,171,"Ernie Els",51,3.89,35,900,"3PuttAvoidance",2008
172,172,"Mark Hensby",71,3.91,50,1278,"3PuttAvoidance",2008
173,173,"Nick Flanagan",89,3.93,63,1602,"3PuttAvoidance",2008
174,174,"Travis Perkins",53,3.98,38,954,"3PuttAvoidance",2008
175,175,"JB Holmes",86,4.05,62,1530,"3PuttAvoidance",2008
176,176,"Scott McCarron",63,4.06,46,1134,"3PuttAvoidance",2008
177,177,"Bubba Watson",97,4.12,72,1746,"3PuttAvoidance",2008
178,178,"Davis Love III",78,4.13,58,1404,"3PuttAvoidance",2008
179,179,"Robert Garrigus",90,4.14,67,1620,"3PuttAvoidance",2008
179,179,"John Rollins",94,4.14,70,1692,"3PuttAvoidance",2008
181,181,"Tom Lehman",51,4.25,39,918,"3PuttAvoidance",2008
182,182,"Troy Matteson",94,4.26,72,1692,"3PuttAvoidance",2008
183,183,"Tag Ridings",88,4.29,68,1584,"3PuttAvoidance",2008
184,184,"Rory Sabbatini",77,4.46,61,1368,"3PuttAvoidance",2008
185,185,"Charles Warren",79,4.5,64,1422,"3PuttAvoidance",2008
186,186,"Adam Scott",51,4.54,40,882,"3PuttAvoidance",2008
187,187,"Harrison Frazar",73,4.57,60,1314,"3PuttAvoidance",2008
188,188,"Mathias Gronberg",87,4.6,72,1566,"3PuttAvoidance",2008
189,189,"Nicholas Thompson",113,4.62,94,2034,"3PuttAvoidance",2008
190,190,"Robert Gamez",79,4.64,66,1422,"3PuttAvoidance",2008
191,191,"Boo Weekley",86,4.69,70,1494,"3PuttAvoidance",2008
192,192,"Tommy Gainey",60,4.81,52,1080,"3PuttAvoidance",2008
193,193,"Joe Durant",92,4.83,80,1656,"3PuttAvoidance",2008
194,194,"David Lutterus",59,4.9,52,1062,"3PuttAvoidance",2008
195,195,"Jason Allred",63,4.94,56,1134,"3PuttAvoidance",2008
196,196,"Mark Calcavecchia",67,4.97,59,1188,"3PuttAvoidance",2008
197,197,"Paul Casey",55,5.45,51,936,"3PuttAvoidance",2008
