"YTDConsecutiveCuts_RANKTHISWEEK_2016","YTDConsecutiveCuts_RANKLASTWEEK_2016","YTDConsecutiveCuts_PLAYERNAME_2016","YTDConsecutiveCuts__2016","YTDConsecutiveCuts_NUMBEROFCUTS_2016","stat_name","year"
1,1,"Charley Hoffman",NA,11,"YTDConsecutiveCuts",2016
1,1,"Billy Horschel",NA,11,"YTDConsecutiveCuts",2016
1,1,"Ryan Palmer",NA,11,"YTDConsecutiveCuts",2016
4,5,"JB Holmes",NA,10,"YTDConsecutiveCuts",2016
4,5,"Adam Scott",NA,10,"YTDConsecutiveCuts",2016
6,8,"Retief Goosen",NA,9,"YTDConsecutiveCuts",2016
6,5,"Dustin Johnson",NA,9,"YTDConsecutiveCuts",2016
8,8,"Bubba Watson",NA,8,"YTDConsecutiveCuts",2016
9,15,"Daniel Berger",NA,7,"YTDConsecutiveCuts",2016
9,10,"Jason Day",NA,7,"YTDConsecutiveCuts",2016
9,15,"Emiliano Grillo",NA,7,"YTDConsecutiveCuts",2016
9,15,"Ian Poulter",NA,7,"YTDConsecutiveCuts",2016
9,15,"Patrick Reed",NA,7,"YTDConsecutiveCuts",2016
9,15,"Steve Wheatcroft",NA,7,"YTDConsecutiveCuts",2016
15,23,"Graham DeLaet",NA,6,"YTDConsecutiveCuts",2016
15,15,"Bryce Molder",NA,6,"YTDConsecutiveCuts",2016
15,23,"Chris Stroud",NA,6,"YTDConsecutiveCuts",2016
18,23,"Kiradech Aphibarnrat",NA,5,"YTDConsecutiveCuts",2016
18,34,"Angel Cabrera",NA,5,"YTDConsecutiveCuts",2016
18,23,"Sergio Garcia",NA,5,"YTDConsecutiveCuts",2016
18,34,"Lucas Glover",NA,5,"YTDConsecutiveCuts",2016
18,34,"Michael Kim",NA,5,"YTDConsecutiveCuts",2016
18,34,"Hideki Matsuyama",NA,5,"YTDConsecutiveCuts",2016
18,34,"Rory McIlroy",NA,5,"YTDConsecutiveCuts",2016
18,23,"Kevin Na",NA,5,"YTDConsecutiveCuts",2016
18,23,"Jordan Spieth",NA,5,"YTDConsecutiveCuts",2016
18,34,"David Toms",NA,5,"YTDConsecutiveCuts",2016
18,34,"Cameron Tringale",NA,5,"YTDConsecutiveCuts",2016
