"LatePar4ScoringAverage_RANKTHISWEEK_2005","LatePar4ScoringAverage_RANKLASTWEEK_2005","LatePar4ScoringAverage_PLAYERNAME_2005","LatePar4ScoringAverage_ROUNDS_2005","LatePar4ScoringAverage_AVG_2005","LatePar4ScoringAverage_TOTALSTROKES_2005","LatePar4ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,3.93,2335,594,"LatePar4ScoringAverage",2005
2,2,"Vijay Singh",111,3.96,3138,793,"LatePar4ScoringAverage",2005
3,3,"Marco Dawson",82,3.97,1574,396,"LatePar4ScoringAverage",2005
4,4,"Joe Durant",81,3.98,1745,438,"LatePar4ScoringAverage",2005
4,4,"David Hearn",68,3.98,1302,327,"LatePar4ScoringAverage",2005
4,4,"Brandt Jobe",96,3.98,1795,451,"LatePar4ScoringAverage",2005
4,4,"Mark Wilson",74,3.98,1519,382,"LatePar4ScoringAverage",2005
8,8,"Sergio Garcia",73,3.99,1979,496,"LatePar4ScoringAverage",2005
8,8,"Phil Mickelson",81,3.99,1892,474,"LatePar4ScoringAverage",2005
8,8,"Joey Sindelar",104,3.99,2281,571,"LatePar4ScoringAverage",2005
11,11,"Ben Crane",78,4,1719,430,"LatePar4ScoringAverage",2005
11,11,"Jonathan Kaye",77,4,1483,371,"LatePar4ScoringAverage",2005
11,11,"Sean OHair",103,4,1971,493,"LatePar4ScoringAverage",2005
11,11,"Darron Stiles",78,4,1687,422,"LatePar4ScoringAverage",2005
11,11,"Steve Stricker",62,4,1313,328,"LatePar4ScoringAverage",2005
11,11,"Vaughn Taylor",99,4,2050,512,"LatePar4ScoringAverage",2005
11,11,"Bob Tway",87,4,1819,455,"LatePar4ScoringAverage",2005
18,18,"Arjun Atwal",65,4.01,1243,310,"LatePar4ScoringAverage",2005
18,18,"Olin Browne",99,4.01,2096,523,"LatePar4ScoringAverage",2005
18,18,"Jim Furyk",94,4.01,2440,608,"LatePar4ScoringAverage",2005
18,18,"Heath Slocum",103,4.01,1862,464,"LatePar4ScoringAverage",2005
22,22,"Stewart Cink",98,4.02,1868,465,"LatePar4ScoringAverage",2005
22,22,"Brian Davis",75,4.02,1477,367,"LatePar4ScoringAverage",2005
22,22,"Bob Estes",92,4.02,1706,424,"LatePar4ScoringAverage",2005
22,22,"Lucas Glover",88,4.02,1624,404,"LatePar4ScoringAverage",2005
22,22,"Matt Gogel",78,4.02,1505,374,"LatePar4ScoringAverage",2005
22,22,"JJ Henry",102,4.02,1919,477,"LatePar4ScoringAverage",2005
22,22,"Zach Johnson",96,4.02,2135,531,"LatePar4ScoringAverage",2005
22,22,"Richard Johnson",50,4.02,1281,319,"LatePar4ScoringAverage",2005
22,22,"Billy Mayfair",114,4.02,2338,582,"LatePar4ScoringAverage",2005
22,22,"Geoff Ogilvy",97,4.02,2165,539,"LatePar4ScoringAverage",2005
22,22,"Kenny Perry",82,4.02,2269,565,"LatePar4ScoringAverage",2005
22,22,"Phillip Price",77,4.02,1259,313,"LatePar4ScoringAverage",2005
22,22,"Charles Warren",89,4.02,1763,439,"LatePar4ScoringAverage",2005
35,35,"Jeff Brehaut",71,4.03,1523,378,"LatePar4ScoringAverage",2005
35,35,"Jonathan Byrd",103,4.03,1835,455,"LatePar4ScoringAverage",2005
35,35,"KJ Choi",78,4.03,1758,436,"LatePar4ScoringAverage",2005
35,35,"Dan Forsman",52,4.03,958,238,"LatePar4ScoringAverage",2005
35,35,"Retief Goosen",71,4.03,1490,370,"LatePar4ScoringAverage",2005
35,35,"Scott Gutschewski",86,4.03,1510,375,"LatePar4ScoringAverage",2005
35,35,"Tim Herron",100,4.03,2106,523,"LatePar4ScoringAverage",2005
35,35,"Jeff Maggert",79,4.03,1592,395,"LatePar4ScoringAverage",2005
35,35,"Jose Maria Olazabal",55,4.03,1288,320,"LatePar4ScoringAverage",2005
35,35,"Rod Pampling",89,4.03,1766,438,"LatePar4ScoringAverage",2005
35,35,"Omar Uresti",84,4.03,1551,385,"LatePar4ScoringAverage",2005
35,35,"Scott Verplank",87,4.03,2025,503,"LatePar4ScoringAverage",2005
35,35,"Brett Wetterich",76,4.03,1662,412,"LatePar4ScoringAverage",2005
48,48,"Steve Allan",102,4.04,2019,500,"LatePar4ScoringAverage",2005
48,48,"Michael Allen",90,4.04,1679,416,"LatePar4ScoringAverage",2005
