"BirdieorBetterPercentageLess125_RANKTHISWEEK_2006","BirdieorBetterPercentageLess125_RANKLASTWEEK_2006","BirdieorBetterPercentageLess125_PLAYERNAME_2006","BirdieorBetterPercentageLess125_ROUNDS_2006","BirdieorBetterPercentageLess125_Pct_2006","BirdieorBetterPercentageLess125_TOTALBIRDIES_2006","BirdieorBetterPercentageLess125_TOTALHOLES_2006","stat_name","year"
1,1,"Jim Furyk",89,31.62,86,272,"BirdieorBetterPercentageLess125",2006
2,2,"Pat Perez",50,30.25,49,162,"BirdieorBetterPercentageLess125",2006
3,3,"Adam Scott",70,30.19,64,212,"BirdieorBetterPercentageLess125",2006
4,4,"JP Hayes",55,29.96,77,257,"BirdieorBetterPercentageLess125",2006
5,5,"Vaughn Taylor",88,29.91,102,341,"BirdieorBetterPercentageLess125",2006
6,6,"Tiger Woods",55,29.23,38,130,"BirdieorBetterPercentageLess125",2006
7,7,"Padraig Harrington",54,28.85,45,156,"BirdieorBetterPercentageLess125",2006
8,8,"Jerry Smith",94,27.84,103,370,"BirdieorBetterPercentageLess125",2006
9,9,"Trevor Immelman",86,27.6,85,308,"BirdieorBetterPercentageLess125",2006
10,10,"Paul Goydos",72,27.31,74,271,"BirdieorBetterPercentageLess125",2006
11,11,"Tim Clark",80,26.95,69,256,"BirdieorBetterPercentageLess125",2006
12,12,"Arron Oberholser",82,26.91,67,249,"BirdieorBetterPercentageLess125",2006
13,13,"Shane Bertsch",104,26.9,113,420,"BirdieorBetterPercentageLess125",2006
14,14,"Kirk Triplett",58,26.7,59,221,"BirdieorBetterPercentageLess125",2006
15,15,"Greg Owen",79,26.64,61,229,"BirdieorBetterPercentageLess125",2006
16,16,"Ian Poulter",53,26.59,46,173,"BirdieorBetterPercentageLess125",2006
17,17,"Ryuji Imada",105,26.55,94,354,"BirdieorBetterPercentageLess125",2006
18,18,"KJ Choi",93,26.44,87,329,"BirdieorBetterPercentageLess125",2006
19,19,"Alex Cejka",93,26.32,85,323,"BirdieorBetterPercentageLess125",2006
20,20,"Greg Kraft",79,26.3,86,327,"BirdieorBetterPercentageLess125",2006
20,20,"Daisuke Maruyama",83,26.3,76,289,"BirdieorBetterPercentageLess125",2006
22,22,"Phil Mickelson",74,26.27,57,217,"BirdieorBetterPercentageLess125",2006
23,23,"Todd Fischer",101,26.23,96,366,"BirdieorBetterPercentageLess125",2006
24,24,"Briny Baird",81,26.16,79,302,"BirdieorBetterPercentageLess125",2006
25,25,"Scott Verplank",88,26.12,76,291,"BirdieorBetterPercentageLess125",2006
26,26,"Rory Sabbatini",84,26.07,67,257,"BirdieorBetterPercentageLess125",2006
27,27,"Ben Curtis",86,25.95,68,262,"BirdieorBetterPercentageLess125",2006
28,28,"Sergio Garcia",59,25.9,43,166,"BirdieorBetterPercentageLess125",2006
29,29,"Eric Axley",91,25.81,88,341,"BirdieorBetterPercentageLess125",2006
30,30,"Fred Funk",106,25.71,99,385,"BirdieorBetterPercentageLess125",2006
31,31,"David McKenzie",82,25.7,83,323,"BirdieorBetterPercentageLess125",2006
32,32,"Chris Couch",75,25.68,76,296,"BirdieorBetterPercentageLess125",2006
33,33,"Frank Lickliter II",99,25.62,93,363,"BirdieorBetterPercentageLess125",2006
34,34,"Tom Pernice Jr",108,25.41,77,303,"BirdieorBetterPercentageLess125",2006
35,35,"Steve Stricker",64,25.4,63,248,"BirdieorBetterPercentageLess125",2006
36,36,"Woody Austin",107,25.19,98,389,"BirdieorBetterPercentageLess125",2006
37,37,"Brian Gay",107,25.11,110,438,"BirdieorBetterPercentageLess125",2006
38,38,"Joe Ogilvie",95,24.94,97,389,"BirdieorBetterPercentageLess125",2006
39,39,"John Senden",96,24.93,89,357,"BirdieorBetterPercentageLess125",2006
40,40,"Lucas Glover",105,24.87,97,390,"BirdieorBetterPercentageLess125",2006
41,41,"Mark OMeara",52,24.84,40,161,"BirdieorBetterPercentageLess125",2006
42,42,"Stephen Leaney",84,24.83,73,294,"BirdieorBetterPercentageLess125",2006
43,43,"Justin Leonard",83,24.75,74,299,"BirdieorBetterPercentageLess125",2006
44,44,"Lee Janzen",79,24.73,68,275,"BirdieorBetterPercentageLess125",2006
45,45,"Ernie Els",69,24.69,40,162,"BirdieorBetterPercentageLess125",2006
46,46,"Rod Pampling",89,24.67,74,300,"BirdieorBetterPercentageLess125",2006
47,47,"Nathan Green",108,24.61,79,321,"BirdieorBetterPercentageLess125",2006
48,48,"Vance Veazey",59,24.59,60,244,"BirdieorBetterPercentageLess125",2006
49,49,"Omar Uresti",61,24.49,60,245,"BirdieorBetterPercentageLess125",2006
50,50,"Michael Connell",51,24.48,47,192,"BirdieorBetterPercentageLess125",2006
50,50,"David Toms",76,24.48,70,286,"BirdieorBetterPercentageLess125",2006
52,52,"Bernhard Langer",77,24.47,58,237,"BirdieorBetterPercentageLess125",2006
53,53,"Bart Bryant",87,24.43,75,307,"BirdieorBetterPercentageLess125",2006
53,53,"Nick Watney",97,24.43,75,307,"BirdieorBetterPercentageLess125",2006
55,55,"Daniel Chopra",110,24.42,94,385,"BirdieorBetterPercentageLess125",2006
56,56,"Justin Rose",98,24.4,91,373,"BirdieorBetterPercentageLess125",2006
57,57,"Bob Estes",85,24.26,74,305,"BirdieorBetterPercentageLess125",2006
58,58,"Freddie Jacobson",56,24.15,57,236,"BirdieorBetterPercentageLess125",2006
59,59,"Robert Allenby",79,24.1,47,195,"BirdieorBetterPercentageLess125",2006
60,60,"Stewart Cink",93,23.92,72,301,"BirdieorBetterPercentageLess125",2006
61,61,"Ryan Moore",68,23.83,56,235,"BirdieorBetterPercentageLess125",2006
62,62,"Bo Van Pelt",102,23.82,96,403,"BirdieorBetterPercentageLess125",2006
63,63,"Jeff Sluman",101,23.73,84,354,"BirdieorBetterPercentageLess125",2006
64,64,"Skip Kendall",72,23.67,67,283,"BirdieorBetterPercentageLess125",2006
65,65,"Will Ma Kenzie",91,23.58,79,335,"BirdieorBetterPercentageLess125",2006
66,66,"Danny Ellis",68,23.48,62,264,"BirdieorBetterPercentageLess125",2006
67,67,"Chris Riley",86,23.42,74,316,"BirdieorBetterPercentageLess125",2006
68,68,"John Cook",67,23.41,59,252,"BirdieorBetterPercentageLess125",2006
69,69,"John Huston",74,23.38,72,308,"BirdieorBetterPercentageLess125",2006
70,70,"Jerry Kelly",100,23.36,82,351,"BirdieorBetterPercentageLess125",2006
71,71,"Stuart Appleby",83,23.33,63,270,"BirdieorBetterPercentageLess125",2006
72,72,"Stephen Ames",63,23.32,45,193,"BirdieorBetterPercentageLess125",2006
73,73,"Brian Davis",92,23.3,82,352,"BirdieorBetterPercentageLess125",2006
74,74,"Fred Couples",52,23.19,32,138,"BirdieorBetterPercentageLess125",2006
75,75,"Tommy Armour III",65,23.11,55,238,"BirdieorBetterPercentageLess125",2006
76,76,"Brett Quigley",109,23.06,89,386,"BirdieorBetterPercentageLess125",2006
77,77,"Olin Browne",108,22.97,85,370,"BirdieorBetterPercentageLess125",2006
78,78,"Ben Crane",85,22.93,61,266,"BirdieorBetterPercentageLess125",2006
78,78,"Shaun Micheel",96,22.93,72,314,"BirdieorBetterPercentageLess125",2006
80,80,"JB Holmes",81,22.92,77,336,"BirdieorBetterPercentageLess125",2006
81,81,"Michael Allen",84,22.89,76,332,"BirdieorBetterPercentageLess125",2006
82,82,"Luke Donald",66,22.86,40,175,"BirdieorBetterPercentageLess125",2006
83,83,"Jonathan Byrd",66,22.81,52,228,"BirdieorBetterPercentageLess125",2006
84,84,"Mike Weir",88,22.73,65,286,"BirdieorBetterPercentageLess125",2006
85,85,"Brian Bateman",69,22.69,59,260,"BirdieorBetterPercentageLess125",2006
86,86,"Mark Wilson",79,22.62,69,305,"BirdieorBetterPercentageLess125",2006
87,87,"Richard Johnson",94,22.58,77,341,"BirdieorBetterPercentageLess125",2006
88,88,"Chris DiMarco",83,22.56,60,266,"BirdieorBetterPercentageLess125",2006
88,88,"David Howell",52,22.56,30,133,"BirdieorBetterPercentageLess125",2006
90,90,"Greg Chalmers",71,22.41,54,241,"BirdieorBetterPercentageLess125",2006
91,91,"Paul Azinger",87,22.36,72,322,"BirdieorBetterPercentageLess125",2006
92,92,"Rich Beem",85,22.34,65,291,"BirdieorBetterPercentageLess125",2006
93,93,"Jason Gore",86,22.26,71,319,"BirdieorBetterPercentageLess125",2006
94,94,"Steve Elkington",52,22.16,39,176,"BirdieorBetterPercentageLess125",2006
95,95,"James Driscoll",80,22.06,77,349,"BirdieorBetterPercentageLess125",2006
96,96,"Jeff Overton",95,22.01,92,418,"BirdieorBetterPercentageLess125",2006
97,97,"Robert Gamez",94,21.96,83,378,"BirdieorBetterPercentageLess125",2006
98,98,"Ryan Hietala",61,21.95,54,246,"BirdieorBetterPercentageLess125",2006
99,99,"Geoff Ogilvy",76,21.92,48,219,"BirdieorBetterPercentageLess125",2006
99,99,"Dean Wilson",115,21.92,80,365,"BirdieorBetterPercentageLess125",2006
101,101,"Harrison Frazar",95,21.9,76,347,"BirdieorBetterPercentageLess125",2006
102,102,"David Duval",71,21.88,49,224,"BirdieorBetterPercentageLess125",2006
103,103,"Jason Bohn",104,21.86,80,366,"BirdieorBetterPercentageLess125",2006
104,104,"Joe Durant",101,21.84,83,380,"BirdieorBetterPercentageLess125",2006
105,105,"Craig Barlow",77,21.83,55,252,"BirdieorBetterPercentageLess125",2006
106,106,"Davis Love III",85,21.79,51,234,"BirdieorBetterPercentageLess125",2006
107,107,"Scott Gutschewski",53,21.63,45,208,"BirdieorBetterPercentageLess125",2006
108,108,"Len Mattiace",59,21.58,52,241,"BirdieorBetterPercentageLess125",2006
109,109,"Arjun Atwal",97,21.57,74,343,"BirdieorBetterPercentageLess125",2006
109,109,"Kris Cox",83,21.57,74,343,"BirdieorBetterPercentageLess125",2006
111,111,"Doug Barron",74,21.53,62,288,"BirdieorBetterPercentageLess125",2006
111,111,"Marco Dawson",87,21.53,73,339,"BirdieorBetterPercentageLess125",2006
111,111,"Zach Johnson",98,21.53,73,339,"BirdieorBetterPercentageLess125",2006
114,114,"Jeff Brehaut",100,21.49,75,349,"BirdieorBetterPercentageLess125",2006
115,115,"Heath Slocum",96,21.47,82,382,"BirdieorBetterPercentageLess125",2006
116,116,"Shigeki Maruyama",94,21.45,71,331,"BirdieorBetterPercentageLess125",2006
117,117,"Hunter Mahan",98,21.37,78,365,"BirdieorBetterPercentageLess125",2006
118,118,"Brett Wetterich",82,21.31,75,352,"BirdieorBetterPercentageLess125",2006
119,119,"Kent Jones",103,21.29,86,404,"BirdieorBetterPercentageLess125",2006
120,120,"Kenny Perry",73,21.28,60,282,"BirdieorBetterPercentageLess125",2006
121,121,"Vijay Singh",103,21.26,81,381,"BirdieorBetterPercentageLess125",2006
122,122,"Bob May",65,21.2,53,250,"BirdieorBetterPercentageLess125",2006
123,123,"Duffy Waldorf",96,21.18,68,321,"BirdieorBetterPercentageLess125",2006
124,124,"Aaron Baddeley",78,21.15,48,227,"BirdieorBetterPercentageLess125",2006
125,125,"Joey Sindelar",90,21.07,63,299,"BirdieorBetterPercentageLess125",2006
126,126,"JJ Henry",96,20.99,68,324,"BirdieorBetterPercentageLess125",2006
126,126,"Steve Jones",83,20.99,51,243,"BirdieorBetterPercentageLess125",2006
128,128,"John Engler Jr",69,20.97,56,267,"BirdieorBetterPercentageLess125",2006
129,129,"Corey Pavin",74,20.95,44,210,"BirdieorBetterPercentageLess125",2006
130,130,"John Rollins",93,20.94,67,320,"BirdieorBetterPercentageLess125",2006
131,131,"Robert Garrigus",85,20.86,68,326,"BirdieorBetterPercentageLess125",2006
132,132,"DA Points",82,20.79,58,279,"BirdieorBetterPercentageLess125",2006
133,133,"Ron Whittaker",81,20.73,57,275,"BirdieorBetterPercentageLess125",2006
134,134,"Matt Hansen",68,20.72,52,251,"BirdieorBetterPercentageLess125",2006
135,135,"Charley Hoffman",100,20.7,83,401,"BirdieorBetterPercentageLess125",2006
136,136,"Bob Tway",81,20.59,63,306,"BirdieorBetterPercentageLess125",2006
137,137,"Brent Geiberger",99,20.58,78,379,"BirdieorBetterPercentageLess125",2006
138,138,"Robert Damron",91,20.56,74,360,"BirdieorBetterPercentageLess125",2006
139,139,"Carl Pettersson",95,20.53,62,302,"BirdieorBetterPercentageLess125",2006
140,140,"John Daly",51,20.51,40,195,"BirdieorBetterPercentageLess125",2006
141,141,"Billy Andrade",78,20.5,57,278,"BirdieorBetterPercentageLess125",2006
142,142,"Brad Faxon",78,20.47,61,298,"BirdieorBetterPercentageLess125",2006
143,143,"Steve Lowery",99,20.36,68,334,"BirdieorBetterPercentageLess125",2006
144,144,"Mathias Gronberg",92,20.35,69,339,"BirdieorBetterPercentageLess125",2006
145,145,"Billy Mayfair",94,20.3,54,266,"BirdieorBetterPercentageLess125",2006
145,145,"Jesper Parnevik",84,20.3,54,266,"BirdieorBetterPercentageLess125",2006
147,147,"David Branshaw",98,20.28,73,360,"BirdieorBetterPercentageLess125",2006
148,148,"Chad Campbell",91,20.24,51,252,"BirdieorBetterPercentageLess125",2006
149,149,"Troy Matteson",101,20.11,73,363,"BirdieorBetterPercentageLess125",2006
150,150,"Wes Short Jr",96,20.05,80,399,"BirdieorBetterPercentageLess125",2006
151,151,"Ryan Palmer",101,20,65,325,"BirdieorBetterPercentageLess125",2006
151,151,"Camilo Villegas",95,20,72,360,"BirdieorBetterPercentageLess125",2006
151,151,"Bubba Watson",83,20,79,395,"BirdieorBetterPercentageLess125",2006
154,154,"Mark Brooks",90,19.81,64,323,"BirdieorBetterPercentageLess125",2006
155,155,"Thomas Levet",53,19.75,32,162,"BirdieorBetterPercentageLess125",2006
155,155,"Tjaart van der Walt",60,19.75,48,243,"BirdieorBetterPercentageLess125",2006
157,157,"Henrik Bjornstad",97,19.73,73,370,"BirdieorBetterPercentageLess125",2006
158,158,"Chris Smith",67,19.65,56,285,"BirdieorBetterPercentageLess125",2006
159,159,"Charles Howell III",96,19.63,63,321,"BirdieorBetterPercentageLess125",2006
160,160,"Todd Hamilton",72,19.49,46,236,"BirdieorBetterPercentageLess125",2006
161,161,"Jonathan Kaye",95,19.44,70,360,"BirdieorBetterPercentageLess125",2006
162,162,"Jason Schultz",77,19.41,53,273,"BirdieorBetterPercentageLess125",2006
163,163,"Roger Tambellini",64,19.37,43,222,"BirdieorBetterPercentageLess125",2006
164,164,"Kevin Sutherland",100,19.22,69,359,"BirdieorBetterPercentageLess125",2006
165,165,"Jose Maria Olazabal",62,19.21,29,151,"BirdieorBetterPercentageLess125",2006
166,166,"Patrick Sheehan",104,19.19,71,370,"BirdieorBetterPercentageLess125",2006
167,167,"Sean OHair",100,18.97,55,290,"BirdieorBetterPercentageLess125",2006
168,168,"DJ Trahan",92,18.92,56,296,"BirdieorBetterPercentageLess125",2006
169,169,"Peter Lonard",77,18.9,55,291,"BirdieorBetterPercentageLess125",2006
170,170,"Dudley Hart",83,18.89,51,270,"BirdieorBetterPercentageLess125",2006
171,171,"Mark Calcavecchia",94,18.79,59,314,"BirdieorBetterPercentageLess125",2006
172,172,"Jeff Gove",91,18.78,68,362,"BirdieorBetterPercentageLess125",2006
173,173,"Ian Leggatt",80,18.73,53,283,"BirdieorBetterPercentageLess125",2006
174,174,"Jimmy Walker",60,18.67,45,241,"BirdieorBetterPercentageLess125",2006
175,175,"Charles Warren",93,18.63,68,365,"BirdieorBetterPercentageLess125",2006
176,176,"Larry Mize",53,18.33,33,180,"BirdieorBetterPercentageLess125",2006
177,177,"Tim Petrovic",95,18.29,60,328,"BirdieorBetterPercentageLess125",2006
178,178,"Bubba Dickerson",98,18.18,70,385,"BirdieorBetterPercentageLess125",2006
179,179,"Bill Haas",99,18.16,65,358,"BirdieorBetterPercentageLess125",2006
180,180,"Mike Sposa",68,18.08,47,260,"BirdieorBetterPercentageLess125",2006
181,181,"Carlos Franco",86,17.93,52,290,"BirdieorBetterPercentageLess125",2006
182,182,"Brandt Jobe",91,17.82,49,275,"BirdieorBetterPercentageLess125",2006
183,183,"Steve Flesch",119,17.73,72,406,"BirdieorBetterPercentageLess125",2006
184,184,"Tag Ridings",103,17.55,73,416,"BirdieorBetterPercentageLess125",2006
185,185,"Jeff Maggert",81,17.29,46,266,"BirdieorBetterPercentageLess125",2006
186,186,"Mathew Goggin",72,17.26,34,197,"BirdieorBetterPercentageLess125",2006
187,187,"Tim Herron",82,17.23,46,267,"BirdieorBetterPercentageLess125",2006
