"BogeyAverage_RANKTHISWEEK_2013","BogeyAverage_RANKLASTWEEK_2013","BogeyAverage_PLAYERNAME_2013","BogeyAverage_EVENTS_2013","BogeyAverage_AVERAGEBOGEYSPERROUND_2013","BogeyAverage_TOTALBOGEYS_2013","BogeyAverage_ROUNDSPLAYED_2013","stat_name","year"
1,1,"Steve Stricker",13,1.96,92,47,"BogeyAverage",2013
2,2,"Chris Kirk",24,2.09,186,89,"BogeyAverage",2013
3,3,"Bob Estes",18,2.14,141,66,"BogeyAverage",2013
4,4,"Brendon de Jonge",30,2.24,246,110,"BogeyAverage",2013
5,5,"Charles Howell III",26,2.28,194,85,"BogeyAverage",2013
5,5,"Matt Kuchar",23,2.28,198,87,"BogeyAverage",2013
7,7,"Stuart Appleby",25,2.3,193,84,"BogeyAverage",2013
8,8,"Chris Stroud",26,2.33,205,88,"BogeyAverage",2013
9,9,"Richard Lee",24,2.35,181,77,"BogeyAverage",2013
9,9,"Jordan Spieth",23,2.35,193,82,"BogeyAverage",2013
11,11,"Henrik Stenson",18,2.36,151,64,"BogeyAverage",2013
12,12,"Bill Haas",25,2.37,199,84,"BogeyAverage",2013
13,13,"Troy Matteson",24,2.39,158,66,"BogeyAverage",2013
13,13,"Pat Perez",22,2.39,165,69,"BogeyAverage",2013
15,15,"Keegan Bradley",25,2.4,209,87,"BogeyAverage",2013
15,15,"Tiger Woods",16,2.4,144,60,"BogeyAverage",2013
17,17,"Graham DeLaet",26,2.41,227,94,"BogeyAverage",2013
17,17,"Phil Mickelson",21,2.41,188,78,"BogeyAverage",2013
19,19,"Brian Stuard",25,2.43,180,74,"BogeyAverage",2013
20,20,"Jim Furyk",22,2.45,191,78,"BogeyAverage",2013
20,20,"Jerry Kelly",22,2.45,184,75,"BogeyAverage",2013
22,22,"Roberto Castro",29,2.47,240,97,"BogeyAverage",2013
22,22,"Matt Jones",24,2.47,205,83,"BogeyAverage",2013
24,24,"Sergio Garcia",17,2.48,156,63,"BogeyAverage",2013
24,24,"Kevin Stadler",25,2.48,196,79,"BogeyAverage",2013
24,24,"Cameron Tringale",24,2.48,198,80,"BogeyAverage",2013
27,27,"Martin Flores",25,2.49,207,83,"BogeyAverage",2013
27,27,"William McGirt",24,2.49,187,75,"BogeyAverage",2013
29,29,"Jonas Blixt",24,2.5,190,76,"BogeyAverage",2013
29,29,"Ben Crane",21,2.5,145,58,"BogeyAverage",2013
29,29,"Justin Rose",17,2.5,150,60,"BogeyAverage",2013
32,32,"Rickie Fowler",22,2.51,186,74,"BogeyAverage",2013
33,33,"Adam Scott",16,2.53,152,60,"BogeyAverage",2013
34,34,"KJ Choi",24,2.54,213,84,"BogeyAverage",2013
34,34,"Erik Compton",24,2.54,188,74,"BogeyAverage",2013
34,34,"Zach Johnson",24,2.54,211,83,"BogeyAverage",2013
34,34,"Hunter Mahan",25,2.54,216,85,"BogeyAverage",2013
34,34,"Chez Reavie",22,2.54,183,72,"BogeyAverage",2013
34,34,"Tag Ridings",24,2.54,165,65,"BogeyAverage",2013
34,34,"Jimmy Walker",24,2.54,213,84,"BogeyAverage",2013
41,41,"Jeff Overton",24,2.56,200,78,"BogeyAverage",2013
42,42,"James Driscoll",23,2.57,185,72,"BogeyAverage",2013
43,43,"Billy Horschel",26,2.58,248,96,"BogeyAverage",2013
43,43,"Ian Poulter",16,2.58,137,53,"BogeyAverage",2013
43,43,"Brandt Snedeker",23,2.58,204,79,"BogeyAverage",2013
43,43,"Mark Wilson",19,2.58,134,52,"BogeyAverage",2013
47,47,"Jeff Maggert",21,2.6,164,63,"BogeyAverage",2013
47,47,"John Rollins",24,2.6,190,73,"BogeyAverage",2013
47,47,"Rory Sabbatini",27,2.6,213,82,"BogeyAverage",2013
47,47,"Daniel Summerhays",26,2.6,216,83,"BogeyAverage",2013
51,51,"Fabian Gomez",23,2.62,170,65,"BogeyAverage",2013
52,52,"Morgan Hoffmann",20,2.63,168,64,"BogeyAverage",2013
52,52,"Graeme McDowell",16,2.63,129,49,"BogeyAverage",2013
52,52,"Kevin Streelman",25,2.63,226,86,"BogeyAverage",2013
