"EarlyRound3ScoringAverage_RANKTHISWEEK_2013","EarlyRound3ScoringAverage_RANKLASTWEEK_2013","EarlyRound3ScoringAverage_PLAYERNAME_2013","EarlyRound3ScoringAverage__2013","EarlyRound3ScoringAverage_AVG_2013","EarlyRound3ScoringAverage_TOTALSTROKES_2013","EarlyRound3ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Morgan Hoffmann",NA,68.5,411,6,"EarlyRound3ScoringAverage",2013
2,2,"Erik Compton",NA,68.83,413,6,"EarlyRound3ScoringAverage",2013
3,3,"Tim Clark",NA,69,483,7,"EarlyRound3ScoringAverage",2013
3,3,"Marc Leishman",NA,69,345,5,"EarlyRound3ScoringAverage",2013
3,3,"Ryan Moore",NA,69,483,7,"EarlyRound3ScoringAverage",2013
3,3,"Justin Rose",NA,69,69,1,"EarlyRound3ScoringAverage",2013
3,3,"Adam Scott",NA,69,345,5,"EarlyRound3ScoringAverage",2013
3,3,"Brandt Snedeker",NA,69,483,7,"EarlyRound3ScoringAverage",2013
3,3,"Robert Streb",NA,69,414,6,"EarlyRound3ScoringAverage",2013
10,10,"John Merrick",NA,69.14,484,7,"EarlyRound3ScoringAverage",2013
11,11,"Kevin Stadler",NA,69.15,899,13,"EarlyRound3ScoringAverage",2013
12,12,"Matt Every",NA,69.22,623,9,"EarlyRound3ScoringAverage",2013
13,13,"Luke Donald",NA,69.25,277,4,"EarlyRound3ScoringAverage",2013
13,13,"Mark Wilson",NA,69.25,277,4,"EarlyRound3ScoringAverage",2013
15,15,"Ryan Palmer",NA,69.45,764,11,"EarlyRound3ScoringAverage",2013
16,16,"Eric Meierdierks",NA,69.5,139,2,"EarlyRound3ScoringAverage",2013
16,16,"Webb Simpson",NA,69.5,695,10,"EarlyRound3ScoringAverage",2013
16,16,"Daniel Summerhays",NA,69.5,556,8,"EarlyRound3ScoringAverage",2013
16,16,"Nick Watney",NA,69.5,695,10,"EarlyRound3ScoringAverage",2013
20,20,"Matt Kuchar",NA,69.56,626,9,"EarlyRound3ScoringAverage",2013
21,21,"Rod Pampling",NA,69.6,348,5,"EarlyRound3ScoringAverage",2013
22,22,"Luke Guthrie",NA,69.67,209,3,"EarlyRound3ScoringAverage",2013
22,22,"Dustin Johnson",NA,69.67,418,6,"EarlyRound3ScoringAverage",2013
24,24,"Cameron Tringale",NA,69.7,697,10,"EarlyRound3ScoringAverage",2013
25,25,"Chris Kirk",NA,69.71,488,7,"EarlyRound3ScoringAverage",2013
26,26,"Ricky Barnes",NA,69.75,558,8,"EarlyRound3ScoringAverage",2013
26,26,"Jim Furyk",NA,69.75,558,8,"EarlyRound3ScoringAverage",2013
26,26,"Rory McIlroy",NA,69.75,279,4,"EarlyRound3ScoringAverage",2013
