"Total3PuttsInside5_RANKTHISWEEK_2006","Total3PuttsInside5_RANKLASTWEEK_2006","Total3PuttsInside5_PLAYERNAME_2006","Total3PuttsInside5_ROUNDS_2006","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2006","Total3PuttsInside5_TOTAL3PUTTS_2006","stat_name","year"
1,1,"Billy Andrade",78,2,39,"Total3PuttsInside5",2006
1,1,"Aaron Baddeley",78,2,20,"Total3PuttsInside5",2006
1,1,"Rich Beem",85,2,39,"Total3PuttsInside5",2006
1,1,"Mark Calcavecchia",94,2,66,"Total3PuttsInside5",2006
1,1,"Tim Clark",80,2,38,"Total3PuttsInside5",2006
1,1,"Danny Ellis",68,2,26,"Total3PuttsInside5",2006
1,1,"JB Holmes",81,2,58,"Total3PuttsInside5",2006
1,1,"Rod Pampling",89,2,28,"Total3PuttsInside5",2006
1,1,"Ian Poulter",53,2,23,"Total3PuttsInside5",2006
1,1,"John Senden",96,2,50,"Total3PuttsInside5",2006
1,1,"Jerry Smith",94,2,59,"Total3PuttsInside5",2006
1,1,"Roger Tambellini",64,2,45,"Total3PuttsInside5",2006
1,1,"Camilo Villegas",95,2,48,"Total3PuttsInside5",2006
1,1,"Mike Weir",88,2,36,"Total3PuttsInside5",2006
1,1,"Mark Wilson",79,2,39,"Total3PuttsInside5",2006
16,16,"Michael Allen",84,1,26,"Total3PuttsInside5",2006
16,16,"Robert Allenby",79,1,27,"Total3PuttsInside5",2006
16,16,"Stephen Ames",63,1,23,"Total3PuttsInside5",2006
16,16,"Tommy Armour III",65,1,28,"Total3PuttsInside5",2006
16,16,"Arjun Atwal",97,1,44,"Total3PuttsInside5",2006
16,16,"Paul Azinger",87,1,31,"Total3PuttsInside5",2006
16,16,"Henrik Bjornstad",97,1,54,"Total3PuttsInside5",2006
16,16,"Jason Bohn",104,1,54,"Total3PuttsInside5",2006
16,16,"David Branshaw",98,1,59,"Total3PuttsInside5",2006
16,16,"Jeff Brehaut",100,1,53,"Total3PuttsInside5",2006
16,16,"Mark Brooks",90,1,33,"Total3PuttsInside5",2006
16,16,"Bart Bryant",87,1,39,"Total3PuttsInside5",2006
16,16,"Greg Chalmers",71,1,31,"Total3PuttsInside5",2006
16,16,"Michael Connell",51,1,32,"Total3PuttsInside5",2006
16,16,"Chris Couch",75,1,45,"Total3PuttsInside5",2006
16,16,"Ben Crane",85,1,24,"Total3PuttsInside5",2006
16,16,"John Daly",51,1,37,"Total3PuttsInside5",2006
16,16,"Robert Damron",91,1,49,"Total3PuttsInside5",2006
16,16,"Brian Davis",92,1,55,"Total3PuttsInside5",2006
16,16,"Marco Dawson",87,1,32,"Total3PuttsInside5",2006
16,16,"Chris DiMarco",83,1,32,"Total3PuttsInside5",2006
16,16,"James Driscoll",80,1,63,"Total3PuttsInside5",2006
16,16,"Steve Elkington",52,1,37,"Total3PuttsInside5",2006
16,16,"Ernie Els",69,1,20,"Total3PuttsInside5",2006
16,16,"John Engler Jr",69,1,34,"Total3PuttsInside5",2006
16,16,"Bob Estes",85,1,35,"Total3PuttsInside5",2006
16,16,"Brad Faxon",78,1,30,"Total3PuttsInside5",2006
16,16,"Todd Fischer",101,1,35,"Total3PuttsInside5",2006
16,16,"Carlos Franco",86,1,59,"Total3PuttsInside5",2006
16,16,"Mathew Goggin",72,1,50,"Total3PuttsInside5",2006
16,16,"Jeff Gove",91,1,50,"Total3PuttsInside5",2006
16,16,"Dudley Hart",83,1,48,"Total3PuttsInside5",2006
16,16,"Lee Janzen",79,1,47,"Total3PuttsInside5",2006
16,16,"Steve Jones",83,1,41,"Total3PuttsInside5",2006
16,16,"Kent Jones",103,1,49,"Total3PuttsInside5",2006
16,16,"Skip Kendall",72,1,25,"Total3PuttsInside5",2006
16,16,"Davis Love III",85,1,26,"Total3PuttsInside5",2006
16,16,"Steve Lowery",99,1,44,"Total3PuttsInside5",2006
16,16,"Jeff Maggert",81,1,37,"Total3PuttsInside5",2006
16,16,"Hunter Mahan",98,1,58,"Total3PuttsInside5",2006
16,16,"Shigeki Maruyama",94,1,39,"Total3PuttsInside5",2006
16,16,"Daisuke Maruyama",83,1,41,"Total3PuttsInside5",2006
16,16,"David McKenzie",82,1,42,"Total3PuttsInside5",2006
16,16,"Ryan Moore",68,1,23,"Total3PuttsInside5",2006
16,16,"Sean OHair",100,1,54,"Total3PuttsInside5",2006
16,16,"Geoff Ogilvy",76,1,28,"Total3PuttsInside5",2006
16,16,"Jeff Overton",95,1,47,"Total3PuttsInside5",2006
16,16,"Greg Owen",79,1,45,"Total3PuttsInside5",2006
16,16,"Ryan Palmer",101,1,43,"Total3PuttsInside5",2006
16,16,"Corey Pavin",74,1,25,"Total3PuttsInside5",2006
16,16,"Pat Perez",50,1,29,"Total3PuttsInside5",2006
16,16,"Tim Petrovic",95,1,44,"Total3PuttsInside5",2006
16,16,"Tag Ridings",103,1,47,"Total3PuttsInside5",2006
16,16,"Rory Sabbatini",84,1,39,"Total3PuttsInside5",2006
16,16,"Jason Schultz",77,1,36,"Total3PuttsInside5",2006
16,16,"Adam Scott",70,1,34,"Total3PuttsInside5",2006
16,16,"Vijay Singh",103,1,47,"Total3PuttsInside5",2006
16,16,"Kevin Sutherland",100,1,48,"Total3PuttsInside5",2006
16,16,"DJ Trahan",92,1,47,"Total3PuttsInside5",2006
16,16,"Kirk Triplett",58,1,26,"Total3PuttsInside5",2006
16,16,"Omar Uresti",61,1,35,"Total3PuttsInside5",2006
16,16,"Tjaart van der Walt",60,1,37,"Total3PuttsInside5",2006
16,16,"Bo Van Pelt",102,1,58,"Total3PuttsInside5",2006
16,16,"Scott Verplank",88,1,27,"Total3PuttsInside5",2006
16,16,"Nick Watney",97,1,65,"Total3PuttsInside5",2006
