"LateScoringAverage_RANKTHISWEEK_2015","LateScoringAverage_RANKLASTWEEK_2015","LateScoringAverage_PLAYERNAME_2015","LateScoringAverage_ROUNDS_2015","LateScoringAverage_AVG_2015","LateScoringAverage_TOTALSTROKES_2015","LateScoringAverage_TOTALLATEROUNDS_2015","stat_name","year"
1,1,"Jordan Spieth",91,69.05,4143,60,"LateScoringAverage",2015
2,2,"Bubba Watson",71,69.09,3109,45,"LateScoringAverage",2015
3,3,"Jason Day",75,69.31,3119,45,"LateScoringAverage",2015
4,4,"Justin Thomas",106,69.5,4309,62,"LateScoringAverage",2015
5,5,"Justin Rose",69,69.54,2851,41,"LateScoringAverage",2015
6,6,"Zach Johnson",90,69.65,3622,52,"LateScoringAverage",2015
7,7,"Paul Casey",87,69.71,2928,42,"LateScoringAverage",2015
8,8,"Robert Streb",110,69.8,3909,56,"LateScoringAverage",2015
9,9,"Scott Piercy",90,69.82,3072,44,"LateScoringAverage",2015
10,10,"Jason Bohn",95,69.84,3562,51,"LateScoringAverage",2015
11,11,"Harris English",105,69.85,3353,48,"LateScoringAverage",2015
12,12,"Russell Knox",96,69.88,3494,50,"LateScoringAverage",2015
13,13,"Danny Lee",120,69.9,4334,62,"LateScoringAverage",2015
13,13,"Ryan Palmer",80,69.9,2726,39,"LateScoringAverage",2015
15,15,"Sergio Garcia",59,69.91,2377,34,"LateScoringAverage",2015
15,15,"Louis Oosthuizen",68,69.91,2447,35,"LateScoringAverage",2015
17,17,"Will Wilcox",58,69.92,1818,26,"LateScoringAverage",2015
18,18,"Chad Collins",79,69.94,2448,35,"LateScoringAverage",2015
18,18,"Hideki Matsuyama",95,69.94,3567,51,"LateScoringAverage",2015
20,20,"Kevin Kisner",104,69.98,3639,52,"LateScoringAverage",2015
21,21,"Brooks Koepka",84,70,3080,44,"LateScoringAverage",2015
22,22,"Rickie Fowler",76,70.05,2802,40,"LateScoringAverage",2015
23,23,"Brendon de Jonge",106,70.08,3714,53,"LateScoringAverage",2015
23,23,"Brandt Snedeker",98,70.08,3364,48,"LateScoringAverage",2015
25,25,"Matt Kuchar",97,70.09,3715,53,"LateScoringAverage",2015
25,25,"Rory Sabbatini",81,70.09,3084,44,"LateScoringAverage",2015
27,27,"Vijay Singh",78,70.11,2524,36,"LateScoringAverage",2015
28,28,"Jason Kokrak",88,70.12,2875,41,"LateScoringAverage",2015
29,29,"Tom Hoge",83,70.14,2455,35,"LateScoringAverage",2015
30,30,"Scott Brown",97,70.16,3508,50,"LateScoringAverage",2015
30,30,"David Hearn",97,70.16,3157,45,"LateScoringAverage",2015
32,32,"Johnson Wagner",68,70.18,2316,33,"LateScoringAverage",2015
33,33,"Daniel Berger",97,70.19,3790,54,"LateScoringAverage",2015
33,33,"Bill Haas",89,70.19,2948,42,"LateScoringAverage",2015
33,33,"Bryce Molder",91,70.19,2948,42,"LateScoringAverage",2015
36,36,"Carl Pettersson",106,70.2,3440,49,"LateScoringAverage",2015
37,37,"Greg Chalmers",58,70.21,1685,24,"LateScoringAverage",2015
37,37,"Whee Kim",71,70.21,2387,34,"LateScoringAverage",2015
39,39,"Henrik Stenson",63,70.24,2669,38,"LateScoringAverage",2015
40,40,"Hudson Swafford",97,70.29,3585,51,"LateScoringAverage",2015
