"DrivingPct280300AllDrives_RANKTHISWEEK_2013","DrivingPct280300AllDrives_RANKLASTWEEK_2013","DrivingPct280300AllDrives_PLAYERNAME_2013","DrivingPct280300AllDrives_ROUNDS_2013","DrivingPct280300AllDrives_Pct_2013","DrivingPct280300AllDrives_TOTALDRIVESFOR280300_2013","DrivingPct280300AllDrives_TOTALDRIVESOVERALL_2013","DrivingPct280300AllDrives_RELATIVETOPAR_2013","stat_name","year"
1,1,"Lee Westwood",70,41.04,293,714,-0.072,"DrivingPct280300AllDrives",2013
2,2,"Derek Ernst",58,40,274,685,0.066,"DrivingPct280300AllDrives",2013
3,3,"Boo Weekley",100,39.71,459,1156,-0.078,"DrivingPct280300AllDrives",2013
4,4,"Phil Mickelson",78,39.45,314,796,-0.099,"DrivingPct280300AllDrives",2013
5,5,"Matt Every",89,38.32,428,1117,-0.114,"DrivingPct280300AllDrives",2013
6,6,"Patrick Reed",83,38.04,393,1033,0.003,"DrivingPct280300AllDrives",2013
7,7,"Brian Harman",89,37.58,398,1059,0.008,"DrivingPct280300AllDrives",2013
8,8,"Ernie Els",63,37.5,252,672,-0.06,"DrivingPct280300AllDrives",2013
9,9,"Cameron Tringale",80,37.45,391,1044,-0.151,"DrivingPct280300AllDrives",2013
10,10,"Bill Haas",85,37.4,362,968,-0.102,"DrivingPct280300AllDrives",2013
11,11,"Martin Kaymer",61,37.37,219,586,-0.037,"DrivingPct280300AllDrives",2013
12,12,"Geoff Ogilvy",57,36.94,215,582,0.056,"DrivingPct280300AllDrives",2013
13,13,"Andrew Svoboda",46,36.81,180,489,0.011,"DrivingPct280300AllDrives",2013
14,14,"Charles Howell III",87,36.67,410,1118,-0.09,"DrivingPct280300AllDrives",2013
15,15,"Matt Kuchar",93,36.55,352,963,-0.094,"DrivingPct280300AllDrives",2013
16,16,"Vijay Singh",61,36.53,244,668,0.008,"DrivingPct280300AllDrives",2013
17,17,"Russell Henley",80,36.37,335,921,-0.015,"DrivingPct280300AllDrives",2013
