"Approach5075yardsRTPScore_RANKTHISWEEK_2006","Approach5075yardsRTPScore_RANKLASTWEEK_2006","Approach5075yardsRTPScore_PLAYERNAME_2006","Approach5075yardsRTPScore_ROUNDS_2006","Approach5075yardsRTPScore_AVGRTP_2006","stat_name","year"
1,1,"Larry Mize",53,-0.625,"Approach5075yardsRTPScore",2006
1,1,"Adam Scott",70,-0.625,"Approach5075yardsRTPScore",2006
3,3,"Bob May",65,-0.6,"Approach5075yardsRTPScore",2006
4,4,"Tiger Woods",55,-0.471,"Approach5075yardsRTPScore",2006
5,5,"Nick Watney",97,-0.444,"Approach5075yardsRTPScore",2006
6,6,"Pat Perez",50,-0.438,"Approach5075yardsRTPScore",2006
7,7,"Jim Furyk",89,-0.419,"Approach5075yardsRTPScore",2006
8,8,"Padraig Harrington",54,-0.4,"Approach5075yardsRTPScore",2006
8,8,"Davis Love III",85,-0.4,"Approach5075yardsRTPScore",2006
10,10,"Daniel Chopra",110,-0.391,"Approach5075yardsRTPScore",2006
11,11,"Ben Curtis",86,-0.368,"Approach5075yardsRTPScore",2006
12,12,"Jimmy Walker",60,-0.333,"Approach5075yardsRTPScore",2006
13,13,"Alex Cejka",93,-0.321,"Approach5075yardsRTPScore",2006
14,14,"Will Ma Kenzie",91,-0.303,"Approach5075yardsRTPScore",2006
15,15,"Mark OMeara",52,-0.3,"Approach5075yardsRTPScore",2006
15,15,"Steve Stricker",64,-0.3,"Approach5075yardsRTPScore",2006
17,17,"Jeff Overton",95,-0.296,"Approach5075yardsRTPScore",2006
18,18,"Tommy Armour III",65,-0.278,"Approach5075yardsRTPScore",2006
18,18,"Freddie Jacobson",56,-0.278,"Approach5075yardsRTPScore",2006
20,20,"Rory Sabbatini",84,-0.263,"Approach5075yardsRTPScore",2006
20,20,"Mike Weir",88,-0.263,"Approach5075yardsRTPScore",2006
22,22,"Tom Pernice Jr",108,-0.258,"Approach5075yardsRTPScore",2006
23,23,"Marco Dawson",87,-0.25,"Approach5075yardsRTPScore",2006
23,23,"Ernie Els",69,-0.25,"Approach5075yardsRTPScore",2006
23,23,"Ryuji Imada",105,-0.25,"Approach5075yardsRTPScore",2006
23,23,"Skip Kendall",72,-0.25,"Approach5075yardsRTPScore",2006
27,27,"Jason Bohn",104,-0.241,"Approach5075yardsRTPScore",2006
27,27,"John Senden",96,-0.241,"Approach5075yardsRTPScore",2006
29,29,"Greg Owen",79,-0.238,"Approach5075yardsRTPScore",2006
30,30,"John Engler Jr",69,-0.227,"Approach5075yardsRTPScore",2006
31,31,"Michael Connell",51,-0.217,"Approach5075yardsRTPScore",2006
32,32,"Bob Estes",85,-0.216,"Approach5075yardsRTPScore",2006
33,33,"Frank Lickliter II",99,-0.211,"Approach5075yardsRTPScore",2006
34,34,"Shane Bertsch",104,-0.2,"Approach5075yardsRTPScore",2006
34,34,"Duffy Waldorf",96,-0.2,"Approach5075yardsRTPScore",2006
36,36,"Joe Ogilvie",95,-0.194,"Approach5075yardsRTPScore",2006
37,37,"John Cook",67,-0.192,"Approach5075yardsRTPScore",2006
38,38,"Jeff Sluman",101,-0.188,"Approach5075yardsRTPScore",2006
39,39,"Jeff Gove",91,-0.185,"Approach5075yardsRTPScore",2006
40,40,"Craig Barlow",77,-0.182,"Approach5075yardsRTPScore",2006
40,40,"Chris Couch",75,-0.182,"Approach5075yardsRTPScore",2006
40,40,"Brian Gay",107,-0.182,"Approach5075yardsRTPScore",2006
43,43,"Scott Verplank",88,-0.179,"Approach5075yardsRTPScore",2006
44,44,"Fred Funk",106,-0.172,"Approach5075yardsRTPScore",2006
45,45,"Tim Clark",80,-0.17,"Approach5075yardsRTPScore",2006
46,46,"JP Hayes",55,-0.167,"Approach5075yardsRTPScore",2006
46,46,"Greg Kraft",79,-0.167,"Approach5075yardsRTPScore",2006
48,48,"Brett Quigley",109,-0.162,"Approach5075yardsRTPScore",2006
49,49,"Stuart Appleby",83,-0.154,"Approach5075yardsRTPScore",2006
49,49,"Fred Couples",52,-0.154,"Approach5075yardsRTPScore",2006
49,49,"Phil Mickelson",74,-0.154,"Approach5075yardsRTPScore",2006
49,49,"DA Points",82,-0.154,"Approach5075yardsRTPScore",2006
53,53,"Todd Fischer",101,-0.15,"Approach5075yardsRTPScore",2006
53,53,"Harrison Frazar",95,-0.15,"Approach5075yardsRTPScore",2006
53,53,"JJ Henry",96,-0.15,"Approach5075yardsRTPScore",2006
56,56,"Paul Stankowski",70,-0.143,"Approach5075yardsRTPScore",2006
56,56,"Tjaart van der Walt",60,-0.143,"Approach5075yardsRTPScore",2006
