"StrokesGainedTeetoGreen_RANKTHISWEEK_2016","StrokesGainedTeetoGreen_RANKLASTWEEK_2016","StrokesGainedTeetoGreen_PLAYERNAME_2016","StrokesGainedTeetoGreen_ROUNDS_2016","StrokesGainedTeetoGreen_AVERAGE_2016","StrokesGainedTeetoGreen_TOTALSGOTT_2016","StrokesGainedTeetoGreen_SGAPR_2016","StrokesGainedTeetoGreen_TOTALSGARG_2016","StrokesGainedTeetoGreen_MEASUREDROUNDS_2016","stat_name","year"
1,1,"Bubba Watson",30,2.338,1.15,1.03,0.14,17,"StrokesGainedTeetoGreen",2016
2,2,"Adam Scott",39,2.212,0.58,1.65,-0.02,24,"StrokesGainedTeetoGreen",2016
3,7,"Justin Rose",35,1.943,0.82,0.8,0.31,25,"StrokesGainedTeetoGreen",2016
4,3,"Henrik Stenson",30,1.935,0.6,1.28,0.04,18,"StrokesGainedTeetoGreen",2016
5,5,"Hideki Matsuyama",40,1.836,0.78,1.04,0,26,"StrokesGainedTeetoGreen",2016
6,4,"Sergio Garcia",28,1.808,0.7,1.17,-0.06,13,"StrokesGainedTeetoGreen",2016
7,6,"Rickie Fowler",42,1.724,0.73,0.53,0.45,32,"StrokesGainedTeetoGreen",2016
8,8,"Rory McIlroy",37,1.71,1.1,0.27,0.32,22,"StrokesGainedTeetoGreen",2016
9,9,"Charl Schwartzel",29,1.435,0.3,0.95,0.17,20,"StrokesGainedTeetoGreen",2016
10,10,"Dustin Johnson",37,1.424,0.91,0.58,-0.07,20,"StrokesGainedTeetoGreen",2016
11,12,"Branden Grace",31,1.342,0.63,0.55,0.14,18,"StrokesGainedTeetoGreen",2016
12,13,"Kevin Na",52,1.313,-0.2,1.03,0.48,33,"StrokesGainedTeetoGreen",2016
13,11,"Phil Mickelson",37,1.266,0.04,0.79,0.43,27,"StrokesGainedTeetoGreen",2016
14,15,"Jordan Spieth",34,1.239,0.57,-0.03,0.69,20,"StrokesGainedTeetoGreen",2016
15,13,"Patrick Reed",53,1.154,0.33,0.14,0.67,32,"StrokesGainedTeetoGreen",2016
16,19,"Gary Woodland",45,1.087,0.46,0.63,-0.01,35,"StrokesGainedTeetoGreen",2016
17,26,"Lucas Glover",53,1.078,0.58,0.42,0.06,47,"StrokesGainedTeetoGreen",2016
18,20,"Paul Casey",39,1.038,0.38,0.59,0.05,23,"StrokesGainedTeetoGreen",2016
19,16,"Kevin Chappell",49,1.015,0.27,0.6,0.13,40,"StrokesGainedTeetoGreen",2016
20,18,"Chez Reavie",56,0.991,0.38,0.6,NA,46,"StrokesGainedTeetoGreen",2016
21,22,"Marc Leishman",41,0.943,0.44,0.18,0.3,25,"StrokesGainedTeetoGreen",2016
22,28,"Roberto Castro",55,0.929,0.27,0.43,0.22,46,"StrokesGainedTeetoGreen",2016
23,24,"Jason Day",36,0.924,0.37,0.33,0.21,22,"StrokesGainedTeetoGreen",2016
24,25,"Matt Kuchar",46,0.916,0.26,0.41,0.23,31,"StrokesGainedTeetoGreen",2016
25,27,"Luke List",51,0.882,0.45,0.28,0.14,39,"StrokesGainedTeetoGreen",2016
26,21,"Chad Campbell",54,0.865,0.33,0.23,0.29,43,"StrokesGainedTeetoGreen",2016
27,31,"Jimmy Walker",43,0.85,-0.06,0.55,0.35,32,"StrokesGainedTeetoGreen",2016
28,29,"Greg Owen",56,0.848,0.47,0.75,-0.38,43,"StrokesGainedTeetoGreen",2016
29,46,"Daniel Berger",52,0.829,0.49,0.43,-0.1,36,"StrokesGainedTeetoGreen",2016
30,22,"Bill Haas",42,0.811,0.07,0.34,0.39,28,"StrokesGainedTeetoGreen",2016
31,32,"William McGirt",54,0.805,0.16,0.5,0.13,48,"StrokesGainedTeetoGreen",2016
32,38,"Charley Hoffman",49,0.796,0.39,0.33,0.05,36,"StrokesGainedTeetoGreen",2016
33,40,"Smylie Kaufman",57,0.784,0.41,0.26,0.1,41,"StrokesGainedTeetoGreen",2016
34,42,"Keegan Bradley",40,0.778,0.27,0.64,-0.14,27,"StrokesGainedTeetoGreen",2016
35,35,"Charles Howell III",63,0.77,0.15,0.28,0.33,50,"StrokesGainedTeetoGreen",2016
36,43,"Jason Dufner",53,0.765,0.39,0.26,0.1,35,"StrokesGainedTeetoGreen",2016
36,43,"Billy Horschel",45,0.765,0.56,0.4,-0.2,34,"StrokesGainedTeetoGreen",2016
38,17,"JB Holmes",39,0.757,0.76,-0.19,0.18,28,"StrokesGainedTeetoGreen",2016
39,35,"Robert Garrigus",34,0.754,0.28,0.55,-0.08,23,"StrokesGainedTeetoGreen",2016
40,55,"Brendan Steele",48,0.75,0.56,0.18,0,38,"StrokesGainedTeetoGreen",2016
41,46,"Louis Oosthuizen",25,0.736,0.32,0.09,0.32,10,"StrokesGainedTeetoGreen",2016
41,29,"Jhonattan Vegas",49,0.736,0.5,0.31,-0.09,36,"StrokesGainedTeetoGreen",2016
43,43,"Jason Kokrak",52,0.735,0.6,0.3,-0.17,41,"StrokesGainedTeetoGreen",2016
44,48,"Chris Kirk",51,0.721,0.02,0.56,0.13,39,"StrokesGainedTeetoGreen",2016
45,54,"Jamie Lovemark",57,0.714,0.59,-0.26,0.38,50,"StrokesGainedTeetoGreen",2016
46,37,"Patrick Rodgers",49,0.698,0.58,0.01,0.1,39,"StrokesGainedTeetoGreen",2016
47,41,"Byeong Hun An",23,0.689,0.55,0.07,0.06,13,"StrokesGainedTeetoGreen",2016
48,62,"Francesco Molinari",36,0.677,0.02,0.47,0.17,33,"StrokesGainedTeetoGreen",2016
49,39,"Graham DeLaet",50,0.676,0.23,0.74,-0.3,42,"StrokesGainedTeetoGreen",2016
50,50,"Russell Knox",48,0.665,0.15,0.42,0.08,29,"StrokesGainedTeetoGreen",2016
51,51,"Brandt Snedeker",47,0.663,0.08,0.12,0.45,34,"StrokesGainedTeetoGreen",2016
52,52,"Ryan Palmer",46,0.656,0.57,0.12,-0.04,42,"StrokesGainedTeetoGreen",2016
53,53,"Bernd Wiesberger",23,0.65,0,0.79,-0.15,12,"StrokesGainedTeetoGreen",2016
54,49,"Padraig Harrington",38,0.622,-0.11,0.15,0.57,32,"StrokesGainedTeetoGreen",2016
55,55,"Brooks Koepka",39,0.619,0.54,0.09,-0.01,28,"StrokesGainedTeetoGreen",2016
56,34,"Luke Donald",49,0.616,-0.49,0.72,0.38,33,"StrokesGainedTeetoGreen",2016
56,33,"David Toms",38,0.616,-0.48,0.52,0.57,32,"StrokesGainedTeetoGreen",2016
58,57,"Danny Lee",53,0.595,0.29,0.27,0.02,36,"StrokesGainedTeetoGreen",2016
59,60,"Zach Johnson",42,0.573,-0.07,0.45,0.19,33,"StrokesGainedTeetoGreen",2016
60,58,"Webb Simpson",34,0.566,0.11,0.33,0.11,28,"StrokesGainedTeetoGreen",2016
61,63,"David Lingmerth",54,0.53,0.47,0.22,-0.16,36,"StrokesGainedTeetoGreen",2016
62,69,"Si Woo Kim",63,0.495,0.41,-0.27,0.36,52,"StrokesGainedTeetoGreen",2016
62,80,"Robert Streb",51,0.495,-0.13,0.5,0.11,33,"StrokesGainedTeetoGreen",2016
64,61,"Vaughn Taylor",30,0.488,-0.13,0.72,-0.09,25,"StrokesGainedTeetoGreen",2016
65,59,"Kevin Streelman",46,0.47,0.25,0.34,-0.12,31,"StrokesGainedTeetoGreen",2016
66,70,"Stewart Cink",45,0.463,-0.06,0.39,0.12,33,"StrokesGainedTeetoGreen",2016
67,68,"Alex Cejka",47,0.451,-0.45,0.66,0.23,31,"StrokesGainedTeetoGreen",2016
68,67,"Ryan Moore",40,0.443,0.03,0.23,0.17,27,"StrokesGainedTeetoGreen",2016
69,64,"Shane Lowry",35,0.427,0.59,-0.18,0.01,20,"StrokesGainedTeetoGreen",2016
70,76,"John Huh",51,0.42,0.03,0.3,0.08,44,"StrokesGainedTeetoGreen",2016
71,78,"Justin Thomas",53,0.413,0.08,0.54,-0.21,37,"StrokesGainedTeetoGreen",2016
72,72,"Patton Kizzire",57,0.404,-0.31,0.36,0.34,44,"StrokesGainedTeetoGreen",2016
73,65,"Spencer Levin",62,0.402,0.11,0.04,0.25,48,"StrokesGainedTeetoGreen",2016
74,73,"Scott Stallings",46,0.395,0.11,0.22,0.05,38,"StrokesGainedTeetoGreen",2016
75,66,"Jason Bohn",37,0.374,0.12,0.45,-0.2,29,"StrokesGainedTeetoGreen",2016
76,82,"Harold Varner III",58,0.353,0.39,0,-0.04,49,"StrokesGainedTeetoGreen",2016
77,79,"Bryce Molder",50,0.336,0.02,0,0.31,39,"StrokesGainedTeetoGreen",2016
78,71,"Kevin Kisner",49,0.325,0.68,-0.14,-0.2,33,"StrokesGainedTeetoGreen",2016
79,77,"Emiliano Grillo",47,0.324,0.4,0.15,-0.22,35,"StrokesGainedTeetoGreen",2016
80,89,"Fabian Gomez",49,0.298,0.13,0.1,0.06,42,"StrokesGainedTeetoGreen",2016
81,83,"Tony Finau",49,0.294,0.3,0.05,-0.06,37,"StrokesGainedTeetoGreen",2016
82,75,"Jim Herman",55,0.284,0.47,-0.14,-0.04,38,"StrokesGainedTeetoGreen",2016
83,74,"David Hearn",55,0.278,0.03,0.19,0.04,42,"StrokesGainedTeetoGreen",2016
84,86,"Scott Brown",59,0.253,0.27,0.12,-0.14,40,"StrokesGainedTeetoGreen",2016
85,85,"Scott Piercy",45,0.244,0.46,-0.05,-0.17,28,"StrokesGainedTeetoGreen",2016
86,84,"Tim Wilkinson",40,0.238,-0.37,0.27,0.34,26,"StrokesGainedTeetoGreen",2016
87,90,"Nick Taylor",57,0.23,0.26,0.21,-0.25,44,"StrokesGainedTeetoGreen",2016
88,91,"Will Ma Kenzie",54,0.228,0.33,-0.06,-0.03,40,"StrokesGainedTeetoGreen",2016
88,80,"Kyle Stanley",57,0.228,0.02,0.18,0.01,46,"StrokesGainedTeetoGreen",2016
90,97,"Sean OHair",45,0.225,0.36,-0.31,0.18,40,"StrokesGainedTeetoGreen",2016
91,88,"Andy Sullivan",25,0.215,0.08,0.31,-0.17,16,"StrokesGainedTeetoGreen",2016
92,91,"Graeme McDowell",33,0.197,-0.19,0.09,0.3,23,"StrokesGainedTeetoGreen",2016
93,93,"DJ Trahan",23,0.182,-1,0.82,0.36,11,"StrokesGainedTeetoGreen",2016
94,101,"Chris Stroud",52,0.155,0.09,0.19,-0.13,41,"StrokesGainedTeetoGreen",2016
95,104,"Harris English",51,0.146,-0.21,0.16,0.19,34,"StrokesGainedTeetoGreen",2016
96,87,"John Senden",48,0.143,0.17,0.41,-0.44,40,"StrokesGainedTeetoGreen",2016
97,120,"Andrew Loupe",50,0.113,0.13,0.02,-0.05,41,"StrokesGainedTeetoGreen",2016
97,100,"Kyle Reifers",63,0.113,0.08,0,0.01,48,"StrokesGainedTeetoGreen",2016
99,99,"Jerry Kelly",44,0.102,0.13,0.12,-0.15,28,"StrokesGainedTeetoGreen",2016
99,94,"Ben Martin",48,0.102,0.11,0.1,-0.11,40,"StrokesGainedTeetoGreen",2016
101,103,"KJ Choi",47,0.069,-0.47,0.27,0.26,40,"StrokesGainedTeetoGreen",2016
102,105,"Russell Henley",42,0.053,0.34,-0.05,-0.23,37,"StrokesGainedTeetoGreen",2016
103,102,"Bronson Burgoon",53,0.042,-0.08,0.52,-0.4,38,"StrokesGainedTeetoGreen",2016
104,98,"Martin Laird",46,0.039,-0.31,0.14,0.21,38,"StrokesGainedTeetoGreen",2016
105,125,"Retief Goosen",37,0.032,-0.29,-0.08,0.41,32,"StrokesGainedTeetoGreen",2016
106,108,"Ken Duke",26,0.024,0.07,0.08,-0.13,20,"StrokesGainedTeetoGreen",2016
107,109,"Aaron Baddeley",51,0.021,-0.3,-0.24,0.57,36,"StrokesGainedTeetoGreen",2016
108,110,"Cameron Percy",22,0.018,0.17,0.16,-0.32,14,"StrokesGainedTeetoGreen",2016
109,111,"Will Wilcox",47,0.009,0.06,0.14,-0.19,39,"StrokesGainedTeetoGreen",2016
