"FedExCupBonusMoney_RANKTHISWEEK_2013","FedExCupBonusMoney_RANKLASTWEEK_2013","FedExCupBonusMoney_PLAYERNAME_2013","FedExCupBonusMoney_EVENTS_2013","FedExCupBonusMoney_MONEY_2013","stat_name","year"
1,1,"Henrik Stenson",18,1e+07,"FedExCupBonusMoney",2013
2,2,"Tiger Woods",16,3e+06,"FedExCupBonusMoney",2013
3,3,"Steve Stricker",13,2e+06,"FedExCupBonusMoney",2013
4,4,"Adam Scott",16,1500000,"FedExCupBonusMoney",2013
5,5,"Zach Johnson",24,1e+06,"FedExCupBonusMoney",2013
6,6,"Matt Kuchar",23,8e+05,"FedExCupBonusMoney",2013
7,7,"Jordan Spieth",23,7e+05,"FedExCupBonusMoney",2013
8,8,"Graham DeLaet",26,6e+05,"FedExCupBonusMoney",2013
9,9,"Phil Mickelson",21,550000,"FedExCupBonusMoney",2013
10,10,"Justin Rose",17,5e+05,"FedExCupBonusMoney",2013
11,11,"Webb Simpson",25,3e+05,"FedExCupBonusMoney",2013
12,12,"Brandt Snedeker",23,290000,"FedExCupBonusMoney",2013
13,13,"Dustin Johnson",22,280000,"FedExCupBonusMoney",2013
14,14,"Jim Furyk",22,270000,"FedExCupBonusMoney",2013
15,15,"Nick Watney",26,250000,"FedExCupBonusMoney",2013
16,16,"Billy Horschel",26,245000,"FedExCupBonusMoney",2013
17,17,"Jason Day",21,240000,"FedExCupBonusMoney",2013
18,18,"Keegan Bradley",25,235000,"FedExCupBonusMoney",2013
19,19,"Jason Dufner",22,230000,"FedExCupBonusMoney",2013
20,20,"Hunter Mahan",25,225000,"FedExCupBonusMoney",2013
21,21,"Roberto Castro",29,220000,"FedExCupBonusMoney",2013
22,22,"Sergio Garcia",17,215000,"FedExCupBonusMoney",2013
23,23,"Gary Woodland",26,210000,"FedExCupBonusMoney",2013
24,24,"Bill Haas",25,205000,"FedExCupBonusMoney",2013
25,25,"Kevin Streelman",25,2e+05,"FedExCupBonusMoney",2013
26,26,"Brendon de Jonge",30,195000,"FedExCupBonusMoney",2013
27,27,"Charl Schwartzel",19,190000,"FedExCupBonusMoney",2013
28,28,"Luke Donald",17,185000,"FedExCupBonusMoney",2013
29,29,"Boo Weekley",27,180000,"FedExCupBonusMoney",2013
30,30,"DA Points",28,175000,"FedExCupBonusMoney",2013
