"Approaches150175yardsRghRTP_RANKTHISWEEK_2008","Approaches150175yardsRghRTP_RANKLASTWEEK_2008","Approaches150175yardsRghRTP_PLAYERNAME_2008","Approaches150175yardsRghRTP_ROUNDS_2008","Approaches150175yardsRghRTP_AVGRTP_2008","stat_name","year"
69,69,"Padraig Harrington",52,0.167,"Approaches150175yardsRghRTP",2008
69,69,"Peter Lonard",92,0.167,"Approaches150175yardsRghRTP",2008
69,69,"Steve Stricker",75,0.167,"Approaches150175yardsRghRTP",2008
74,74,"Hunter Mahan",87,0.169,"Approaches150175yardsRghRTP",2008
75,75,"Jonathan Byrd",88,0.17,"Approaches150175yardsRghRTP",2008
75,75,"Jerry Kelly",89,0.17,"Approaches150175yardsRghRTP",2008
77,77,"Steve Flesch",95,0.171,"Approaches150175yardsRghRTP",2008
78,78,"Camilo Villegas",79,0.173,"Approaches150175yardsRghRTP",2008
79,79,"Shane Bertsch",96,0.174,"Approaches150175yardsRghRTP",2008
79,79,"Charlie Wi",97,0.174,"Approaches150175yardsRghRTP",2008
81,81,"Chris DiMarco",87,0.175,"Approaches150175yardsRghRTP",2008
82,82,"Martin Laird",98,0.176,"Approaches150175yardsRghRTP",2008
82,82,"Joe Ogilvie",100,0.176,"Approaches150175yardsRghRTP",2008
84,84,"Carlos Franco",73,0.183,"Approaches150175yardsRghRTP",2008
84,84,"Charley Hoffman",94,0.183,"Approaches150175yardsRghRTP",2008
86,86,"Harrison Frazar",73,0.184,"Approaches150175yardsRghRTP",2008
87,87,"Mark Hensby",71,0.185,"Approaches150175yardsRghRTP",2008
87,87,"John Senden",93,0.185,"Approaches150175yardsRghRTP",2008
89,89,"Dean Wilson",109,0.187,"Approaches150175yardsRghRTP",2008
90,90,"Justin Bolli",87,0.188,"Approaches150175yardsRghRTP",2008
90,90,"Kent Jones",68,0.188,"Approaches150175yardsRghRTP",2008
90,90,"Jeff Overton",103,0.188,"Approaches150175yardsRghRTP",2008
90,90,"Tim Petrovic",97,0.188,"Approaches150175yardsRghRTP",2008
94,94,"Ernie Els",51,0.19,"Approaches150175yardsRghRTP",2008
94,94,"Zach Johnson",85,0.19,"Approaches150175yardsRghRTP",2008
96,96,"Alejandro Canizares",52,0.194,"Approaches150175yardsRghRTP",2008
96,96,"Nick OHern",82,0.194,"Approaches150175yardsRghRTP",2008
98,98,"Lee Janzen",89,0.2,"Approaches150175yardsRghRTP",2008
99,99,"Bo Van Pelt",101,0.202,"Approaches150175yardsRghRTP",2008
100,100,"Matt Kuchar",88,0.204,"Approaches150175yardsRghRTP",2008
101,101,"Doug LaBelle II",65,0.205,"Approaches150175yardsRghRTP",2008
101,101,"Ryan Palmer",69,0.205,"Approaches150175yardsRghRTP",2008
103,103,"Phil Mickelson",80,0.206,"Approaches150175yardsRghRTP",2008
103,103,"Tim Wilkinson",95,0.206,"Approaches150175yardsRghRTP",2008
105,105,"Kenny Perry",97,0.207,"Approaches150175yardsRghRTP",2008
105,105,"Rory Sabbatini",77,0.207,"Approaches150175yardsRghRTP",2008
107,107,"Mark Wilson",107,0.211,"Approaches150175yardsRghRTP",2008
108,108,"Ben Curtis",80,0.214,"Approaches150175yardsRghRTP",2008
108,108,"Brandt Jobe",52,0.214,"Approaches150175yardsRghRTP",2008
110,110,"Robert Garrigus",90,0.216,"Approaches150175yardsRghRTP",2008
110,110,"Rocco Mediate",87,0.216,"Approaches150175yardsRghRTP",2008
112,112,"Chris Stroud",81,0.217,"Approaches150175yardsRghRTP",2008
113,113,"Michael Allen",91,0.218,"Approaches150175yardsRghRTP",2008
114,114,"Troy Matteson",94,0.219,"Approaches150175yardsRghRTP",2008
115,115,"Bill Haas",99,0.22,"Approaches150175yardsRghRTP",2008
115,115,"Frank Lickliter II",107,0.22,"Approaches150175yardsRghRTP",2008
117,117,"Daniel Chopra",84,0.221,"Approaches150175yardsRghRTP",2008
118,118,"Jason Allred",63,0.224,"Approaches150175yardsRghRTP",2008
119,119,"Lucas Glover",91,0.227,"Approaches150175yardsRghRTP",2008
120,120,"DJ Trahan",94,0.23,"Approaches150175yardsRghRTP",2008
121,121,"Jay Williamson",96,0.231,"Approaches150175yardsRghRTP",2008
122,122,"Retief Goosen",59,0.233,"Approaches150175yardsRghRTP",2008
122,122,"Geoff Ogilvy",65,0.233,"Approaches150175yardsRghRTP",2008
124,124,"Tommy Armour III",77,0.234,"Approaches150175yardsRghRTP",2008
124,124,"Aaron Baddeley",76,0.234,"Approaches150175yardsRghRTP",2008
124,124,"YE Yang",89,0.234,"Approaches150175yardsRghRTP",2008
127,127,"Joe Durant",92,0.235,"Approaches150175yardsRghRTP",2008
128,128,"Brian Gay",102,0.236,"Approaches150175yardsRghRTP",2008
128,128,"Dudley Hart",74,0.236,"Approaches150175yardsRghRTP",2008
130,130,"Ted Purdy",68,0.238,"Approaches150175yardsRghRTP",2008
131,131,"Tim Herron",97,0.239,"Approaches150175yardsRghRTP",2008
132,132,"Brian Davis",108,0.242,"Approaches150175yardsRghRTP",2008
132,132,"Jason Day",81,0.242,"Approaches150175yardsRghRTP",2008
132,132,"Chris Riley",51,0.242,"Approaches150175yardsRghRTP",2008
135,135,"Steve Marino",119,0.247,"Approaches150175yardsRghRTP",2008
135,135,"Patrick Sheehan",124,0.247,"Approaches150175yardsRghRTP",2008
137,137,"Mathias Gronberg",87,0.25,"Approaches150175yardsRghRTP",2008
138,138,"Nicholas Thompson",113,0.254,"Approaches150175yardsRghRTP",2008
138,138,"Marc Turnesa",87,0.254,"Approaches150175yardsRghRTP",2008
140,140,"Glen Day",64,0.255,"Approaches150175yardsRghRTP",2008
140,140,"Boo Weekley",86,0.255,"Approaches150175yardsRghRTP",2008
142,142,"Corey Pavin",69,0.256,"Approaches150175yardsRghRTP",2008
142,142,"Adam Scott",51,0.256,"Approaches150175yardsRghRTP",2008
144,144,"Vaughn Taylor",103,0.259,"Approaches150175yardsRghRTP",2008
145,145,"Bart Bryant",81,0.261,"Approaches150175yardsRghRTP",2008
145,145,"Ian Poulter",51,0.261,"Approaches150175yardsRghRTP",2008
147,147,"Jeff Gove",50,0.263,"Approaches150175yardsRghRTP",2008
148,148,"Steve Lowery",74,0.265,"Approaches150175yardsRghRTP",2008
148,148,"George McNeill",97,0.265,"Approaches150175yardsRghRTP",2008
150,150,"Nathan Green",95,0.269,"Approaches150175yardsRghRTP",2008
150,150,"Ron Whittaker",54,0.269,"Approaches150175yardsRghRTP",2008
