"BirdieorBetterPercentage200yards_RANKTHISWEEK_2009","BirdieorBetterPercentage200yards_RANKLASTWEEK_2009","BirdieorBetterPercentage200yards_PLAYERNAME_2009","BirdieorBetterPercentage200yards_ROUNDS_2009","BirdieorBetterPercentage200yards_Pct_2009","BirdieorBetterPercentage200yards_TOTALBIRDIES_2009","BirdieorBetterPercentage200yards_TOTALHOLES_2009","stat_name","year"
1,1,"Matt Jones",56,42.77,71,166,"BirdieorBetterPercentage200yards",2009
2,2,"Charles Warren",63,41.43,87,210,"BirdieorBetterPercentage200yards",2009
3,3,"Scott Piercy",85,39.74,122,307,"BirdieorBetterPercentage200yards",2009
3,3,"Tiger Woods",64,39.74,91,229,"BirdieorBetterPercentage200yards",2009
5,5,"Jonathan Byrd",89,39.47,135,342,"BirdieorBetterPercentage200yards",2009
6,6,"Martin Laird",72,39.44,99,251,"BirdieorBetterPercentage200yards",2009
7,7,"Nick Watney",86,38.64,119,308,"BirdieorBetterPercentage200yards",2009
8,8,"Tag Ridings",50,38.61,61,158,"BirdieorBetterPercentage200yards",2009
9,9,"Brian Vranesh",51,38.16,58,152,"BirdieorBetterPercentage200yards",2009
10,10,"Sean OHair",80,37.5,99,264,"BirdieorBetterPercentage200yards",2009
11,11,"Phil Mickelson",66,37.44,82,219,"BirdieorBetterPercentage200yards",2009
12,12,"Peter Tomasulo",61,37.36,65,174,"BirdieorBetterPercentage200yards",2009
13,13,"Rod Pampling",72,37.35,93,249,"BirdieorBetterPercentage200yards",2009
14,14,"Stephen Ames",77,37.05,83,224,"BirdieorBetterPercentage200yards",2009
15,15,"Scott McCarron",91,36.36,120,330,"BirdieorBetterPercentage200yards",2009
16,16,"Camilo Villegas",76,36.32,85,234,"BirdieorBetterPercentage200yards",2009
17,17,"Kris Blanks",60,36.18,55,152,"BirdieorBetterPercentage200yards",2009
18,18,"Anthony Kim",76,36.13,99,274,"BirdieorBetterPercentage200yards",2009
19,19,"DJ Trahan",96,36.06,119,330,"BirdieorBetterPercentage200yards",2009
20,20,"Harrison Frazar",93,36.01,112,311,"BirdieorBetterPercentage200yards",2009
21,21,"George McNeill",82,35.88,108,301,"BirdieorBetterPercentage200yards",2009
22,22,"Dustin Johnson",85,35.71,90,252,"BirdieorBetterPercentage200yards",2009
22,22,"Davis Love III",89,35.71,110,308,"BirdieorBetterPercentage200yards",2009
24,24,"Patrick Sheehan",51,35.48,44,124,"BirdieorBetterPercentage200yards",2009
25,25,"Geoff Ogilvy",78,35.34,82,232,"BirdieorBetterPercentage200yards",2009
26,26,"Ted Purdy",101,35.14,123,350,"BirdieorBetterPercentage200yards",2009
27,27,"Bill Haas",91,35.13,111,316,"BirdieorBetterPercentage200yards",2009
28,28,"Michael Letzig",96,35,112,320,"BirdieorBetterPercentage200yards",2009
29,29,"Daniel Chopra",89,34.58,111,321,"BirdieorBetterPercentage200yards",2009
30,30,"Ryan Moore",89,34.55,114,330,"BirdieorBetterPercentage200yards",2009
30,30,"Bo Van Pelt",100,34.55,114,330,"BirdieorBetterPercentage200yards",2009
32,32,"Matt Bettencourt",98,34.53,115,333,"BirdieorBetterPercentage200yards",2009
33,33,"Jason Day",61,34.36,67,195,"BirdieorBetterPercentage200yards",2009
34,34,"Jimmy Walker",74,34.3,83,242,"BirdieorBetterPercentage200yards",2009
35,35,"Charley Hoffman",97,34.2,119,348,"BirdieorBetterPercentage200yards",2009
36,36,"Rory Sabbatini",81,34.15,98,287,"BirdieorBetterPercentage200yards",2009
37,37,"Justin Rose",71,33.9,80,236,"BirdieorBetterPercentage200yards",2009
38,38,"Matt Weibring",65,33.89,61,180,"BirdieorBetterPercentage200yards",2009
39,39,"Matt Kuchar",82,33.82,92,272,"BirdieorBetterPercentage200yards",2009
40,40,"YE Yang",83,33.79,98,290,"BirdieorBetterPercentage200yards",2009
41,41,"Tim Petrovic",97,33.63,114,339,"BirdieorBetterPercentage200yards",2009
42,42,"Leif Olson",51,33.56,50,149,"BirdieorBetterPercentage200yards",2009
43,43,"Vijay Singh",71,33.49,71,212,"BirdieorBetterPercentage200yards",2009
44,44,"Greg Chalmers",85,33.46,89,266,"BirdieorBetterPercentage200yards",2009
45,45,"Angel Cabrera",55,33.33,55,165,"BirdieorBetterPercentage200yards",2009
45,45,"Kenny Perry",92,33.33,102,306,"BirdieorBetterPercentage200yards",2009
47,47,"Mathew Goggin",76,33.21,87,262,"BirdieorBetterPercentage200yards",2009
48,48,"Lucas Glover",93,33.12,104,314,"BirdieorBetterPercentage200yards",2009
49,49,"Will Ma Kenzie",69,33.06,81,245,"BirdieorBetterPercentage200yards",2009
50,50,"Ryan Palmer",78,32.99,97,294,"BirdieorBetterPercentage200yards",2009
51,51,"Andres Romero",58,32.97,61,185,"BirdieorBetterPercentage200yards",2009
52,52,"Hunter Mahan",94,32.94,111,337,"BirdieorBetterPercentage200yards",2009
53,53,"Greg Owen",97,32.91,104,316,"BirdieorBetterPercentage200yards",2009
54,54,"Chris Stroud",88,32.88,97,295,"BirdieorBetterPercentage200yards",2009
55,55,"Zach Johnson",94,32.62,106,325,"BirdieorBetterPercentage200yards",2009
56,56,"John Senden",100,32.46,124,382,"BirdieorBetterPercentage200yards",2009
57,57,"Robert Garrigus",83,32.39,92,284,"BirdieorBetterPercentage200yards",2009
58,58,"Troy Matteson",95,32.24,98,304,"BirdieorBetterPercentage200yards",2009
59,59,"Nicholas Thompson",96,32.12,115,358,"BirdieorBetterPercentage200yards",2009
60,60,"Kevin Sutherland",96,32.09,95,296,"BirdieorBetterPercentage200yards",2009
61,61,"Kevin Na",91,32.01,105,328,"BirdieorBetterPercentage200yards",2009
62,62,"Gary Woodland",53,31.97,47,147,"BirdieorBetterPercentage200yards",2009
63,63,"Adam Scott",53,31.84,57,179,"BirdieorBetterPercentage200yards",2009
64,64,"Brendon de Jonge",90,31.73,99,312,"BirdieorBetterPercentage200yards",2009
65,65,"John Rollins",92,31.64,106,335,"BirdieorBetterPercentage200yards",2009
66,66,"Mark Wilson",99,31.63,99,313,"BirdieorBetterPercentage200yards",2009
67,67,"Brad Adamonis",70,31.58,66,209,"BirdieorBetterPercentage200yards",2009
67,67,"Aaron Baddeley",66,31.58,72,228,"BirdieorBetterPercentage200yards",2009
69,69,"Kevin Stadler",65,31.46,56,178,"BirdieorBetterPercentage200yards",2009
