"LateRound2ScoringAverage_RANKTHISWEEK_2010","LateRound2ScoringAverage_RANKLASTWEEK_2010","LateRound2ScoringAverage_PLAYERNAME_2010","LateRound2ScoringAverage__2010","LateRound2ScoringAverage_AVG_2010","LateRound2ScoringAverage_TOTALSTROKES_2010","LateRound2ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Steve Stricker",NA,68.4,342,5,"LateRound2ScoringAverage",2010
2,2,"Joe Durant",NA,69,690,10,"LateRound2ScoringAverage",2010
2,2,"Steve Elkington",NA,69,621,9,"LateRound2ScoringAverage",2010
4,4,"Spencer Levin",NA,69.08,898,13,"LateRound2ScoringAverage",2010
5,5,"Ben Crane",NA,69.14,484,7,"LateRound2ScoringAverage",2010
6,6,"Brendon de Jonge",NA,69.22,1246,18,"LateRound2ScoringAverage",2010
7,7,"Shaun Micheel",NA,69.3,693,10,"LateRound2ScoringAverage",2010
8,8,"Jason Bohn",NA,69.36,763,11,"LateRound2ScoringAverage",2010
9,9,"Jonathan Byrd",NA,69.58,835,12,"LateRound2ScoringAverage",2010
9,9,"Michael Connell",NA,69.58,835,12,"LateRound2ScoringAverage",2010
11,11,"DA Points",NA,69.64,975,14,"LateRound2ScoringAverage",2010
12,12,"Johnson Wagner",NA,69.65,1184,17,"LateRound2ScoringAverage",2010
13,13,"Jason Day",NA,69.67,836,12,"LateRound2ScoringAverage",2010
13,13,"Justin Rose",NA,69.67,836,12,"LateRound2ScoringAverage",2010
15,15,"Billy Mayfair",NA,69.71,976,14,"LateRound2ScoringAverage",2010
16,16,"Jeff Overton",NA,69.73,767,11,"LateRound2ScoringAverage",2010
16,16,"Brandt Snedeker",NA,69.73,767,11,"LateRound2ScoringAverage",2010
18,18,"Aaron Baddeley",NA,69.75,837,12,"LateRound2ScoringAverage",2010
18,18,"Bill Haas",NA,69.75,837,12,"LateRound2ScoringAverage",2010
20,20,"Phil Mickelson",NA,69.8,698,10,"LateRound2ScoringAverage",2010
20,20,"Paul Stankowski",NA,69.8,698,10,"LateRound2ScoringAverage",2010
22,22,"Ryuji Imada",NA,69.85,908,13,"LateRound2ScoringAverage",2010
22,22,"John Rollins",NA,69.85,908,13,"LateRound2ScoringAverage",2010
24,24,"Chad Campbell",NA,69.86,978,14,"LateRound2ScoringAverage",2010
25,25,"JJ Henry",NA,69.91,769,11,"LateRound2ScoringAverage",2010
26,26,"Robert Garrigus",NA,69.92,839,12,"LateRound2ScoringAverage",2010
27,27,"JB Holmes",NA,69.93,979,14,"LateRound2ScoringAverage",2010
28,28,"Rickie Fowler",NA,70,1120,16,"LateRound2ScoringAverage",2010
28,28,"JP Hayes",NA,70,840,12,"LateRound2ScoringAverage",2010
28,28,"Dustin Johnson",NA,70,560,8,"LateRound2ScoringAverage",2010
28,28,"Bill Lunde",NA,70,700,10,"LateRound2ScoringAverage",2010
28,28,"Greg Owen",NA,70,840,12,"LateRound2ScoringAverage",2010
28,28,"Scott Piercy",NA,70,910,13,"LateRound2ScoringAverage",2010
28,28,"Kevin Sutherland",NA,70,840,12,"LateRound2ScoringAverage",2010
28,28,"Chris Tidland",NA,70,770,11,"LateRound2ScoringAverage",2010
36,36,"Matt Kuchar",NA,70.06,1191,17,"LateRound2ScoringAverage",2010
37,37,"Ben Curtis",NA,70.09,771,11,"LateRound2ScoringAverage",2010
38,38,"Charley Hoffman",NA,70.1,701,10,"LateRound2ScoringAverage",2010
38,38,"Kevin Na",NA,70.1,701,10,"LateRound2ScoringAverage",2010
40,40,"Cliff Kresge",NA,70.13,561,8,"LateRound2ScoringAverage",2010
41,41,"Tom Pernice Jr",NA,70.15,912,13,"LateRound2ScoringAverage",2010
42,42,"Justin Leonard",NA,70.2,1053,15,"LateRound2ScoringAverage",2010
42,42,"Kenny Perry",NA,70.2,702,10,"LateRound2ScoringAverage",2010
44,44,"DJ Trahan",NA,70.21,983,14,"LateRound2ScoringAverage",2010
45,45,"Graham DeLaet",NA,70.23,913,13,"LateRound2ScoringAverage",2010
46,46,"Jarrod Lyle",NA,70.25,562,8,"LateRound2ScoringAverage",2010
46,46,"Brett Quigley",NA,70.25,843,12,"LateRound2ScoringAverage",2010
46,46,"Dean Wilson",NA,70.25,562,8,"LateRound2ScoringAverage",2010
49,49,"Charles Howell III",NA,70.27,1054,15,"LateRound2ScoringAverage",2010
49,49,"Geoff Ogilvy",NA,70.27,773,11,"LateRound2ScoringAverage",2010
51,51,"Chad Collins",NA,70.29,1195,17,"LateRound2ScoringAverage",2010
51,51,"Troy Matteson",NA,70.29,984,14,"LateRound2ScoringAverage",2010
53,53,"Greg Chalmers",NA,70.33,844,12,"LateRound2ScoringAverage",2010
53,53,"Nathan Green",NA,70.33,1055,15,"LateRound2ScoringAverage",2010
53,53,"Richard Johnson",NA,70.33,1055,15,"LateRound2ScoringAverage",2010
53,53,"James Nitties",NA,70.33,1055,15,"LateRound2ScoringAverage",2010
