"FirstTeeEarlyLowestRound_RANKTHISWEEK_2007","FirstTeeEarlyLowestRound_RANKLASTWEEK_2007","FirstTeeEarlyLowestRound_PLAYERNAME_2007","FirstTeeEarlyLowestRound_ROUNDS_2007","FirstTeeEarlyLowestRound_LOWRND_2007","stat_name","year"
1,1,"Zach Johnson",76,60,"FirstTeeEarlyLowestRound",2007
2,2,"Mark Calcavecchia",93,62,"FirstTeeEarlyLowestRound",2007
2,2,"Tim Clark",66,62,"FirstTeeEarlyLowestRound",2007
2,2,"Fred Funk",65,62,"FirstTeeEarlyLowestRound",2007
2,2,"Hunter Mahan",91,62,"FirstTeeEarlyLowestRound",2007
2,2,"Geoff Ogilvy",84,62,"FirstTeeEarlyLowestRound",2007
2,2,"Adam Scott",69,62,"FirstTeeEarlyLowestRound",2007
2,2,"Heath Slocum",101,62,"FirstTeeEarlyLowestRound",2007
9,9,"Briny Baird",115,63,"FirstTeeEarlyLowestRound",2007
9,9,"Chad Campbell",96,63,"FirstTeeEarlyLowestRound",2007
9,9,"John Daly",59,63,"FirstTeeEarlyLowestRound",2007
9,9,"Steve Flesch",100,63,"FirstTeeEarlyLowestRound",2007
9,9,"Padraig Harrington",64,63,"FirstTeeEarlyLowestRound",2007
9,9,"Anthony Kim",93,63,"FirstTeeEarlyLowestRound",2007
9,9,"Jeff Maggert",79,63,"FirstTeeEarlyLowestRound",2007
9,9,"Scott Verplank",82,63,"FirstTeeEarlyLowestRound",2007
9,9,"Fabrizio Zanotti",4,63,"FirstTeeEarlyLowestRound",2007
18,18,"Arjun Atwal",36,64,"FirstTeeEarlyLowestRound",2007
18,18,"Woody Austin",95,64,"FirstTeeEarlyLowestRound",2007
18,18,"Paul Casey",38,64,"FirstTeeEarlyLowestRound",2007
18,18,"Alex Cejka",80,64,"FirstTeeEarlyLowestRound",2007
18,18,"Ken Duke",112,64,"FirstTeeEarlyLowestRound",2007
18,18,"Simon Dyson",4,64,"FirstTeeEarlyLowestRound",2007
18,18,"Jason Gore",86,64,"FirstTeeEarlyLowestRound",2007
18,18,"JJ Henry",86,64,"FirstTeeEarlyLowestRound",2007
18,18,"Tim Herron",98,64,"FirstTeeEarlyLowestRound",2007
18,18,"Matt Kuchar",85,64,"FirstTeeEarlyLowestRound",2007
18,18,"Jarrod Lyle",77,64,"FirstTeeEarlyLowestRound",2007
18,18,"Will Ma Kenzie",100,64,"FirstTeeEarlyLowestRound",2007
