"3PuttAvoidance2025_RANKTHISWEEK_2009","3PuttAvoidance2025_RANKLASTWEEK_2009","3PuttAvoidance2025_PLAYERNAME_2009","3PuttAvoidance2025_ROUNDS_2009","3PuttAvoidance2025_Pct_2009","3PuttAvoidance2025_TOTAL3PUTTS_2009","3PuttAvoidance2025_ATTEMPTS_2009","3PuttAvoidance2025_2PUTTORBETTERPct_2009","stat_name","year"
1,1,"Bart Bryant",58,0,NA,73,100,"3PuttAvoidance2025",2009
1,1,"Angel Cabrera",55,0,NA,40,100,"3PuttAvoidance2025",2009
1,1,"Tim Clark",81,0,NA,91,100,"3PuttAvoidance2025",2009
1,1,"David Duval",56,0,NA,70,100,"3PuttAvoidance2025",2009
1,1,"Charles Howell III",99,0,NA,123,100,"3PuttAvoidance2025",2009
1,1,"Lee Janzen",74,0,NA,89,100,"3PuttAvoidance2025",2009
1,1,"Geoff Ogilvy",78,0,NA,81,100,"3PuttAvoidance2025",2009
1,1,"Pat Perez",74,0,NA,69,100,"3PuttAvoidance2025",2009
1,1,"Brandt Snedeker",81,0,NA,79,100,"3PuttAvoidance2025",2009
1,1,"Steve Stricker",81,0,NA,92,100,"3PuttAvoidance2025",2009
1,1,"Charlie Wi",92,0,NA,105,100,"3PuttAvoidance2025",2009
12,12,"Mark Wilson",99,0.69,1,144,99.3,"3PuttAvoidance2025",2009
13,13,"David Toms",98,0.7,1,142,99.3,"3PuttAvoidance2025",2009
14,14,"Nick OHern",90,0.72,1,138,99.2,"3PuttAvoidance2025",2009
15,15,"Troy Matteson",95,0.73,1,137,99.2,"3PuttAvoidance2025",2009
16,16,"Marc Leishman",91,0.76,1,131,99.2,"3PuttAvoidance2025",2009
17,17,"Greg Owen",97,0.82,1,122,99.1,"3PuttAvoidance2025",2009
18,18,"George McNeill",82,0.84,1,119,99.1,"3PuttAvoidance2025",2009
19,19,"Heath Slocum",95,0.85,1,117,99.1,"3PuttAvoidance2025",2009
19,19,"Scott Verplank",88,0.85,1,118,99.1,"3PuttAvoidance2025",2009
21,21,"YE Yang",83,0.86,1,116,99.1,"3PuttAvoidance2025",2009
22,22,"Vaughn Taylor",88,0.88,1,114,99.1,"3PuttAvoidance2025",2009
23,23,"Chris DiMarco",97,0.89,1,112,99.1,"3PuttAvoidance2025",2009
24,24,"Greg Chalmers",85,0.91,1,110,99,"3PuttAvoidance2025",2009
25,25,"Cliff Kresge",78,0.93,1,107,99,"3PuttAvoidance2025",2009
26,26,"Freddie Jacobson",83,0.95,1,105,99,"3PuttAvoidance2025",2009
26,26,"Carl Pettersson",86,0.95,1,105,99,"3PuttAvoidance2025",2009
28,28,"Ryan Palmer",78,1.01,1,99,98.9,"3PuttAvoidance2025",2009
29,29,"Brett Quigley",92,1.02,1,98,98.9,"3PuttAvoidance2025",2009
30,30,"Todd Hamilton",83,1.05,1,95,98.9,"3PuttAvoidance2025",2009
30,30,"Jeff Overton",92,1.05,1,95,98.9,"3PuttAvoidance2025",2009
32,32,"Bob Estes",78,1.08,1,93,98.9,"3PuttAvoidance2025",2009
32,32,"Rory Sabbatini",81,1.08,1,93,98.9,"3PuttAvoidance2025",2009
34,34,"Aaron Baddeley",66,1.09,1,92,98.9,"3PuttAvoidance2025",2009
35,35,"Parker McLachlin",71,1.1,1,91,98.9,"3PuttAvoidance2025",2009
36,36,"David Mathis",82,1.14,1,88,98.8,"3PuttAvoidance2025",2009
36,36,"Jeff Quinney",78,1.14,1,88,98.8,"3PuttAvoidance2025",2009
38,38,"Jim Furyk",86,1.15,1,87,98.8,"3PuttAvoidance2025",2009
38,38,"Mike Weir",85,1.15,1,87,98.8,"3PuttAvoidance2025",2009
40,40,"Charles Warren",63,1.19,1,84,98.8,"3PuttAvoidance2025",2009
41,41,"Brad Faxon",59,1.2,1,83,98.8,"3PuttAvoidance2025",2009
42,42,"Anthony Kim",76,1.22,1,82,98.7,"3PuttAvoidance2025",2009
43,43,"Retief Goosen",74,1.25,1,80,98.7,"3PuttAvoidance2025",2009
44,44,"Corey Pavin",73,1.27,1,79,98.7,"3PuttAvoidance2025",2009
45,45,"Michael Allen",73,1.3,1,77,98.7,"3PuttAvoidance2025",2009
45,45,"Bryce Molder",69,1.3,1,77,98.7,"3PuttAvoidance2025",2009
47,47,"KJ Choi",65,1.33,1,75,98.6,"3PuttAvoidance2025",2009
47,47,"Bubba Watson",73,1.33,1,75,98.6,"3PuttAvoidance2025",2009
49,49,"Kent Jones",73,1.35,1,74,98.6,"3PuttAvoidance2025",2009
50,50,"Joe Durant",62,1.39,1,72,98.6,"3PuttAvoidance2025",2009
50,50,"Bob Heintz",59,1.39,1,72,98.6,"3PuttAvoidance2025",2009
50,50,"Nick Watney",86,1.39,1,72,98.6,"3PuttAvoidance2025",2009
53,53,"Brian Gay",96,1.42,2,141,98.5,"3PuttAvoidance2025",2009
54,54,"Brian Bateman",55,1.45,1,69,98.5,"3PuttAvoidance2025",2009
54,54,"Ben Curtis",63,1.45,1,69,98.5,"3PuttAvoidance2025",2009
56,56,"Kris Blanks",60,1.47,1,68,98.5,"3PuttAvoidance2025",2009
57,57,"Matt Jones",56,1.54,1,65,98.4,"3PuttAvoidance2025",2009
57,57,"Jarrod Lyle",65,1.54,1,65,98.4,"3PuttAvoidance2025",2009
59,59,"Jason Bohn",88,1.63,2,123,98.3,"3PuttAvoidance2025",2009
60,60,"Eric Axley",71,1.64,1,61,98.3,"3PuttAvoidance2025",2009
60,60,"Chad Campbell",90,1.64,2,122,98.3,"3PuttAvoidance2025",2009
60,60,"Sergio Garcia",59,1.64,1,61,98.3,"3PuttAvoidance2025",2009
60,60,"Tom Lehman",55,1.64,1,61,98.3,"3PuttAvoidance2025",2009
60,60,"Rick Price",54,1.64,1,61,98.3,"3PuttAvoidance2025",2009
65,65,"Peter Lonard",86,1.69,2,118,98.3,"3PuttAvoidance2025",2009
65,65,"Bo Van Pelt",100,1.69,2,118,98.3,"3PuttAvoidance2025",2009
65,65,"Brian Vranesh",51,1.69,1,59,98.3,"3PuttAvoidance2025",2009
68,68,"Mark Brooks",55,1.75,1,57,98.2,"3PuttAvoidance2025",2009
68,68,"Justin Leonard",95,1.75,2,114,98.2,"3PuttAvoidance2025",2009
68,68,"Tag Ridings",50,1.75,1,57,98.2,"3PuttAvoidance2025",2009
71,71,"Hunter Mahan",94,1.82,2,110,98.1,"3PuttAvoidance2025",2009
