"PuttsPerRound_RANKTHISWEEK_2008","PuttsPerRound_RANKLASTWEEK_2008","PuttsPerRound_PLAYERNAME_2008","PuttsPerRound_ROUNDS_2008","PuttsPerRound_AVG_2008","PuttsPerRound_TOTALPUTTS_2008","PuttsPerRound_TOTALROUNDS_2008","PuttsPerRound_LOWTOTALPUTTS_2008","stat_name","year"
1,1,"Corey Pavin",69,27.92,1815,65,21,"PuttsPerRound",2008
2,2,"Padraig Harrington",52,28.04,1402,50,23,"PuttsPerRound",2008
3,3,"Daniel Chopra",84,28.06,2329,83,22,"PuttsPerRound",2008
4,4,"John Mallinger",95,28.14,2673,95,22,"PuttsPerRound",2008
5,5,"Bob Tway",70,28.23,1807,64,23,"PuttsPerRound",2008
6,6,"Nathan Green",95,28.24,2683,95,22,"PuttsPerRound",2008
7,7,"Brian Gay",102,28.34,2664,94,21,"PuttsPerRound",2008
8,8,"Aaron Baddeley",76,28.38,2072,73,21,"PuttsPerRound",2008
9,9,"Jeff Quinney",87,28.39,2470,87,23,"PuttsPerRound",2008
10,10,"Ryuji Imada",80,28.43,2274,80,24,"PuttsPerRound",2008
11,11,"Chad Collins",72,28.44,1877,66,23,"PuttsPerRound",2008
12,12,"Jesper Parnevik",88,28.45,2390,84,21,"PuttsPerRound",2008
13,13,"Richard Johnson",77,28.47,2135,75,22,"PuttsPerRound",2008
13,13,"Chris Riley",51,28.47,1224,43,23,"PuttsPerRound",2008
15,15,"Eric Axley",113,28.49,3105,109,21,"PuttsPerRound",2008
15,15,"Andres Romero",69,28.49,1909,67,24,"PuttsPerRound",2008
17,17,"Stuart Appleby",87,28.55,2398,84,22,"PuttsPerRound",2008
18,18,"Kevin Na",97,28.62,2776,97,22,"PuttsPerRound",2008
19,19,"Mike Weir",88,28.63,2491,87,21,"PuttsPerRound",2008
20,20,"Greg Kraft",63,28.64,1575,55,24,"PuttsPerRound",2008
21,21,"Marc Turnesa",87,28.66,2379,83,22,"PuttsPerRound",2008
22,22,"Marco Dawson",64,28.7,1607,56,23,"PuttsPerRound",2008
22,22,"Tim Herron",97,28.7,2669,93,21,"PuttsPerRound",2008
24,24,"Shane Bertsch",96,28.71,2756,96,21,"PuttsPerRound",2008
25,25,"Tom Pernice Jr",104,28.72,2987,104,23,"PuttsPerRound",2008
26,26,"Joe Ogilvie",100,28.73,2758,96,22,"PuttsPerRound",2008
27,27,"Phil Mickelson",80,28.74,2242,78,23,"PuttsPerRound",2008
27,27,"Ryan Moore",72,28.74,2069,72,23,"PuttsPerRound",2008
29,29,"Craig Kanada",65,28.75,1696,59,24,"PuttsPerRound",2008
30,30,"Steve Stricker",75,28.76,2071,72,23,"PuttsPerRound",2008
31,31,"Alejandro Canizares",52,28.77,1266,44,22,"PuttsPerRound",2008
32,32,"Ken Duke",116,28.79,3340,116,22,"PuttsPerRound",2008
32,32,"Freddie Jacobson",78,28.79,2246,78,24,"PuttsPerRound",2008
34,34,"Parker McLachlin",88,28.8,2419,84,23,"PuttsPerRound",2008
34,34,"Carl Pettersson",110,28.8,3168,110,20,"PuttsPerRound",2008
34,34,"Ian Poulter",51,28.8,1411,49,23,"PuttsPerRound",2008
34,34,"Patrick Sheehan",124,28.8,3341,116,23,"PuttsPerRound",2008
38,38,"Shigeki Maruyama",50,28.82,1297,45,24,"PuttsPerRound",2008
39,39,"Dudley Hart",74,28.83,2018,70,20,"PuttsPerRound",2008
40,40,"Tim Petrovic",97,28.84,2567,89,24,"PuttsPerRound",2008
41,41,"Jonathan Byrd",88,28.85,2452,85,23,"PuttsPerRound",2008
41,41,"Ben Crane",86,28.85,2481,86,21,"PuttsPerRound",2008
41,41,"Anthony Kim",81,28.85,2337,81,23,"PuttsPerRound",2008
41,41,"Justin Leonard",101,28.85,2741,95,24,"PuttsPerRound",2008
45,45,"Steve Lowery",74,28.86,2136,74,23,"PuttsPerRound",2008
45,45,"Geoff Ogilvy",65,28.86,1847,64,23,"PuttsPerRound",2008
47,47,"Glen Day",64,28.88,1675,58,21,"PuttsPerRound",2008
48,48,"Retief Goosen",59,28.9,1676,58,22,"PuttsPerRound",2008
49,49,"Nick OHern",82,28.91,2313,80,23,"PuttsPerRound",2008
49,49,"Brett Rumford",72,28.91,1966,68,22,"PuttsPerRound",2008
51,51,"Ben Curtis",80,28.92,2198,76,22,"PuttsPerRound",2008
51,51,"Ryan Palmer",69,28.92,1822,63,24,"PuttsPerRound",2008
51,51,"Vaughn Taylor",103,28.92,2979,103,24,"PuttsPerRound",2008
54,54,"Matt Kuchar",88,28.96,2375,82,23,"PuttsPerRound",2008
55,55,"Tim Clark",90,28.97,2578,89,21,"PuttsPerRound",2008
55,55,"Frank Lickliter II",107,28.97,3100,107,23,"PuttsPerRound",2008
55,55,"Camilo Villegas",79,28.97,2260,78,22,"PuttsPerRound",2008
58,58,"Gavin Coles",54,28.98,1333,46,22,"PuttsPerRound",2008
59,59,"Stephen Ames",83,28.99,2377,82,23,"PuttsPerRound",2008
60,60,"Jason Day",81,29.02,2351,81,22,"PuttsPerRound",2008
60,60,"Brenden Pappas",66,29.02,1741,60,23,"PuttsPerRound",2008
62,62,"Brian Davis",108,29.04,3136,108,22,"PuttsPerRound",2008
62,62,"Matt Jones",95,29.04,2643,91,23,"PuttsPerRound",2008
64,64,"Steve Flesch",95,29.05,2760,95,21,"PuttsPerRound",2008
65,65,"Johnson Wagner",83,29.06,2325,80,24,"PuttsPerRound",2008
66,66,"Mark Wilson",107,29.08,3112,107,20,"PuttsPerRound",2008
67,67,"Brandt Snedeker",85,29.11,2445,84,23,"PuttsPerRound",2008
67,67,"Scott Verplank",82,29.11,2358,81,23,"PuttsPerRound",2008
69,69,"Lee Janzen",89,29.14,2419,83,23,"PuttsPerRound",2008
69,69,"Tim Wilkinson",95,29.14,2535,87,22,"PuttsPerRound",2008
71,71,"Stewart Cink",87,29.16,2362,81,23,"PuttsPerRound",2008
71,71,"JP Hayes",67,29.16,1954,67,24,"PuttsPerRound",2008
71,71,"Dean Wilson",109,29.16,3062,105,24,"PuttsPerRound",2008
74,74,"Michael Letzig",88,29.17,2450,84,21,"PuttsPerRound",2008
75,75,"Brad Elder",67,29.21,1782,61,22,"PuttsPerRound",2008
75,75,"Todd Hamilton",92,29.21,2687,92,23,"PuttsPerRound",2008
77,77,"Scott McCarron",63,29.22,1841,63,21,"PuttsPerRound",2008
78,78,"Jimmy Walker",73,29.23,1900,65,25,"PuttsPerRound",2008
78,78,"Charlie Wi",97,29.23,2835,97,22,"PuttsPerRound",2008
80,80,"Paul Goydos",78,29.24,2281,78,25,"PuttsPerRound",2008
80,80,"Jeff Overton",103,29.24,2895,99,23,"PuttsPerRound",2008
80,80,"Brett Quigley",80,29.24,2281,78,23,"PuttsPerRound",2008
80,80,"John Rollins",94,29.24,2749,94,23,"PuttsPerRound",2008
80,80,"Kevin Streelman",114,29.24,3158,108,23,"PuttsPerRound",2008
85,85,"Kenny Perry",97,29.25,2837,97,22,"PuttsPerRound",2008
86,86,"KJ Choi",74,29.27,2049,70,24,"PuttsPerRound",2008
86,86,"Omar Uresti",74,29.27,2049,70,20,"PuttsPerRound",2008
88,88,"Chris DiMarco",87,29.28,2547,87,24,"PuttsPerRound",2008
88,88,"Ernie Els",51,29.28,1464,50,24,"PuttsPerRound",2008
88,88,"JB Holmes",86,29.28,2489,85,25,"PuttsPerRound",2008
91,91,"Steve Elkington",84,29.3,2461,84,22,"PuttsPerRound",2008
92,92,"Stephen Leaney",53,29.31,1436,49,25,"PuttsPerRound",2008
92,92,"Rod Pampling",83,29.31,2345,80,22,"PuttsPerRound",2008
94,94,"Mark Hensby",71,29.32,2082,71,25,"PuttsPerRound",2008
94,94,"Nicholas Thompson",113,29.32,3137,107,24,"PuttsPerRound",2008
94,94,"David Toms",70,29.32,1994,68,23,"PuttsPerRound",2008
97,97,"Rocco Mediate",87,29.33,2552,87,21,"PuttsPerRound",2008
97,97,"Bob Sowards",61,29.33,1613,55,23,"PuttsPerRound",2008
99,99,"James Driscoll",85,29.34,2318,79,25,"PuttsPerRound",2008
100,100,"David Duval",51,29.35,1497,51,24,"PuttsPerRound",2008
101,101,"Bill Haas",99,29.37,2790,95,23,"PuttsPerRound",2008
102,102,"Zach Johnson",85,29.38,2468,84,23,"PuttsPerRound",2008
102,102,"Jin Park",85,29.38,2262,77,23,"PuttsPerRound",2008
102,102,"Pat Perez",93,29.38,2703,92,23,"PuttsPerRound",2008
105,105,"Jerry Kelly",89,29.39,2469,84,24,"PuttsPerRound",2008
106,106,"Dustin Johnson",92,29.4,2705,92,22,"PuttsPerRound",2008
107,107,"Doug LaBelle II",65,29.41,1706,58,24,"PuttsPerRound",2008
108,108,"Todd Demsey",80,29.42,2295,78,24,"PuttsPerRound",2008
108,108,"Kevin Sutherland",98,29.42,2883,98,25,"PuttsPerRound",2008
110,110,"Michael Allen",91,29.43,2678,91,25,"PuttsPerRound",2008
110,110,"Cameron Beckman",87,29.43,2325,79,24,"PuttsPerRound",2008
110,110,"Carlos Franco",73,29.43,1972,67,22,"PuttsPerRound",2008
110,110,"Jim Furyk",95,29.43,2766,94,23,"PuttsPerRound",2008
114,114,"Cody Freeman",66,29.45,1826,62,22,"PuttsPerRound",2008
114,114,"Jason Gore",94,29.45,2768,94,24,"PuttsPerRound",2008
116,116,"Lucas Glover",91,29.46,2681,91,23,"PuttsPerRound",2008
116,116,"Tom Scherrer",56,29.46,1473,50,25,"PuttsPerRound",2008
116,116,"YE Yang",89,29.46,2563,87,23,"PuttsPerRound",2008
119,119,"Bart Bryant",81,29.47,2387,81,25,"PuttsPerRound",2008
119,119,"Mathias Gronberg",87,29.47,2446,83,24,"PuttsPerRound",2008
119,119,"Vijay Singh",82,29.47,2299,78,23,"PuttsPerRound",2008
122,122,"Fred Couples",60,29.48,1769,60,23,"PuttsPerRound",2008
122,122,"Martin Laird",98,29.48,2712,92,23,"PuttsPerRound",2008
122,122,"Tag Ridings",88,29.48,2594,88,24,"PuttsPerRound",2008
125,125,"Tommy Armour III",77,29.49,2153,73,24,"PuttsPerRound",2008
125,125,"Alex Cejka",75,29.49,2035,69,22,"PuttsPerRound",2008
125,125,"Charley Hoffman",94,29.49,2713,92,22,"PuttsPerRound",2008
128,128,"Chad Campbell",94,29.5,2773,94,22,"PuttsPerRound",2008
128,128,"Davis Love III",78,29.5,2301,78,24,"PuttsPerRound",2008
130,130,"Bob Estes",90,29.51,2597,88,23,"PuttsPerRound",2008
131,131,"John Huston",56,29.52,1535,52,26,"PuttsPerRound",2008
131,131,"DJ Trahan",94,29.52,2775,94,23,"PuttsPerRound",2008
133,133,"Mathew Goggin",91,29.53,2687,91,22,"PuttsPerRound",2008
133,133,"Chez Reavie",102,29.53,2894,98,23,"PuttsPerRound",2008
135,135,"Ryan Armour",87,29.54,2452,83,23,"PuttsPerRound",2008
136,136,"Steve Marino",119,29.55,3398,115,24,"PuttsPerRound",2008
137,137,"Will Ma Kenzie",62,29.56,1833,62,21,"PuttsPerRound",2008
138,138,"Kevin Stadler",90,29.57,2425,82,25,"PuttsPerRound",2008
139,139,"Peter Lonard",92,29.58,2603,88,22,"PuttsPerRound",2008
140,140,"Brad Adamonis",87,29.59,2456,83,24,"PuttsPerRound",2008
140,140,"Cliff Kresge",84,29.59,2367,80,23,"PuttsPerRound",2008
142,142,"Mark Calcavecchia",67,29.61,1954,66,24,"PuttsPerRound",2008
142,142,"Sergio Garcia",72,29.61,2073,70,25,"PuttsPerRound",2008
144,144,"Heath Slocum",104,29.62,3080,104,21,"PuttsPerRound",2008
145,145,"Rich Beem",90,29.64,2668,90,24,"PuttsPerRound",2008
145,145,"Rory Sabbatini",77,29.64,2253,76,21,"PuttsPerRound",2008
147,147,"Jeff Maggert",86,29.66,2551,86,24,"PuttsPerRound",2008
148,148,"Tom Lehman",51,29.67,1454,49,26,"PuttsPerRound",2008
149,149,"Nick Flanagan",89,29.68,2523,85,21,"PuttsPerRound",2008
149,149,"Trevor Immelman",70,29.68,2018,68,23,"PuttsPerRound",2008
151,151,"Jason Allred",63,29.7,1693,57,25,"PuttsPerRound",2008
152,152,"Scott Sterling",89,29.72,2467,83,23,"PuttsPerRound",2008
153,153,"Adam Scott",51,29.73,1457,49,25,"PuttsPerRound",2008
154,154,"Robert Garrigus",90,29.74,2677,90,24,"PuttsPerRound",2008
154,154,"Sean OHair",81,29.74,2409,81,24,"PuttsPerRound",2008
154,154,"Nick Watney",96,29.74,2855,96,21,"PuttsPerRound",2008
157,157,"Angel Cabrera",55,29.75,1517,51,23,"PuttsPerRound",2008
157,157,"Kyle Thompson",70,29.75,1904,64,23,"PuttsPerRound",2008
159,159,"Kent Jones",68,29.76,1845,62,25,"PuttsPerRound",2008
161,161,"Paul Claxton",63,29.77,1697,57,25,"PuttsPerRound",2008
161,161,"Jim McGovern",75,29.77,2054,69,25,"PuttsPerRound",2008
163,163,"Woody Austin",109,29.8,3129,105,25,"PuttsPerRound",2008
163,163,"Bo Van Pelt",101,29.8,2891,97,25,"PuttsPerRound",2008
165,165,"Steve Allan",58,29.82,1491,50,24,"PuttsPerRound",2008
165,165,"Charles Howell III",101,29.82,2952,99,23,"PuttsPerRound",2008
167,167,"Billy Mayfair",103,29.84,3074,103,23,"PuttsPerRound",2008
168,168,"George McNeill",97,29.85,2895,97,25,"PuttsPerRound",2008
169,169,"Robert Gamez",79,29.86,2299,77,25,"PuttsPerRound",2008
170,170,"John Riegger",73,29.87,2001,67,24,"PuttsPerRound",2008
171,171,"Briny Baird",113,29.88,3137,105,24,"PuttsPerRound",2008
172,172,"Kenneth Ferrie",72,29.89,1913,64,25,"PuttsPerRound",2008
173,173,"Billy Andrade",71,29.93,2005,67,23,"PuttsPerRound",2008
174,174,"Jon Mills",95,29.94,2605,87,22,"PuttsPerRound",2008
175,175,"John Merrick",98,29.96,2696,90,25,"PuttsPerRound",2008
176,176,"Olin Browne",77,29.99,2249,75,25,"PuttsPerRound",2008
176,176,"Jay Williamson",96,29.99,2639,88,25,"PuttsPerRound",2008
178,178,"David Lutterus",59,30,1590,53,24,"PuttsPerRound",2008
178,178,"Travis Perkins",53,30,1410,47,26,"PuttsPerRound",2008
180,180,"Ron Whittaker",54,30.02,1441,48,24,"PuttsPerRound",2008
181,181,"Troy Matteson",94,30.03,2823,94,23,"PuttsPerRound",2008
182,182,"Bubba Watson",97,30.05,2855,95,23,"PuttsPerRound",2008
183,183,"Brandt Jobe",52,30.06,1563,52,26,"PuttsPerRound",2008
184,184,"Robert Allenby",108,30.07,3218,107,25,"PuttsPerRound",2008
185,185,"Justin Bolli",87,30.11,2409,80,24,"PuttsPerRound",2008
186,186,"Hunter Mahan",87,30.14,2562,85,23,"PuttsPerRound",2008
186,186,"John Senden",93,30.14,2773,92,25,"PuttsPerRound",2008
188,188,"Chris Stroud",81,30.16,2262,75,26,"PuttsPerRound",2008
189,189,"Boo Weekley",86,30.19,2506,83,22,"PuttsPerRound",2008
190,190,"Ted Purdy",68,30.21,1873,62,25,"PuttsPerRound",2008
191,191,"Jeff Gove",50,30.22,1390,46,24,"PuttsPerRound",2008
191,191,"JJ Henry",108,30.22,3264,108,24,"PuttsPerRound",2008
193,193,"Tommy Gainey",60,30.33,1577,52,24,"PuttsPerRound",2008
194,194,"Harrison Frazar",73,30.35,1973,65,23,"PuttsPerRound",2008
195,195,"Charles Warren",79,30.42,2403,79,25,"PuttsPerRound",2008
196,196,"Paul Casey",55,30.44,1583,52,25,"PuttsPerRound",2008
197,197,"Joe Durant",92,30.86,2592,84,25,"PuttsPerRound",2008
