"ScramblingfromOtherLocations_RANKTHISWEEK_2008","ScramblingfromOtherLocations_RANKLASTWEEK_2008","ScramblingfromOtherLocations_PLAYERNAME_2008","ScramblingfromOtherLocations_ROUNDS_2008","ScramblingfromOtherLocations_Pct_2008","ScramblingfromOtherLocations_SUCCESSES_2008","ScramblingfromOtherLocations_ATTEMPTS_2008","stat_name","year"
1,1,"Jesper Parnevik",88,68.35,108,158,"ScramblingfromOtherLocations",2008
2,2,"Tom Pernice Jr",104,68.21,103,151,"ScramblingfromOtherLocations",2008
3,3,"Tim Wilkinson",95,66.67,84,126,"ScramblingfromOtherLocations",2008
4,4,"Nathan Green",95,66.18,137,207,"ScramblingfromOtherLocations",2008
5,5,"Jerry Kelly",89,66.14,84,127,"ScramblingfromOtherLocations",2008
6,6,"Bart Bryant",81,65.63,63,96,"ScramblingfromOtherLocations",2008
7,7,"Brian Gay",102,65.41,104,159,"ScramblingfromOtherLocations",2008
8,8,"Bob Estes",90,65.33,98,150,"ScramblingfromOtherLocations",2008
9,9,"John Mallinger",95,64.85,107,165,"ScramblingfromOtherLocations",2008
10,10,"Ryan Moore",72,64.49,89,138,"ScramblingfromOtherLocations",2008
11,11,"Omar Uresti",74,64.46,78,121,"ScramblingfromOtherLocations",2008
12,12,"Dean Wilson",109,64.29,108,168,"ScramblingfromOtherLocations",2008
13,13,"Sergio Garcia",72,64.18,43,67,"ScramblingfromOtherLocations",2008
14,14,"Greg Kraft",63,64.13,59,92,"ScramblingfromOtherLocations",2008
15,15,"Scott McCarron",63,63.72,72,113,"ScramblingfromOtherLocations",2008
16,16,"Boo Weekley",86,63.51,47,74,"ScramblingfromOtherLocations",2008
17,17,"Corey Pavin",69,63.48,73,115,"ScramblingfromOtherLocations",2008
18,18,"Stephen Ames",83,63.33,57,90,"ScramblingfromOtherLocations",2008
19,19,"Tim Petrovic",97,63.31,88,139,"ScramblingfromOtherLocations",2008
20,20,"Jim Furyk",95,63.04,58,92,"ScramblingfromOtherLocations",2008
21,21,"Nick OHern",82,62.96,68,108,"ScramblingfromOtherLocations",2008
22,22,"Anthony Kim",81,62.81,76,121,"ScramblingfromOtherLocations",2008
23,23,"Marc Turnesa",87,62.75,96,153,"ScramblingfromOtherLocations",2008
23,23,"Bob Tway",70,62.75,64,102,"ScramblingfromOtherLocations",2008
25,25,"Brad Adamonis",87,62.61,72,115,"ScramblingfromOtherLocations",2008
26,26,"Ryuji Imada",80,62.39,73,117,"ScramblingfromOtherLocations",2008
27,27,"Vijay Singh",82,62.32,43,69,"ScramblingfromOtherLocations",2008
28,28,"Brian Davis",108,62.15,110,177,"ScramblingfromOtherLocations",2008
29,29,"Mathew Goggin",91,62.12,82,132,"ScramblingfromOtherLocations",2008
