"GIRPercentageLess125yards_RANKTHISWEEK_2016","GIRPercentageLess125yards_RANKLASTWEEK_2016","GIRPercentageLess125yards_PLAYERNAME_2016","GIRPercentageLess125yards_ROUNDS_2016","GIRPercentageLess125yards_Pct_2016","GIRPercentageLess125yards_GREENSHIT_2016","GIRPercentageLess125yards_TOTALHOLES_2016","GIRPercentageLess125yards_RELATIVETOPAR_2016","stat_name","year"
1,1,"Matthew Fitzpatrick",23,92.68,38,41,-0.5,"GIRPercentageLess125yards",2016
2,2,"Adam Scott",39,90.52,105,116,-0.59,"GIRPercentageLess125yards",2016
3,3,"Rickie Fowler",42,89.66,182,203,-0.56,"GIRPercentageLess125yards",2016
4,4,"Bubba Watson",30,88.28,113,128,-0.51,"GIRPercentageLess125yards",2016
5,5,"Charl Schwartzel",29,87.93,102,116,-0.47,"GIRPercentageLess125yards",2016
6,7,"Seung Yul Noh",54,87,194,223,-0.51,"GIRPercentageLess125yards",2016
7,8,"Zach Johnson",42,86.98,147,169,-0.44,"GIRPercentageLess125yards",2016
8,13,"Will Ma Kenzie",54,86.92,186,214,-0.33,"GIRPercentageLess125yards",2016
9,11,"Stewart Cink",45,86.88,139,160,-0.5,"GIRPercentageLess125yards",2016
10,18,"Emiliano Grillo",47,86.84,165,190,-0.5,"GIRPercentageLess125yards",2016
11,14,"Pat Perez",28,86.49,64,74,-0.39,"GIRPercentageLess125yards",2016
12,16,"Jimmy Walker",43,86.39,165,191,-0.6,"GIRPercentageLess125yards",2016
13,14,"Tim Wilkinson",40,86.36,114,132,-0.4,"GIRPercentageLess125yards",2016
14,6,"Lucas Glover",53,86.3,233,270,-0.42,"GIRPercentageLess125yards",2016
15,12,"JJ Henry",44,86,172,200,-0.35,"GIRPercentageLess125yards",2016
16,9,"Justin Hicks",26,85.94,110,128,-0.36,"GIRPercentageLess125yards",2016
17,10,"Brendan Steele",48,85.71,180,210,-0.46,"GIRPercentageLess125yards",2016
18,19,"Harris English",51,85.54,142,166,-0.49,"GIRPercentageLess125yards",2016
19,22,"Matt Kuchar",46,85.53,130,152,-0.48,"GIRPercentageLess125yards",2016
20,21,"Hideki Matsuyama",40,85.52,124,145,-0.53,"GIRPercentageLess125yards",2016
