"Approachesfrominside100yardsRgh_RANKTHISWEEK_2010","Approachesfrominside100yardsRgh_RANKLASTWEEK_2010","Approachesfrominside100yardsRgh_PLAYERNAME_2010","Approachesfrominside100yardsRgh_ROUNDS_2010","Approachesfrominside100yardsRgh_AVG_2010","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2010","Approachesfrominside100yardsRgh_OFATTEMPTS_2010","Approachesfrominside100yardsRgh_RELATIVETOPAR_2010","stat_name","year"
1,1,"Rocco Mediate",71,NA,310.583,26,-2,"Approachesfrominside100yardsRgh",2010
2,2,"Cliff Kresge",50,NA,125.417,10,2,"Approachesfrominside100yardsRgh",2010
3,3,"Mark Calcavecchia",50,NA,172.75,12,2,"Approachesfrominside100yardsRgh",2010
4,4,"Steve Stricker",73,NA,315.333,19,-5,"Approachesfrominside100yardsRgh",2010
5,5,"Jim Furyk",76,NA,238.333,14,-1,"Approachesfrominside100yardsRgh",2010
6,6,"Cameron Percy",73,NA,537.833,31,-4,"Approachesfrominside100yardsRgh",2010
7,7,"Garth Mulroy",53,NA,315.5,18,0,"Approachesfrominside100yardsRgh",2010
7,7,"Roland Thatcher",72,NA,559.583,32,8,"Approachesfrominside100yardsRgh",2010
9,9,"Kevin Sutherland",86,NA,529.5,30,-7,"Approachesfrominside100yardsRgh",2010
10,10,"Steve Flesch",78,NA,466.667,26,6,"Approachesfrominside100yardsRgh",2010
11,11,"Ricky Barnes",103,NA,738.667,41,-6,"Approachesfrominside100yardsRgh",2010
11,11,"JJ Henry",92,NA,396.667,22,-4,"Approachesfrominside100yardsRgh",2010
13,13,"Padraig Harrington",57,NA,434.5,24,-2,"Approachesfrominside100yardsRgh",2010
13,13,"Will Ma Kenzie",72,NA,579.667,32,-7,"Approachesfrominside100yardsRgh",2010
15,15,"John Mallinger",78,NA,438.25,24,2,"Approachesfrominside100yardsRgh",2010
15,15,"Mike Weir",59,NA,492.25,27,5,"Approachesfrominside100yardsRgh",2010
17,17,"Michael Sim",64,NA,658.667,36,1,"Approachesfrominside100yardsRgh",2010
18,18,"Pat Perez",90,NA,607.167,33,2,"Approachesfrominside100yardsRgh",2010
19,19,"Brent Delahoussaye",57,NA,204.583,11,1,"Approachesfrominside100yardsRgh",2010
19,19,"Tim Herron",79,NA,763.333,41,3,"Approachesfrominside100yardsRgh",2010
21,21,"Vijay Singh",75,NA,596.583,32,0,"Approachesfrominside100yardsRgh",2010
22,22,"Vance Veazey",58,NA,375,20,2,"Approachesfrominside100yardsRgh",2010
23,23,"Dean Wilson",54,NA,244.833,13,-3,"Approachesfrominside100yardsRgh",2010
24,24,"Ben Curtis",78,NA,472.917,25,3,"Approachesfrominside100yardsRgh",2010
25,25,"Woody Austin",93,NA,802.083,42,-5,"Approachesfrominside100yardsRgh",2010
26,26,"Henrik Bjornstad",72,NA,326.583,17,6,"Approachesfrominside100yardsRgh",2010
26,26,"Roger Tambellini",77,NA,384.75,20,2,"Approachesfrominside100yardsRgh",2010
26,26,"Charlie Wi",95,NA,481.667,25,3,"Approachesfrominside100yardsRgh",2010
29,29,"Paul Goydos",78,NA,466.25,24,9,"Approachesfrominside100yardsRgh",2010
29,29,"Chris Riley",73,NA,465.667,24,6,"Approachesfrominside100yardsRgh",2010
31,31,"Ben Crane",85,NA,778.083,39,0,"Approachesfrominside100yardsRgh",2010
31,31,"Paul Stankowski",62,NA,358.917,18,-6,"Approachesfrominside100yardsRgh",2010
33,33,"Craig Bowden",56,NA,520.083,26,8,"Approachesfrominside100yardsRgh",2010
34,34,"Mathew Goggin",85,NA,604.167,30,4,"Approachesfrominside100yardsRgh",2010
35,35,"Michael Letzig",84,NA,816.583,40,11,"Approachesfrominside100yardsRgh",2010
36,36,"Michael Connell",89,NA,615,30,1,"Approachesfrominside100yardsRgh",2010
36,36,"Dustin Johnson",83,NA,821.417,40,2,"Approachesfrominside100yardsRgh",2010
36,36,"David Toms",86,NA,593.5,29,-1,"Approachesfrominside100yardsRgh",2010
36,36,"Jimmy Walker",82,NA,677.25,33,2,"Approachesfrominside100yardsRgh",2010
