"AverageApproachDistancePar_RANKTHISWEEK_2015","AverageApproachDistancePar_RANKLASTWEEK_2015","AverageApproachDistancePar_PLAYERNAME_2015","AverageApproachDistancePar_ROUNDS_2015","AverageApproachDistancePar_AVGYARDS_2015","AverageApproachDistancePar_TOTALDISTANCEINCHES_2015","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2015","stat_name","year"
1,1,"Patrick Rodgers",57,156.9,2847471,504,"AverageApproachDistancePar",2015
2,2,"Jason Day",75,157.5,3549798,626,"AverageApproachDistancePar",2015
3,3,"Dustin Johnson",75,157.7,3281963,578,"AverageApproachDistancePar",2015
4,4,"Cameron Percy",72,158.1,3688163,648,"AverageApproachDistancePar",2015
5,5,"Heath Slocum",57,158.3,2523957,443,"AverageApproachDistancePar",2015
6,6,"Roger Sloan",56,158.4,2526518,443,"AverageApproachDistancePar",2015
7,7,"James Hahn",94,158.5,5031538,882,"AverageApproachDistancePar",2015
7,7,"Brian Harman",90,158.5,5102467,894,"AverageApproachDistancePar",2015
9,9,"Eric Axley",57,158.8,2880836,504,"AverageApproachDistancePar",2015
10,10,"David Lingmerth",90,159,4820941,842,"AverageApproachDistancePar",2015
11,11,"Charlie Beljan",76,159.1,3362619,587,"AverageApproachDistancePar",2015
12,12,"JB Holmes",89,159.3,4031589,703,"AverageApproachDistancePar",2015
13,13,"Davis Love III",51,159.4,2834539,494,"AverageApproachDistancePar",2015
13,13,"Greg Owen",58,159.4,2674929,466,"AverageApproachDistancePar",2015
15,15,"Jonas Blixt",78,159.5,3318836,578,"AverageApproachDistancePar",2015
15,15,"Derek Fathauer",81,159.5,4210173,733,"AverageApproachDistancePar",2015
17,17,"Nicholas Thompson",90,159.6,4493427,782,"AverageApproachDistancePar",2015
18,18,"Brooks Koepka",84,159.8,4137414,719,"AverageApproachDistancePar",2015
19,19,"SJ Park",79,159.9,4414835,767,"AverageApproachDistancePar",2015
20,20,"Derek Ernst",75,160,4119087,715,"AverageApproachDistancePar",2015
21,21,"Johnson Wagner",68,160.1,3895412,676,"AverageApproachDistancePar",2015
22,22,"Tim Wilkinson",73,160.3,3919567,679,"AverageApproachDistancePar",2015
23,23,"Robert Garrigus",70,160.4,3435630,595,"AverageApproachDistancePar",2015
23,23,"Boo Weekley",79,160.4,4372279,757,"AverageApproachDistancePar",2015
25,25,"JJ Henry",94,160.5,5308750,919,"AverageApproachDistancePar",2015
25,25,"Justin Thomas",106,160.5,6148059,1064,"AverageApproachDistancePar",2015
27,27,"Brice Garnett",81,160.6,4191602,725,"AverageApproachDistancePar",2015
27,27,"Seung Yul Noh",65,160.6,3457970,598,"AverageApproachDistancePar",2015
27,27,"Ryan Palmer",80,160.6,3566440,617,"AverageApproachDistancePar",2015
27,27,"Adam Scott",51,160.6,1994187,345,"AverageApproachDistancePar",2015
31,31,"Oscar Fraustro",58,160.7,2579693,446,"AverageApproachDistancePar",2015
31,31,"Scott Pinckney",88,160.7,4843258,837,"AverageApproachDistancePar",2015
31,31,"Nick Taylor",91,160.7,5293002,915,"AverageApproachDistancePar",2015
34,34,"Charley Hoffman",97,160.9,4919189,849,"AverageApproachDistancePar",2015
34,34,"Tom Hoge",83,160.9,4222236,729,"AverageApproachDistancePar",2015
36,36,"Blayne Barber",76,161,4108365,709,"AverageApproachDistancePar",2015
36,36,"Roberto Castro",54,161,2434846,420,"AverageApproachDistancePar",2015
36,36,"Jim Herman",88,161,5221459,901,"AverageApproachDistancePar",2015
36,36,"Matt Kuchar",97,161,5159105,890,"AverageApproachDistancePar",2015
40,40,"Fabian Gomez",83,161.1,4454476,768,"AverageApproachDistancePar",2015
40,40,"Charles Howell III",105,161.1,6739713,1162,"AverageApproachDistancePar",2015
42,42,"Jeff Overton",94,161.2,4973985,857,"AverageApproachDistancePar",2015
43,43,"Jordan Spieth",91,161.3,4284959,738,"AverageApproachDistancePar",2015
44,44,"Kyle Reifers",96,161.4,5381941,926,"AverageApproachDistancePar",2015
44,44,"Jimmy Walker",89,161.4,4033568,694,"AverageApproachDistancePar",2015
46,46,"Bo Van Pelt",81,161.5,4255002,732,"AverageApproachDistancePar",2015
47,47,"Chesson Hadley",101,161.6,5684434,977,"AverageApproachDistancePar",2015
47,47,"William McGirt",103,161.6,6719645,1155,"AverageApproachDistancePar",2015
49,49,"Jason Bohn",95,161.7,5815825,999,"AverageApproachDistancePar",2015
49,49,"Ernie Els",57,161.7,2503817,430,"AverageApproachDistancePar",2015
49,49,"Andres Gonzales",90,161.7,4999713,859,"AverageApproachDistancePar",2015
49,49,"Jason Gore",76,161.7,3661214,629,"AverageApproachDistancePar",2015
49,49,"Robert Streb",110,161.7,6302689,1083,"AverageApproachDistancePar",2015
54,54,"Bubba Watson",71,161.8,3657396,628,"AverageApproachDistancePar",2015
54,54,"Will Wilcox",58,161.8,2742919,471,"AverageApproachDistancePar",2015
56,56,"Kevin Chappell",86,161.9,4872371,836,"AverageApproachDistancePar",2015
56,56,"Stewart Cink",77,161.9,4395944,754,"AverageApproachDistancePar",2015
56,56,"Brian Davis",86,161.9,4739143,813,"AverageApproachDistancePar",2015
56,56,"Whee Kim",71,161.9,3741734,642,"AverageApproachDistancePar",2015
56,56,"Russell Knox",96,161.9,5949901,1021,"AverageApproachDistancePar",2015
61,61,"Lucas Glover",79,162,4725289,810,"AverageApproachDistancePar",2015
61,61,"Chez Reavie",56,162,3336607,572,"AverageApproachDistancePar",2015
63,63,"Luke Guthrie",84,162.1,4433858,760,"AverageApproachDistancePar",2015
63,63,"Jason Kokrak",88,162.1,5217432,894,"AverageApproachDistancePar",2015
65,65,"David Hearn",97,162.2,5645057,967,"AverageApproachDistancePar",2015
65,65,"Ben Martin",93,162.2,4958009,849,"AverageApproachDistancePar",2015
65,65,"Alex Prugh",84,162.2,4822860,826,"AverageApproachDistancePar",2015
68,68,"Martin Flores",95,162.3,5428695,929,"AverageApproachDistancePar",2015
69,69,"Justin Leonard",61,162.4,3747427,641,"AverageApproachDistancePar",2015
69,69,"Carl Pettersson",106,162.4,6435800,1101,"AverageApproachDistancePar",2015
71,71,"Scott Langley",94,162.5,5383426,920,"AverageApproachDistancePar",2015
71,71,"Sam Saunders",83,162.5,4053519,693,"AverageApproachDistancePar",2015
73,73,"Chad Collins",79,162.6,4425779,756,"AverageApproachDistancePar",2015
73,73,"Ken Duke",93,162.6,5116461,874,"AverageApproachDistancePar",2015
73,73,"Jim Furyk",71,162.6,3611046,617,"AverageApproachDistancePar",2015
73,73,"Russell Henley",87,162.6,4408445,753,"AverageApproachDistancePar",2015
73,73,"Byron Smith",59,162.6,2950925,504,"AverageApproachDistancePar",2015
73,73,"Kevin Streelman",95,162.6,5052862,863,"AverageApproachDistancePar",2015
73,73,"Brian Stuard",97,162.6,5438948,929,"AverageApproachDistancePar",2015
80,80,"Sangmoon Bae",98,162.7,5776859,986,"AverageApproachDistancePar",2015
80,80,"Scott Brown",97,162.7,5422220,926,"AverageApproachDistancePar",2015
80,80,"Erik Compton",86,162.7,4533339,774,"AverageApproachDistancePar",2015
80,80,"Jon Curran",83,162.7,4604064,786,"AverageApproachDistancePar",2015
80,80,"Tony Finau",106,162.7,5868133,1002,"AverageApproachDistancePar",2015
80,80,"Zach Johnson",90,162.7,4831538,825,"AverageApproachDistancePar",2015
