"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2009","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2009","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2009","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2009","ofPotentialPtswonFedExCupRegularSeason_Pct_2009","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2009","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2009","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2009","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2009","stat_name","year"
1,1,"Tiger Woods",17,52.38,3431,6550,5,11,"ofPotentialPtswonFedExCupRegularSeason",2009
2,2,"Tom Watson",2,27.5,330,1200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
3,3,"Steve Stricker",22,23.81,2155,9050,2,8,"ofPotentialPtswonFedExCupRegularSeason",2009
4,4,"Phil Mickelson",18,23.45,1630,6950,2,6,"ofPotentialPtswonFedExCupRegularSeason",2009
5,5,"Geoff Ogilvy",20,19.91,1603,8050,2,4,"ofPotentialPtswonFedExCupRegularSeason",2009
6,6,"Kenny Perry",24,19.83,1993,10050,2,7,"ofPotentialPtswonFedExCupRegularSeason",2009
7,7,"Paul Casey",12,19.52,1161,5950,1,3,"ofPotentialPtswonFedExCupRegularSeason",2009
8,8,"Zach Johnson",26,19.14,2019,10550,2,7,"ofPotentialPtswonFedExCupRegularSeason",2009
9,9,"Retief Goosen",20,18.13,1459,8050,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
10,10,"YE Yang",23,17.91,1621,9050,2,4,"ofPotentialPtswonFedExCupRegularSeason",2009
11,11,"Lucas Glover",26,16.05,1742,10850,1,5,"ofPotentialPtswonFedExCupRegularSeason",2009
12,12,"Sean OHair",23,15.44,1474,9550,1,6,"ofPotentialPtswonFedExCupRegularSeason",2009
13,13,"Brian Gay",27,15.25,1540,10100,2,4,"ofPotentialPtswonFedExCupRegularSeason",2009
14,14,"Angel Cabrera",17,14.89,968,6500,1,2,"ofPotentialPtswonFedExCupRegularSeason",2009
15,15,"Nick Watney",24,14.61,1388,9500,1,3,"ofPotentialPtswonFedExCupRegularSeason",2009
16,16,"David Toms",27,13.8,1394,10100,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2009
17,17,"Stewart Cink",22,13.54,1225,9050,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
18,18,"Jim Furyk",23,13.13,1188,9050,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2009
19,19,"Ian Poulter",17,12.86,907,7050,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
20,20,"Hunter Mahan",25,12.76,1282,10050,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2009
21,21,"Rory Sabbatini",25,12.18,1163,9550,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
22,22,"John Rollins",27,11.83,1112,9400,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
23,23,"Luke Donald",21,11.61,993,8550,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
24,24,"Dustin Johnson",25,11.49,1155,10050,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
25,25,"Jerry Kelly",26,11.37,1068,9400,1,5,"ofPotentialPtswonFedExCupRegularSeason",2009
26,26,"Tim Clark",23,10.83,980,9050,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
27,27,"Anthony Kim",22,10.57,957,9050,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
28,28,"Pat Perez",22,10.4,920,8850,1,2,"ofPotentialPtswonFedExCupRegularSeason",2009
29,29,"Ryan Moore",27,10.39,1023,9850,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
30,30,"Kevin Na",26,10.36,1021,9850,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2009
31,31,"Mike Weir",24,10.14,968,9550,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
32,32,"Robert Allenby",21,9.89,846,8550,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
33,33,"Camilo Villegas",21,9.79,886,9050,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
34,34,"Ernie Els",19,9.71,733,7550,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
