"FairwayProximity_RANKTHISWEEK_2014","FairwayProximity_RANKLASTWEEK_2014","FairwayProximity_PLAYERNAME_2014","FairwayProximity_ROUNDS_2014","FairwayProximity_AVG_2014","FairwayProximity_ATTEMPTS_2014","FairwayProximity_TOTALDISTANCEFEET_2014","FairwayProximity_RELATIVETOPAR_2014","stat_name","year"
1,1,"Dustin Johnson",58,NA,512,14238.5,-68,"FairwayProximity",2014
2,2,"Graham DeLaet",80,NA,861,24306.667,-87,"FairwayProximity",2014
2,2,"Hideki Matsuyama",82,NA,823,23237.833,-98,"FairwayProximity",2014
4,4,"Nick Watney",80,NA,766,21952.333,-64,"FairwayProximity",2014
5,5,"Chad Campbell",57,NA,622,17925,-57,"FairwayProximity",2014
6,6,"Rory McIlroy",66,NA,601,17376.5,-105,"FairwayProximity",2014
6,6,"Bo Van Pelt",83,NA,922,26673,-82,"FairwayProximity",2014
8,8,"Russell Knox",92,NA,1163,33693.583,-107,"FairwayProximity",2014
9,9,"Kevin Chappell",100,NA,1189,34606.167,-121,"FairwayProximity",2014
10,10,"Tim Clark",75,NA,916,26850.833,-41,"FairwayProximity",2014
10,10,"Zach Johnson",97,NA,1173,34434.25,-141,"FairwayProximity",2014
12,12,"Troy Merritt",62,NA,719,21160.333,-61,"FairwayProximity",2014
13,13,"Tyrone Van Aswegen",79,NA,820,24166.333,-59,"FairwayProximity",2014
14,14,"Paul Casey",56,NA,583,17251.75,-72,"FairwayProximity",2014
14,14,"Jim Furyk",84,NA,974,28829.583,-114,"FairwayProximity",2014
16,16,"Robert Garrigus",80,NA,923,27571,-96,"FairwayProximity",2014
16,16,"Brooks Koepka",56,NA,521,15540.083,-52,"FairwayProximity",2014
16,16,"Bryce Molder",77,NA,841,25121.25,-42,"FairwayProximity",2014
19,19,"Charlie Beljan",76,NA,854,25578,-46,"FairwayProximity",2014
20,20,"Brian Harman",111,NA,1321,39627.583,-123,"FairwayProximity",2014
20,20,"Camilo Villegas",95,NA,1095,32852.333,-101,"FairwayProximity",2014
22,22,"Jordan Spieth",102,NA,973,29331.333,-114,"FairwayProximity",2014
23,23,"Sergio Garcia",61,NA,514,15563.833,-64,"FairwayProximity",2014
23,23,"Lucas Glover",68,NA,652,19733.833,-2,"FairwayProximity",2014
23,23,"Ryo Ishikawa",75,NA,734,22190.667,-77,"FairwayProximity",2014
23,23,"Jim Renner",61,NA,653,19729.333,-13,"FairwayProximity",2014
23,23,"Justin Rose",70,NA,654,19795.583,-80,"FairwayProximity",2014
28,28,"Stewart Cink",91,NA,935,28343.333,-62,"FairwayProximity",2014
28,28,"Charley Hoffman",93,NA,961,29116.75,-82,"FairwayProximity",2014
28,28,"Heath Slocum",71,NA,911,27662.833,-53,"FairwayProximity",2014
31,31,"Brad Fritsch",50,NA,508,15462.333,-39,"FairwayProximity",2014
31,31,"Ryan Moore",86,NA,879,26745.75,-104,"FairwayProximity",2014
31,31,"Kevin Stadler",90,NA,859,26140.5,-89,"FairwayProximity",2014
34,34,"Ricky Barnes",92,NA,964,29425.417,-77,"FairwayProximity",2014
34,34,"Matt Every",85,NA,812,24746.333,-75,"FairwayProximity",2014
34,34,"Marc Leishman",81,NA,869,26526.083,-79,"FairwayProximity",2014
34,34,"John Peterson",62,NA,734,22378.833,-21,"FairwayProximity",2014
38,38,"Keegan Bradley",89,NA,883,27010.083,-106,"FairwayProximity",2014
38,38,"Chesson Hadley",84,NA,915,27961.25,-29,"FairwayProximity",2014
38,38,"Jeff Maggert",54,NA,600,18350,1,"FairwayProximity",2014
38,38,"Adam Scott",68,NA,737,22529.667,-111,"FairwayProximity",2014
38,38,"Bubba Watson",76,NA,714,21817.25,-80,"FairwayProximity",2014
43,43,"Robert Allenby",83,NA,928,28424.333,-51,"FairwayProximity",2014
43,43,"Harris English",95,NA,949,29078.333,-101,"FairwayProximity",2014
43,43,"Graeme McDowell",66,NA,649,19886.333,-73,"FairwayProximity",2014
43,43,"Will Wilcox",51,NA,518,15896,-49,"FairwayProximity",2014
47,47,"Ben Martin",80,NA,866,26612.167,-72,"FairwayProximity",2014
47,47,"Webb Simpson",87,NA,965,29691.333,-128,"FairwayProximity",2014
47,47,"Scott Stallings",77,NA,803,24709.5,-22,"FairwayProximity",2014
47,47,"Brendan Steele",89,NA,905,27795.417,-73,"FairwayProximity",2014
51,51,"Jerry Kelly",80,NA,891,27451.833,-74,"FairwayProximity",2014
51,51,"Patrick Reed",92,NA,893,27556.667,-86,"FairwayProximity",2014
51,51,"Andrew Svoboda",77,NA,905,27924.083,-71,"FairwayProximity",2014
54,54,"Jason Bohn",81,NA,991,30668,-42,"FairwayProximity",2014
54,54,"Jason Day",54,NA,412,12729.917,-62,"FairwayProximity",2014
54,54,"Scott Langley",95,NA,1041,32189.083,-87,"FairwayProximity",2014
54,54,"Robert Streb",75,NA,831,25696,-54,"FairwayProximity",2014
54,54,"David Toms",64,NA,785,24285.5,-60,"FairwayProximity",2014
54,54,"Jimmy Walker",98,NA,838,25893.667,-101,"FairwayProximity",2014
60,60,"Jason Dufner",57,NA,560,17376.417,-54,"FairwayProximity",2014
60,60,"Jason Kokrak",65,NA,743,23026.167,-69,"FairwayProximity",2014
60,60,"George McNeill",79,NA,941,29204.333,-89,"FairwayProximity",2014
63,63,"Justin Hicks",103,NA,1328,41243.417,-44,"FairwayProximity",2014
64,64,"Ben Crane",81,NA,1075,33541.5,-44,"FairwayProximity",2014
64,64,"Ernie Els",85,NA,744,23215.333,-71,"FairwayProximity",2014
64,64,"Jim Herman",62,NA,630,19647,-10,"FairwayProximity",2014
64,64,"Matt Kuchar",91,NA,1041,32456.5,-136,"FairwayProximity",2014
64,64,"Seung Yul Noh",92,NA,945,29466.083,-63,"FairwayProximity",2014
69,69,"KJ Choi",80,NA,929,29010.917,-50,"FairwayProximity",2014
69,69,"Chris Kirk",105,NA,1137,35518,-102,"FairwayProximity",2014
69,69,"Kyle Stanley",87,NA,944,29476.5,6,"FairwayProximity",2014
69,69,"Brian Stuard",91,NA,1024,32005.25,-73,"FairwayProximity",2014
73,73,"Rickie Fowler",91,NA,799,25047.083,-90,"FairwayProximity",2014
73,73,"Ted Potter Jr",68,NA,836,26202,-33,"FairwayProximity",2014
75,75,"Bud Cauley",56,NA,578,18136.667,-55,"FairwayProximity",2014
75,75,"Ken Duke",80,NA,925,29033.5,-59,"FairwayProximity",2014
75,75,"David Hearn",97,NA,1158,36370.833,-114,"FairwayProximity",2014
75,75,"Billy Hurley III",86,NA,1024,32144.25,-64,"FairwayProximity",2014
75,75,"Kevin Na",94,NA,1031,32391.917,-106,"FairwayProximity",2014
80,80,"Steven Bowditch",93,NA,938,29565.667,-55,"FairwayProximity",2014
80,80,"Angel Cabrera",69,NA,760,23970,-23,"FairwayProximity",2014
80,80,"Martin Kaymer",65,NA,611,19269.667,-50,"FairwayProximity",2014
80,80,"David Lingmerth",80,NA,866,27276.917,-45,"FairwayProximity",2014
80,80,"Pat Perez",84,NA,996,31386.583,-31,"FairwayProximity",2014
80,80,"Hudson Swafford",75,NA,775,24409.917,-44,"FairwayProximity",2014
86,86,"Kevin Kisner",85,NA,925,29207.667,-84,"FairwayProximity",2014
86,86,"Carl Pettersson",91,NA,1071,33811.917,-58,"FairwayProximity",2014
86,86,"Brendon Todd",108,NA,1243,39300.75,-104,"FairwayProximity",2014
86,86,"Mark Wilson",69,NA,794,25078.583,-11,"FairwayProximity",2014
90,90,"Brice Garnett",92,NA,1000,31706,-76,"FairwayProximity",2014
90,90,"James Hahn",82,NA,949,30060.917,-35,"FairwayProximity",2014
90,90,"Ryan Palmer",85,NA,837,26528.333,-71,"FairwayProximity",2014
90,90,"Gary Woodland",93,NA,930,29460.5,-85,"FairwayProximity",2014
94,94,"JB Holmes",86,NA,934,29671.833,-66,"FairwayProximity",2014
94,94,"Freddie Jacobson",91,NA,1038,32957,-76,"FairwayProximity",2014
94,94,"Jeff Overton",80,NA,807,25606.083,-78,"FairwayProximity",2014
97,97,"Scott Brown",100,NA,1126,35831.583,-93,"FairwayProximity",2014
97,97,"Tommy Gainey",73,NA,767,24423.833,-36,"FairwayProximity",2014
97,97,"Billy Horschel",92,NA,949,30228.833,-108,"FairwayProximity",2014
97,97,"Josh Teater",90,NA,983,31321.333,-56,"FairwayProximity",2014
101,101,"Spencer Levin",59,NA,665,21246.5,-33,"FairwayProximity",2014
101,101,"Louis Oosthuizen",50,NA,390,12459.833,-13,"FairwayProximity",2014
101,101,"Ian Poulter",57,NA,522,16657.167,-36,"FairwayProximity",2014
101,101,"Kevin Streelman",79,NA,823,26267.75,-62,"FairwayProximity",2014
105,105,"Brendon de Jonge",109,NA,1266,40485.917,-58,"FairwayProximity",2014
105,105,"Luke Donald",57,NA,596,19063,-52,"FairwayProximity",2014
105,105,"Retief Goosen",94,NA,977,31233.75,-89,"FairwayProximity",2014
105,105,"Luke Guthrie",85,NA,974,31208.167,-71,"FairwayProximity",2014
105,105,"John Merrick",87,NA,1017,32580.333,-15,"FairwayProximity",2014
105,105,"Rory Sabbatini",82,NA,788,25195.75,-30,"FairwayProximity",2014
105,105,"Vijay Singh",83,NA,988,31611.25,-54,"FairwayProximity",2014
105,105,"Brandt Snedeker",89,NA,895,28663.75,-63,"FairwayProximity",2014
105,105,"Cameron Tringale",111,NA,1338,42817.583,-120,"FairwayProximity",2014
105,105,"Tim Wilkinson",86,NA,905,28945.833,-44,"FairwayProximity",2014
115,115,"Morgan Hoffmann",103,NA,1087,34885.333,-101,"FairwayProximity",2014
115,115,"Johnson Wagner",69,NA,740,23713.833,-59,"FairwayProximity",2014
117,117,"Stuart Appleby",92,NA,1128,36329.75,-63,"FairwayProximity",2014
