"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2008","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2008","GoingfortheGreenBirdieorBetter_PLAYERNAME_2008","GoingfortheGreenBirdieorBetter_ROUNDS_2008","GoingfortheGreenBirdieorBetter_Pct_2008","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2008","GoingfortheGreenBirdieorBetter_ATTEMPTS_2008","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2008","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2008","stat_name","year"
1,1,"Fred Couples",60,69.57,80,115,-84,-2,"GoingfortheGreenBirdieorBetter",2008
2,2,"Shigeki Maruyama",50,68.75,33,48,-34,-17,"GoingfortheGreenBirdieorBetter",2008
3,3,"Doug LaBelle II",65,66.67,34,51,-35,-16,"GoingfortheGreenBirdieorBetter",2008
4,4,"Brenden Pappas",66,66.36,73,110,-82,-7,"GoingfortheGreenBirdieorBetter",2008
5,5,"Adam Scott",51,65.48,55,84,-59,-5,"GoingfortheGreenBirdieorBetter",2008
6,6,"Rory Sabbatini",77,65.29,79,121,-84,-5,"GoingfortheGreenBirdieorBetter",2008
7,7,"Camilo Villegas",79,65.12,84,129,-90,-14,"GoingfortheGreenBirdieorBetter",2008
8,8,"Mathew Goggin",91,64.4,123,191,-130,-10,"GoingfortheGreenBirdieorBetter",2008
9,9,"Carlos Franco",73,64.35,74,115,-78,-6,"GoingfortheGreenBirdieorBetter",2008
10,10,"JB Holmes",86,64.25,115,179,-120,-2,"GoingfortheGreenBirdieorBetter",2008
11,11,"George McNeill",97,64.09,116,181,-125,1,"GoingfortheGreenBirdieorBetter",2008
12,12,"Chad Campbell",94,63.91,85,133,-99,-17,"GoingfortheGreenBirdieorBetter",2008
13,13,"Jim Furyk",95,63.89,69,108,-72,-27,"GoingfortheGreenBirdieorBetter",2008
13,13,"Phil Mickelson",80,63.89,92,144,-96,-3,"GoingfortheGreenBirdieorBetter",2008
15,15,"Mike Weir",88,63.55,68,107,-72,-22,"GoingfortheGreenBirdieorBetter",2008
16,16,"Brian Gay",102,63.38,45,71,-46,-68,"GoingfortheGreenBirdieorBetter",2008
17,17,"Stephen Ames",83,63.22,55,87,-58,-35,"GoingfortheGreenBirdieorBetter",2008
18,18,"Parker McLachlin",88,63.16,84,133,-91,-17,"GoingfortheGreenBirdieorBetter",2008
19,19,"Jerry Kelly",89,63.04,58,92,-59,-12,"GoingfortheGreenBirdieorBetter",2008
20,20,"Jason Allred",63,62.5,65,104,-66,7,"GoingfortheGreenBirdieorBetter",2008
20,20,"Vijay Singh",82,62.5,90,144,-95,-10,"GoingfortheGreenBirdieorBetter",2008
20,20,"Steve Stricker",75,62.5,50,80,-54,-30,"GoingfortheGreenBirdieorBetter",2008
23,23,"Marco Dawson",64,62.16,46,74,-49,-12,"GoingfortheGreenBirdieorBetter",2008
24,24,"Michael Letzig",88,62.09,95,153,-100,-1,"GoingfortheGreenBirdieorBetter",2008
25,25,"Kyle Thompson",70,62.03,49,79,-51,-6,"GoingfortheGreenBirdieorBetter",2008
26,26,"Jim McGovern",75,61.76,42,68,-46,-2,"GoingfortheGreenBirdieorBetter",2008
27,27,"Pat Perez",93,61.71,108,175,-118,-6,"GoingfortheGreenBirdieorBetter",2008
28,28,"Marc Turnesa",87,61.11,66,108,-68,-29,"GoingfortheGreenBirdieorBetter",2008
29,29,"Brett Rumford",72,60.67,54,89,-56,-19,"GoingfortheGreenBirdieorBetter",2008
30,30,"Boo Weekley",86,60.63,77,127,-80,-3,"GoingfortheGreenBirdieorBetter",2008
31,31,"Kevin Stadler",90,60.53,92,152,-100,-2,"GoingfortheGreenBirdieorBetter",2008
32,32,"David Toms",70,60.47,52,86,-55,-11,"GoingfortheGreenBirdieorBetter",2008
33,33,"Brandt Snedeker",85,60.42,58,96,-63,-4,"GoingfortheGreenBirdieorBetter",2008
34,34,"Ryan Palmer",69,60.34,70,116,-72,-22,"GoingfortheGreenBirdieorBetter",2008
35,35,"Stewart Cink",87,60.29,82,136,-92,-11,"GoingfortheGreenBirdieorBetter",2008
36,36,"Sean OHair",81,60.16,74,123,-81,-7,"GoingfortheGreenBirdieorBetter",2008
37,37,"Davis Love III",78,60,81,135,-88,0,"GoingfortheGreenBirdieorBetter",2008
37,37,"John Mallinger",95,60,66,110,-67,-14,"GoingfortheGreenBirdieorBetter",2008
39,39,"Jesper Parnevik",88,59.86,88,147,-90,-13,"GoingfortheGreenBirdieorBetter",2008
40,40,"Bubba Watson",97,59.81,128,214,-134,-7,"GoingfortheGreenBirdieorBetter",2008
41,41,"Stuart Appleby",87,59.8,61,102,-64,-16,"GoingfortheGreenBirdieorBetter",2008
42,42,"Tag Ridings",88,59.69,117,196,-122,0,"GoingfortheGreenBirdieorBetter",2008
43,43,"Padraig Harrington",52,59.68,37,62,-37,-7,"GoingfortheGreenBirdieorBetter",2008
44,44,"Lucas Glover",91,59.63,96,161,-101,-24,"GoingfortheGreenBirdieorBetter",2008
45,45,"Shane Bertsch",96,59.6,59,99,-60,-40,"GoingfortheGreenBirdieorBetter",2008
45,45,"Charley Hoffman",94,59.6,118,198,-124,5,"GoingfortheGreenBirdieorBetter",2008
47,47,"Martin Laird",98,59.59,115,193,-124,-12,"GoingfortheGreenBirdieorBetter",2008
48,48,"Tom Scherrer",56,59.42,41,69,-42,-15,"GoingfortheGreenBirdieorBetter",2008
49,49,"Bill Haas",99,59.41,120,202,-126,-7,"GoingfortheGreenBirdieorBetter",2008
50,50,"Dudley Hart",74,59.26,48,81,-49,-22,"GoingfortheGreenBirdieorBetter",2008
50,50,"Anthony Kim",81,59.26,80,135,-87,-19,"GoingfortheGreenBirdieorBetter",2008
52,52,"Ryuji Imada",80,59.18,58,98,-59,-34,"GoingfortheGreenBirdieorBetter",2008
53,53,"Aaron Baddeley",76,59.09,78,132,-83,-11,"GoingfortheGreenBirdieorBetter",2008
53,53,"Peter Lonard",92,59.09,78,132,-83,-23,"GoingfortheGreenBirdieorBetter",2008
55,55,"Eric Axley",113,59.01,95,161,-102,-12,"GoingfortheGreenBirdieorBetter",2008
56,56,"Nick Watney",96,59,141,239,-151,10,"GoingfortheGreenBirdieorBetter",2008
57,57,"Ron Whittaker",54,58.97,23,39,-27,-19,"GoingfortheGreenBirdieorBetter",2008
58,58,"Robert Garrigus",90,58.89,149,253,-154,9,"GoingfortheGreenBirdieorBetter",2008
59,59,"Mark Hensby",71,58.68,71,121,-76,-12,"GoingfortheGreenBirdieorBetter",2008
60,60,"Kevin Na",97,58.64,95,162,-102,-24,"GoingfortheGreenBirdieorBetter",2008
61,61,"Michael Allen",91,58.46,76,130,-85,-13,"GoingfortheGreenBirdieorBetter",2008
62,62,"Todd Demsey",80,58.39,80,137,-86,-14,"GoingfortheGreenBirdieorBetter",2008
62,62,"John Merrick",98,58.39,87,149,-93,-9,"GoingfortheGreenBirdieorBetter",2008
64,64,"Chris DiMarco",87,58.33,56,96,-59,-32,"GoingfortheGreenBirdieorBetter",2008
65,65,"Dustin Johnson",92,58.29,116,199,-123,12,"GoingfortheGreenBirdieorBetter",2008
66,66,"Tim Clark",90,58.11,43,74,-47,-30,"GoingfortheGreenBirdieorBetter",2008
67,67,"Woody Austin",109,57.99,98,169,-103,-33,"GoingfortheGreenBirdieorBetter",2008
68,68,"Sergio Garcia",72,57.98,69,119,-71,-9,"GoingfortheGreenBirdieorBetter",2008
69,69,"KJ Choi",74,57.95,51,88,-51,-13,"GoingfortheGreenBirdieorBetter",2008
69,69,"Kenny Perry",97,57.95,102,176,-105,-21,"GoingfortheGreenBirdieorBetter",2008
71,71,"James Driscoll",85,57.8,100,173,-104,2,"GoingfortheGreenBirdieorBetter",2008
72,72,"Rocco Mediate",87,57.66,64,111,-68,-14,"GoingfortheGreenBirdieorBetter",2008
73,73,"Ben Curtis",80,57.61,53,92,-57,-23,"GoingfortheGreenBirdieorBetter",2008
74,74,"Charles Howell III",101,57.51,111,193,-118,-27,"GoingfortheGreenBirdieorBetter",2008
75,75,"Steve Flesch",95,57.5,69,120,-75,-27,"GoingfortheGreenBirdieorBetter",2008
76,76,"Nathan Green",95,57.47,100,174,-102,-8,"GoingfortheGreenBirdieorBetter",2008
77,77,"Ernie Els",51,57.41,31,54,-33,0,"GoingfortheGreenBirdieorBetter",2008
77,77,"Joe Ogilvie",100,57.41,93,162,-97,-24,"GoingfortheGreenBirdieorBetter",2008
79,79,"Trevor Immelman",70,57.14,36,63,-37,-8,"GoingfortheGreenBirdieorBetter",2008
79,79,"Tim Petrovic",97,57.14,76,133,-78,-5,"GoingfortheGreenBirdieorBetter",2008
81,81,"Cameron Beckman",87,57,57,100,-60,-27,"GoingfortheGreenBirdieorBetter",2008
82,82,"Steve Marino",119,56.99,110,193,-117,-29,"GoingfortheGreenBirdieorBetter",2008
83,83,"Tommy Armour III",77,56.94,41,72,-41,-22,"GoingfortheGreenBirdieorBetter",2008
84,84,"Nicholas Thompson",113,56.88,124,218,-134,8,"GoingfortheGreenBirdieorBetter",2008
85,85,"Brian Davis",108,56.85,83,146,-86,-50,"GoingfortheGreenBirdieorBetter",2008
86,86,"Mark Calcavecchia",67,56.84,54,95,-59,-5,"GoingfortheGreenBirdieorBetter",2008
87,87,"Kevin Sutherland",98,56.73,97,171,-103,-30,"GoingfortheGreenBirdieorBetter",2008
88,88,"Brett Quigley",80,56.39,75,133,-79,-1,"GoingfortheGreenBirdieorBetter",2008
89,89,"Tom Pernice Jr",104,56.3,76,135,-85,-32,"GoingfortheGreenBirdieorBetter",2008
90,90,"John Huston",56,56,56,100,-58,-16,"GoingfortheGreenBirdieorBetter",2008
91,91,"Gavin Coles",54,55.88,19,34,-21,-26,"GoingfortheGreenBirdieorBetter",2008
92,92,"Daniel Chopra",84,55.86,81,145,-88,-3,"GoingfortheGreenBirdieorBetter",2008
92,92,"Tim Wilkinson",95,55.86,62,111,-66,-33,"GoingfortheGreenBirdieorBetter",2008
94,94,"Matt Kuchar",88,55.84,43,77,-49,-32,"GoingfortheGreenBirdieorBetter",2008
95,95,"Jason Day",81,55.8,101,181,-107,-4,"GoingfortheGreenBirdieorBetter",2008
96,96,"Jeff Gove",50,55.74,34,61,-36,-9,"GoingfortheGreenBirdieorBetter",2008
96,96,"Tom Lehman",51,55.74,34,61,-37,-12,"GoingfortheGreenBirdieorBetter",2008
98,98,"Scott Sterling",89,55.68,49,88,-55,-31,"GoingfortheGreenBirdieorBetter",2008
99,99,"Jonathan Byrd",88,55.63,89,160,-95,-10,"GoingfortheGreenBirdieorBetter",2008
100,100,"JP Hayes",67,55.56,45,81,-46,-7,"GoingfortheGreenBirdieorBetter",2008
100,100,"Bo Van Pelt",101,55.56,100,180,-107,-10,"GoingfortheGreenBirdieorBetter",2008
100,100,"YE Yang",89,55.56,85,153,-91,4,"GoingfortheGreenBirdieorBetter",2008
103,103,"Tim Herron",97,55.48,86,155,-91,-1,"GoingfortheGreenBirdieorBetter",2008
104,104,"Freddie Jacobson",78,55.42,46,83,-47,-14,"GoingfortheGreenBirdieorBetter",2008
105,105,"Frank Lickliter II",107,55.31,99,179,-107,-31,"GoingfortheGreenBirdieorBetter",2008
