"AllAroundRanking_RANKTHISWEEK_2011","AllAroundRanking_RANKLASTWEEK_2011","AllAroundRanking_PLAYERNAME_2011","AllAroundRanking_EVENTS_2011","AllAroundRanking_TOTAL_2011","stat_name","year"
1,1,"Webb Simpson",26,239,"AllAroundRanking",2011
2,2,"Adam Scott",18,266,"AllAroundRanking",2011
3,3,"David Toms",23,308,"AllAroundRanking",2011
4,4,"Hunter Mahan",25,348,"AllAroundRanking",2011
5,5,"Nick Watney",22,357,"AllAroundRanking",2011
6,6,"Matt Kuchar",24,392,"AllAroundRanking",2011
7,7,"Luke Donald",19,407,"AllAroundRanking",2011
8,8,"Steve Stricker",19,410,"AllAroundRanking",2011
9,9,"Jason Day",21,414,"AllAroundRanking",2011
10,10,"Bo Van Pelt",27,423,"AllAroundRanking",2011
11,11,"Kyle Stanley",28,424,"AllAroundRanking",2011
12,12,"Chris Couch",21,431,"AllAroundRanking",2011
13,13,"Justin Rose",23,436,"AllAroundRanking",2011
14,14,"Brandt Snedeker",26,448,"AllAroundRanking",2011
15,15,"Brandt Jobe",28,458,"AllAroundRanking",2011
16,16,"Dustin Johnson",21,463,"AllAroundRanking",2011
17,17,"Rickie Fowler",24,465,"AllAroundRanking",2011
18,18,"Martin Laird",23,469,"AllAroundRanking",2011
19,19,"Bill Haas",26,471,"AllAroundRanking",2011
20,20,"Zach Johnson",23,474,"AllAroundRanking",2011
21,21,"Phil Mickelson",21,477,"AllAroundRanking",2011
22,22,"John Rollins",27,478,"AllAroundRanking",2011
23,23,"Carl Pettersson",27,484,"AllAroundRanking",2011
24,24,"Aaron Baddeley",22,485,"AllAroundRanking",2011
25,25,"Chris Kirk",28,493,"AllAroundRanking",2011
26,26,"Sergio Garcia",16,501,"AllAroundRanking",2011
27,27,"Lucas Glover",23,505,"AllAroundRanking",2011
28,28,"Gary Woodland",25,516,"AllAroundRanking",2011
29,29,"John Merrick",21,522,"AllAroundRanking",2011
30,30,"Brendon de Jonge",30,524,"AllAroundRanking",2011
31,31,"Bubba Watson",22,526,"AllAroundRanking",2011
32,32,"JB Holmes",16,529,"AllAroundRanking",2011
33,33,"Chez Reavie",27,533,"AllAroundRanking",2011
34,34,"Keegan Bradley",28,535,"AllAroundRanking",2011
35,35,"Andres Romero",22,541,"AllAroundRanking",2011
36,36,"Brian Davis",30,546,"AllAroundRanking",2011
37,37,"Jason Dufner",23,547,"AllAroundRanking",2011
37,37,"John Senden",26,547,"AllAroundRanking",2011
39,39,"Charles Howell III",30,551,"AllAroundRanking",2011
40,40,"DA Points",26,553,"AllAroundRanking",2011
41,41,"Pat Perez",24,556,"AllAroundRanking",2011
42,42,"Charley Hoffman",27,560,"AllAroundRanking",2011
43,43,"Charl Schwartzel",15,576,"AllAroundRanking",2011
44,44,"Bryce Molder",27,578,"AllAroundRanking",2011
45,45,"Robert Karlsson",18,580,"AllAroundRanking",2011
46,46,"Josh Teater",31,584,"AllAroundRanking",2011
47,47,"Billy Mayfair",29,589,"AllAroundRanking",2011
48,48,"Steve Marino",23,597,"AllAroundRanking",2011
48,48,"Graeme McDowell",16,597,"AllAroundRanking",2011
50,50,"Brendan Steele",27,600,"AllAroundRanking",2011
51,51,"Hunter Haas",30,610,"AllAroundRanking",2011
52,52,"Rod Pampling",21,611,"AllAroundRanking",2011
53,53,"Freddie Jacobson",25,613,"AllAroundRanking",2011
54,54,"Jerry Kelly",26,619,"AllAroundRanking",2011
55,55,"Brian Gay",26,620,"AllAroundRanking",2011
56,56,"Jim Furyk",26,622,"AllAroundRanking",2011
57,57,"Scott Piercy",23,626,"AllAroundRanking",2011
58,58,"Blake Adams",34,631,"AllAroundRanking",2011
58,58,"Steven Bowditch",28,631,"AllAroundRanking",2011
58,58,"Tommy Gainey",34,631,"AllAroundRanking",2011
61,61,"Woody Austin",18,632,"AllAroundRanking",2011
62,62,"George McNeill",21,634,"AllAroundRanking",2011
63,63,"Boo Weekley",23,635,"AllAroundRanking",2011
64,64,"Jason Bohn",22,639,"AllAroundRanking",2011
64,64,"Geoff Ogilvy",21,639,"AllAroundRanking",2011
66,66,"Jonathan Byrd",26,643,"AllAroundRanking",2011
67,67,"Angel Cabrera",17,645,"AllAroundRanking",2011
68,68,"Spencer Levin",31,649,"AllAroundRanking",2011
69,69,"Mark Wilson",26,655,"AllAroundRanking",2011
70,70,"KJ Choi",22,660,"AllAroundRanking",2011
71,71,"DJ Trahan",30,662,"AllAroundRanking",2011
72,72,"Kevin Na",26,665,"AllAroundRanking",2011
73,73,"Sung Kang",21,668,"AllAroundRanking",2011
73,73,"Jimmy Walker",24,668,"AllAroundRanking",2011
75,75,"Ian Poulter",16,669,"AllAroundRanking",2011
75,75,"Vijay Singh",25,669,"AllAroundRanking",2011
77,77,"David Hearn",26,670,"AllAroundRanking",2011
78,78,"Greg Chalmers",28,673,"AllAroundRanking",2011
79,79,"Robert Allenby",25,686,"AllAroundRanking",2011
79,79,"Shane Bertsch",20,686,"AllAroundRanking",2011
79,79,"Bill Lunde",28,686,"AllAroundRanking",2011
82,82,"Lee Janzen",19,690,"AllAroundRanking",2011
82,82,"Kevin Stadler",27,690,"AllAroundRanking",2011
84,84,"Retief Goosen",16,694,"AllAroundRanking",2011
85,85,"Ben Crane",23,700,"AllAroundRanking",2011
86,86,"Aron Price",18,703,"AllAroundRanking",2011
87,87,"Robert Garrigus",26,708,"AllAroundRanking",2011
88,88,"Joe Ogilvie",24,710,"AllAroundRanking",2011
88,88,"Chris Stroud",28,710,"AllAroundRanking",2011
90,90,"Trevor Immelman",25,713,"AllAroundRanking",2011
91,91,"Briny Baird",19,715,"AllAroundRanking",2011
92,92,"Billy Horschel",25,716,"AllAroundRanking",2011
92,92,"Jeff Overton",26,716,"AllAroundRanking",2011
94,94,"Ryan Moore",22,721,"AllAroundRanking",2011
95,95,"Nick OHern",29,726,"AllAroundRanking",2011
96,96,"Kevin Chappell",26,730,"AllAroundRanking",2011
97,97,"Rory Sabbatini",24,734,"AllAroundRanking",2011
98,98,"Charlie Wi",25,739,"AllAroundRanking",2011
99,99,"YE Yang",18,754,"AllAroundRanking",2011
100,100,"Cameron Tringale",32,755,"AllAroundRanking",2011
101,101,"Kevin Streelman",26,758,"AllAroundRanking",2011
102,102,"Troy Matteson",28,760,"AllAroundRanking",2011
103,103,"Anthony Kim",26,761,"AllAroundRanking",2011
104,104,"Chad Campbell",29,770,"AllAroundRanking",2011
105,105,"William McGirt",32,771,"AllAroundRanking",2011
106,106,"Ricky Barnes",23,773,"AllAroundRanking",2011
107,107,"Stewart Cink",22,774,"AllAroundRanking",2011
108,108,"Michael Bradley",24,775,"AllAroundRanking",2011
109,109,"Jhonattan Vegas",25,776,"AllAroundRanking",2011
110,110,"Alex Cejka",21,778,"AllAroundRanking",2011
111,111,"Ryan Palmer",24,781,"AllAroundRanking",2011
112,112,"Vaughn Taylor",27,788,"AllAroundRanking",2011
113,113,"Ben Martin",25,795,"AllAroundRanking",2011
113,113,"Heath Slocum",29,795,"AllAroundRanking",2011
115,115,"Michael Thompson",25,806,"AllAroundRanking",2011
116,116,"Kris Blanks",29,812,"AllAroundRanking",2011
117,117,"JJ Henry",28,814,"AllAroundRanking",2011
118,118,"Tim Herron",28,817,"AllAroundRanking",2011
119,119,"David Mathis",25,818,"AllAroundRanking",2011
120,120,"Fabian Gomez",26,821,"AllAroundRanking",2011
121,121,"Marc Leishman",27,825,"AllAroundRanking",2011
122,122,"Scott McCarron",22,834,"AllAroundRanking",2011
123,123,"Chris DiMarco",31,840,"AllAroundRanking",2011
124,124,"Tom Gillis",19,842,"AllAroundRanking",2011
125,125,"Scott Stallings",28,845,"AllAroundRanking",2011
126,126,"Davis Love III",22,849,"AllAroundRanking",2011
127,127,"Tag Ridings",28,860,"AllAroundRanking",2011
128,128,"Camilo Villegas",25,862,"AllAroundRanking",2011
129,129,"Paul Stankowski",24,866,"AllAroundRanking",2011
129,129,"Roland Thatcher",22,866,"AllAroundRanking",2011
131,131,"Matt McQuillan",21,871,"AllAroundRanking",2011
132,132,"Matt Jones",25,878,"AllAroundRanking",2011
133,133,"Johnson Wagner",25,879,"AllAroundRanking",2011
134,134,"Steve Flesch",27,891,"AllAroundRanking",2011
135,135,"Ben Curtis",23,896,"AllAroundRanking",2011
136,136,"Jim Renner",22,906,"AllAroundRanking",2011
137,137,"Padraig Harrington",18,909,"AllAroundRanking",2011
138,138,"Nate Smith",24,910,"AllAroundRanking",2011
139,139,"Stephen Ames",22,913,"AllAroundRanking",2011
140,140,"Bobby Gates",29,923,"AllAroundRanking",2011
141,141,"Chris Riley",25,927,"AllAroundRanking",2011
142,142,"Joe Durant",25,929,"AllAroundRanking",2011
143,143,"Cameron Beckman",25,934,"AllAroundRanking",2011
144,144,"Arjun Atwal",29,936,"AllAroundRanking",2011
144,144,"James Driscoll",24,936,"AllAroundRanking",2011
144,144,"Dean Wilson",22,936,"AllAroundRanking",2011
147,147,"Bio Kim",25,937,"AllAroundRanking",2011
148,148,"Zack Miller",30,946,"AllAroundRanking",2011
149,149,"Matt Bettencourt",30,950,"AllAroundRanking",2011
149,149,"Michael Putnam",21,950,"AllAroundRanking",2011
151,151,"Ryuji Imada",29,965,"AllAroundRanking",2011
152,152,"Kent Jones",25,969,"AllAroundRanking",2011
153,153,"Steve Elkington",17,972,"AllAroundRanking",2011
154,154,"Justin Leonard",26,973,"AllAroundRanking",2011
155,155,"Andres Gonzales",21,974,"AllAroundRanking",2011
155,155,"Sean OHair",24,974,"AllAroundRanking",2011
157,157,"Derek Lamely",26,977,"AllAroundRanking",2011
158,158,"Garrett Willis",24,986,"AllAroundRanking",2011
159,159,"Jim Herman",22,990,"AllAroundRanking",2011
160,160,"Scott Gutschewski",23,991,"AllAroundRanking",2011
161,161,"Joseph Bramlett",25,997,"AllAroundRanking",2011
162,162,"Ernie Els",21,1000,"AllAroundRanking",2011
163,163,"DJ Brigman",23,1005,"AllAroundRanking",2011
164,164,"Alex Prugh",29,1007,"AllAroundRanking",2011
165,165,"Harrison Frazar",19,1008,"AllAroundRanking",2011
166,166,"Tim Petrovic",29,1020,"AllAroundRanking",2011
167,167,"Will Strickler",19,1024,"AllAroundRanking",2011
168,168,"Nathan Green",26,1026,"AllAroundRanking",2011
169,169,"Kevin Kisner",24,1043,"AllAroundRanking",2011
170,170,"Alexandre Rocha",22,1044,"AllAroundRanking",2011
171,171,"Stuart Appleby",24,1045,"AllAroundRanking",2011
172,172,"Marc Turnesa",20,1051,"AllAroundRanking",2011
173,173,"Daniel Summerhays",29,1056,"AllAroundRanking",2011
174,174,"Jarrod Lyle",29,1063,"AllAroundRanking",2011
175,175,"Troy Merritt",23,1064,"AllAroundRanking",2011
176,176,"David Duval",24,1077,"AllAroundRanking",2011
177,177,"JP Hayes",19,1086,"AllAroundRanking",2011
178,178,"Paul Goydos",25,1120,"AllAroundRanking",2011
179,179,"Shaun Micheel",27,1121,"AllAroundRanking",2011
180,180,"Justin Hicks",23,1132,"AllAroundRanking",2011
181,181,"Michael Connell",26,1156,"AllAroundRanking",2011
182,182,"Martin Piller",23,1170,"AllAroundRanking",2011
