"3PuttAvoidance1015_RANKTHISWEEK_2010","3PuttAvoidance1015_RANKLASTWEEK_2010","3PuttAvoidance1015_PLAYERNAME_2010","3PuttAvoidance1015_ROUNDS_2010","3PuttAvoidance1015_Pct_2010","3PuttAvoidance1015_TOTAL3PUTTS_2010","3PuttAvoidance1015_ATTEMPTS_2010","3PuttAvoidance1015_2PUTTORBETTERPct_2010","stat_name","year"
1,1,"Jason Bohn",84,0,NA,220,100,"3PuttAvoidance1015",2010
1,1,"Justin Bolli",55,0,NA,104,100,"3PuttAvoidance1015",2010
1,1,"Angel Cabrera",64,0,NA,144,100,"3PuttAvoidance1015",2010
1,1,"Paul Casey",64,0,NA,118,100,"3PuttAvoidance1015",2010
1,1,"Daniel Chopra",74,0,NA,158,100,"3PuttAvoidance1015",2010
1,1,"Brent Delahoussaye",57,0,NA,127,100,"3PuttAvoidance1015",2010
1,1,"Luke Donald",71,0,NA,135,100,"3PuttAvoidance1015",2010
1,1,"Steve Elkington",74,0,NA,162,100,"3PuttAvoidance1015",2010
1,1,"Retief Goosen",75,0,NA,129,100,"3PuttAvoidance1015",2010
1,1,"Padraig Harrington",57,0,NA,100,100,"3PuttAvoidance1015",2010
1,1,"JJ Henry",92,0,NA,193,100,"3PuttAvoidance1015",2010
1,1,"JB Holmes",100,0,NA,230,100,"3PuttAvoidance1015",2010
1,1,"Ryuji Imada",90,0,NA,205,100,"3PuttAvoidance1015",2010
1,1,"Cliff Kresge",50,0,NA,123,100,"3PuttAvoidance1015",2010
1,1,"Derek Lamely",81,0,NA,148,100,"3PuttAvoidance1015",2010
1,1,"Andrew McLardy",52,0,NA,118,100,"3PuttAvoidance1015",2010
1,1,"John Merrick",109,0,NA,242,100,"3PuttAvoidance1015",2010
1,1,"Ryan Moore",80,0,NA,152,100,"3PuttAvoidance1015",2010
1,1,"Kevin Na",94,0,NA,219,100,"3PuttAvoidance1015",2010
1,1,"Jeff Overton",89,0,NA,184,100,"3PuttAvoidance1015",2010
1,1,"Tom Pernice Jr",74,0,NA,147,100,"3PuttAvoidance1015",2010
1,1,"Kenny Perry",69,0,NA,146,100,"3PuttAvoidance1015",2010
1,1,"Aron Price",70,0,NA,174,100,"3PuttAvoidance1015",2010
1,1,"Jeev Milkha Singh",59,0,NA,130,100,"3PuttAvoidance1015",2010
1,1,"Paul Stankowski",62,0,NA,133,100,"3PuttAvoidance1015",2010
1,1,"Steve Stricker",73,0,NA,152,100,"3PuttAvoidance1015",2010
1,1,"Charles Warren",64,0,NA,150,100,"3PuttAvoidance1015",2010
1,1,"Mike Weir",59,0,NA,97,100,"3PuttAvoidance1015",2010
1,1,"Dean Wilson",54,0,NA,130,100,"3PuttAvoidance1015",2010
30,30,"Brendon de Jonge",114,0.37,1,267,99.6,"3PuttAvoidance1015",2010
31,31,"Tim Petrovic",105,0.38,1,263,99.6,"3PuttAvoidance1015",2010
31,31,"Webb Simpson",98,0.38,1,260,99.6,"3PuttAvoidance1015",2010
33,33,"Stuart Appleby",101,0.4,1,248,99.6,"3PuttAvoidance1015",2010
33,33,"Spencer Levin",110,0.4,1,253,99.6,"3PuttAvoidance1015",2010
35,35,"Ricky Barnes",103,0.41,1,244,99.5,"3PuttAvoidance1015",2010
35,35,"Brian Davis",101,0.41,1,242,99.5,"3PuttAvoidance1015",2010
37,37,"Greg Chalmers",93,0.44,1,227,99.5,"3PuttAvoidance1015",2010
38,38,"Woody Austin",93,0.45,1,221,99.5,"3PuttAvoidance1015",2010
38,38,"Briny Baird",87,0.45,1,220,99.5,"3PuttAvoidance1015",2010
38,38,"Michael Connell",89,0.45,1,223,99.5,"3PuttAvoidance1015",2010
41,41,"Carl Pettersson",99,0.46,1,219,99.5,"3PuttAvoidance1015",2010
42,42,"Bill Haas",87,0.47,1,213,99.5,"3PuttAvoidance1015",2010
42,42,"Martin Laird",91,0.47,1,211,99.5,"3PuttAvoidance1015",2010
42,42,"Alex Prugh",88,0.47,1,215,99.5,"3PuttAvoidance1015",2010
42,42,"Johnson Wagner",85,0.47,1,212,99.5,"3PuttAvoidance1015",2010
46,46,"Jonathan Byrd",85,0.48,1,207,99.5,"3PuttAvoidance1015",2010
46,46,"JP Hayes",79,0.48,1,209,99.5,"3PuttAvoidance1015",2010
46,46,"Justin Leonard",89,0.48,1,210,99.5,"3PuttAvoidance1015",2010
46,46,"Mark Wilson",87,0.48,1,207,99.5,"3PuttAvoidance1015",2010
50,50,"Andres Romero",73,0.49,1,204,99.5,"3PuttAvoidance1015",2010
50,50,"Kevin Sutherland",86,0.49,1,203,99.5,"3PuttAvoidance1015",2010
