"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2008","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2008","AverageGoingforitShotDistanceinYards_PLAYERNAME_2008","AverageGoingforitShotDistanceinYards_EVENTS_2008","AverageGoingforitShotDistanceinYards_AVG_2008","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2008","AverageGoingforitShotDistanceinYards_ATTEMPTS_2008","stat_name","year"
1,1,"Paul Casey",16,243.2,560287,64,"AverageGoingforitShotDistanceinYards",2008
2,2,"Scott Sterling",28,245,776309,88,"AverageGoingforitShotDistanceinYards",2008
3,3,"Fred Couples",18,248.1,1027219,115,"AverageGoingforitShotDistanceinYards",2008
4,4,"Brandt Snedeker",26,248.9,860028,96,"AverageGoingforitShotDistanceinYards",2008
5,5,"Tom Scherrer",20,249.6,619968,69,"AverageGoingforitShotDistanceinYards",2008
6,6,"Jason Gore",33,250.6,1587796,176,"AverageGoingforitShotDistanceinYards",2008
7,7,"Jerry Kelly",31,250.7,830328,92,"AverageGoingforitShotDistanceinYards",2008
7,7,"Steve Stricker",22,250.7,721954,80,"AverageGoingforitShotDistanceinYards",2008
9,9,"Boo Weekley",24,251.2,1148383,127,"AverageGoingforitShotDistanceinYards",2008
10,10,"Ernie Els",16,251.4,488729,54,"AverageGoingforitShotDistanceinYards",2008
11,11,"Stephen Ames",24,251.5,787797,87,"AverageGoingforitShotDistanceinYards",2008
12,12,"Doug LaBelle II",22,251.8,462295,51,"AverageGoingforitShotDistanceinYards",2008
13,13,"George McNeill",29,253,1648782,181,"AverageGoingforitShotDistanceinYards",2008
14,14,"Davis Love III",23,253.1,1230013,135,"AverageGoingforitShotDistanceinYards",2008
15,15,"Bart Bryant",23,253.4,611145,67,"AverageGoingforitShotDistanceinYards",2008
16,16,"Ron Whittaker",22,253.5,355940,39,"AverageGoingforitShotDistanceinYards",2008
17,17,"Greg Kraft",21,253.9,438694,48,"AverageGoingforitShotDistanceinYards",2008
18,18,"David Duval",20,254,612590,67,"AverageGoingforitShotDistanceinYards",2008
19,19,"Retief Goosen",18,254.1,631136,69,"AverageGoingforitShotDistanceinYards",2008
20,20,"Richard Johnson",21,254.2,512562,56,"AverageGoingforitShotDistanceinYards",2008
21,21,"Camilo Villegas",22,254.3,1180973,129,"AverageGoingforitShotDistanceinYards",2008
22,22,"Stewart Cink",23,254.8,1247521,136,"AverageGoingforitShotDistanceinYards",2008
23,23,"John Riegger",24,255,1028323,112,"AverageGoingforitShotDistanceinYards",2008
24,24,"Daniel Chopra",27,255.2,1331906,145,"AverageGoingforitShotDistanceinYards",2008
24,24,"Will Ma Kenzie",21,255.2,872644,95,"AverageGoingforitShotDistanceinYards",2008
